SL. No.,State/UT,Murder - Male,Murder - Female,Attempt to Commit Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abducting - Total - Male,Kidnapping & Abducting - Total - Female,Kidnapping & Abducting - Total - Total,Kidnapping & Abducting - of Women & Girls - Male,Kidnapping & Abducting - of Women & Girls - Female,Kidnapping & Abducting - of Women & Girls - Total,Kidnapping & Abducting - of Others - Male,Kidnapping & Abducting - of Others - Female,Kidnapping & Abducting - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Females to Total
11,Kerala,1025,49,1074,2082,33,2115,35,0,35,271,0,271,160,13,173,101,13,114,59,0,59,341,0,341,79,3,82,257,2,259,2674,13,2687,3013,32,3045,34767,1086,35853,325,2,327,1141,20,1161,32,0,32,65457,2264,67721,111659,3517,115176,3.1
12,Madhya Pradesh,7372,328,7700,8626,190,8816,340,79,419,3539,48,3587,1936,57,1993,1731,55,1786,205,2,207,1391,3,1394,771,0,771,2731,14,2745,11407,190,11597,18563,427,18990,23223,498,23721,745,5,750,1845,34,1879,27,0,27,181575,5390,186965,264091,7263,271354,2.7
13,Maharashtra,7063,536,7599,5955,205,6160,255,98,353,1623,46,1669,1511,91,1602,873,69,942,638,22,660,3007,84,3091,337,0,337,3869,30,3899,12280,311,12591,26438,1315,27753,38640,2808,41448,2099,25,2124,3115,120,3235,136,2,138,134921,13143,148064,241249,18814,260063,7.2
14,Manipur,274,12,286,238,3,241,21,0,21,2,0,2,81,15,96,70,14,84,11,1,12,21,2,23,0,0,0,26,0,26,44,0,44,170,8,178,354,200,554,3,0,3,57,2,59,38,3,41,1241,60,1301,2570,305,2875,10.6
15,Meghalaya,140,5,145,28,1,29,2,0,2,28,0,28,27,0,27,7,0,7,20,0,20,135,0,135,0,0,0,87,0,87,146,0,146,439,12,451,150,6,156,6,0,6,34,0,34,25,0,25,1044,11,1055,2291,35,2326,1.5
16,Mizoram,23,0,23,10,0,10,3,0,3,44,0,44,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,11,0,11,113,22,135,375,15,390,0,0,0,12,2,14,41,1,42,2,0,2,507,106,613,1145,146,1291,11.3
17,Nagaland,61,3,64,23,5,28,0,0,0,13,0,13,33,3,36,13,2,15,20,1,21,39,0,39,0,0,0,149,0,149,157,0,157,252,0,252,32,0,32,24,0,24,32,0,32,20,3,23,415,8,423,1250,22,1272,1.7
18,Orissa,1832,61,1893,2458,3,2461,199,1,200,581,0,581,597,2,599,597,2,599,0,0,0,1433,7,1440,0,0,0,1563,1,1564,5429,24,5453,12996,226,13222,14233,301,14534,474,0,474,480,4,484,11,0,11,53259,185,53444,95545,815,96360,0.8
19,Punjab,1172,63,1235,914,16,930,182,14,196,164,6,170,239,16,255,105,15,120,134,1,135,35,0,35,145,0,145,60,0,60,428,4,432,456,19,475,37,0,37,187,2,189,403,22,425,4,0,4,7989,186,8175,12415,348,12763,2.7
20,Rajasthan,2657,221,2878,3262,148,3410,132,8,140,879,14,893,1742,83,1825,1452,72,1524,290,11,301,245,0,245,89,0,89,1093,9,1102,4583,45,4628,6682,254,6936,54421,3118,57539,462,10,472,2024,56,2080,21,0,21,85662,8483,94145,163954,12449,176403,7.1
21,Sikkim,15,9,24,4,0,4,4,0,4,13,0,13,8,2,10,1,1,2,7,1,8,14,0,14,0,0,0,8,0,8,72,0,72,64,5,69,398,4,402,5,0,5,3,0,3,0,0,0,372,31,403,980,51,1031,4.9
22,Tamil Nadu,4533,268,4801,7146,208,7354,53,4,57,350,2,352,875,77,952,864,75,939,11,2,13,767,6,773,0,0,0,672,2,674,4552,61,4613,15725,383,16108,60860,5131,65991,309,13,322,558,13,571,89,2,91,120162,6963,127125,216651,13133,229784,5.7
23,Tripura,488,10,498,232,0,232,7,0,7,99,1,100,255,2,257,156,1,157,99,1,100,441,3,444,22,0,22,371,0,371,271,0,271,566,13,579,1320,101,1421,20,0,20,26,0,26,1,0,1,2499,92,2591,6618,222,6840,3.2
24,Uttar Pradesh,25978,593,26571,18706,55,18761,3637,36,3673,2650,16,2666,7169,226,7395,3789,172,3961,3380,54,3434,5978,7,5985,1604,0,1604,6952,2,6954,10890,72,10962,21814,215,22029,52628,345,52973,2951,16,2967,4270,57,4327,351,0,351,148283,2444,150727,313861,4084,317945,1.3
25,West Bengal,5047,114,5161,1182,25,1207,1324,39,1363,720,0,720,1093,59,1152,738,47,785,355,12,367,2231,4,2235,913,0,913,1509,0,1509,1329,4,1333,21492,380,21872,32474,558,33032,678,1,679,937,26,963,41,0,41,35132,621,35753,106102,1831,107933,1.7
Total (States),Total (States),84462,3354,87816,73363,1511,74874,8088,324,8412,15916,211,16127,25975,1196,27171,17374,981,18355,8601,215,8816,30534,169,30703,5751,4,5755,29041,90,29131,81103,1042,82145,199172,4772,203944,499852,19856,519708,15028,256,15284,25446,620,26066,1212,20,1232,1284100,60715,1344815,2379043,94140,2473183,3.8
26,A & N Islands,8,3,11,19,0,19,0,0,0,5,0,5,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,6,3,9,50,0,50,58,0,58,90,11,101,5,0,5,7,0,7,0,0,0,462,27,489,712,44,756,5.8
27,Chandigarh,45,0,45,46,0,46,6,0,6,13,3,16,41,0,41,29,0,29,12,0,12,0,0,0,0,0,0,17,0,17,136,2,138,338,5,343,245,5,250,36,1,37,197,10,207,0,0,0,961,43,1004,2081,69,2150,3.2
28,D & N Haveli,5,1,6,1,2,3,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,9,0,9,0,0,0,0,0,0,32,0,32,24,0,24,44,5,49,6,0,6,0,0,0,0,0,0,307,28,335,433,36,469,7.7
29,Daman & Diu,17,0,17,4,0,4,0,0,0,1,0,1,10,1,11,0,0,0,10,1,11,4,0,4,0,0,0,0,0,0,16,0,16,16,4,20,105,29,134,7,0,7,4,0,4,0,0,0,110,23,133,294,57,351,16.2
30,Delhi,722,40,762,606,8,614,352,17,369,297,0,297,596,51,647,467,39,506,129,12,141,188,0,188,143,0,143,416,0,416,1090,3,1093,9728,151,9879,1467,9,1476,507,61,568,1798,11,1809,59,0,59,12282,628,12910,30251,979,31230,3.1
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,7,0
32,Pondicherry,97,2,99,41,2,43,2,0,2,7,0,7,11,0,11,4,0,4,7,0,7,0,0,0,0,0,0,14,1,15,73,1,74,370,13,383,534,2,536,11,0,11,14,2,16,5,1,6,2620,184,2804,3799,208,4007,5.2
Total (UTs),Total (UTs),894,46,940,717,12,729,360,17,377,323,3,326,665,52,717,502,39,541,163,13,176,201,0,201,143,0,143,453,4,457,1398,6,1404,10536,173,10709,2485,61,2546,572,62,634,2020,23,2043,64,1,65,16746,933,17679,37577,1393,38970,3.6
Total (All -India),Total (All -India),85356,3400,88756,74090,1523,75603,8448,341,8789,16239,214,16453,26640,1248,27888,17876,1020,18896,8764,228,8992,30735,169,30904,5894,4,5898,29494,94,29588,82501,1048,83549,209708,4945,214653,502337,19917,522254,15600,318,15918,27466,643,28109,1276,21,1297,1300846,61648,1362494,2418620,95533,2512153,3.8
33,Ahmedabad,594,25,619,384,3,387,3,0,3,16,3,19,172,14,186,93,11,104,79,3,82,138,0,138,0,0,0,135,1,136,471,21,492,1727,70,1797,1654,39,1693,93,1,94,161,5,166,1,1,2,12810,1328,14138,18359,1511,19870,7.6
34,Bangalore,267,20,287,613,7,620,5,1,6,81,0,81,71,7,78,28,3,31,43,4,47,90,0,90,7,0,7,324,0,324,772,32,804,1767,105,1872,1103,162,1265,107,3,110,300,39,339,26,0,26,8400,556,8956,13933,932,14865,6.3
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,2058,26,2084,1673,5,1678,8,1,9,141,7,148,216,19,235,92,9,101,124,10,134,355,0,355,117,0,117,695,0,695,1286,26,1312,3968,160,4128,4289,236,4525,387,4,391,470,23,493,44,2,46,15085,556,15641,30792,1065,31857,3.3
37,Calcutta,49,4,53,56,1,57,9,0,9,32,0,32,91,5,96,58,5,63,33,0,33,52,0,52,50,0,50,151,0,151,179,4,183,2875,17,2892,1366,0,1366,103,0,103,293,0,293,2,0,2,4234,43,4277,9542,74,9616,0.8
38,Coimbatore,49,0,49,55,2,57,0,0,0,0,0,0,12,0,12,10,0,10,2,0,2,14,1,15,0,0,0,19,0,19,73,0,73,557,25,582,1202,110,1312,3,0,3,3,0,3,0,0,0,1911,32,1943,3898,170,4068,4.2
39,Delhi,508,28,536,457,4,461,224,6,230,229,0,229,545,42,587,435,33,468,110,9,119,172,0,172,93,0,93,286,0,286,949,3,952,8741,132,8873,1237,4,1241,449,61,510,1757,10,1767,56,0,56,11854,495,12349,27557,785,28342,2.8
40,Hyderabad,352,0,352,205,0,205,10,0,10,56,0,56,38,8,46,14,5,19,24,3,27,72,0,72,0,0,0,126,0,126,442,0,442,1080,9,1089,483,23,506,6,0,6,117,0,117,0,0,0,1909,119,2028,4896,159,5055,3.1
41,Indore,147,2,149,457,2,459,0,0,0,33,0,33,35,0,35,35,0,35,0,0,0,8,0,8,0,0,0,119,0,119,675,3,678,743,9,752,417,3,420,21,0,21,108,0,108,0,0,0,6350,44,6394,9113,63,9176,0.7
42,Jaipur,89,0,89,20,0,20,1,0,1,41,0,41,77,1,84,73,5,78,4,2,6,0,0,0,0,0,0,74,0,74,214,2,216,487,23,510,1858,102,1960,36,0,36,175,7,182,0,0,0,3434,131,3565,6506,272,6778,4
43,Kanpur,643,85,728,542,2,544,85,2,87,43,2,45,177,10,187,111,10,121,66,0,66,60,0,60,60,0,60,252,0,252,571,0,571,611,0,611,1264,6,1270,196,0,196,264,1,265,0,0,0,3941,182,4123,8709,290,8999,3.2
44,Kochi,12,1,13,35,0,35,1,0,1,11,0,11,8,1,9,4,1,5,4,0,4,0,0,0,0,0,0,22,0,22,193,2,195,187,0,187,1138,19,1157,40,0,40,60,1,61,0,0,0,2654,114,2768,4361,138,4499,3.1
45,Lucknow,244,23,267,292,1,293,26,0,26,70,5,75,126,5,131,13,1,14,113,4,117,77,0,77,34,0,34,154,0,154,275,1,276,480,27,507,740,14,754,110,4,114,264,7,271,1,0,1,3011,149,3160,5904,236,6140,3.8
46,Ludhiana,31,2,33,46,0,46,5,0,5,6,0,6,8,0,8,6,0,6,2,0,2,5,0,5,30,0,30,8,0,8,32,0,32,59,0,59,5,0,5,8,0,8,7,0,7,3,0,3,422,8,430,675,10,685,1.5
47,Madras,346,3,349,784,24,808,5,3,8,21,0,21,0,12,12,0,12,12,0,0,0,3,0,3,0,0,0,128,0,128,396,0,396,2618,49,2667,1256,10,1266,13,3,16,24,6,30,0,0,0,3369,120,3489,8963,230,9193,2.5
48,Madurai,52,1,53,65,0,65,0,0,0,3,0,3,19,0,19,19,0,19,0,0,0,0,0,0,0,0,0,30,0,30,130,0,130,573,16,589,561,55,616,3,0,3,13,0,13,0,0,0,2172,38,2210,3621,110,3731,2.9
49,Nagpur,214,1,215,130,0,130,6,0,6,87,0,87,54,1,55,46,1,47,8,0,8,24,0,24,9,0,9,320,0,320,240,2,242,753,13,766,538,2,450,76,0,76,165,3,168,1,0,1,4254,6,4260,6871,28,6899,0.4
50,Patna,319,0,319,517,0,517,37,0,37,15,0,15,133,4,137,18,4,22,115,0,115,43,0,43,36,0,36,378,0,378,399,2,401,1965,20,1985,981,0,981,156,0,156,110,0,110,3,0,3,3805,2,3807,8897,28,8925,0.3
51,Pune,109,11,120,183,4,187,6,0,6,75,5,80,72,8,80,40,7,47,32,1,33,29,0,29,10,0,10,151,3,154,638,29,667,1537,105,1642,751,103,854,73,0,73,329,14,343,4,0,4,7402,1672,9074,11369,1954,13323,14.7
52,Surat,376,12,388,284,13,297,0,0,0,16,1,17,33,3,36,18,2,20,15,1,16,78,0,78,0,0,0,72,0,72,338,0,338,686,17,703,1347,51,1398,59,0,59,43,7,50,0,0,0,3169,267,3436,6501,371,6872,5.4
53,Vadodara,128,13,141,38,0,38,6,0,6,18,3,21,52,6,58,50,6,56,2,0,2,0,0,0,0,0,0,20,1,21,189,15,204,453,29,482,830,158,988,162,28,190,256,20,276,21,0,21,2880,227,3107,5053,500,5553,9
54,Varanasi,176,8,184,336,0,336,29,0,29,21,0,21,84,0,84,73,0,73,11,0,11,32,0,32,46,0,46,113,3,116,107,0,107,245,0,245,641,0,641,91,2,93,146,9,155,3,0,3,1905,15,1920,3975,37,4012,0.9
55,Vishakhapatnam,33,1,34,49,0,49,3,0,3,15,2,17,23,1,24,8,1,9,15,0,15,4,0,4,0,0,0,55,0,55,288,9,297,695,11,706,87,2,89,26,1,27,72,5,77,4,0,4,1883,182,2065,3237,214,3451,6.2
