SL. No.,State/UT,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Phy. Substances Act - Male,Narcotic Drugs & Phy. Substances Act - Female,Narcotic Drugs & Phy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives & Explosive Subs. Act - Male,Explosives & Explosive Subs. Act - Female,Explosives & Explosive Subs. Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection Of Civil Rights Act - Male,Protection Of Civil Rights Act - Female,Protection Of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Actvites Act - Male,Terrorist & Disruptive Actvites Act - Female,Terrorist & Disruptive Actvites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other L & SL Crimes - Male,Other L & SL Crimes - Female,Other L & SL Crimes - Total,Total Cognizable Crimes Under L & SL - Male,Total Cognizable Crimes Under L & SL - Female,Total Cognizable Crimes Under L & SL - Total,Percentage of Females to Total
11,Kerala,194,0,194,286,19,305,7047,0,7047,3458,32,3490,510,51,561,288,1,289,99,83,182,143,0,143,164,0,164,19,3,22,11,0,11,124,0,124,0,0,0,0,0,0,0,0,0,6020,169,6189,18363,358,18721,1.9
12,Madhya Pradesh,6133,4,6137,1584,45,1629,53882,12,53894,17192,474,17666,0,0,0,756,4,760,0,0,0,13058,107,13165,11,0,11,212,6,218,2,0,2,235,2,237,42,0,42,0,0,0,171,54,225,255718,556,256274,348996,1264,350260,0.4
13,Maharashtra,1905,3,1908,1545,57,1602,80222,50,80272,0,0,0,123350,9980,133330,347,0,347,427,909,1336,3944,1,3945,226,15,241,1124,28,1152,507,1,508,737,2,739,491,6,497,0,0,0,10,0,10,229354,19099,248453,444189,30151,474340,6.4
14,Manipur,168,1,169,219,37,256,141,6,147,759,948,1707,0,0,0,19,0,19,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,145,0,145,0,0,0,0,0,0,122,20,142,1577,1012,2589,39.1
15,Meghalaya,56,1,57,17,3,20,65,0,65,8,30,38,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,102,19,121,267,54,321,16.8
16,Mizoram,12,0,12,157,15,172,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,32,514,926,47,973,4.8
17,Nagaland,89,0,89,261,25,286,0,0,0,55,6,61,0,0,0,13,0,13,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,30,380,780,61,841,7.3
18,Orissa,319,0,319,205,3,208,3630,0,3630,666,26,692,12,0,12,221,0,221,3,15,18,15,0,15,0,0,0,38,0,38,0,0,0,99,0,99,0,0,0,0,0,0,144,7,151,2234,29,2263,7586,80,7666,1
19,Punjab,1330,0,1330,1540,92,1632,2542,2,2544,9481,518,9999,0,0,0,101,0,101,6,17,23,164,0,164,37,4,41,0,0,0,45,7,52,112,1,113,2,0,2,0,0,0,0,0,0,543,2,545,15903,643,16546,3.9
20,Rajasthan,2233,30,2263,1091,30,1121,6824,0,6824,3967,91,4058,0,0,0,347,3,350,77,115,192,1283,0,1283,21,0,21,118,7,125,124,0,124,279,1,280,4,0,4,0,0,0,0,0,0,8699,275,8974,25067,552,25619,2.2
21,Sikkim,20,0,20,11,2,13,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,62,1,63,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,377,21,398,496,24,520,4.6
22,Tamil Nadu,127,0,127,2186,269,2455,30892,49,30941,0,0,0,249116,77443,326559,359,0,359,162,8172,8334,1495,5,1500,58,2,60,1019,112,1131,565,0,565,23,0,23,2,0,2,0,0,0,199,114,313,629489,34163,663652,915692,120329,1036021,11.6
23,Tripura,85,0,85,11,0,11,4,0,4,11,0,11,0,0,0,31,0,31,11,0,11,0,0,0,0,0,0,0,0,0,7,0,7,48,0,48,0,0,0,0,0,0,0,0,0,1,0,1,209,0,209,0
24,Uttar Pradesh,41570,7,41577,8621,44,8665,24692,1,24693,26265,617,26882,0,0,0,2649,5,2654,187,151,338,1522,0,1522,6,0,6,4133,2,4135,8,1,9,2409,13,2422,157,0,157,0,0,0,1634,159,1793,321710,1172,322882,435563,2172,437735,0.5
25,West Bengal,1357,1,1358,578,27,605,8624,8,8632,2361,46,2407,29,22,51,300,0,300,15,54,69,1370,40,1410,1845,224,2069,0,0,0,197,67,264,1894,11,1905,0,0,0,3,0,3,211,56,267,525960,1097,527057,544744,1653,546397,0.3
Total (States),Total (States),64779,103,64882,21411,763,22174,321176,196,321372,92650,3994,96644,475611,133471,609082,7243,38,7281,1502,13254,14756,26455,186,26641,2949,253,3202,10089,291,10380,2555,83,2638,8028,40,8068,3501,33,3534,42,0,42,5071,1023,6094,3109540,97121,3206661,4152602,250849,4403451,5.7
26,A & N Islands,0,0,0,1,0,1,118,0,118,1175,360,1535,129,4,133,2,0,2,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,4,542,1995,368,2363,15.6
27,Chandigarh,38,0,38,13,0,13,161,0,161,149,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,55,1,56,418,1,419,0.2
28,D & N Haveli,6,0,6,0,0,0,19,0,19,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,61,0,61,0
29,Daman & Diu,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,16,0,16,0
30,Delhi,3406,0,3406,792,75,867,11056,0,11056,2950,397,3347,0,0,0,26,0,26,31,96,127,88,0,88,84,0,84,3,0,3,0,0,0,174,19,193,34,0,34,0,0,0,13,0,13,1472,25,1497,20129,612,20741,3
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0
32,Pondicherry,11,0,11,3,3,6,132,0,132,0,0,0,0,0,0,0,0,0,75,164,239,0,0,0,6,0,6,8,1,9,0,0,0,66,11,77,0,0,0,0,0,0,0,0,0,34232,159,34391,34533,338,34871,1
Total (UTs),Total (UTs),3461,0,3461,809,78,887,11494,0,11494,4276,757,5033,132,4,136,28,0,28,106,260,366,88,0,88,147,0,147,11,1,12,0,0,0,240,30,270,36,0,36,0,0,0,13,0,13,36339,189,36528,57180,1319,58499,2.3
Total (All -India),Total (All -India),68240,103,68343,22220,841,23061,332670,196,332866,96926,4751,101677,475743,133475,609218,7271,38,7309,1608,13514,15122,26543,186,26729,3096,253,3349,10100,292,10392,2555,83,2638,8268,70,8338,3537,33,3570,42,0,42,5084,1023,6107,3145879,97310,3243189,4209782,252168,4461950,5.7
33,Ahmedabad,113,1,114,25,1,26,7969,6,7702,0,0,0,10966,1206,12172,29,0,29,0,0,0,4,0,4,2,0,2,14,0,14,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,11217,964,12181,30166,2178,32344,6.7
34,Bangalore,14,0,14,74,0,74,1738,0,1738,150,9,159,0,0,0,20,0,20,65,567,632,0,0,0,19,3,22,103,8,111,10,0,10,66,4,70,0,0,0,0,0,0,288,79,367,281946,29316,311262,284493,29986,314479,9.5
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,288,0,288,227,32,259,18843,0,18843,0,0,0,5909,499,6408,141,0,141,339,782,1121,0,0,0,38,0,38,9,3,12,480,1,481,82,2,84,487,6,493,0,0,0,0,0,0,190226,16854,207080,217069,18179,235248,7.7
37,Calcutta,105,0,105,255,21,276,6927,0,6927,2168,22,2190,0,0,0,31,0,31,6,53,59,21,0,21,0,0,0,0,0,0,0,0,0,82,0,82,0,0,0,0,0,0,0,0,0,516306,741,517047,525901,837,526738,0.2
38,Coimbatore,4,0,4,133,17,150,613,0,613,0,0,0,608,0,608,15,0,15,10,567,577,0,0,0,1,0,1,3,0,3,0,0,0,3,0,3,2,0,2,0,0,0,0,0,0,27832,458,28290,29224,1042,30266,3.4
39,Delhi,3287,0,3287,761,64,825,8897,0,8897,2893,243,3136,0,0,0,19,0,19,31,96,127,54,0,54,84,0,84,3,0,3,0,0,0,153,12,165,28,0,28,0,0,0,11,0,11,1432,18,1450,17653,433,18086,2.4
40,Hyderabad,163,0,163,37,0,37,1653,0,1653,1082,120,1202,0,0,0,10,0,10,13,35,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,125,0,0,0,0,3,3,400681,4239,404920,403764,4397,408161,1.1
41,Indore,421,0,421,44,0,44,1599,0,1599,418,0,418,0,0,0,33,0,33,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,108,0,108,2646,0,2646,0
42,Jaipur,147,0,147,30,5,35,904,0,904,160,4,164,0,0,0,2,0,2,16,10,26,0,0,0,0,0,0,18,1,19,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,209,1,210,1517,21,1538,1.4
43,Kanpur,1777,1,1778,617,11,628,1265,0,1265,633,30,663,0,0,0,110,0,110,5,15,20,1,0,1,3,0,3,0,0,0,1,0,1,49,0,49,3,0,3,0,0,0,5,0,5,12718,80,12798,17187,137,17324,0.8
44,Kochi,6,0,6,62,0,62,82,0,82,75,5,80,0,0,0,0,0,0,30,24,54,0,0,0,2,0,2,3,0,3,2,0,2,8,0,8,0,0,0,0,0,0,0,0,0,252,0,252,522,29,551,5.3
45,Lucknow,1091,0,1091,196,0,196,533,0,533,194,20,214,0,0,0,18,1,19,4,0,4,2,0,2,0,0,0,42,0,42,1,0,1,39,0,39,5,0,5,0,0,0,40,6,46,2573,14,2587,4738,41,4779,0.9
46,Ludhiana,317,0,317,106,2,108,625,0,625,286,0,286,0,0,0,1,0,1,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,13,0,13,1392,2,1394,0.1
47,Madras,2,0,2,116,85,201,3816,49,3865,0,0,0,6466,3460,9926,0,0,0,97,2299,2396,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,45,46,91,65189,8552,73741,75733,14491,90224,16.1
48,Madurai,2,0,2,178,17,195,555,0,555,0,0,0,955,31,986,2,0,2,0,404,404,0,0,0,56,2,58,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,5,3,8,70885,1714,72599,72643,2171,74814,2.9
49,Nagpur,479,0,479,72,9,81,5152,0,5152,0,0,0,4419,6,4425,1,0,1,0,2,2,3,0,3,0,0,0,19,0,19,3,0,3,15,0,15,0,0,0,0,0,0,0,0,0,3407,12,3419,13570,29,13599,0.2
50,Patna,187,0,187,4,0,4,308,0,308,63,0,63,0,0,0,31,0,31,3,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,32,9,2,11,631,11,642,1.7
51,Pune,61,0,61,61,6,67,1341,14,1355,0,0,0,5243,1135,6378,28,0,28,46,49,95,0,0,0,187,15,202,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3860,99,3959,10831,1318,12149,10.8
52,Surat,170,0,170,5,0,5,2061,0,2061,0,0,0,11477,12426,23903,10,6,16,18,12,30,0,0,0,7,2,9,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8129,264,8393,21881,12710,34591,36.7
53,Vadodara,54,0,54,19,2,21,1440,0,1440,0,0,0,5129,629,5758,7,0,7,0,0,0,0,0,0,12,0,12,4,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3230,217,3447,9897,848,10745,7.9
54,Varanasi,552,0,552,682,6,688,358,0,358,218,0,218,0,0,0,157,0,157,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,52,0,52,0,0,0,0,0,0,11,0,11,1504,2,1506,3559,8,3567,0.2
55,Vishakhapatnam,0,0,0,5,0,5,1839,0,1839,89,0,89,0,0,0,4,0,4,25,80,105,0,0,0,2,0,2,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,39687,361,40048,41672,442,42114,1
