SL. No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
3,Madhya Pradesh,Gwalior,53,51,10,30,19,17,2,3,6,35,320,778,71,14,56,2,2740,4188
4,Madhya Pradesh,Indore,67,155,0,21,28,28,0,2,0,99,801,2336,73,24,80,0,4708,8394
5,Madhya Pradesh,Jabalpur,58,157,10,82,22,22,0,1,2,95,541,848,35,18,51,0,2994,4914
6,Madhya Pradesh,Raipur,19,42,0,31,25,25,0,3,2,62,476,1057,122,24,72,3,2313,4251
1,Maharashtra,Aurangabad,28,9,0,12,18,13,5,4,0,28,300,539,78,37,30,2,980,2065
2,Maharashtra,Bombay,687,354,7,131,220,104,116,117,39,824,2855,13470,772,559,1054,152,14446,35687
3,Maharashtra,Nagpur,110,55,3,53,71,59,12,6,3,348,915,3452,124,121,225,8,4545,10039
4,Maharashtra,Nasik,18,14,0,5,9,6,3,2,0,14,188,455,35,20,56,1,854,1671
5,Maharashtra,Pune,71,68,3,47,58,36,22,6,2,124,898,2692,85,70,246,17,5438,9825
6,Maharashtra,Solapur,14,11,4,9,12,9,3,4,0,22,143,421,11,20,39,6,923,1639
7,Maharashtra,Thane,142,69,2,53,76,49,27,33,5,165,1150,1862,327,104,150,4,2674,6816
1,Punjab,Amritsar,20,18,0,2,6,2,4,0,0,9,60,90,0,10,15,1,168,399
2,Punjab,Jalandhar,26,14,5,7,22,17,5,1,1,7,85,115,0,3,38,0,220,544
3,Punjab,Ludhiana,26,31,3,3,11,8,3,1,6,4,97,125,1,11,9,4,314,646
1,Rajasthan,Ajmer,9,38,9,8,45,45,0,0,0,21,123,227,118,9,134,10,769,1520
2,Rajasthan,Bharatpur,8,0,1,2,20,16,4,2,0,18,100,210,141,2,49,1,547,1101
3,Rajasthan,Bikaner,15,35,0,5,16,16,0,0,0,5,107,229,80,2,52,8,920,1474
4,Rajasthan,Jaipur,49,35,3,28,169,151,18,0,0,76,618,2179,1244,139,479,71,4345,9435
5,Rajasthan,Jodhpur,26,47,0,12,56,43,13,0,0,30,248,542,200,31,209,3,1397,2801
6,Rajasthan,Kota,35,144,3,19,100,100,0,3,0,28,342,680,194,35,225,10,2000,3818
7,Rajasthan,Udaipur,8,17,0,3,21,21,0,2,0,23,178,222,115,16,82,18,688,1393
1,Tamil Nadu,Coimbatore,16,24,0,0,10,8,2,3,0,21,263,1163,235,18,50,73,1370,3246
2,Tamil Nadu,Madras,100,265,3,17,12,12,0,1,0,71,530,4393,118,263,368,107,2688,8936
3,Tamil Nadu,Madurai,26,20,0,4,21,21,0,0,0,24,181,871,109,13,44,106,1516,2935
4,Tamil Nadu,Salem,30,35,1,1,9,0,9,2,0,8,215,626,58,2,9,2,339,1337
5,Tamil Nadu,Trichy,23,22,0,2,6,0,6,5,0,3,200,649,20,14,35,66,1356,2401
1,Uttar Pradesh,Agra,41,75,22,20,80,75,5,12,4,76,382,976,147,115,170,0,1535,3655
2,Uttar Pradesh,Aligarh,37,65,5,11,95,80,15,6,1,32,136,366,87,28,46,0,620,1535
3,Uttar Pradesh,Allahabad,117,261,15,9,72,61,11,9,1,168,297,907,139,27,90,5,1619,3736
4,Uttar Pradesh,Bareilly,91,87,11,12,86,29,57,7,14,63,219,687,51,55,93,0,917,2393
5,Uttar Pradesh,Gorakhpur,38,45,14,6,43,3,40,6,2,35,59,459,88,38,60,0,1348,2241
6,Uttar Pradesh,Kanpur,271,259,21,31,185,105,80,34,14,240,641,1909,319,299,276,149,2489,7137
7,Uttar Pradesh,Lucknow,103,155,18,40,85,5,80,24,8,158,821,2584,230,204,333,11,2172,6946
8,Uttar Pradesh,Meerut,95,149,4,15,88,40,48,25,3,138,372,1225,140,126,176,0,1391,3947
9,Uttar Pradesh,Moradabad,45,49,13,3,26,12,14,4,4,40,6,311,45,34,54,0,581,1215
10,Uttar Pradesh,Varanasi,62,131,8,12,54,41,13,10,8,60,245,727,101,76,77,27,976,2574
1,West Bengal,Calcutta,70,118,12,33,123,96,27,38,29,163,228,5405,467,294,650,104,4472,12206
1,Delhi U.T.,Delhi,396,401,57,270,727,518,209,24,18,277,1292,12560,186,577,1274,98,15642,33799
