SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,11,3,0,8,11,7,4,0,0,6,36,150,13,0,0,0,53,291
37,Calcutta,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,5
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,18
39,Delhi,4,15,0,1,3,2,1,0,0,0,27,109,2,0,18,0,58,237
40,Hyderabad,0,0,0,0,0,0,0,0,0,0,20,26,0,0,0,0,0,46
41,Indore,3,6,0,6,0,0,0,0,0,5,22,20,12,0,0,0,130,204
42,Jaipur,0,0,0,0,0,0,0,0,0,0,13,17,7,0,0,0,37,74
43,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
44,Kochi,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,9
45,Lucknow,2,0,0,1,0,0,0,0,0,0,5,6,0,0,0,0,7,21
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,4,0,0,0,0,0,0,0,0,0,11,82,0,0,0,0,47,144
48,Madurai,0,0,0,0,0,0,0,0,0,0,29,40,0,0,0,0,6,75
49,Nagpur,0,0,0,0,2,2,0,0,0,0,16,12,4,0,0,0,11,45
50,Patna,0,0,0,1,15,3,12,0,0,5,2,8,20,0,0,0,5,56
51,Pune,0,0,0,0,2,0,2,0,0,1,33,51,12,0,0,0,31,130
52,Surat,3,5,0,1,0,0,0,2,0,1,34,30,4,1,0,0,26,107
53,Vadodara,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2,15
