SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
20,Assam,Nagaon,74,15,6,42,100,69,31,65,4,41,432,499,511,42,25,4,1428,3288
21,Assam,Nalbari,46,13,3,16,37,34,3,94,3,50,169,214,115,8,11,1,467,1247
22,Assam,Sibsagar,61,19,2,40,94,93,1,43,0,79,144,600,59,23,21,3,1095,2283
23,Assam,Sonitpur,77,42,2,25,73,67,6,40,2,55,234,544,256,38,26,9,774,2197
24,Assam,Tinsukia,88,4,0,36,44,44,0,19,0,48,153,362,81,32,23,2,840,1732
25,Assam,Total,1105,336,48,560,1158,1034,124,725,23,1010,3599,7859,4462,487,554,102,15327,37355
1,Bihar,Araria,52,48,8,25,35,35,0,59,1,36,111,252,331,15,21,0,557,1551
2,Bihar,Aurangabad,79,30,5,13,25,5,20,66,5,53,137,253,296,33,20,0,1144,2159
3,Bihar,Banka,77,0,0,10,32,22,10,86,3,54,119,189,322,0,7,0,836,1735
4,Bihar,Begusarai,120,44,0,33,69,0,69,26,6,54,200,390,349,16,14,0,1717,3038
5,Bihar,Bhabhua,57,68,2,4,30,3,27,39,5,14,55,164,157,8,21,0,404,1028
6,Bihar,Bhagalpur,119,90,2,13,33,7,26,33,0,147,166,306,321,1,30,0,1328,2589
7,Bihar,Bhajpur,95,81,5,13,42,0,42,50,1,38,126,377,270,33,29,0,1746,2906
8,Bihar,Bukaro,74,44,4,22,29,29,0,45,0,70,199,601,263,18,19,0,1086,2474
9,Bihar,Buxar,68,49,5,12,20,0,20,94,4,36,134,247,222,5,39,0,610,1545
10,Bihar,Champaran East,100,113,10,20,65,14,51,59,5,40,150,244,319,26,46,0,1365,2562
11,Bihar,Champaran West,117,196,9,46,312,47,265,98,24,51,233,578,678,42,37,0,1882,4303
12,Bihar,Chatra,39,22,2,12,18,12,6,17,1,13,32,46,92,13,16,0,441,764
13,Bihar,Darbhanga,54,20,1,25,34,24,10,32,3,34,220,206,544,27,31,0,1921,3152
14,Bihar,Deoghar,54,9,6,14,21,12,9,28,1,17,143,252,178,15,15,0,636,1389
15,Bihar,Dhanbad,104,171,16,43,73,42,31,108,23,118,402,921,408,51,56,0,2051,4545
16,Bihar,Dumka,61,39,12,33,25,18,7,30,4,14,136,277,200,35,16,0,809,1691
17,Bihar,Garwa,42,79,4,9,13,13,0,37,0,13,43,185,71,4,20,0,296,816
18,Bihar,Gaya,168,124,10,21,49,0,49,65,9,119,173,421,269,53,47,0,1700,3228
19,Bihar,Giridih,54,14,25,19,25,20,5,45,2,48,121,225,240,6,7,0,1075,1906
20,Bihar,Godda,44,52,1,16,12,12,0,24,1,34,86,118,149,5,2,0,506,1050
21,Bihar,Gopalganj,88,47,7,5,58,15,43,89,5,62,130,251,218,76,31,0,1463,2530
22,Bihar,Gumla,155,122,18,38,25,18,7,20,1,47,68,151,37,13,23,0,515,1233
23,Bihar,Hazaribagh,115,14,12,37,37,24,13,62,2,97,274,573,278,20,15,1,1957,3494
24,Bihar,Jamshedpur,122,176,9,20,43,43,0,3,12,70,95,562,127,27,49,0,1165,2480
25,Bihar,Jamui,55,71,7,12,20,20,0,70,0,20,71,200,250,25,28,24,552,1405
26,Bihar,Jehanabad,89,17,7,11,37,17,20,30,4,41,66,236,214,2,21,0,731,1506
27,Bihar,Katihar,66,71,5,52,41,41,0,50,0,39,10,432,349,24,35,2,816,1992
28,Bihar,Khagaria,75,128,0,7,22,13,9,13,6,9,16,203,435,0,0,0,386,1300
29,Bihar,Kishanganj,30,27,2,38,41,35,6,25,1,9,68,139,145,13,4,0,581,1123
30,Bihar,Loharadagga,21,13,6,10,10,8,2,9,3,28,32,117,11,8,7,0,133,408
31,Bihar,Madhepura,34,25,2,7,20,7,13,17,3,18,51,99,248,12,23,0,454,1013
32,Bihar,Madhubani,53,115,108,23,92,63,29,59,3,33,521,679,402,82,62,0,1240,3472
33,Bihar,Munger,186,165,11,28,144,144,0,93,0,77,168,443,561,40,49,0,1372,3337
34,Bihar,Muzaffarpur,109,165,11,23,113,62,51,107,5,138,395,640,508,87,61,0,2021,4383
35,Bihar,Nalanda,141,146,10,11,85,41,44,38,5,59,140,400,197,36,9,0,2231,3508
36,Bihar,Naugachia,56,82,7,6,6,6,0,29,2,24,47,136,102,6,14,0,229,746
37,Bihar,Nawada,61,84,8,12,38,12,26,53,5,15,46,168,260,14,35,0,824,1623
38,Bihar,Palamau,122,40,13,20,32,32,0,72,5,27,119,226,232,19,12,0,1310,2249
39,Bihar,Patna,370,565,60,35,192,45,147,78,24,243,588,2766,702,190,173,0,3664,9650
40,Bihar,Purnea,98,125,8,60,60,19,41,84,2,79,215,392,541,47,28,2,964,2705
41,Bihar,Ranchi,360,324,29,48,71,50,21,81,5,291,311,935,138,67,84,0,1824,4568
42,Bihar,Rohtas,105,96,16,29,60,21,39,125,9,61,131,351,277,68,58,1,1677,3064
43,Bihar,Saharsa,40,125,4,5,23,23,0,18,0,25,62,25,239,10,5,0,1008,1589
44,Bihar,Sahebganj,68,113,8,39,28,28,0,50,0,31,52,263,132,33,23,0,583,1423
45,Bihar,Samastipur,102,129,52,23,65,65,0,74,5,57,143,251,255,50,59,0,1547,2812
46,Bihar,Saran,135,222,22,24,89,30,59,79,9,91,295,441,319,25,64,0,2123,3938
47,Bihar,Singhbhum,232,141,4,35,40,40,0,27,5,43,92,261,66,9,28,0,765,1748
48,Bihar,Sitamarhi,59,64,1,21,40,23,17,34,1,38,176,226,293,22,0,0,1468,2443
49,Bihar,Siwan,92,178,7,9,33,14,19,74,12,64,208,216,113,25,3,0,1271,2305
50,Bihar,Supaul,32,5,17,13,18,8,10,35,1,28,74,147,204,18,35,0,900,1527
51,Bihar,Vaishali,76,0,24,6,58,29,29,51,0,67,204,309,232,33,28,0,1721,2809
52,Bihar,Dhanbad Rly.,3,0,0,0,0,0,0,12,0,15,9,148,6,0,1,0,122,316
53,Bihar,Jamalpur Rly.,7,0,0,1,6,6,0,18,5,15,4,235,11,0,0,0,147,449
54,Bihar,Jamshedpur Rly.,6,1,1,1,0,0,0,1,1,9,7,104,1,1,1,0,67,201
55,Bihar,Katihar Rly.,14,0,0,1,9,4,5,13,2,19,10,174,6,5,10,0,116,379
56,Bihar,Muzaffarpur Rly.,9,1,0,3,3,0,3,3,0,14,23,174,12,3,12,0,169,426
57,Bihar,Patna Rly.,19,12,1,2,14,14,0,17,1,24,7,773,19,7,12,0,149,1057
58,Bihar,Total,4983,4902,624,1118,2635,1335,1300,2754,242,3030,7914,20098,13819,1523,1595,30,60375,125642
1,Goa,North Goa,14,7,2,3,14,11,3,4,0,19,335,659,172,26,44,11,1054,2364
2,Goa,South Goa,22,7,7,11,12,8,4,9,0,11,244,424,69,23,21,5,882,1747
3,Goa,Total,36,14,9,14,26,19,7,13,0,30,579,1083,241,49,65,16,1936,4111
1,Gujarat,Ahmedabad Commr.,154,119,3,20,174,128,46,29,0,118,879,4353,279,488,536,25,10322,17499
2,Gujarat,Ahmedabad Rural,37,68,1,16,43,34,9,16,0,50,174,486,126,98,118,4,3390,4627
3,Gujarat,Ahwa- Dang,5,1,0,1,0,0,0,1,0,1,9,15,5,1,0,1,102,142
4,Gujarat,Amreli,36,22,0,11,11,10,1,1,0,29,131,224,41,19,11,6,1486,2028
5,Gujarat,Anand,55,21,3,17,74,69,5,12,0,35,287,882,77,233,302,2,3791,5791
6,Gujarat,Banaskantha,64,14,0,6,49,49,0,15,0,96,234,776,183,49,155,5,3325,4971
7,Gujarat,Bharuch,85,56,0,47,64,54,10,40,0,52,329,786,125,63,301,10,4154,6112
8,Gujarat,Bhavnagar,88,44,0,17,34,28,6,2,0,44,201,488,122,121,61,12,2753,3987
9,Gujarat,Gandhinagar,18,3,0,3,13,9,4,3,0,6,110,752,33,14,21,3,1227,2206
10,Gujarat,Jamnagar,50,45,0,14,37,32,5,9,0,41,214,480,60,117,140,6,2758,3971
11,Gujarat,Junagadh,50,47,0,20,17,16,1,5,0,43,252,629,67,91,89,10,3209,4529
12,Gujarat,Kheda North,52,15,0,11,53,52,1,16,0,30,218,589,72,130,192,2,2669,4049
13,Gujarat,Kutch,39,25,0,8,10,10,0,4,0,19,151,257,82,28,82,10,2180,2895
14,Gujarat,Meshana,49,36,0,6,62,58,4,14,0,61,360,1137,214,154,232,11,4218,6554
15,Gujarat,Panchmahals,111,19,0,21,63,62,1,42,0,112,380,583,109,134,118,10,4568,6270
16,Gujarat,Patan,44,22,0,8,21,17,4,8,0,34,137,554,96,65,126,5,2388,3508
17,Gujarat,Porbandar,25,18,0,2,9,1,8,0,0,10,61,104,5,37,37,2,969,1279
18,Gujarat,Rajkot Rural,54,64,0,12,38,31,7,12,0,44,262,619,80,90,67,5,3458,4805
19,Gujarat,Rajkot Commr.,32,24,0,6,32,25,7,3,0,19,210,628,55,146,170,11,2064,3400
20,Gujarat,Sabarkantha,45,32,2,10,43,40,3,10,0,14,177,371,153,115,118,4,2947,4041
21,Gujarat,Surat Commr.,89,49,1,14,49,35,14,29,0,60,411,1421,167,61,162,1,2022,4536
22,Gujarat,Surat Rural,63,12,0,11,26,25,1,18,0,21,96,317,29,39,83,0,2629,3344
23,Gujarat,Surendranagar,37,34,0,16,15,11,4,9,0,15,161,339,57,48,74,11,2370,3186
24,Gujarat,Vadodara Commr.,41,13,2,11,36,34,2,3,0,21,348,1368,318,112,215,11,2672,5171
25,Gujarat,Vadodara Rural,103,21,0,26,69,69,0,12,0,37,197,584,59,183,80,1,3316,4688
26,Gujarat,Valsad,69,19,1,15,24,21,3,19,0,17,340,454,47,90,116,10,2813,4034
27,Gujarat,W.Rly,19,11,0,6,5,3,2,6,0,24,32,1532,21,16,13,0,501,2186
28,Gujarat,Total,1514,854,13,355,1071,923,148,338,0,1053,6361,20728,2682,2742,3619,178,78301,119809
1,Haryana,Ambala,34,11,8,6,41,31,10,1,0,9,187,381,4,30,39,1,1230,1982
2,Haryana,Bhiwani,26,12,4,7,14,7,7,5,0,8,98,167,56,17,19,1,1506,1940
3,Haryana,Faridabad,71,36,6,26,48,38,10,18,5,33,273,521,95,29,89,7,2972,4229
4,Haryana,Gurgaon,53,31,3,24,28,20,8,17,2,22,192,406,34,31,53,2,1685,2583
5,Haryana,Hissar,61,41,9,18,36,22,14,6,4,27,223,362,24,42,84,4,2633,3574
6,Haryana,Jind,32,12,1,6,9,4,5,3,2,8,145,147,11,14,42,0,930,1362
7,Haryana,Kaithal,33,10,4,10,2,0,2,4,0,6,77,94,0,12,36,0,467,755
8,Haryana,Karnal,29,27,7,20,15,13,2,2,2,2,211,322,21,16,52,0,1148,1874
9,Haryana,Kurukshetra,24,17,3,21,10,7,3,3,0,8,116,164,0,7,35,0,749,1157
10,Haryana,Mahendragarh,18,5,2,7,5,2,3,0,0,3,57,90,13,19,13,2,1088,1322
11,Haryana,Panipat,35,7,6,8,13,10,3,0,0,3,145,243,28,7,44,0,884,1423
12,Haryana,Rewari,21,14,4,8,9,3,6,3,1,11,95,135,25,12,19,6,711,1074
13,Haryana,Rohtak,64,30,25,19,19,11,8,3,2,21,272,427,37,21,50,10,1635,2635
14,Haryana,Sirsa,25,22,5,8,16,11,5,1,0,13,81,141,19,11,46,0,903,1291
15,Haryana,Sonipat,53,26,10,16,25,12,13,4,3,18,176,212,9,8,35,2,1716,2313
16,Haryana,Yamunanagar,24,9,1,28,23,17,6,8,1,8,210,272,54,11,17,2,923,1591
17,Haryana,GRP,8,0,0,3,0,0,0,0,0,2,0,134,5,0,6,0,491,649
18,Haryana,Total,611,310,98,235,313,208,105,78,22,202,2558,4218,435,287,679,37,21671,31754
1,Himachal Pradesh,Bilaspur,12,1,0,2,7,4,3,0,0,1,56,30,53,8,6,0,331,507
2,Himachal Pradesh,Chamba,6,8,3,9,11,11,0,3,0,3,178,102,28,10,6,0,322,689
3,Himachal Pradesh,Hamirpur,2,4,0,5,6,5,1,0,0,2,32,30,31,10,3,2,378,505
4,Himachal Pradesh,Kangra,27,12,4,18,38,38,0,4,0,7,158,230,102,9,25,2,1139,1775
5,Himachal Pradesh,Kinnaur,1,2,0,5,6,6,0,1,0,0,44,28,15,6,3,0,104,215
6,Himachal Pradesh,Kullu,7,4,0,7,17,17,0,0,0,1,54,44,13,7,11,0,449,614
7,Himachal Pradesh,Lahaul-Spiti,0,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,31,43
8,Himachal Pradesh,Mandi,21,13,0,5,20,17,3,3,0,5,116,141,59,6,15,0,1316,1720
9,Himachal Pradesh,Shimla,13,9,0,29,32,24,8,1,0,12,236,281,195,44,67,0,1471,2390
10,Himachal Pradesh,Sirmaur,14,10,1,13,26,23,3,0,0,0,57,65,76,7,24,1,455,749
11,Himachal Pradesh,Solan,11,4,1,5,17,16,1,0,0,1,101,142,64,23,14,2,601,986
12,Himachal Pradesh,UNA,12,4,1,2,13,6,7,0,0,2,48,49,40,6,11,0,474,662
13,Himachal Pradesh,G.R.P.,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,9
14,Himachal Pradesh,Total,126,72,10,100,193,167,26,12,0,34,1084,1148,678,138,185,7,7077,10864
1,Jammu Kashmir,Anantnag,100,4,2,3,12,7,5,5,0,7,106,45,11,4,1,0,258,558
2,Jammu Kashmir,Badgam,45,3,0,0,8,8,0,0,0,1,38,27,40,2,0,0,66,230
3,Jammu Kashmir,Baramulla,208,156,2,2,37,14,23,3,0,17,135,184,41,4,7,0,407,1203
4,Jammu Kashmir,Doda,22,9,1,4,18,18,0,20,0,19,71,73,23,6,6,0,486,758
5,Jammu Kashmir,Jammu,40,215,0,23,85,74,11,4,0,13,425,881,175,51,47,0,2870,4829
6,Jammu Kashmir,Kargil,1,0,0,0,5,5,0,1,0,0,3,16,25,1,3,0,60,113
7,Jammu Kashmir,Kathua,11,33,2,12,28,27,1,1,0,2,69,96,89,2,10,0,657,1012
8,Jammu Kashmir,Kupwara,127,17,0,3,19,16,3,1,0,3,69,40,45,4,5,0,230,563
9,Jammu Kashmir,Leh,3,1,0,1,3,3,0,0,0,0,13,10,6,2,2,0,85,126
10,Jammu Kashmir,Pulwama,52,58,1,1,9,5,4,1,0,4,64,29,4,4,2,0,114,343
11,Jammu Kashmir,Punch,11,22,0,5,18,18,0,0,0,1,34,161,69,3,9,0,364,697
12,Jammu Kashmir,Rajouri,11,18,0,22,40,37,3,0,0,0,62,133,16,3,8,0,741,1054
13,Jammu Kashmir,Srinagar,47,13,5,9,30,30,0,2,0,12,376,297,98,6,31,0,640,1566
14,Jammu Kashmir,Udhampur,13,36,2,30,42,42,0,7,0,17,136,269,39,8,10,0,1057,1666
15,Jammu Kashmir,Railways,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,13
16,Jammu Kashmir,Total,691,585,15,115,354,304,50,45,0,96,1601,2264,681,100,141,0,8043,14731
1,Karnataka,Bangalore Commr.,163,310,3,48,111,40,71,27,2,486,2510,7239,342,294,936,1010,12998,26479
2,Karnataka,Bangalore Rural,96,76,1,14,34,26,8,24,0,29,685,1011,357,27,48,0,4654,7056
3,Karnataka,Belgaum,143,48,1,5,36,10,26,19,0,25,446,637,505,36,88,5,3536,5530
4,Karnataka,Bellary,58,27,2,10,16,16,0,17,0,22,269,408,318,15,49,2,1614,2827
5,Karnataka,Bidar,38,56,2,2,21,18,3,11,0,32,155,268,324,7,37,0,1536,2489
6,Karnataka,Bijapur,117,36,2,12,56,47,9,22,0,21,209,423,606,33,94,2,2737,4370
7,Karnataka,Chickmagalur,38,30,2,2,4,4,0,2,0,8,179,346,201,9,27,1,503,1352
8,Karnataka,ChitraDurga,68,17,4,12,13,13,0,9,0,22,629,669,652,19,36,0,3206,5356
9,Karnataka,Dharwad Commr.,15,14,0,4,5,3,2,4,0,33,246,363,95,25,67,1,793,1665
10,Karnataka,Dharwad Rural,82,36,2,8,15,0,15,24,0,32,269,369,482,28,66,6,2293,3712
11,Karnataka,Gulbarga,91,36,0,17,28,28,0,24,0,55,293,517,518,17,51,0,2042,3689
12,Karnataka,Hassan,52,1,1,8,11,1,10,6,0,12,376,619,205,9,20,3,2248,3571
13,Karnataka,K.G.F.,10,13,0,4,8,8,0,4,0,7,166,216,99,4,15,0,676,1222
14,Karnataka,Kannada North,45,30,1,4,9,0,9,17,0,10,304,267,489,34,34,2,1859,3105
15,Karnataka,Kannada South,52,42,2,9,22,11,11,6,0,39,514,433,462,24,47,7,3207,4866
16,Karnataka,Kodagu,40,24,1,8,7,0,7,2,0,11,188,176,53,13,13,0,965,1501
17,Karnataka,Kolar,66,20,3,8,20,20,0,24,0,12,290,528,330,16,31,2,2274,3624
18,Karnataka,Mandya,58,8,1,19,2,0,2,11,0,11,389,502,200,8,24,3,2143,3379
19,Karnataka,Mysore Commr.,32,19,0,9,20,17,3,7,0,46,409,1201,90,23,105,1,1472,3434
20,Karnataka,Mysore Rural,62,26,6,7,6,5,1,9,0,9,491,586,323,15,17,4,2287,3848
21,Karnataka,Raichur,47,33,2,7,18,13,5,20,0,19,191,315,501,20,56,1,1933,3163
22,Karnataka,Shimoga,43,13,2,8,11,11,0,3,0,9,330,528,294,28,52,3,2672,3996
23,Karnataka,Tumkur,67,33,3,6,22,12,10,12,0,10,601,747,398,16,20,0,3175,5110
24,Karnataka,Railways,11,3,6,1,3,3,0,2,0,25,2,312,12,4,3,2,133,519
25,Karnataka,Total,1494,951,47,232,498,306,192,306,2,985,10141,18680,7856,724,1936,1055,60956,105863
1,Kerala,Alappuzha,24,24,3,12,8,8,0,1,0,16,301,249,382,22,109,1,4383,5535
2,Kerala,CB CID,32,3,2,3,0,0,0,0,0,2,32,24,4,13,31,44,84,274
3,Kerala,Ernakulam,35,31,2,12,10,7,3,0,0,18,523,469,830,35,149,4,7198,9316
4,Kerala,Idukki,33,11,1,14,0,0,0,0,0,16,243,208,204,20,47,0,2265,3062
5,Kerala,Kannur,30,54,3,20,6,4,2,1,0,8,269,194,703,13,107,0,3894,5302
6,Kerala,Kasaragod,16,17,1,5,2,1,1,3,0,7,145,117,321,6,44,0,1607,2291
7,Kerala,Kollam,43,27,5,9,7,5,2,5,0,7,346,183,388,14,61,5,5249,6349
8,Kerala,Kottayam,29,18,1,13,20,16,4,7,0,27,409,359,330,51,187,0,5225,6676
9,Kerala,Kozhikode,34,29,2,27,23,9,14,3,0,8,357,340,615,28,132,0,5823,7421
10,Kerala,Malappuram,31,7,0,16,12,6,6,4,0,6,309,177,332,15,73,1,3994,4977
11,Kerala,Palakkad,53,23,0,18,7,3,4,1,0,14,300,242,427,24,65,0,3593,4767
12,Kerala,Pathanamthitta,22,7,1,3,8,5,3,0,0,3,228,98,118,18,44,0,2722,3272
13,Kerala,Thiruvananthapuram,65,87,1,20,14,13,1,18,18,43,653,599,832,23,161,7,7379,9920
14,Kerala,Thrissur,49,18,5,17,14,6,8,7,0,34,348,327,483,30,137,4,4344,5817
15,Kerala,Wayanadu,10,6,1,22,4,2,2,3,0,9,125,120,134,11,23,1,1255,1724
16,Kerala,Railways,0,0,0,0,0,0,0,0,0,3,4,89,23,1,2,0,27,149
17,Kerala,Total,506,362,28,211,135,85,50,53,18,221,4592,3795,6126,324,1372,67,59042,76852
1,Madhya Pradesh,Baitul,81,25,0,58,10,10,0,1,5,14,201,216,42,3,16,0,1161,1833
2,Madhya Pradesh,Balaghat,62,23,6,72,14,14,0,2,0,18,288,387,20,5,32,0,1587,2516
3,Madhya Pradesh,Bastar,106,73,0,58,24,24,0,10,0,32,362,329,9,10,33,0,1748,2794
4,Madhya Pradesh,Bhind,91,87,3,18,28,14,14,9,12,36,232,388,92,6,32,0,1999,3033
5,Madhya Pradesh,Bhopal,74,154,9,68,47,47,0,13,1,138,569,1387,79,17,68,7,4659,7290
6,Madhya Pradesh,Bilaspur,146,60,12,86,28,28,0,14,4,66,1333,1805,307,37,67,5,4808,8778
7,Madhya Pradesh,Chhatarpur,55,54,4,55,21,18,3,3,0,42,298,205,70,6,15,0,1293,2121
8,Madhya Pradesh,Chhindwara,83,25,3,88,8,8,0,2,1,16,161,269,12,4,24,0,1977,2673
9,Madhya Pradesh,Damoh,48,46,4,43,10,10,0,5,0,12,169,157,49,2,8,0,1516,2069
10,Madhya Pradesh,Dantewara,155,81,0,15,11,11,0,8,1,7,103,130,38,6,4,0,788,1347
11,Madhya Pradesh,Datiya,22,36,0,10,6,5,1,2,1,25,86,107,21,3,5,0,747,1071
12,Madhya Pradesh,Dewas,57,45,2,49,16,16,0,4,3,33,386,749,108,29,23,0,2026,3530
13,Madhya Pradesh,Dhar,94,98,0,70,70,67,3,9,2,101,444,1505,149,37,22,0,3871,6472
14,Madhya Pradesh,Durg,61,83,7,116,36,29,7,10,1,103,824,1371,83,39,81,8,3605,6428
