SL. No.,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary But Below Matric/ H. Sec.,By Education - Matric/ H. Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Setup - Lower Income Upto Rs. 500 PM,By Economic Setup - Low/Mid Income (From Rs.501 to 1000 PM),By Economic Setup - Middle Income (Rs. 1001 to 2000 PM),By Economic Setup - Upp/Mid Income (From Rs. 2001 to 3000 PM),By Economic Setup - Upper Income (Above Rs. 3000 PM),By Economic Setup - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
Total (States),Total (States),7081,8321,3446,917,19765,12667,3798,3300,19765,10154,6375,1882,917,437,19765,16872,2893,19765
26,A & N Islands,0,1,3,0,4,4,0,0,4,1,3,0,0,0,4,4,0,4
27,Chandigarh,0,3,4,3,10,5,5,0,10,2,4,3,1,0,10,10,0,10
28,D & N Haveli,1,1,0,0,2,2,0,0,2,0,2,0,0,0,2,2,0,2
29,Daman & Diu,1,2,3,0,6,6,0,0,6,1,3,2,0,0,6,6,0,6
30,Delhi*,0,0,265,0,265,265,0,0,265,265,0,0,0,0,265,265,0,265
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,3,9,2,1,15,12,1,2,15,10,4,0,1,0,15,15,0,15
Total (UTs),Total (UTs),5,16,277,4,302,294,6,2,302,279,16,5,2,0,302,302,0,302
Total (All -India),Total (All -India),7086,8337,3723,921,20067,12961,3804,3302,20067,10433,6391,1887,919,437,20067,17174,2893,20067
33,Ahmedabad,42,167,87,15,311,271,23,17,311,47,228,33,3,0,311,0,311,311
34,Bangalore,71,34,15,45,165,141,16,8,165,111,28,11,15,0,165,155,10,165
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,171,168,50,0,389,213,102,74,389,204,135,39,9,2,389,209,180,389
37,Calcutta,3,2,0,0,5,5,0,0,5,5,0,0,0,0,5,5,0,5
38,Coimbatore,23,57,4,0,84,83,1,0,84,81,2,1,0,0,84,84,0,84
39,Delhi*,0,0,265,0,265,265,0,0,265,265,0,0,0,0,265,265,0,265
40,Hyderabad,33,13,0,0,46,37,0,9,46,10,14,19,3,0,46,46,0,46
41,Indore,39,20,145,0,204,135,38,31,204,44,40,120,0,0,204,204,0,204
42,Jaipur,62,12,0,0,74,59,15,0,74,56,18,0,0,0,74,74,0,74
43,Kanpur,0,0,6,9,15,0,15,0,15,0,6,0,0,9,15,15,0,15
44,Kochi,0,8,1,0,9,9,0,0,9,8,0,0,1,0,9,9,0,9
45,Lucknow,15,4,1,1,21,14,3,4,21,17,0,0,4,0,21,21,0,21
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,343,48,0,0,391,229,124,38,391,282,109,0,0,0,391,371,20,391
48,Madurai,82,36,22,4,144,82,58,4,144,144,0,0,0,0,144,112,32,144
49,Nagpur,19,91,0,0,110,110,0,0,110,61,49,0,0,0,110,92,18,110
50,Patna,5,14,26,40,85,36,45,4,85,43,25,17,0,0,85,71,14,85
51,Pune,34,51,46,0,131,75,50,6,131,92,29,10,0,0,131,115,16,131
52,Surat,117,130,38,25,310,183,93,34,310,150,53,48,31,28,310,136,174,310
53,Vadodara,0,3,2,0,5,4,1,0,5,0,2,3,0,0,5,5,0,5
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,40,15,15,0,70,48,2,20,70,60,7,3,0,0,70,61,9,70
