SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Eastablishments - Number,Commercial Eastablishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
43,Kanpur,22,4.5,7,0.7,0,0,0,0,0,0,3,0.2,2,0,34,5.4
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,21,10,3,1.5,0,0,0,0,0,0,0,0,0,0,24,11.4
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2
47,Madras,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1
48,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Nagpur,2,3.7,0,0,0,0,0,0,0,0,3,0.3,1,0,6,4
50,Patna,12,2.4,4,1.9,0,0,0,0,0,0,0,0,0,0,16,4.2
51,Pune,3,0.2,0,0,0,0,0,0,0,0,0,0,3,0.6,6,0.8
52,Surat,16,11,2,0.4,0,0,0,0,0,0,2,4.7,9,4.5,29,20.6
53,Vadodara,1,0.1,0,0,0,0,0,0,0,0,0,0,2,0,3,0.1
54,Varanasi,8,3.7,0,0,0,0,0,0,0,0,0,0,2,2.2,10,5.9
55,Vishakhapatnam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
