SL. No.,State/UT/City,Murder - 1992,Murder - 1993,Murder - Percentage Variation,Attempt to Commit Murder - 1992,Attempt to Commit Murder- 1993,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting To Murder - 1992,C.H. Not Amounting To Murder - 1993,C.H. Not Amounting To Murder - Percentage Variation,Rape - 1992,Rape - 1993,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1992,Kidnapping & Abduction - Total - 1993,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - of Women & Girls -1992,Kidnapping & Abduction - of Women & Girls -1993,Kidnapping & Abduction - of Women & Girls - Percentage Variation,Kidnapping & Abduction - of Others - 1992,Kidnapping & Abduction - of Others - 1993,Kidnapping & Abduction - of Others - Percentage Variation,Dacoity - 1992,Dacoity - 1993,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1992,Preparation & Assembly for Dacoity - 1993,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1992,Robbery - 1993,Robbery -Percentage Variation,Burglary - 1992,Burglary - 1993,Burglary - Percentage Variation,Theft - 1992,Theft - 1993,Theft - Percentage Variation,Riots - 1992,Riots - 1993,Riots - Percentage Variation,Criminal Breach of Trust - 1992,Criminal Breach of Trust - 1993,Criminal Breach of Trust - Percentage Variation,Cheating - 1992,Cheating - 1993,Cheating - Percentage Variation,Counterfeiting - 1992,Counterfeiting - 1993,Counterfeiting - Percentage Variation,Other IPC Crimes - 1992,Other IPC Crimes - 1993,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1992,Total Cognizable Crimes Under IPC - 1993,Total Cognizable Crimes Under IPC - Percentage Variation
11,Kerala,544,506,-7,360,362,0.6,37,28,-24.3,227,211,-7,120,135,12.5,86,85,-1.2,34,50,47.1,125,53,-57.6,0,18,@,211,221,4.7,4140,4592,10.9,3876,3795,-2.1,6564,6126,-6.7,263,324,23.2,1120,1372,22.5,133,67,-49.6,54199,59042,8.9,71919,76852,6.9
12,Madhya Pradesh,3545,3250,-8.3,3345,3091,-7.6,208,192,-7.7,2733,2658,-2.7,1081,1092,1,976,996,2,105,96,-8.6,557,260,-53.3,137,135,-1.5,2328,2198,-5.6,20525,18834,-8.2,37024,32184,-13.1,4732,3772,-20.3,831,669,-19.5,1662,1407,-15.3,47,61,29.8,122626,109955,-10.3,201381,179758,-10.7
13,Maharashtra,3206,3133,-2.3,1533,1586,3.5,132,150,13.6,991,1145,15.5,1243,1158,-6.8,773,740,-4.3,470,418,-11.1,974,794,-18.5,98,89,-9.2,3924,3388,-13.7,17177,16791,-2.2,58510,52247,-10.7,5582,4892,-12.4,2326,1974,-15.1,3129,3145,0.5,321,367,14.3,97224,93730,-3.6,196370,184589,-6
14,Manipur,141,319,126.2,89,144,61.8,0,3,@,18,8,-55.6,156,123,-21.2,90,77,-14.4,66,46,-30.3,12,48,300,0,0,NA,60,50,-16.7,100,97,-3,352,267,-24.1,128,112,-12.5,24,10,-58.3,113,83,-26.5,22,24,9.1,1172,1336,14,2387,2624,9.9
15,Meghalaya,112,106,-5.4,42,25,-40.5,3,2,-33.3,33,19,-42.4,23,27,17.4,9,8,-11.1,14,19,35.7,66,77,16.7,1,0,-100,86,70,-18.6,255,219,-14.1,693,521,-24.8,102,56,-45.1,16,7,-56.3,38,31,-18.4,2,13,550,949,690,-27.3,2421,1863,-23
16,Mizoram,29,39,34.5,12,11,-8.3,7,2,-71.4,35,40,14.3,1,7,600,0,0,0,1,7,600,9,4,-55.6,0,0,NA,35,11,-68.6,270,239,-11.5,582,544,-6.5,0,3,@,37,21,-43.2,59,61,3.4,5,6,20,621,477,-23.2,1702,1465,-13.9
17,Nagaland,70,104,48.6,26,30,15.4,6,0,-100,10,8,-20,25,43,72,8,13,62.5,17,30,76.5,37,49,32.4,0,0,NA,130,162,24.6,298,223,-25.2,328,327,-0.3,21,25,19,58,30,-48.3,39,29,-25.6,10,28,180,547,488,-10.8,1605,1546,3.7
18,Orissa,760,821,8,866,963,11.2,114,101,-11.4,326,405,24.2,397,432,8.8,397,432,8.8,0,0,NA,335,307,-8.4,0,0,NA,914,957,4.7,4764,4699,-1.4,10412,10172,-2.3,2569,1941,-24.4,425,470,10.6,376,444,18.1,33,12,-63.6,28147,29885,6.2,50438,51609,2.3
19,Punjab,1875,702,-62.6,1800,867,-51.8,112,112,0,66,90,36.4,257,189,-26.5,103,102,-1,154,87,-43.5,38,13,-65.8,24,18,-25,159,44,-72.3,1219,939,-23,1546,1069,-30.9,35,12,-65.7,120,135,12.5,338,328,-3,12,18,50,4779,4909,2.7,12380,9445,-23.7
20,Rajasthan,1473,1406,-4.5,1445,1515,4.8,80,102,27.5,848,893,5.3,2435,2372,-2.6,2241,2151,-4,194,221,13.9,104,90,-13.5,17,16,-5.9,1228,1038,-15.5,7955,7551,-5.1,15645,14262,-8.8,18424,17668,-4.1,1060,951,-10.3,4377,4552,4,179,274,53.1,68156,68410,0.4,123426,121100,-1.9
21,Sikkim,17,12,-29.4,3,3,0,1,3,200,11,7,-36.4,6,4,-33.3,6,4,-33.3,0,0,NA,1,3,200,0,0,NA,5,9,80,72,97,34.7,138,124,-10.1,9,42,366.7,7,6,-14.3,16,10,-37.5,0,0,NA,271,342,26.2,557,662,18.9
22,Tamil Nadu,1569,1630,3.9,1413,1571,11.2,23,28,21.7,256,244,-4.7,859,774,-9.9,825,757,-8.2,34,17,-50,167,155,-7.2,0,0,NA,502,416,-17.1,7442,6945,-6.7,25990,22975,-11.6,6587,8339,26.6,650,621,-4.5,1330,1107,-16.8,999,554,-44.5,80878,80295,-0.7,128665,125654,-2.3
23,Tripura,267,255,-4.5,88,94,6.8,1,0,-100,76,69,-9.2,90,101,12.2,55,61,10.9,35,40,14.3,148,206,39.2,10,4,-60,241,292,21.2,518,520,0.4,1058,913,-13.7,344,440,27.9,14,20,42.9,22,14,-36.4,3,1,-66.7,2205,2246,1.9,5085,5175,1.8
24,Uttar Pradesh,10559,10589,0.3,9804,9054,-7.6,1728,1543,-10.7,1757,1787,1.7,4352,4423,1.6,2550,2522,-1.1,1802,1901,5.5,2210,1778,-19.5,496,362,-27,7591,6683,-12,18400,17541,-4.7,49956,45491,-8.9,10604,9273,-12.6,3799,3792,-0.2,3894,3886,-0.2,246,403,63.8,90943,86883,-4.5,216339,203488,-5.9
25,West Bengal,1770,1685,-4.8,606,453,-25.2,779,584,-25,615,712,15.8,1104,1022,-7.4,632,708,12,472,314,-33.5,555,518,-6.7,151,142,-26,778,830,6.7,1243,1038,-16.5,26913,24847,-7.7,7256,6642,-8.5,663,623,-6,994,1162,16.9,57,116,103.5,28687,30344,5.8,72171,70718,-2
Total (States),Total (States),39523,37686,-4.6,30608,29213,-4.6,4225,3798,-10.1,11407,11894,4.3,19530,18965,-2.9,13276,13443,1.3,6254,5522,-11.7,11266,9324,-17.2,1262,1080,-14.4,26129,24006,-8.1,125259,121135,-3.3,334276,305126,-8.7,104264,93471,-10.4,17204,16356,-4.9,27824,28632,2.9,4984,3612,-27.5,888475,882564,-0.7,1646236,1586862,-3.6
26,A & N Islands,6,10,66.7,4,10,150,0,0,NA,4,4,0,3,3,0,3,3,0,0,0,NA,0,0,NA,0,0,NA,1,5,400,96,88,-8.3,110,84,-23.6,11,15,36.4,7,6,-14.3,2,7,250,7,2,-71.4,374,430,15,625,664,6.2
27,Chandigarh,14,14,0,23,15,-34.8,5,7,40,15,6,-60,20,31,55,17,24,41.2,3,7,133.3,0,0,NA,0,0,NA,3,9,200,107,177,65.4,523,906,73.2,15,31,106.7,14,22,57.1,82,5,15.9,2,1,-50,554,629,13.5,1377,1943,41.1
28,D & N Haveli,5,4,-20,1,1,0,1,0,-100,1,0,-100,2,4,100,1,3,200,1,1,0,1,1,0,0,0,NA,3,1,-66.7,18,20,11.1,54,27,-50,14,14,0,3,3,0,1,0,-100,0,0,NA,223,246,10.3,327,321,-1.8
29,Daman & Diu,7,4,-42.9,0,1,@,0,0,NA,1,1,0,5,2,-60,2,0,-100,3,2,-33.3,3,5,66.7,0,0,NA,3,0,-100,23,22,-4.3,34,33,-2.9,22,28,27.3,10,5,-50,4,4,0,5,1,-80,88,116,31.8,205,222,8.3
30,Delhi,521,487,-6.5,535,472,-11.8,389,83,-78.7,276,306,10.9,948,817,-13.8,687,580,-15.6,261,237,-9.2,35,27,-22.9,35,22,-37.1,294,326,10.9,1559,1465,-6,13872,13161,-5.1,325,219,-32.6,669,634,-5.2,1459,1318,-9.7,96,99,3.1,15289,17161,12.2,36302,36597,0.8
31,Lakshadweep,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,9,8,-11.1,18,17,-5.6,2,1,-50,1,0,-100,0,0,NA,0,0,NA,16,22,37.5,46,48,4.3
32,Pondicherry,29,35,20.7,31,13,-58.1,1,2,100,4,7,75,10,8,-20,10,5,-50,0,3,@,3,0,-100,0,0,NA,11,7,-36.4,210,105,-50,1695,1080,-36.3,96,59,-38.5,17,13,-23.5,25,23,-8,39,13,-66.7,2052,1914,-6.7,4223,3279,-22.4
Total (UTs),Total (UTs),582,554,-4.8,594,512,-13.8,396,92,-76.8,301,324,7.6,988,865,-12.4,720,615,-14.6,268,250,-6.7,42,33,-21.4,35,22,-37.1,315,348,10.5,2022,1885,-6.8,16306,15308,-6.1,485,367,-24.3,721,683,-5.3,1573,1447,-8,149,116,-22.1,18596,20519,10.3,43105,43074,-0.1
Total (All -India),Total (All -India),40105,38240,-4.7,31202,29725,-4.7,4621,3890,16.8,11708,12218,4.4,20518,19830,-3.4,13996,14058,0.4,6522,5772,-11.5,11308,9357,-17.3,1297,1102,-15,26444,24354,-7.9,127281,123020,-3.3,350582,320434,-8.6,104749,93838,-10.4,17926,17039,-4.9,29397,30079,2.3,5133,3728,-27.4,807071,903082,-0.4,1689341,1629936,-3.5
33,Ahmedabad,158,154,-2.5,163,119,-27,3,3,0,27,20,-25.9,205,174,-15.1,164,128,-22,41,46,12.2,35,29,-17.1,0,0,NA,131,118,-9.9,953,879,-7.8,4935,4353,-11.8,390,279,-28.5,462,488,5.6,576,536,-6.9,40,25,-37.5,11797,10322,-12.5,19875,17499,-12
34,Bangalore,151,163,7.9,205,310,51.2,2,3,50,27,48,77.8,84,111,32.1,30,40,33.3,54,71,31.5,43,27,-37.2,0,2,@,172,486,182.6,1830,2510,37.2,7793,7239,-7.1,618,342,-44.7,262,294,12.2,716,936,30.7,2056,1010,-50.9,12288,12996,5.8,26247,26479,0.9
35,Bhopal,116,55,-52.6,135,132,-2.2,20,9,-22,44,39,-11.4,24,42,75,24,42,75,0,0,NA,268,8,-97,3,0,-100,77,120,55.8,493,495,0.4,1089,1211,11.2,244,65,-73.4,21,10,-52.4,89,59,-33.7,12,7,-41.7,4824,3532,-26.8,7459,5784,-22.5
36,Bombay,487,687,41.1,289,354,22.5,5,7,40,104,131,26,341,220,-35.5,154,104,-32.5,187,116,-38,139,117,-15.8,52,39,-25,1219,824,-32.4,2708,2855,5.4,15977,13470,-15.7,446,772,73.1,729,559,-23.3,1181,1054,-10.8,96,152,58.3,17206,14446,-16,40979,35687,-12.9
37,Calcutta,83,70,-15.7,144,118,-18.1,23,12,-47.8,38,33,-13.2,132,123,-6.8,91,96,5.5,41,27,-34.1,39,38,-2.6,15,29,93.3,160,163,1.9,345,228,-33.9,6536,5405,-17.3,624,467,-25.2,346,294,-15,638,650,1.9,31,104,235.5,4956,4472,-9.8,14110,12206,-13.5
38,Coimbatore,27,16,-40.7,33,24,-27.3,0,0,NA,1,0,-100,10,10,0,10,8,-20,0,2,@,2,3,50,0,0,NA,15,21,40,285,263,-7.7,1242,1163,-6.4,349,235,-32.7,34,18,-47.1,58,50,-13.8,95,73,-23.2,1470,1370,-6.8,3621,3246,-10.4
39,Delhi,418,396,-5.3,466,401,-13.9,357,57,-84,236,270,14.4,846,727,-14.1,627,518,-17.4,219,209,-4.6,27,24,-11.11,31,18,-41.9,258,277,7.4,1400,1292,-7.7,13190,12560,-4.8,266,186,-30.1,630,577,-8.4,1408,1274,-9.5,95,98,3.2,13427,15642,16.5,33055,33799,2.3
40,Hyderabad,153,103,-32.7,140,107,-23.6,6,7,16.7,41,43,4.9,103,76,-26.2,46,25,-45.7,57,51,-10.5,28,14,-50,0,0,NA,126,114,-9.5,1344,1180,-12.2,3594,3374,-6.1,267,170,-36.3,83,65,-21.7,424,448,5.7,130,12,-90.8,3867,3452,-10.7,10306,9165,-11.1
41,Indore,93,67,-28,204,155,-24,0,0,NA,32,21,-34.4,36,28,-22.2,36,28,-22.2,0,0,NA,4,2,-50,2,0,-100,89,99,11.2,1108,801,-27.7,2881,2336,-18.9,81,73,-9.9,40,24,-40,65,80,23.1,0,0,NA,6178,4708,-23.8,10813,8394,-22.4
42,Jaipur,47,49,4.3,60,35,-41.7,1,3,200,27,28,3.7,144,169,17.4,130,151,16.2,14,18,28.6,0,0,NA,2,0,-100,77,76,-1.3,566,618,9.2,2339,2179,-6.8,1265,1244,-1.7,166,139,-16.3,466,479,2.8,64,71,10.9,4189,4345,3.7,9413,9435,0.2
43,Kanpur,286,271,-5.2,263,259,-1.5,27,21,-22.2,38,31,-18.4,207,185,-10.6,58,105,81,149,80,-46.3,51,34,-33.3,67,14,-79.1,225,240,6.7,707,641,-9.3,2119,1909,-9.9,461,319,-30.8,333,299,-10.2,286,276,-3.5,77,149,93.5,2965,2489,-16.1,8112,7137,-12
44,Kochi,21,9,-57.1,16,11,-31.3,0,1,@,10,5,-50,8,5,-37.5,5,3,-40,3,2,-33.3,3,0,-100,0,0,NA,11,11,0,319,281,-11.9,266,302,13.5,189,178,-5.8,21,19,-9.5,96,98,2.1,4,3,-25,2356,2477,5.1,3320,3400,2.4
45,Lucknow,112,103,-8,151,155,2.6,15,18,20,46,40,-13,102,85,-16.7,18,5,-72.2,84,80,-4.8,16,24,50,7,8,14.3,119,158,32.8,760,821,8,2784,2584,-7.2,234,230,-1.7,234,204,-12.8,305,333,9.2,30,11,-63.3,2769,2172,-21.6,7684,6946,-9.6
46,Ludhiana,69,26,-62.3,73,31,-57.5,8,3,-62.5,6,3,-50,25,11,-56,14,8,-42.9,11,3,-72.7,1,1,0,8,6,-25,4,4,0,99,97,-2,121,125,3.3,3,1,-66.7,11,11,0,26,9,-65.4,0,4,@,305,314,3,759,646,-14.9
47,Madras,106,100,-5.7,169,265,56.8,7,3,-57.1,17,17,0,35,12,-65.7,35,12,-65.7,0,0,NA,4,1,-75,0,0,NA,116,71,-38.8,667,530,-20.5,5464,4393,-19.6,174,118,-32.2,188,263,39.9,516,368,-28.7,323,107,-66.9,5388,2688,-50.1,13174,8936,-32.2
48,Madurai,36,26,-27.8,54,20,-63,0,0,NA,1,4,300,18,21,16.7,18,21,16.7,0,0,NA,0,0,NA,0,0,NA,17,24,41.2,227,181,-20.3,1092,871,-20.2,84,109,29.8,17,13,-23.5,61,44,-27.9,103,106,2.9,1665,1516,-8.9,3375,2935,-13
49,Nagpur,131,110,-16,47,55,17,1,3,200,48,53,10.4,79,71,10.1,65,59,-9.2,14,12,-14.3,23,6,-73.9,2,3,50,342,348,1.8,876,915,4.5,3645,3452,-5.3,182,124,-31.9,124,121,-2.4,195,225,15.4,45,8,-82.2,4676,4545,-2.8,10416,10039,-3.6
50,Patna,192,161,-16.1,301,251,-16.6,26,21,-19.2,21,15,-28.6,111,96,-13.5,33,22,-33.3,78,74,-5.1,24,16,-33.3,9,8,-11.1,218,156,-28.4,400,401,0.3,2101,1922,-8.5,185,260,40.5,99,141,42.4,159,101,-36.5,0,2,@,3389,2195,-35.2,7235,5746,-20.6
51,Pune,105,71,-32.4,39,68,74.4,2,3,50,51,47,-7.8,65,58,-10.8,53,36,32.1,12,22,83.3,16,6,-62.5,5,2,-60,114,124,8.8,1001,898,-10.3,3190,2692,-15.6,171,85,-50.3,84,70,-16.7,175,246,40.6,30,17,-43.3,6348,5438,-14.3,11396,9825,-13.8
52,Surat,162,89,-45.1,58,49,-15.5,1,1,0,17,14,-17.6,52,49,-5.8,31,35,12.9,21,14,-33.3,138,29,-79,0,0,NA,58,60,3.4,387,411,6.2,1472,1421,-3.5,405,167,-58.8,76,61,-19.7,230,162,-29.6,4,1,-75,1807,2022,11.9,4867,4536,-6.8
53,Vadodara,52,41,-21.2,31,13,-58.1,2,2,0,4,11,175,50,36,-28,36,34,-5.6,14,2,-85.7,9,3,-66.7,0,0,NA,38,21,-44.7,445,348,21.8,1960,1368,-30.2,348,318,-8.6,149,112,-24.8,282,215,-23.8,9,11,22.2,3780,2672,-29.3,7159,5171,-27.8
54,Varanasi,72,62,-13.9,103,131,27.2,26,8,-69.2,8,12,50,45,54,20,43,41,-4.7,2,13,550,14,10,-28.6,4,8,100,75,60,-20,324,245,-24.4,876,727,-17,147,101,-31.3,91,76,-16.5,72,77,6.9,0,27,@,1137,976,-14.2,2994,2574,-14
55,Vishakhapatnam,31,25,-19.4,31,17,-45.2,1,3,200,16,12,25,5,20,300,5,13,160,0,7,@,4,1,-75,0,0,NA,42,30,-28.6,458,384,-16.2,1286,1130,-12.1,67,18,-73.1,60,50,-16.7,119,146,22.7,10,19,90,1768,1934,9.4,3898,3789,-2.8
