SL. No.,State/UT/City,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs & Psychotropic Substances Act - Incidence,Narcotic Drugs & Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosive & Explosive Substances Act - Incidence,Explosive & Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection Of Civil Rights Act - Incidence,Protection Of Civil Rights Act - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Actvites Act - Incidence,Terrorist & Disruptive Actvites Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Other SLL Crimes - Incidence,Other L & SL Crimes - Rate,Total Cognizable Crimes Under L & SL - Incidence,Total Cognizable Crimes Under L & SL - Rate
11,Kerala,126,0.4,312,1,1024,3.4,3525,11.7,517,1.7,237,0.8,66,0.2,42,0.1,9,0,19,0.1,63,0,90,0.3,0,0,0,0,0,0,5385,17.9,11415,38
12,Madhya Pradesh,5799,8.4,1453,2.1,18524,26.7,16771,24.2,5,0,681,1,5,0,12669,18.3,12,0,156,0.2,4,0,187,0.3,35,0.1,0,0,94,0.1,188858,272.1,245253,353.3
13,Maharashtra,1696,2.1,1180,1.4,37936,45.9,0,0,128742,155.8,177,0.2,503,0.6,3772,4.6,139,0.2,720,0.9,541,0,438,0.5,112,0.1,0,0,4,0,258722,313.1,434682,526.1
14,Manipur,46,2.4,212,10.9,46,2.4,1754,90.4,0,0,13,0.7,0,0,0,0,1,0.1,0,0,0,0,1,0.1,51,2.6,0,0,0,0,83,4.3,2207,113.8
15,Meghalaya,44,2.4,18,1,51,2.7,38,2,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,33,1.8,192,10.3
16,Mizoram,11,1.5,158,21.4,5,0.7,0,0,0,0,0,0,0,0,0,0,88,11.9,0,0,0,0,0,0,1,0.1,0,0,0,0,185,25,448,60.5
17,Nagaland,49,3.8,218,16.8,0,0,31,2.4,0,0,5,0.4,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,18.3,544,41.8
18,Orissa,228,0.7,138,0.4,791,2.4,690,2.1,6,0,137,0.4,7,0,14,0,0,0,53,0.2,0,0,84,0.3,0,0,0,0,105,0.3,1456,4.4,3709,11.2
19,Punjab,1968,9.4,1605,7.6,1551,7.4,10018,47.7,0,0,92,0.4,5,0,168,0.8,40,0.2,0,0,42,0.2,125,0.6,4,0,0,0,0,0,239,1.1,15857,75.5
20,Rajasthan,2114,4.6,818,1.8,3001,6.5,3699,8,0,0,267,0.6,86,0.2,1071,2.3,15,0,150,0.3,97,0.2,236,0.5,1,0,0,0,0,0,6567,14.2,18122,39.2
21,Sikkim,18,4.1,11,2.5,0,0,0,0,0,0,2,0.5,0,0,0,0,37,8.4,0,0,0,0,3,0.7,0,0,0,0,0,0,329,74.8,400,90.9
22,Tamil Nadu,116,0.2,2611,4.6,25239,44.1,0,0,330759,578.4,296,0.5,8265,14.5,630,1.1,61,0.1,862,1.5,564,1,26,0,2,0,0,0,392,0.7,530799,928.1,900622,1574.8
23,Tripura,85,2.9,11,0.4,4,0.1,11,0.4,0,0,31,1.1,11,0.4,0,0,0,0,0,0,7,0.2,48,1.6,0,0,0,0,0,0,1,0,209,7.2
24,Uttar Pradesh,41665,28.7,8699,6,6313,4.4,25904,17.9,0,0,2492,1.7,169,0.1,1368,0.9,4,0,1693,1.2,19,0,2003,1.4,56,0,0,0,563,0.4,276711,190.8,367659,253.5
25,West Bengal,995,1.4,413,0.6,2281,3.2,2295,3.2,51,0.1,190,0.3,36,0.1,1169,1.6,1203,1.7,0,0,130,0.2,1521,2.1,0,0,3,0,167,0.2,352865,497.9,363319,512.7
Total (States),Total (States),62008,7.1,20309,2.3,159575,18.3,91396,10.5,600255,68.9,6135,0.7,12279,1.4,24029,2.8,1717,0.2,5028,0.6,1548,0.2,6370,0.7,3706,0.4,18,0,2671,0.3,2757413,316.4,3754457,430.8
26,A & N Islands,0,0,1,0.3,16,5.2,1484,478.7,98,31.6,2,0.6,0,0,0,0,4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,435,140.3,2040,658.1
27,Chandigarh,38,5.4,11,1.5,72,10.1,115,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,0,0,0,0,54,7.6,292,41.1
28,D & N Haveli,2,1.3,0,0,3,2,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,33,22
29,Daman & Diu,0,0,0,0,3,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.6,7,6.4
30,Delhi,3477,34,761,7.4,3049,29.8,3582,35,0,0,26,0.3,134,1.3,50,0.5,33,0.3,0,0,0,0,93,0.9,35,0.3,0,0,8,0.1,899,8.8,12147,118.9
31,Lakshadweep,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,8.3,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3,10,16.7
32,Pondicherry,7,0.8,5,0.6,82,9.6,0,0,0,0,0,0,83,9.8,0,0,2,0.2,12,1.4,0,0,70,8.2,0,0,0,0,0,0,34391,4046,34652,4076.7
Total (UTs),Total (UTs),3524,28.4,778,8.3,3225,26,5182,41.6,101,0.8,28,0.2,217,1.8,50,0.4,44,0.4,12,0.1,0,0,163,1.3,37,0.3,0,0,8,0.1,35812,288.8,49181,396.8
Total (All -India),Total (All -India),65532,7.4,21087,2.4,162800,18.4,96578,10.9,600356,67.9,6163,0.7,12496,1.4,24079,2.7,1761,0.2,5040,0.6,1548,0.2,6533,0.7,3743,0.4,18,0,2679,0.3,2793225,316,3803638,430.4
33,Ahmedabad,51,1.4,19,0.5,1768,50.2,0,0,10775,306.1,19,0.5,0,0,1,0,2,0.1,11,0.3,0,0,97,2.8,0,0,1,0,0,0,8636,245.3,21380,607.4
34,Bangalore,9,0.2,42,0.9,299,6.7,100,2.2,0,0,9,0.2,456,10.2,0,0,22,0.5,31,0.7,5,0.1,53,1.2,0,0,0,0,197,4.4,311234,6947.3,312457,6974.5
35,Bhopal,465,38.4,26,2.1,524,43.3,229,18.9,0,0,84,6.9,0,0,0,0,2,0.2,1,0.1,0,0,3,0.2,11,0.9,0,0,0,0,24685,2040.1,26030,2151.2
36,Bombay,263,1.9,116,0.8,4921,35.4,0,0,7922,57,29,0.2,473,3.4,0,0,40,0.3,5,0,529,3.8,60,0.4,108,0.8,0,0,0,0,229675,1651.2,244141,1755.1
37,Calcutta,105,0.9,231,2,1777,15.4,2171,18.9,0,0,40,0.3,29,0.3,16,0.1,0,0,0,0,0,0,71,0.6,0,0,0,0,0,0,348663,3029.2,353103,3067.8
38,Coimbatore,4,0.3,145,12.6,176,15,0,0,602,52.3,3,0.3,525,45.7,0,0,1,0.1,4,0.3,0,0,3,0.3,2,0.2,0,0,0,0,21640,1881.7,23105,2009.1
39,Delhi,3190,34.6,728,7.9,2934,31.9,3211,34.9,0,0,25,0.3,134,1.5,50,0.5,33,0.4,0,0,0,0,82,0.9,30,0.3,0,0,6,0.1,847,9.2,11270,122.4
40,Hyderabad,152,3.1,25,0.5,540,11,1237,25.1,0,0,7,0.1,15,0.3,0,0,0,0,0,0,0,0,0,0,22,0.4,0,0,8,0.2,403994,8211.3,406000,8252
41,Indore,411,34.5,27,2.3,491,41.3,341,28.7,0,0,20,1.7,0,0,0,0,7,0.6,0,0,0,0,10,0.8,0,0,0,0,0,0,38,3.2,1345,113
42,Jaipur,147,8.8,31,1.9,358,21.4,156,9.3,0,0,3,0.2,11,0.7,0,0,0,0,54,3.2,1,0.1,23,1.4,0,0,0,0,0,0,202,12.1,986,59
43,Kanpur,1776,83.4,618,29,265,12.4,639,30,0,0,112,5.3,18,0.8,1,0,2,0.1,0,0,1,0,53,2.5,1,0,0,0,2,0.1,12546,589,16034,752.8
44,Kochi,2,0.2,57,4.5,13,1,81,6.3,0,0,1,0.1,15,1.2,0,0,2,0.2,2,0.2,4,0.3,7,0.5,0,0,0,0,0,0,195,15.2,379,29.6
45,Lucknow,1097,58.4,197,10.5,120,6.4,199,10.6,0,0,23,1.2,1,0.1,2,0.1,0,0,18,1,1,0.1,22,1.2,2,0.1,0,0,10,0.5,1779,94.6,3471,184.6
46,Ludhiana,317,26.9,108,9.2,293,24.8,270,22.9,0,0,2,0.2,0,0,27,2.3,0,0,0,0,0,0,17,1.4,0,0,0,0,0,0,13,1.1,1047,88.7
47,Madras,3,0.1,199,3.5,3310,57.8,0,0,7597,132.6,4,0.1,2391,41.7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,180,3.1,60264,1051.7,73951,1290.6
48,Madurai,0,0,195,17.3,471,41.7,0,0,986,87.3,2,0.2,404,35.8,0,0,58,5.1,5,0.4,0,0,1,0.1,0,0,0,0,5,0.4,68792,6087.8,70919,6276
49,Nagpur,467,26.5,1582,89.9,62,3.5,0,0,4204,238.9,3,0.2,1,0.1,2,0.1,0,0,15,0.9,3,0.2,9,0.5,0,0,0,0,0,0,2738,155.6,9086,516.3
50,Patna,187,16.3,4,0.3,62,5.4,63,5.5,0,0,22,1.9,5,0.4,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,23,2,7,0.6,374,32.5
51,Pune,60,2.2,56,2.1,351,12.9,0,0,5617,205.8,28,1,3,0.1,0,0,98,3.6,0,0,0,0,4,0.1,0,0,0,0,0,0,3011,110.3,9228,338
52,Surat,76,4.4,5,0.3,434,25.4,0,0,21817,1275.8,5,0.3,4,0.2,0,0,6,0.4,0,0,0,0,4,0.2,0,0,0,0,0,0,5850,342.1,28201,1649.2
53,Vadodara,15,1.2,16,1.3,496,40,0,0,5414,436.6,7,0.6,0,0,0,0,2,0.2,2,0.2,0,0,2,0.2,0,0,0,0,0,0,3024,243.9,8978,724
54,Varanasi,552,50.2,688,62.5,92,8.4,218,19.8,0,0,138,12.5,0,0,0,0,0,0,11,1,0,0,52,4.7,0,0,0,0,4,0.4,1055,95.9,2810,255.5
55,Vishakhapatnam,0,0,5,0.4,1721,143.4,87,7.3,0,0,3,0.3,86,7.2,0,0,2,0.2,13,1.1,0,0,0,0,0,0,0,0,7,0.6,40254,3354.5,42178,3514.8
