SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Eastablishments - Number,Commercial Eastablishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
27,Chandigarh,673,64.2,0,0,0,0,0,0,4,0,45,5,184,20.4,906,89.6
28,D & N Haveli,10,0.7,0,0,3,0,0,0,0,0,0,0,14,1.1,27,1.8
29,Daman & Diu,7,0.2,0,0,0,0,0,0,0,0,2,0.1,24,3.2,33,3.5
30,Delhi,7863,1728.3,767,52.8,0,0,317,1.5,0,0,516,3.6,3698,425,13161,2211.2
31,Lakshadweep,3,0.2,0,0,0,0,0,0,0,0,0,0,14,0.5,17,0.7
32,Pondicherry,92,4.2,0,0,0,0,0,0,0,0,13,0.5,975,31.7,1080,36.5
Total (UTs),Total (UTs),8677,1798.7,767,52.8,3,0,317,1.5,4,0,580,9.8,4960,484.5,15308,2347.4
Total (All -India),Total (All -India),136360,11549.8,9461,1003.9,242,31,16032,881.4,169,31.1,13975,2293.9,144195,16511.7,320434,32303.8
33,Ahmedabad,606,79.5,8,1.2,0,0,0,0,8,1.7,283,31.6,3448,407.9,4353,521.9
34,Bangalore,2942,225.4,9,2.7,0,0,0,0,8,0.4,321,95.2,3959,240.2,7239,564
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,2697,1603.2,317,87.1,0,0,0,0,8,1.9,972,1190.4,9476,5313,13470,8175.6
37,Calcutta,2557,334.8,0,0,0,0,0,0,0,0,716,98.5,2132,306.3,5405,739.5
38,Coimbatore,432,14.3,0,0,0,0,0,0,0,0,34,2.2,697,42.1,1163,58.6
39,Delhi,7452,1625.2,709,49.7,0,0,293,1.4,0,0,486,3.5,3620,430.4,12560,2110.1
40,Hyderabad,1898,182.7,1069,84,0,0,0,0,0,0,218,36.6,189,22.8,3374,326
41,Indore,1224,8.7,18,1,0,0,0,0,0,0,112,1.1,982,151.8,2336,162.7
42,Jaipur,778,123.2,0,0,0,0,0,0,0,0,298,4.7,1103,76.8,2179,204.7
43,Kanpur,407,48,1501,99.7,0,0,0,0,0,0,0,0,1,0,1909,147.7
44,Kochi,111,7.9,1,0,13,3.1,0,0,0,0,23,2.6,154,34.3,302,47.9
45,Lucknow,1306,103.2,775,21.3,0,0,2,0,0,0,0,0,501,59.5,2584,184
46,Ludhiana,74,11.8,4,6.8,0,0,3,0.1,0,0,9,2,35,42.9,125,63.5
47,Madras,1298,83.6,0,0,0,0,0,0,0,0,97,1.2,2998,157.4,4393,242.2
48,Madurai,418,27.4,0,0,0,0,0,0,0,0,163,9.2,290,10.4,871,47
49,Nagpur,1372,107.9,0,0,0,0,0,0,0,0,996,31.1,1084,60.1,3452,199.1
50,Patna,1755,109.8,0,0,0,0,0,0,0,0,0,0,167,9,1922,118.8
51,Pune,384,31.4,0,0,0,0,0,0,0,0,92,8.8,2216,298.9,2692,339.1
52,Surat,157,17.9,1,0.2,2,0.2,2,0,8,2.5,66,12.9,1185,152.8,1421,186.6
53,Vadodara,422,34.9,0,0,0,0,0,0,0,0,198,16,748,65.7,1368,116.6
54,Varanasi,444,31.2,0,0,0,0,0,0,0,0,0,0,283,44.2,727,75.4
55,Vishakhapatnam,375,23.2,0,0,0,0,2,0,0,0,151,10.5,602,49.7,1130,83.5
