SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
11,State,Maharashtra,133037,4484,2955,140,27,10,303,3,633,62,4254,148,2990,83,16399,596,34530,1392,23188,565,2959,19,1540,35,8,NA
12,State,Manipur,3467,NA,54,NA,16,NA,15,NA,245,NA,32,NA,15,NA,225,NA,655,NA,719,NA,142,NA,150,NA,NA,NA
13,State,Meghalaya,1989,21,50,6,1,NA,12,NA,22,NA,22,NA,15,NA,243,NA,380,4,209,3,21,NA,9,NA,NA,NA
14,State,Nagaland,865,7,62,NA,1,NA,10,NA,18,NA,45,NA,56,NA,112,NA,215,7,16,NA,24,NA,30,NA,NA,NA
15,State,Orissa,34784,783,618,25,90,NA,66,NA,63,2,731,1,338,21,4159,110,10392,433,9160,16,303,10,517,3,1,NA
16,State,Punjab,19261,390,2039,38,336,5,166,1,492,24,39,NA,100,NA,894,7,1510,23,302,NA,391,NA,330,5,5,0
17,State,Rajasthan,70116,1464,1549,26,89,NA,145,NA,1284,33,455,NA,1046,9,5401,51,7623,168,24665,471,404,2,576,5,4,NA
18,State,Tamil Nadu,101004,3125,2132,61,19,1,73,NA,292,9,168,NA,131,3,5395,62,15201,311,43944,529,693,4,733,8,49,NA
19,State,Tripura,2816,5,43,2,1,NA,16,NA,22,NA,59,NA,92,NA,557,2,909,1,892,NA,6,NA,219,NA,NA,NA
20,State,Uttar Pradesh,202749,1145,11145,145,2415,22,871,11,3874,163,18785,26,6845,5,19015,97,28304,173,62696,159,1645,2,1141,4,55,NA
21,State,West Bengal,98283,8622,2341,32,905,20,380,1,1142,18,8336,20,1560,NA,6748,10,16544,168,43714,143,1117,2,966,1,20,NA
Total (States),State,Total (States),1202989*,30050*,39765,771,4686,73,3700,16,12148,455,43283,211,18279,175,102412,1746,205791,4975,389238,7243,12896,100,10487,168,303,3
22,UT,A & N Islands,476,17,2,NA,NA,NA,NA,NA,8,2,NA,NA,4,2,56,NA,65,1,109,NA,11,NA,3,NA,NA,NA
23,UT,Chandigarh,3959,32,3,NA,NA,NA,13,NA,35,3,NA,NA,2,NA,86,NA,278,2,57,NA,27,NA,34,NA,NA,NA
24,UT,D & N Haveli,84,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,5,NA,27,1,32,2,6,NA,5,NA,NA,NA
25,UT,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,UT,"Goa, Daman & Diu",2026,32,25,NA,NA,NA,3,NA,9,NA,5,NA,19,NA,318,1,460,11,486,10,30,NA,32,NA,NA,NA
27,UT,Lakshadweep,15,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,2276,543,4,1,NA,NA,2,5,4,NA,NA,NA,4,NA,109,NA,324,23,749,NA,18,NA,16,NA,3,NA
Total (UTs),UT,Total (UTs),8836,627,43,1,NA,NA,19,5,56,5,5,NA,34,2,574,1,1163,38,1433,12,92,NA,90,NA,3,NA
Total (All-India),Total (All-India),Total (All-India),1211825*,30677*,39808,772,4686,73,3719,21,12204,460,43288,211,18313,177,102986,1747,206954,5013,390671,7255,12988,100,10577,168,306,3
1,City,Ahmedabad,5137,79,80,3,NA,NA,9,NA,74,3,106,NA,17,NA,341,4,897,67,957,17,97,NA,125,6,5,NA
2,City,Bangalore,4602,94,23,NA,NA,NA,3,NA,13,NA,NA,NA,22,NA,411,9,1426,38,721,NA,45,7,83,1,3,NA
3,City,Bombay,23865,446,241,16,2,1,37,NA,180,22,192,2,502,NA,1873,9,6549,198,2685,9,675,11,489,9,3,NA
4,City,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,City,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,City,Hyderabad,3006,179,31,NA,2,NA,5,NA,14,NA,8,NA,21,NA,473,NA,1718,34,164,NA,23,NA,23,NA,1,NA
7,City,Kanpur,4214,29,302,4,39,2,25,NA,160,6,133,NA,237,NA,426,NA,740,8,901,2,75,NA,108,NA,5,NA
8,City,Madras,12375,1217,41,1,NA,NA,3,NA,8,NA,16,NA,22,2,300,2,2705,61,4846,16,233,1,453,1,6,NA
Total (Cities),City,Total (Cities),53199,2044,718,24,43,3,82,NA,449,31,455,2,821,2,3824,24,14035,406,10274,44,1148,19,1281,17,23,NA
