SL. No.,Category,States/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Explosives & Explosive Substances Act - Incidence (I),Explosives & Explosive Substances Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
23,UT,Chandigarh,10,3.7,76,28.4,126,47,191,71.3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,3,1.1,3,1.1,424,158.21,841,313.8
24,UT,D & N Haveli,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,6.42,6,7.69
25,UT,Delhi,1079,23.9,241,5.34,1464,32.43,2426,53.73,NA,NA,2,0.04,NA,NA,164,3.63,NA,NA,24,0.53,219,4.85,735,16.28,6354,140.73
26,UT,"Goa, Daman & Diu",9,1,2,0.22,2622,291.66,NA,NA,NA,NA,NA,NA,NA,NA,14,1.56,NA,NA,NA,NA,7,0.78,177,16.69,2831,314.91
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,NA,NA,NA,NA,891,180.36,57,11.54,NA,NA,2,0.4,NA,NA,23,4.66,1163,235.43,NA,NA,1,0.2,4134,836.84,6271,1269.43
Total (UTs),UT,Total (UTs),1100,15.17,322,4.44,5115,70.52,3518,48.77,NA,NA,12,0.17,NA,NA,204,2.81,1177,16.23,27,0.37,230,3.17,5545,76.45,17250,269.19
Total (All-India),Total (All-India),Total (All-India),31709,5.52,11451,1.99,194833,33.93,143220,24.94,65,0.01,1523,0.27,214171,37.3,11816,2.06,581211,101.23,329,0.06,31042,5.41,1259548,219.35,2480918,427.91
1,City,Ahmedabad,7,0.41,NA,NA,3103,180.3,NA,NA,NA,NA,1,0.06,4799,278.85,4,0.23,3,0.17,NA,NA,NA,NA,4471,259.79,12388,719.81
2,City,Bangalore,NA,NA,4,0.24,597,35.92,190,11.43,NA,NA,3,0.18,NA,NA,630,37.91,472,28.4,NA,NA,NA,NA,6704,403.37,8600,517.45
3,City,Bombay,4,0.06,3,0.04,11487,175.13,NA,NA,NA,NA,511,7.79,39563,603.19,236,3.6,11856,180.76,NA,NA,NA,NA,271140,4133.86,334800,5104.43
4,City,Calcutta,36,1.12,3,0.09,5126,160.09,2403,75.05,NA,NA,47,1.47,NA,NA,61,1.91,2992,93.44,NA,NA,NA,NA,87791,2741.76,98459,3074.92
5,City,Delhi,1063,25.96,227,5.54,1456,35.56,2214,54.07,NA,NA,2,0.05,NA,NA,164,4,NA,NA,22,0.54,219,5.35,663,16.19,6030,147.26
6,City,Hyderabad,4,0.23,NA,NA,1318,74.67,4049,229.41,NA,NA,9,0.51,NA,NA,491,27.82,23233,1316.32,NA,NA,NA,NA,78382,4440.9,107486,6089.86
7,City,Kanpur,1523,123.32,87,7.04,280,22.67,622,50.36,NA,NA,3,0.24,NA,NA,13,1.05,1357,109.88,NA,NA,1,0.08,2246,181.86,6132,496.52
8,City,Madras,2,0.07,13,0.48,4865,179.72,6178,228.22,NA,NA,10,0.37,284,10.49,1454,53.71,60132,2221.35,NA,NA,NA,NA,296058,10936.76,368996,13631.18
Total (Cities),City,Total (Cities),2639,11.5,337,1.47,28232,123.04,15656,68.23,NA,NA,586,2.55,44646,194.57,3053,13.31,100045,436,22,1,220,0.96,747455,3257.45,942891,4109.17
