SL. No.,Category,States/U.Ts./Cities,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Other,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribes,By Community - Other,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/Hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardian,By Family Background - Homeless,By Family Background - Total,Economic Set-Up - Lower Income (Below Rs. 150/PM),Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),Economic Set-Up - Upper Middle Income (Above Rs.500 But Below Rs. 1000 P.M.),Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),Economic Set-Up - Total,Recidivism - New Delinquent,Recidivism - Old Delinquent,Recidivism - Total
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,236,24,NA,73,NA,333,173,NA,160,333,241,60,32,NA,333,234,43,56,333,309,24,NA,NA,333,224,109,333
Total (UTs),UT,Total (UTs),1369,68,201,224,451,2313,315,34,1952,2313,1255,484,198,376,2313,1725,157,431,2313,1837,409,67,NA,2313,2141,172,2313
Total (All-India),Total (All-India),Total (All-India),84064,22257,1514,4949,125338,125338,36737,14721,73868,125338,60513,43364,14416,7045,125338,89705,24489,11144,125338,102422*,16523*,3851*,452*,123248*,104026,21312,125338
1,City,Ahmedabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,City,Bangalore,809,431,NA,124,1376,1376,175,3,1198,1376,990,218,143,25,1376,484,437,455,1376,1342,23,11,NA,1376,1372,4,1376
3,City,Bombay,1594,1116,13,159,3325,3325,896,34,2395,3325,1532,1387,196,210,3325,2046,760,519,3325,2346,929,44,6,3325,2534,791,3325
4,City,Calcutta,173,75,NA,2,250,250,NA,NA,NA,250,43,103,92,12,250,173,62,15,250,175,73,2,NA,250,211,39,250
5,City,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,City,Hyderabad,2058,2018,15,25,4116,4116,NA,NA,NA,4116,1510,1303,1292,11,4116,3985,131,NA,4116,3996,120,NA,NA,4116,4111,5,4116
7,City,Kanpur,120,24,NA,3,147,147,NA,NA,147,147,48,39,48,12,147,131,16,NA,147,88,59,NA,NA,147,147,NA,147
8,City,Madras,8316,820,13,862,11058,11058,5508,2513,3037,11058,6405,3003,854,796,11058,8866,1730,462,11058,10367,653,38,NA,11058,10203,855,11058
Total (Cities),City,Total (Cities),13070,4484,41,1175,20272,20272,6579,2550,6777,20272,10528,6053,2625,1066,20272,15685,3136,1451,20272,18314,1857,95,6,20272,18578,1694,20272
