SL.No.,State/UT,Area (in Sqr.Kms.),Estimated Mid-Year Population (in 000),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constable to Constable,Actual Police Strength (of Ranks) - Teeth to Tail Ratio ,Actual Police Strength of I.Os. (Insp.+S.I. + A.S.I.) (Civil Police),No. of Policemen per 100 Sqr. Kms. Of Area,No. of Policemen per - 1000 of Population,No. of Policemen per - 100000 of Population,No. of IPC Cases Per Civil Policeman,Work load of I.Os - IPC,Work load of I.Os - SLL,Work load of I.Os - Total,Total Police Expenditure (Rs. In Crores),Units Cost per Policemen (Per Annum)
16,Mizoram,21081,814,4546,463,5009,2418,3559,5977,40.5,878,5099,1:06,616,28.4,7.3,734,1.9,7.4,0.8,8.1,42.14,70504
17,Nagaland,16579,1431,2726,1112,3838,7642,9355,16997,45,1206,15791,1:13,710,102.5,11.9,1188,0.4,3.8,1.6,5.4,109.91,64664
18,Orissa,155707,34867,62199,3403,65602,26445,7216,33661,78.6,5605,28056,1:05,4930,21.6,1,97,2.4,12.6,0.7,13.3,177.18,52637
19,Punjab,50362,21921,17878,23185,41063,50372,17903,68275,73.8,7513,60762,1:08,5952,135.6,3.1,311,0.4,3,3.9,6.9,436.92,63994
20,Rajasthan,342239,49142,165967,19926,185893,47600,10678,58278,81.7,5730,52548,1:09,5002,17,1.2,119,3.5,33.2,4,37.2,379.42,65105
21,Sikkim,7096,482,901,559,1460,2454,837,3291,74.6,320,2971,1:09,240,46.4,6.8,683,0.4,3.8,2.3,6.1,19.45,59101
22,Tamil Nadu,130058,58832,181487,698438,879925,65033,9595,74628,87.1,7025,67603,1:10,5872,57.4,1.3,127,2.8,30.9,118.9,149.9,507.91,68059
23,Tripura,10486,3117,5366,247,5613,6780,6020,12800,53,1268,11532,1:09,1081,122.1,4.1,411,0.8,5,0.2,5.2,5818,45453
24,Uttar Pradesh,294411,152618,196624,385668,582292,123941,33293,157234,78.8,13375,143859,1:11,11119,53.4,1,103,1.6,17.7,34.7,52.4,866.85,55131
25,West Bengal,88752,74429,98757,578971,677728,57536,21612,79148,72.7,13033,66115,1:05,11681,89.2,1.1,106,1.7,8.5,49.6,58,384.24,48547
Total (States),Total (States),3155441,918191,2057911,4804712,6862623,909508,279980,1189488,76.5,129150,1060338,1:08,107301,37.7,1.3,130,2.3,19.2,44.8,64,7360.91,61883
26,A & N Islands,8249,340,518,2515,3033,2003,509,2512,79.7,340,2172,1:06,307,30.5,7.4,739,0.3,1.7,8.2,9.9,15.08,60032
27,Chandigarh,114,811,2536,124,2660,2503,1517,4020,62.3,455,3565,1:08,394,3526.3,5,496,1,6.4,0.3,6.8,31.76,79005
28,D & N Haveli,491,160,493,37,530,224,0,224,100,11,213,1:19,9,45.6,1.4,140,2.2,54.8,4.1,58.9,1.25,55804
29,Daman & Diu,112,113,315,11,326,251,0,251,100,24,227,1:09,21,2241.1,2.2,222,1.3,15,0.5,15.5,1.56,62151
30,Delhi,1483,11356,102128,25959,128087,40697,10516,51213,79.5,8673,42540,1:05,7799,3453.3,4.5,451,2.5,13.1,3.3,16.4,284.76,55603
31,Lakshadweep,32,59,102,5,107,333,0,333,100,52,281,1:05,50,1040.6,5.6,564,0.3,2,0.1,2.1,4.12,123724
32,Pondicherry,492,900,2615,1081,3696,1101,881,1982,55.5,169,1813,1:11,112,402.8,2.2,220,2.4,23.3,9.7,33,11.71,59082
Total (UTs),Total (UTs),10973,13739,108707,29732,138439,47112,13423,60535,77.8,9724,50811,1:05,8692,551.7,4.4,441,2.3,12.5,3.4,15.9,350.24,57857
Total (All-India),Total (All-India),3166414,931930,2166618,4834444,7001062,956620,293403,1250023,76.5,138874,1111149,1:08,115993,39.5,1.3,134,2.3,18.7,41.7,60.4,7711.15,61688
