SL. No.,State/UT,Estimated Mid year Population (In Lakhs),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Contribution to All-India (P),Torture (Cruelty by Husband & His Relatives) - Incidence (I),Torture (Cruelty by Husband & His Relatives) - Rate (R),Torture (Cruelty by Husband & His Relatives) - Percentage Contribution to All-India (P),Molestation - Incidence (I),Molestation - Rate (R),Molestation - Percentage Contribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Contribution to All-India (P),Importing of Girls (Upto 21 Years) - Incidence (I),Importing of Girls (Upto 21 Years) - Rate (R),Importing of Girls (Upto 21 Years) - Percentage Contribution to All-India (P),Sati-Prevention Act - Incidence (I),Sati-Prevention Act - Rate (R),Sati-Prevention Act - Percentage Contribution to All-India (P),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Immoral Traffic (Prevention) Act - Percentage Contribution to All-India (P),Indecent Representation of Women (Prohibition) Act - Incidence (I),Indecent Representation of Women (Prohibition) Act - Rate (R),Indecent Representation of Women (Prohibition) Act - Percentage Contribution to All-India (P),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R),Dowry Prohibition Act - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
11,Kerala,313.2,389,1.2,2.6,149,0.5,1,25,0.1,0.5,1079,3.4,3.1,1166,3.7,4,705,0.1,0.7,0,0,0,0,0,NA,36,0.1,0.5,29,0.1,30.2,3,0,0.1,2916,9.3,2.5
12,Madhya Pradesh,734.9,3265,4.4,22,960,1.3,6.5,577,0.8,10.5,2493,3.4,7.1,6838,9.3,23.6,705,1,12.4,1,0,0.5,0,0,NA,18,0,0.2,0,0,0,102,0.1,3.9,14959,20.4,12.9
13,Maharashtra,875.5,1444,1.6,9.7,732,0.8,4.9,443,0.5,8,9156,10.5,26,3227,3.7,11.2,870,1,15.3,17,0,9.3,0,0,NA,615,0.7,8,43,0,44.8,20,0,0.8,16567,18.9,14.3
14,Manipur,20.8,14,0.7,0.1,59,2.8,0.4,0,0,0,2,0.1,0,19,0.9,0.1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,94,4.5,0.1
15,Meghalaya,20.1,33,1.6,0.2,13,0.6,0.1,1,0,0,0,0,0,24,1.2,0.1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,72,3.6,0.1
16,Mizoram,8.1,49,6,0.3,0,0,0,0,0,0,0,0,0,54,6.7,0.2,0,0,0,0,0,0,0,0,NA,1,0.1,0,0,0,0,0,0,0,104,12.8,0.1
17,Nagaland,14.3,9,0.6,0.1,27,1.9,0.2,0,0,0,2,0.1,0,4,0.3,0,1,0.1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,43,3,0
18,Orissa,348.7,617,1.8,4.2,451,1.3,3,178,0.5,3.2,861,2.5,2.4,1690,4.8,5.8,175,0.5,3.1,1,0,0.5,0,0,NA,15,0,0.2,0,0,0,175,0.5,6.6,4163,11.9,3.6
19,Punjab,219.2,178,0.8,1.2,166,0.8,1.1,180,0.8,3.3,225,1,0.6,129,0.6,0.4,1,0,0,21,0.1,11.5,0,0,NA,3,0,0,2,0,2.1,5,0,0.2,910,4.2,0.8
20,Rajasthan,491.4,1162,2.4,7.8,2485,5.1,16.7,349,0.7,6.3,3920,8,11.1,2583,5.3,8.9,44,0.1,0.8,1,0,0.5,0,0,NA,24,0,0.3,5,0,5.2,2,0,0.1,10575,21.5,9.1
21,Sikkim,4.8,9,1.9,0.1,8,1.7,0.1,0,0,0,0,0,0,47,9.8,0.2,0,0,0,0,0,0,0,0,NA,1,0.2,0,0,0,0,0,0,0,65,13.5,0.1
22,Tamil Nadu,588.3,327,0.6,2.2,858,1.5,5.8,112,0.2,2,353,0.6,1,1253,2.1,4.3,1514,2.6,26.7,0,0,0,0,0,NA,4491,7.6,58.3,0,0,0,324,0.6,12.2,9232,15.7,8
23,Tripura,31.2,90,2.9,0.6,43,1.4,0.3,19,0.6,0.3,66,2.1,0.2,94,3,0.3,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,313,10,0.3
24,Uttar Pradesh,1526.2,1854,1.2,12.5,2501,1.6,16.8,1983,1.3,36,3989,2.6,11.3,2526,1.7,8.7,118,0.1,2.1,36,0,19.8,0,0,NA,36,0,0.5,5,0,5.2,566,0.4,21.4,13614,8.9,11.8
25,West Bengal,744.3,855,1.1,5.8,786,1.1,5.3,77,0.1,1.4,3437,4.6,9.8,1254,1.7,4.3,22,0,0.4,2,0,1.1,0,0,NA,19,0,0.2,0,0,0,1,0,0,6453,8.7,5.6
Total (States),Total (States),9182,14340,1.6,96.6,13914,1.5,93.5,5378,0.6,97.6,35104,3.8,99.6,28202,3.1,97.5,5472,0.6,96.5,182,0,100,0,0,NA,7554,0.8,98,95,0,99,2642,0.3,99.8,112883,12.3,97.5
26,A & N Islands,3.4,7,2.1,0,2,0.6,0,0,0,0,5,1.5,0,9,2.6,0,2,0.6,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,25,7.4,0
27,Chandigarh,8.1,9,1.1,0.1,26,3.2,0.2,2,0.2,0,13,1.6,0,13,1.6,0,4,0.5,0.1,0,0,0,0,0,NA,3,0.4,0,0,0,0,0,0,0,70,8.6,0.1
28,D & N Haveli,1.6,3,1.9,0,3,1.9,0,0,0,0,8,5,0,7,4.4,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,21,13.1,0
29,Daman & Diu,1.1,1,0.9,0,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3,2.7,0
30,Delhi,113.6,484,4.3,3.3,925,8.1,6.2,132,1.2,2.4,114,1,0.3,694,6.1,2.4,189,1.7,3.3,0,0,0,0,0,NA,131,1.2,1.7,0,0,0,4,0,0.2,2673,23.5,2.3
31,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,9,2,0.2,0,5,0.6,0,1,0.1,0,2,0.2,0,14,1.6,0,4,0.4,0.1,0,0,0,0,0,NA,18,2,0.2,1,0.1,1,1,0.1,0,48,5.3,0
Total (UTs),Total (UTs),137.4,506,3.7,3.4,963,7,6.5,135,1,2.4,142,1,0.4,737,5.4,2.5,199,1.4,3.5,0,0,0,0,0,NA,152,1.1,2,1,0,1,5,0,0.2,2840,20.7,2.5
Total (All-India),Total (All-India),9319.4,14846,1.6,100,14877,1.6,100,5513,0.6,100,35246,3.8,100,28939,3.1,100,5671,0.6,100,182,0,100,0,0,NA,7706,0.8,100,96,0,100,2647,0.3,100,115723,12.4,100
