Category,SI.No.,State/UT/City,Murder - Incidence (I),Murder - Rate (R),Attemp to Commit Murder- Incidence (I),Attempt to Commit Murder - Rate (R),C.H.Not Amounting To Murder - Incidence (I),C.H. Not Amounting to Murder - Rate (R),Rape - Incidence (I),Rape - Rate (R),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Rate (R),Kidnapping & Abduction - of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Rate (R),Kidnapping & Abduction - of Others - Incidence (I),Kidnapping & Abduction - Of Others - Rate (R),Dacoity - Incidence (I),Dacoity - Rate (R),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Rate (R),Robbery - Incidence (I),Robbery - Rate (R),Burglary - Incidence (I),Burglary - Rate (R),Theft - Incidence (I),Theft - Rate (R),Riots - Incidence (I),Riots - Rate (R),Criminal Breach of trust - Incidence (I),Criminal Breach of trust - Rate (R),Cheating - Incidence (I),Cheating - Rate (R),Counterfeiting - Incidence (I),Counterfeting - Rate (R),Arson - Incidence (I),Arson - Rate (R),Hurt - Incidence (I),Hurt - Rate (R),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Molestation - Incidence (I),Molestation - Rate (R),Sexual Harassment - Incidence (I),Sexual Harassment - Rate (R),Cruelty By Husband and Relatives - Incidence (I),Cruelty By Husband and Relatives - Rate (R),Other IPC Crimes - Incidence (I),Other IPC Crimes - Rate (R),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Rate (R)
State,11,Kerala,417,1.3,444,1.4,94,0.3,389,1.2,230,0.7,149,0.5,81,0.3,98,0.3,13,0,296,0.9,5066,16.2,3727,11.9,6028,19.2,330,1.1,2101,6.7,58,0.2,370,1.2,15653,50,25,0.1,1166,3.7,40,0.1,1079,3.4,48517,154.9,86141,275
State,12,Madhya Pradesh,3302,4.5,3252,4.4,196,0.3,3265,4.4,1084,1.5,960,1.3,124,0.2,198,0.3,112,0.2,1826,2.5,17853,24.3,27160,37,3877,5.3,773,1.1,1632,2.2,101,0.1,1267,1.7,28432,38.7,577,0.8,6838,9.3,705,1,2493,3.4,91836,125,196779,267.8
State,13,Maharashtra,2777,3.2,1238,1.4,119,0.1,1444,1.6,1069,1.2,732,0.8,337,0.4,668,0.8,92,0.1,2865,3.3,16713,19.1,47769,54.6,5643,6.4,1789,2,3411,3.9,161,0.2,1474,1.7,31357,35.8,443,0.5,3227,3.7,870,1,9156,10.5,55186,63,187471,214.1
State,14,Manipur,194,9.3,136,6.5,4,0.2,14,0.7,79,3.8,59,2.8,20,1,18,0.9,0,0,36,1.7,97,4.7,269,12.9,73,3.5,12,0.6,38,1.8,4,0.2,120,5.8,255,12.3,0,0,19,0.9,0,0,2,0.1,1203,57.8,2573,123.7
State,15,Meghalaya,139,6.9,19,0.9,4,0.2,33,1.6,24,1.2,13,0.6,11,0.5,94,4.7,0,0,105,5.2,190,9.5,432,21.5,44,2.2,18,0.9,33,1.6,2,0.1,25,1.2,153,7.6,1,0,24,1.2,1,0,0,0,522,26,1863,92.7
State,16,Mizoram,43,5.3,18,2.2,8,1,49,6,7,0.9,0,0,7,0.9,6,0.7,0,0,22,2.7,347,42.8,967,119.4,0,0,51,6.3,72,8.9,10,1.2,32,4,114,14.1,0,0,54,6.7,0,0,0,0,441,54.4,2241,276.7
State,17,Nagaland,203,14.2,48,3.4,8,0.6,9,0.6,49,3.4,27,1.9,22,1.5,28,2,0,0,96,6.7,180,12.6,211,14.8,11,0.8,23,1.6,45,3.1,1,0.1,6,0.4,43,3,0,0,4,0.3,1,0.1,2,0.1,410,28.7,1378,96.4
State,18,Orissa,1008,2.9,1253,3.6,107,0.3,617,1.8,489,1.4,451,1.3,38,0.1,305,0.9,9,0,990,2.8,4419,12.7,7638,21.9,1892,5.4,391,1.1,500,1.4,138,0.4,530,1.5,5107,14.6,178,0.5,1690,4.8,175,0.5,861,2.5,22322,64,50619,145.2
State,19,Punjab,706,3.2,329,1.5,94,0.4,178,0.8,274,1.3,166,0.8,108,0.5,28,0.1,11,0.1,54,0.2,1167,5.3,1664,7.6,6,0,208,0.9,805,3.7,32,0.1,57,0.3,2613,11.9,180,0.8,129,0.6,1,0,225,1,5161,23.5,13922,63.5
State,20,Rajasthan,1622,3.3,2248,4.6,87,0.2,1162,2.4,2857,5.8,2485,5.1,372,0.8,97,0.2,2,0,1183,2.4,8806,17.9,17222,35,21413,43.6,953,1.9,5853,11.9,270,0.5,1173,2.4,14203,28.9,349,0.7,2583,5.3,44,0.1,3920,8,75574,153.8,161621,328.9
State,21,Sikkim,5,1,5,1,2,0.4,9,1.9,11,2.3,8,1.7,3,0.6,1,0.2,0,0,9,1.9,70,14.6,134,27.9,42,8.8,9,1.9,51,10.6,1,0.2,0,0,125,26,0,0,47,9.8,0,0,0,0,189,39.4,710,147.9
State,22,Tamil Nadu,1883,3.2,1668,2.8,16,0,327,0.6,976,1.7,858,1.5,118,0.2,171,0.3,1,0,600,1,6362,10.8,18666,31.7,7195,12.2,474,0.8,1338,2.3,236,0.4,1355,2.3,20689,35.2,112,0.2,1253,2.1,1514,2.6,353,0.6,66308,112.7,131497,223.5
State,23,Tripura,228,7.3,34,1.1,1,0,90,2.9,183,5.9,43,1.4,140,4.5,115,3.7,4,0.1,120,3.8,301,9.6,488,15.6,266,8.5,27,0.9,30,1,5,0.2,106,3.4,566,18.1,19,0.6,94,3,1,0,66,2.1,886,28.4,3630,116.3
State,24,Uttar Pradesh,8500,5.6,8261,5.4,1332,0.9,1854,1.2,3931,2.6,2501,1.6,1430,0.9,1146,0.8,113,0.1,5395,3.5,11819,7.7,33522,22,6980,4.6,3204,2.1,3433,2.2,61,0,1157,0.8,14212,9.3,1983,1.3,2526,1.7,118,0.1,3989,2.6,58944,38.6,172480,113
State,25,West Bengal,1927,2.6,580,0.8,631,0.8,855,1.1,906,1.2,786,1.1,120,0.2,510,0.7,218,0.3,869,1.2,752,1,20695,27.8,6285,8.4,447,0.6,1081,1.5,46,0.1,139,0.2,5012,6.7,77,0.1,1254,1.7,22,0,3437,4.6,23375,31.4,69118,92.9
State,Total States,Total States,37083,4,29033,3.2,3632,0.4,14340,1.6,19549,2.1,13914,1.5,5635,0.6,7997,0.9,867,0.1,22084,2.4,112248,12.2,262950,28.6,92387,10.1,14657,1.6,31884,3.5,2727,0.3,12308,1.3,221033,24.1,5378,0.6,28202,3.1,5472,0.6,35104,3.8,685165,74.6,1644100,179.1
UT,26,A & N Islands,11,3.2,8,2.4,1,0.3,7,2.1,2,0.6,2,0.6,0,0,0,0,0,0,0,0,42,12.4,38,11.2,8,2.4,3,0.9,6,1.8,0,0,4,1.2,69,20.3,0,0,9,2.6,2,0.6,5,1.5,161,47.4,376,110.6
UT,27,Chandigarh,20,2.5,21,2.6,5,0.6,9,1.1,32,4,26,3.2,6,0.7,0,0,0,0,5,0.6,172,21.2,876,108.1,48,5.9,45,5.6,91,11.2,0,0,4,0.5,84,10.4,2,0.2,13,1.6,4,0.5,13,1.6,604,74.6,2048,252.8
UT,28,D & N Haveli,8,5,6,3.8,2,1.3,3,1.9,4,2.5,3,1.9,1,0.6,3,1.9,0,0,0,0,59,36.9,63,39.4,40,25,2,1.3,1,0.6,0,0,3,1.9,53,33.1,0,0,7,4.4,0,0,8,5,148,92.5,410,256.8
UT,29,Daman & DIU,4,3.6,2,1.8,0,0,1,0.9,4,3.6,2,1.8,2,1.8,1,0.9,0,0,3,2.7,42,38.2,37,33.6,26,23.6,7,6.4,3,2.7,1,0.9,NR,NA,NR,NA,NR,NA,NR,NA,NR,NA,NR,NA,127,115.5,258,234.5
UT,30,Delhi,518,4.6,512,4.5,82,0.7,484,4.3,1250,11,925,8.1,325,2.9,32,0.3,21,0.2,609,5.4,2425,21.3,20541,180.8,236,2.1,641,5.6,1813,16,66,0.6,87,0.8,2375,20.9,132,1.2,694,6.1,189,1.7,114,1,27050,238.1,59871,527
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21.7,7,11.7,1,1.7,0,0,0,0,0,0,7,11.7,9,15,0,0,0,0,0,0,0,0,7,11.7,44,73.3
UT,32,Pondicherry,27,3,15,1.7,6,0.7,2,0.2,7,0.8,5,0.6,2,0.2,2,0.2,0,0,4,0.4,96,10.7,473,52.6,85,9.4,13,1.4,25,2.8,2,0.2,12,1.3,354,39.3,1,0.1,14,1.6,4,0.4,2,0.2,1325,147.2,2469,274.3
UT,Total (UTs),Total (UTs),588,4.3,564,4.1,96,0.7,506,3.7,1299,9.5,963,7,336,2.4,38,0.3,21,0.2,621,4.5,2849,20.7,22035,160.4,444,3.2,711,5.2,1939,14.1,69,0.5,117,0.9,2944,21.4,135,1,737,5.4,199,1.4,142,1,29422,214.1,65476,476.5
Total (All-India),Total (All -India),Total (All -India),37671,4,29597,3.2,3728,0.4,14846,1.6,20848,2.2,14877,1.6,5971,0.6,8035,0.9,888,0.1,22705,2.4,115097,12.4,284985,30.6,92831,10,15368,1.6,33823,3.6,2796,0.3,12425,1.3,223977,24,5513,0.6,28939,3.1,5671,0.6,35246,3.8,714587,76.7,1709576,183.4
City,33,Ahmedabad,95,2.5,58,1.5,2,0.1,13,0.3,122,3.2,89,2.3,33,0.9,24,0.6,0,0,225,5.9,705,18.5,3851,101.1,185,4.9,136,3.6,305,8,11,0.3,11,0.3,1663,43.6,12,0.3,35,0.9,27,0.7,323,8.5,7441,195.3,15244,400.1
City,34,Bangalore,201,4,283,5.7,0,0,34,0.7,105,2.1,63,1.3,42,0.8,42,0.8,2,0,513,10.3,2650,53.3,8089,162.8,357,7.2,229,4.6,1069,21.5,1176,23.7,184,3.7,3417,68.8,56,1.1,150,3,40,0.8,143,2.9,10135,203.9,28875,581
City,35,Bhopal,56,4,120,8.6,0,0,60,4.3,35,2.5,29,2.1,6,0.4,1,0.1,1,0.1,101,7.3,456,32.8,1170,84.2,82,5.9,12,0.9,153,11,7,0.5,12,0.9,941,67.7,5,0.4,115,8.3,21,1.5,54,3.9,4310,310.1,7712,554.8
City,36,Calcutta,327,2.1,187,1.2,5,0,153,1,169,1.1,127,0.8,42,0.3,83,0.5,43,0.3,628,4,2554,16.2,14086,89.2,117,0.7,512,3.2,1364,8.6,46,0.3,6,0,3728,23.6,32,0.2,264,1.7,34,0.2,181,1.1,7984,50.6,32503,205.8
City,37,Chennai,89,0.7,176,1.4,16,0.1,29,0.2,106,0.9,87,0.7,19,0.2,35,0.3,31,0.3,171,1.4,158,1.3,5462,45,485,4,216,1.8,603,5,32,0.3,5,0,1423,11.7,8,0.1,137,1.1,11,0.1,149,1.2,3053,25.1,12395,102.1
City,38,Coimbatore,19,1.6,17,1.4,0,0,2,0.2,9,0.7,6,0.5,3,0.2,1,0.1,0,0,20,1.7,128,10.6,964,79.7,129,10.7,30,2.5,64,5.3,20,1.7,0,0,65,5.4,3,0.2,1,0.1,1,0.1,6,0.5,1789,147.9,3268,270.1
City,39,Delhi,426,4.1,432,4.2,62,0.6,419,4.1,1050,10.2,795,7.7,255,2.5,24,0.2,20,0.2,522,5,2124,20.5,19206,185.7,180,1.7,580,5.6,1739,16.8,66,0.6,79,0.8,2096,20.3,102,1,587,5.7,178,1.7,84,0.8,24223,234.9,54199,524.2
City,40,Hyderabad,111,1.9,93,1.6,6,0.1,33,0.6,80,1.4,57,1,23,0.4,12,0.2,0,0,49,0.8,1026,17.8,2516,43.5,205,3.5,73,1.3,620,10.7,13,0.2,0,0,582,10.1,32,0.6,48,0.8,0,0,447,7.7,3208,55.5,9154,158.4
City,41,Indore,87,6.7,131,10.1,3,0.2,38,2.9,35,2.7,31,2.4,4,0.3,2,0.2,5,0.4,75,5.8,669,51.5,2253,173.3,86,6.6,40,3.1,109,8.4,0,0,21,1.6,71,5.5,20,1.5,69,5.3,21,1.6,123,9.5,5167,397.5,902,694.2
City,42,Jaipur,61,3.2,168,8.9,3,0.2,25,1.3,201,10.7,178,9.5,23,1.2,4,0.2,0,0,68,3.6,1015,54,3246,172.7,1635,87,196,10.4,644,34.3,70,3.7,28,1.5,168,8.9,17,0.9,134,7.1,0,0,212,11.3,5523,293.8,13418,713.7
City,43,Kanpur,169,7.4,170,7.5,21,0.9,38,1.7,159,7,129,5.7,30,1.3,37,1.6,3,0.1,139,6.1,605,26.5,1287,56.4,186,8.2,215,9.4,232,10.2,1,0,20,0.9,629,27.6,51,2.2,53,2.3,0,0,185,8.1,1504,66,5708,250.2
City,44,Kochi,11,0.7,18,1.2,8,0.5,11,0.7,6,0.4,4,0.3,2,0.1,5,0.3,0,0,14,0.9,320,21.3,272,18.1,152,10.1,18,1.2,131,8.7,0,0,2,0.1,426,28.4,1,0.1,31,2.1,1,0.1,16,1.1,2833,188.9,4276,285.1
City,45,Lucknow,117,5.4,135,6.2,20,0.9,17,0.8,80,3.7,69,3.2,11,0.5,7,0.3,7,0.3,86,3.9,399,18.3,1426,65.4,164,7.5,197,9,213,9.8,0,0,17,0.8,98,4.5,23,1.1,38,1.7,0,0,103,4.7,2367,108.6,5514,252.9
City,46,Ludhiana,61,4.4,25,1.8,16,1.2,14,1,30,2.2,16,1.2,14,1,3,0.2,4,0.3,5,0.4,118,8.5,250,18,0,0,14,1,82,5.9,8,0.6,0,0,91,6.5,18,1.3,2,0.1,0,0,31,2.2,422,30.4,1194,85.9
City,47,Madurai,64,1,283,4.6,1,0,11,0.2,27,0.4,27,0.4,0,0,3,0,0,0,80,1.3,567,9.2,2732,44.5,58,0.9,117,1.9,388,6.3,60,1,0,0,434,7.1,8,0.1,14,0.2,0,0,88,1.4,1208,19.7,6143,100
City,48,Mumbai,26,2.2,73,6.1,1,0.1,4,0.3,14,1.2,5,0.4,9,0.8,8,0.7,0,0,78,6.6,158,13.3,1040,87.4,69,5.8,32,2.7,143,12,18,1.5,1,0.1,220,18.5,5,0.4,10,0.8,86,7.2,18,1.5,2012,169.1,4016,337.5
City,49,Nagpur,101,5.3,65,3.4,0,0,46,2.4,67,3.5,46,2.4,21,1.1,16,0.8,1,0.1,244,12.8,1236,65.1,2616,137.8,144,7.6,72,3.8,172,9.1,13,0.7,25,1.3,1072,56.4,1,0.1,77,4.1,1,0.1,114,6,3243,170.7,9329,491
City,50,Patna,228,18.8,344,28.4,20,1.7,18,1.5,95,7.9,23,1.9,72,6,54,4.5,16,1.3,223,18.4,306,25.3,1338,110.6,126,10.4,201,16.6,90,7.4,1,0.1,14,1.2,465,38.4,29,2.4,50,4.1,1,0.1,45,3.7,1307,108,4971,410.8
City,51,Pune,85,2.8,37,1.2,2,0.1,55,1.8,61,2,44,1.4,17,0.6,10,0.3,5,0.2,73,2.4,746,24.3,2188,71.3,1415,46.1,80,2.6,194,6.3,8,0.3,15,0.5,1268,41.3,9,0.3,84,2.7,135,4.4,167,5.4,2932,95.5,9569,311.7
City,52,Surat,100,5,28,1.4,0,0,17,0.9,49,2.5,27,1.4,22,1.1,29,1.5,0,0,67,3.4,475,23.9,1457,73.2,107,5.4,58,2.9,342,17.2,2,0.1,7,0.4,617,31,36,1.8,18,0.9,4,0.2,174,8.7,1312,65.9,4899,246.2
City,53,Vadodra,44,3.1,23,1.6,0,0,8,0.6,49,3.5,34,2.4,15,1.1,20,1.4,0,0,31,2.2,423,30,1442,102.3,250,17.7,143,10.1,317,22.5,8,0.6,10,0.7,427,30.3,6,0.4,40,2.8,4,0.3,130,9.2,3549,251.7,6924,491.1
City,54,Varanasi,63,5.3,86,7.3,14,1.2,10,0.8,40,3.4,7,0.6,33,2.8,2,0.2,2,0.2,62,5.3,160,13.6,526,44.6,77,6.5,50,4.2,58,4.9,0,0,0,0,86,7.3,14,1.2,1,0.1,40,3.4,26,2.2,571,48.4,1888,160
City,55,Vishakhapatnam,20,1.4,18,1.3,1,0.1,38,2.7,25,1.7,21,1.5,4,0.3,4,0.3,0,0,12,0.8,259,18.1,806,56.4,23,1.6,45,3.1,172,12,1,0.1,12,0.8,236,16.5,4,0.3,44,3.1,327,22.9,117,8.2,673,47.1,2837,198.4
