Category,SL.No.,State/UT/City,Recidential Premises - Number,Recidential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
UT,Total (UTs),Total (UTs),1976,378.5,0,0,0,0,0,0,15,2.1,348,53.8,510,149.6,2849,584.1
Total (All-India),Total (All-India),Total (All-India),82130,11088.7,235,16.1,27,5.3,55,87.2,553,194.2,10087,1933.7,22010,3441.8,115097,16766.9
City,33,Ahmedabad,494,246.3,0,0,0,0,0,0,0,0,158,76.7,53,2.6,705,325.6
City,34,Bangalore,1272,229.9,0,0,0,0,1,0,1,0,299,81.4,1077,182.7,2650,494.1
City,35,Bhopal,376,46.9,0,0,0,0,0,0,0,0,56,3.3,24,3.9,456,54.1
City,36,Bombay,1351,626.4,0,0,0,0,0,0,0,,693,409.9,510,379.5,2554,1415.9
City,37,Calcutta,86,28.5,0,0,0,0,0,0,0,0,53,23.6,19,9.3,158,61.3
City,38,Coimbatore,111,9.8,0,0,0,0,0,0,0,0,10,3.4,7,1.8,128,15.1
City,39,Delhi,1504,301.8,0,0,0,0,0,0,10,2.1,234,42.9,376,130.9,2124,477.6
City,40,Hyderabad,1026,174.3,0,0,0,0,0,0,0,0,0,0,0,0,1026,174.3
City,41,Indore,165,6.5,0,0,0,0,0,0,0,0,90,4.6,414,69.8,669,80.9
City,42,Jaipur,667,50.5,0,0,0,0,0,0,0,0,307,52.3,41,0.5,1015,103.4
City,43,Kanpur,561,83.5,0,0,0,0,0,0,0,0,0,0,44,14.5,605,98
City,44,Kochi,175,52.3,0,0,3,2.5,4,0.2,0,0,67,19.8,71,13.6,320,88.4
City,45,Lucknow,269,18.1,0,0,0,0,0,0,0,0,0,0,130,13.1,399,31.1
City,46,Ludhiana,103,56,0,0,0,0,0,0,0,0,15,7,0,0,118,63
City,47,Madras,474,93.2,0,0,0,0,0,0,0,0,38,9.2,55,3,567,105.5
City,48,Madurai,94,21.2,0,0,0,0,0,0,0,0,13,18.5,51,4.6,158,44.3
City,49,Nagpur,907,87.9,0,0,0,0,0,0,3,0,231,39.2,95,21,1236,148
City,50,Patna,201,1.7,0,0,0,0,0,0,0,0,17,0.1,88,0.4,306,2.1
City,51,Pune,591,98.7,0,0,0,0,0,0,7,0.2,109,57.8,39,6.8,746,163.5
City,52,Surat,274,144.7,0,0,0,0,0,0,6,0.1,53,24.1,142,23.5,475,192.4
City,53,Vadodara,323,70.2,0,0,0,0,0,0,0,0,32,1,68,3.6,423,83.7
City,54,Varanasi,137,15.1,0,0,0,0,0,0,0,0,23,2.4,0,0,160,17.5
City,55,Vishakhapatnam,194,14.8,0,0,0,0,0,0,0,0,37,2.5,28,3.8,259,21.1
