Category,SI.No.,State/UT/City,Murder - 1995,Murder - 1996,Murder - Percentage Variation,Attempt to Commit Murder - 1995,Attempt to Commit Murder - 1996,Attempt to Commit Murder - Percentage Variation,C.H.Not Amounting to Murder - 1995,C.H.Not Amounting to Murder - 1996,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1995,Rape - 1996,Rape - PercentageVariation,Kidnaping & Abduction - Total - 1995,Kidnaping & Abduction - Total - 1996,Kidnaping & Abduction - Total - Percentage Variation,Kidnaping & Abduction - of Women & Girls - 1995,Kidnaping & Abduction - of Women & Girls - 1996,Kidnaping & Abduction - of Women & Girls - Percentage Variation,Kidnaping & Abduction - of Others - 1995,Kidnaping & Abduction - of Others - 1996,Kidnaping & Abduction - of Others - Percentage Variation,Dacoity - 1995,Dacoity - 1996,Dacoity - Percentage Variation,Preperation & Assembly for Dacoity - 1995,Preperation & Assembly for Dacoity - 1996,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1995,Robbery - 1996,Robbery - Percentage Variation,Burglary - 1995,Burglary - 1996,Burglary - Percentage Variation,Theft - 1995,Theft - 1996,Theft - Percentage Variation,Riots - 1995,Riots - 1996,Riots - Percentage Variation,Criminal Breach of Trust - 1995,Criminal Breach of Trust - 1996,Criminal Breach of Trust - Percentage Variation,Cheating - 1995,Cheating - 1996,Cheating - Percentage Variation,Counterfeiting - 1995,Counterfeiting - 1996,Counterfeiting - Percentage Variation,Arson - 1995,Arson - 1996,Arson - Percentage Variation,Hurt - 1995,Hurt - 1996,Hurt - Percentage Variation,Dowry Deaths - 1995,Dowry Deaths - 1996,Dowry Deaths - Percentage Variation,Molestation - 1995,Molestation - 1996,Molestation - Percentage Variation,Sexual Harassment - 1995,Sexual Harassment - 1996,Sexual Harassment - Percentage Variation,Cruelty By Husband and Relatives - 1995,Cruelty By Husband and Relatives - 1996,Cruelty By Husband and Relatives - Percentage Variation,Other IPC Crimes - 1995,Other IPC Crimes - 1996,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1995,Total Cognizable Crimes Under IPC - 1996,Total Cognizable Crimes Under IPC - Percentage Variation
Total (All-India),Total (All -India),Total (All -India),37464,37671,0.6,29571,29597,0.1,3830,3728,-2.7,13754,14846,7.9,20426,20848,2.1,14063,14877,5.8,6363,5971,-6.2,8335,8035,3.6,961,888,-7.6,22443,22705,1.2,116507,115097,-1.2,294306,284985,-3.2,96520,92831,-3.8,15503,15368,-0.9,30678,33823,10.3,2203,2796,26.9,12028,12425,3.3,200812,223977,9.9,4648,5513,18.6,26856,28939,7.8,4689,5671,20.9,28579,35246,23.3,722583,714587,-1.1,1695696,1709576,0.8
City,33,Ahmedabad,118,95,-19.5,80,58,-27.5,1,2,100,3,13,333.3,146,122,-16.4,112,89,-20.5,34,33,-2.9,27,24,-11.1,0,0,0,138,225,63,984,705,-28.4,4674,3851,-17.6,200,185,-7.5,133,136,2.3,183,305,66.7,9,11,22.2,18,11,-38.9,1486,1663,11.9,17,12,-29.4,35,35,0,18,27,50,282,323,14.5,6920,7441,7.5,15472,15244,-1.5
City,34,Bangalore,212,201,-5.2,322,283,-12.1,4,0,-100,42,34,-19,141,105,-25.5,72,63,12.5,69,42,-39.1,36,42,16.7,2,2,0,524,513,-2.1,2660,2650,-0.4,8387,8089,-3.6,419,357,-14.8,302,229,-24.2,1016,1069,5.2,34,1176,3358.8,150,184,22.7,3683,3417,-7.2,57,56,-1.8,181,150,-17.1,50,40,-20,207,143,-30.9,10470,10135,-3.2,28899,28875,-0.1
City,35,Bhopal,48,56,16.7,115,120,4.3,0,0,0,62,60,-3.2,26,35,34.6,21,29,38.1,5,6,20,6,1,-83.3,0,1,0,102,101,-1,536,456,-14.9,1433,1170,-18.4,68,82,20.6,21,12,-42.9,110,153,39.1,17,7,-58.8,32,12,-62.5,802,941,17.3,9,5,-44.4,298,115,-61.4,18,21,16.7,69,54,-21.7,4552,4310,-5.3,8324,7712,-7.4
City,36,Calcutta,357,327,-8.4,195,187,-4.1,3,5,66.7,210,153,-27.1,231,169,-26.8,141,127,-9.9,90,42,-53.3,131,83,-36.3,51,43,-15.7,757,628,-17,2958,2554,-13.7,15555,14086,-9.4,202,117,-42.1,710,512,-27.9,1382,1364,-1.3,39,46,17.9,22,6,-72.7,5397,3728,-30.9,25,32,28,402,264,-34.3,44,34,-22.7,400,181,-54.8,11441,7984,-30.2,40512,32503,-19.8
City,37,Chennai,83,89,7.2,145,176,21.4,16,16,0,54,29,-46.3,114,106,-7,82,87,6.1,32,19,-40.6,35,35,0,31,31,0,155,171,10.3,169,158,-6.5,4957,5462,10.2,357,485,35.9,228,216,-5.3,573,603,5.2,30,32,6.7,0,5,0,1343,1423,6,9,8,-11.1,140,137,-2.1,13,11,-15.4,111,149,34.2,3108,3053,-1.8,11671,12395,6.2
City,38,Coimbatore,16,19,18.8,13,17,30.8,0,0,0,1,2,100,4,9,125,1,6,500,3,3,0,4,1,-75,0,0,0,15,20,33.3,183,128,-30.1,1044,964,-7.7,126,129,2.4,20,30,50,32,64,100,92,20,-78.3,0,0,0,57,65,14,2,3,50,1,1,0,0,1,0,8,6,-25,1401,1789,27.7,3019,3268,8.2
City,39,Delhi,413,426,3.1,490,432,-11.8,54,62,14.8,305,419,37.4,1071,1050,-2,209,795,280.4,862,255,-70.4,30,24,-20,18,20,11.1,491,522,6.3,1757,2124,20.9,16116,19206,19.2,172,180,4.7,592,580,-2,1547,1739,12.4,60,66,120,79,79,0,2056,2096,1.9,160,102,-36.3,520,587,12.9,223,178,-20.2,95,84,-11.6,16510,24223,46.7,42759,54199,26.8
City,40,Hyderabad,92,111,20.7,77,93,20.8,3,6,100,41,33,-19.5,76,80,5.3,42,57,35.7,34,23,-32.4,9,12,33.3,0,0,0,51,49,-3.9,1196,1026,-14.2,2897,2516,-13.2,252,205,-18.7,107,73,-31.8,535,620,15.9,3,13,333.3,9,0,-100,583,582,-0.2,36,32,-11.1,38,48,26.3,8,0,-100,241,447,85.5,2943,3208,9,9197,9154,-0.5
City,41,Indore,86,87,1.2,173,131,-24.3,2,3,50,25,38,52,53,35,-34,49,31,-36.7,4,4,0,1,2,100,2,5,150,105,75,-28.6,766,669,-12.7,2561,2253,-12,95,86,-9.5,33,40,21.2,126,109,-13.5,0,0,0,27,21,-22.2,1330,71,-94.7,13,20,53.8,120,69,-42.5,20,21,5,136,123,-9.6,3909,5167,32.2,9583,9025,-5.8
City,42,Jaipur,60,61,1.7,48,168,250,3,3,0,22,25,13.6,233,201,-13.7,174,178,2.3,59,23,-61,0,4,0,0,0,0,67,68,1.5,975,1015,4.1,2881,3246,12.7,1527,1635,7.1,204,196,-3.9,788,644,-18.3,169,70,-58.6,32,28,-12.5,161,168,4.3,24,17,-29.2,99,134,35.4,5,0,-100,193,212,9.8,5121,5523,7.9,12612,13418,6.4
City,43,Kanpur,204,169,-17.2,154,170,10.4,19,21,10.5,44,38,-13.6,171,159,-7,112,129,15.2,59,30,-49.2,36,37,2.8,4,3,-25,181,139,-23.2,476,605,27.1,1369,1287,-6,189,186,-1.6,239,215,-10,240,232,-3.3,42,1,-97.6,21,20,-4.8,424,629,48.3,54,51,-5.6,49,53,8.2,0,0,0,171,185,8.2,1653,1504,-9,5740,5704,-0.6
City,44,Kochi,17,11,-35.3,12,18,50,4,8,100,7,11,57.1,4,6,50,2,4,100,2,2,0,6,5,-16.7,0,0,0,6,14,133.3,235,320,36.2,219,272,24.2,184,152,-17.4,12,18,50,93,131,40.9,2,0,-100,17,2,-88.2,493,426,-13.6,1,1,0,21,31,47.6,0,1,0,16,16,0,3269,2833,-13.3,4618,4276,-7.4
City,45,Lucknow,132,117,-11.4,149,135,-9.4,18,20,11.1,29,17,-41.4,93,80,-14,86,69,-19.8,7,11,57.1,8,7,-12.5,9,7,-22.2,184,86,-53.3,653,399,-38.9,2411,1426,-40.9,219,164,-25.1,199,197,-1,229,213,-7,1,0,-100,13,17,30.8,365,98,-73.2,22,23,4.5,34,38,11.8,0,0,0,144,103,-28.5,1489,2367,59,6401,5514,-13.9
City,46,Ludhiana,42,61,45.2,41,25,-39,5,16,220,11,14,27.3,28,30,7.1,13,16,23.1,15,14,-6.7,0,3,0,12,4,-66.7,2,5,150,73,118,61.6,179,250,39.7,1,0,-100,14,14,0,40,82,105,2,8,300,1,0,-100,63,91,44.4,11,18,63.6,1,2,100,0,0,0,14,31,121.4,331,422,27.35,871,1194,37.1
City,47,Madurai,88,64,-27.3,294,283,-3.7,0,1,0,11,11,0,13,27,107.7,13,27,107.7,0,0,NA,5,3,-40,0,0,0,69,80,15.9,481,567,17.9,2593,2732,5.4,41,58,41.5,182,117,-35.7,412,388,-5.8,90,60,-33.3,0,0,0,429,434,0.2,3,8,166.7,14,14,0,0,0,0,23,88,282.6,1094,1208,10.4,5842,6143,5.2
City,48,Mumbai,26,26,0,49,73,49,0,1,0,7,4,-42.9,29,14,-51.7,29,5,-82.8,0,9,NA,7,8,14.3,0,0,0,41,78,90.2,140,158,12.9,938,1040,10.9,126,69,-45.2,15,32,113.3,103,143,38.8,60,18,-70,8,1,-87.5,229,220,-3.9,10,5,-50,12,10,-16.7,3,86,2766.7,10,18,80,1830,2012,9.9,3643,4016,10.2
City,49,Nagpur,93,101,8.6,55,65,18.2,1,0,-100,56,46,-17.9,61,67,9.8,54,46,-14.8,7,21,200,10,16,60,2,1,-50,267,244,-8.6,970,1236,27.4,2664,2619,-1.7,130,144,10.8,74,72,-2.7,152,172,13.2,14,13,-7.1,29,25,-13.8,1087,1072,-1.4,1,1,0,97,77,-20.6,0,1,0,188,114,-39.4,2936,3243,10.5,8887,9329,5
City,50,Patna,195,228,16.9,292,344,17.8,18,20,11.1,26,18,-30.8,113,95,-15.9,27,23,-14.8,86,72,-16.3,74,54,-27,8,16,100,157,223,42,331,306,-7.6,1354,1338,-1.2,227,126,-44.5,197,201,2,141,90,-36.2,12,1,-91.7,NA,14,0,NA,465,0,NA,29,0,NA,50,0,NA,1,0,NA,45,0,1958,1307,-33.2,5103,4971,-2.6
City,51,Pune,86,85,-1.2,31,37,19.4,0,2,0,66,55,-16.7,36,61,69.4,26,44,69.2,10,17,70,7,10,42.9,4,5,25,99,73,-36.3,838,746,-11,2013,2188,8.7,1444,1415,-2,65,80,23.1,173,194,12.1,13,8,-38.5,21,15,-28.6,1183,1268,7.2,9,9,0,92,84,-8.7,128,135,5.5,176,167,-5.1,2975,2932,-1.4,9459,9569,1.2
City,52,Surat,82,100,22,52,28,-46.2,0,0,0,16,17,6.3,60,49,-18.3,45,27,-40,15,22,46.7,40,29,-27.9,0,0,0,76,67,-11.8,522,475,-9,1712,1457,-14.9,133,107,-19.5,85,58,-31.8,232,342,47.4,5,2,-60,12,7,-41.7,629,617,-1.9,6,36,500,16,18,12.5,4,4,0,105,174,65.7,1477,1312,-11.2,5264,4899,-6.9
