SI.No.,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Others IPC Crimes,Total Cog. Under IPC
5,Arunachal Pradesh,Lohit,11,2,0,3,4,3,1,4,0,8,8,42,2,2,3,0,0,20,0,4,0,0,43,156
6,Arunachal Pradesh,Papum Pare,6,9,0,6,11,5,6,5,1,18,37,64,3,8,8,1,2,60,0,4,0,1,119,363
7,Arunachal Pradesh,Siang East,9,2,0,10,12,8,4,2,0,8,18,82,1,6,1,5,0,0,0,0,0,0,122,278
8,Arunachal Pradesh,Siang Upper,3,0,0,2,0,0,0,0,0,1,3,6,0,0,0,0,0,13,0,2,0,0,16,46
9,Arunachal Pradesh,Siang West,2,1,0,4,8,8,0,0,0,6,21,21,7,4,4,0,3,30,0,11,0,0,50,172
10,Arunachal Pradesh,Subansiri Lower,7,4,2,3,5,3,2,0,0,4,8,26,1,0,3,0,0,0,0,0,0,0,31,94
11,Arunachal Pradesh,Subansiri Upper,7,2,0,1,2,2,0,0,0,3,12,16,0,1,1,0,0,51,0,6,0,2,44,148
12,Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,1,0,1,6,4,0,0,0,0,3,3,0,0,0,0,19,37
13,Arunachal Pradesh,Tirap,9,3,1,3,4,1,3,3,0,6,15,31,0,0,0,0,3,33,0,0,0,0,39,150
Arunachal Pradesh,Arunachal Pradesh,Total,76,33,4,37,52,35,17,25,1,68,186,368,17,31,25,6,12,286,0,29,1,4,666,1927
1,Assam,Barpeta,41,6,0,32,29,21,8,50,2,47,139,198,255,10,13,2,22,79,0,34,0,20,515,1494
2,Assam,Bongaigaon,47,11,0,13,31,23,8,10,2,36,90,209,117,18,12,0,65,81,2,23,0,20,212,999
3,Assam,Cachar,52,9,1,32,109,109,0,26,2,22,235,484,591,46,29,4,69,208,5,65,0,71,953,3013
4,Assam,Darrang,106,29,1,25,41,27,14,54,0,82,149,261,69,18,15,2,15,188,0,32,0,8,88,1183
5,Assam,Dhemaji,19,11,1,30,39,29,10,22,0,27,50,122,26,16,15,0,15,211,0,18,1,19,104,746
6,Assam,Dhubri,58,9,0,36,43,37,6,22,4,15,68,188,373,15,29,0,22,226,3,48,0,42,221,1422
7,Assam,Dibrugarh,96,11,5,14,46,40,6,21,0,45,145,352,12,17,13,0,17,378,0,22,0,22,335,1551
8,Assam,Goalpara,27,3,0,3,15,13,2,24,0,13,77,111,168,2,6,0,7,37,0,0,0,19,182,694
9,Assam,Golaghat,67,26,0,24,58,46,12,19,1,54,116,266,55,9,18,0,43,244,0,16,0,16,292,1324
10,Assam,Hailakandi,29,34,1,25,25,25,0,2,0,9,105,220,188,6,18,0,56,192,2,23,0,5,252,1192
11,Assam,Jorhat,61,19,2,33,42,32,10,14,0,77,141,326,100,20,20,0,21,120,1,10,0,22,417,1446
12,Assam,Kamrup,86,28,10,40,165,154,11,123,4,190,788,2011,408,93,116,35,18,460,2,34,1,26,1702,6340
13,Assam,Karbi Anglong,40,6,2,2,29,5,24,30,0,49,74,176,82,16,7,1,8,33,0,6,0,3,189,753
14,Assam,Karimaganj,27,21,0,38,32,30,2,5,2,4,119,206,315,11,17,3,27,177,5,10,0,44,90,1153
15,Assam,Kokrajhar,183,32,0,10,38,9,29,31,1,23,86,239,40,8,11,0,120,133,0,8,0,5,90,1058
16,Assam,Lakhimpur,44,15,0,41,56,56,0,6,0,33,122,185,48,21,55,0,25,237,0,25,3,26,56,998
17,Assam,Morigaon,12,4,0,13,30,27,3,21,1,14,52,93,32,10,5,2,11,109,0,30,0,4,328,771
18,Assam,N.C. Hills,11,9,0,6,8,7,1,13,0,6,17,35,7,1,1,0,3,22,1,4,0,0,32,176
19,Assam,Nagaon,109,38,2,30,135,124,11,157,3,86,305,511,302,33,47,3,62,228,1,62,2,66,1041,3223
20,Assam,Nalbari,78,27,1,5,39,3,36,80,1,50,150,150,39,2,0,0,13,120,2,2,0,8,274,1041
21,Assam,Sibsagar,47,13,4,49,60,60,0,27,0,46,77,317,88,14,26,0,29,205,0,23,1,47,650,1723
22,Assam,Sonitpur,78,43,3,41,75,62,13,75,1,78,253,425,153,28,44,0,45,388,3,38,0,31,624,2426
23,Assam,Tinsukia,117,5,0,38,45,45,0,11,0,57,158,436,66,30,24,0,17,265,1,36,0,29,429,1764
Assam,Assam,Total,1435,409,33,580,1190,984,206,843,24,1063,3516,7521,3534,444,541,52,730,4341,28,569,8,553,9076,36490
1,Bihar,Araria,58,22,13,28,39,9,30,40,7,20,140,205,280,27,13,0,0,0,0,0,0,0,925,1817
2,Bihar,Aurangabad,53,14,10,12,20,9,11,71,1,35,116,219,303,24,29,0,0,0,0,0,0,0,1106,2013
3,Bihar,Bagaha,48,0,7,14,63,9,54,12,2,13,40,108,141,11,5,0,0,0,0,0,1,0,641,1106
4,Bihar,Banka,66,27,1,7,24,0,24,36,0,38,99,75,231,150,14,4,0,0,1,0,0,19,843,1635
5,Bihar,Begusarai,151,163,10,10,71,23,48,20,2,64,110,342,209,33,39,0,10,377,19,31,9,43,1101,2814
6,Bihar,Bettiah,118,182,6,16,125,28,97,49,12,48,125,280,345,44,17,0,0,0,0,0,0,0,682,2049
7,Bihar,Bhabhua,45,41,11,9,32,9,23,42,0,28,60,209,233,18,20,6,11,95,6,5,1,9,497,1378
8,Bihar,Bhagalpur,155,81,3,19,56,26,30,35,1,87,145,352,197,19,53,0,9,76,9,12,5,9,1538,2861
9,Bihar,Bhojpur,143,135,0,24,49,5,44,49,0,42,128,295,208,0,0,0,0,0,20,0,7,0,0,1100
10,Bihar,Bokaro,70,78,2,50,38,30,8,49,0,69,160,662,275,38,42,0,14,46,13,35,2,50,877,2570
11,Bihar,Buxar,91,39,5,8,78,5,73,70,2,28,92,185,191,12,32,1,26,86,12,4,2,8,465,1437
12,Bihar,Chaibasa,146,48,11,46,46,11,35,10,1,22,45,202,76,22,18,0,0,0,0,0,5,0,532,1230
13,Bihar,Chatra,24,7,16,7,1,0,1,22,1,26,18,73,112,11,4,0,0,0,0,0,1,0,218,538
14,Bihar,Darbhanga,35,163,10,34,10,8,2,22,2,28,146,363,306,13,27,0,38,46,5,37,0,42,348,1675
15,Bihar,Deoghar,61,7,10,33,15,8,7,34,2,31,136,213,207,53,20,0,20,86,14,20,1,48,581,1592
16,Bihar,Dhanbad,93,84,12,34,67,58,9,62,9,71,254,349,318,76,40,1,18,138,25,58,0,12,934,2955
17,Bihar,Dumka,82,31,15,35,32,32,0,29,2,42,119,224,135,30,30,0,0,0,0,0,1,0,812,1619
18,Bihar,Garhwa,32,90,4,11,8,0,8,28,2,14,27,40,109,3,3,0,0,0,0,0,2,0,380,753
19,Bihar,Gaya,173,62,5,15,42,12,30,135,2,133,177,387,438,28,53,0,0,0,0,0,0,0,1243,2893
20,Bihar,Giridih,53,11,26,35,18,11,7,33,3,22,95,215,269,20,12,0,0,0,0,0,1,0,1264,2077
21,Bihar,Godda,54,60,3,23,15,12,3,18,0,20,61,106,79,20,6,0,0,0,0,0,0,0,327,792
22,Bihar,Gopalganj,87,59,5,20,47,22,25,33,3,39,112,176,146,61,40,0,30,460,6,51,8,18,0,1401
23,Bihar,Gumla,127,35,9,98,40,39,1,11,1,46,63,100,80,6,14,0,0,0,0,0,0,0,691,1321
24,Bihar,Hazaribagh,134,21,7,39,28,22,6,51,3,82,150,419,186,11,37,0,19,244,16,16,1,32,875,2371
25,Bihar,Jamshedpur,71,68,4,39,54,54,0,11,4,23,175,577,116,20,107,0,0,0,0,0,1,0,1109,2379
26,Bihar,Jamui,49,82,8,11,24,18,6,19,0,18,56,89,135,2,8,0,0,0,5,0,1,41,612,1160
27,Bihar,Jehanabad,85,64,8,13,30,6,24,50,2,24,90,206,251,0,57,0,0,0,0,0,1,0,823,1704
28,Bihar,Katihar,61,85,7,57,43,5,38,45,0,32,85,185,382,18,33,0,0,0,0,0,1,0,904,1938
29,Bihar,Khagaria,83,131,0,4,7,3,4,15,2,17,7,153,303,0,2,0,0,0,0,0,0,0,545,1269
30,Bihar,Kishanganj,34,15,4,70,55,40,15,37,0,14,52,91,186,18,17,0,0,0,0,0,1,0,721,1315
31,Bihar,Kodarma,17,7,2,9,7,4,3,17,2,18,26,105,88,5,16,0,7,119,8,7,0,9,175,644
32,Bihar,Lakhisarai,89,137,1,7,31,9,22,35,3,23,41,153,84,4,16,0,0,0,0,0,1,0,370,995
33,Bihar,Lohardagga,41,22,4,8,11,2,9,15,1,31,20,47,31,9,6,0,0,0,0,0,1,0,184,431
34,Bihar,Medhepura,51,46,8,9,36,13,23,9,1,26,47,122,238,34,24,0,0,10,46,0,1,0,654,1362
35,Bihar,Madhubani,96,104,22,22,34,24,10,33,12,25,310,498,376,88,40,0,0,0,0,0,0,0,1563,3223
36,Bihar,Motihari,97,75,9,48,72,40,32,31,3,48,125,288,276,71,60,0,24,915,21,10,1,0,1054,3228
37,Bihar,Munger,112,106,4,14,94,17,77,34,4,60,203,210,365,35,62,0,0,0,24,0,1,0,907,2235
38,Bihar,Muzaffarpur,161,92,23,102,48,16,32,127,4,159,279,417,435,4,3,0,6,88,17,48,0,51,2082,4146
39,Bihar,Nalanda,163,222,8,16,70,22,48,45,8,61,125,352,154,43,36,0,0,0,36,3,0,0,2493,3835
40,Bihar,Naugachia,65,53,4,6,23,5,18,19,2,27,11,55,122,2,9,0,3,37,2,1,1,0,215,657
41,Bihar,Nawadah,67,50,16,17,34,18,16,20,2,27,43,218,151,21,34,0,0,400,10,0,1,60,660,1831
42,Bihar,Pakur,42,35,0,15,12,12,0,14,0,8,28,80,36,20,8,7,0,0,0,0,2,0,206,513
43,Bihar,Palamau,110,32,1,18,25,5,20,61,0,31,74,153,263,1,6,0,0,0,0,0,0,0,1103,1878
44,Bihar,Patna,444,668,36,27,147,46,101,95,21,310,430,1676,430,231,115,2,45,809,60,82,1,76,2451,8156
45,Bihar,Purnea,109,207,14,69,54,22,32,61,7,74,150,282,461,38,42,0,24,52,8,8,7,9,1314,2990
46,Bihar,Ranchi,314,151,28,63,48,34,14,74,11,258,258,800,128,48,164,2,3,151,10,48,1,32,1359,3951
47,Bihar,Rohtas,86,49,12,16,94,38,56,107,1,67,101,651,424,14,77,4,0,45,26,2,18,59,1356,3236
48,Bihar,Saharsa,27,17,4,8,28,7,21,8,0,25,59,123,119,16,5,0,0,0,0,0,0,0,961,1400
49,Bihar,Sahebganj,55,71,9,31,23,18,5,21,0,12,25,79,93,50,11,0,85,0,0,0,0,0,148,628
50,Bihar,Samastipur,124,151,35,35,27,0,27,74,9,83,143,240,363,31,55,0,0,310,10,0,5,0,1193,2973
51,Bihar,Saran,117,272,29,23,76,48,28,98,4,87,208,425,293,21,67,0,0,0,18,0,1,0,2415,4154
52,Bihar,Sheikhpura,22,17,6,2,6,0,6,22,8,19,68,122,5,9,9,0,0,0,0,0,0,0,129,444
53,Bihar,Sheohar,13,34,0,3,7,3,4,8,0,3,17,20,42,6,3,0,0,28,2,0,0,6,257,449
54,Bihar,Sitamarhi,61,35,6,25,41,31,10,35,1,34,88,233,304,16,25,0,12,0,2,0,1,1,1144,2052
55,Bihar,Siwan,97,0,7,1,37,16,21,80,0,81,190,326,190,0,15,0,10,4,18,0,2,25,1367,2452
56,Bihar,Supaul,43,46,3,11,30,16,14,40,2,35,60,154,266,22,43,1,0,183,7,42,1,15,570,1584
57,Bihar,Vaishali,92,25,68,16,62,17,45,16,19,40,219,294,141,53,58,4,0,0,0,0,1,0,2087,3195
58,Bihar,Dhanbad Rly.,8,0,1,2,1,1,0,20,16,9,87,2,7,2,0,0,0,0,0,0,1,0,65,221
59,Bihar,Jamalpur Rly.,9,0,1,2,6,2,4,22,2,17,4,208,12,0,7,0,0,0,0,0,2,1,135,428
60,Bihar,Jamshedpur Rly.,5,0,0,0,1,0,1,2,11,7,4,128,16,2,5,0,0,0,0,0,1,0,63,245
61,Bihar,Katihar Rly.,13,1,0,2,4,2,2,12,2,21,15,188,21,1,5,0,0,0,0,4,2,0,113,404
62,Bihar,Muzaffarpur Rly.,19,1,0,2,5,0,5,9,2,22,20,232,23,5,20,0,0,0,0,0,1,0,101,462
63,Bihar,Patna Rly.,13,6,0,3,7,1,6,48,4,31,2,501,45,3,8,0,0,0,2,9,1,0,170,853
Bihar,Bihar,Total,5264,4637,590,1453,2378,1003,1375,2450,228,2955,6563,16782,12449,1693,1846,32,441,4805,478,533,107,675,50658,117017
1,Goa,North Goa,13,8,5,8,7,5,2,3,0,35,325,402,117,17,27,2,10,117,1,8,3,11,465,1584
2,Goa,South Goa,17,3,4,2,6,4,2,1,0,36,207,335,67,14,27,3,9,105,0,9,4,2,363,1214
Goa,Goa,Total,30,11,9,10,13,9,4,4,0,71,532,737,184,31,54,5,19,222,1,17,7,13,828,2798
1,Gujarat,Ahmedabad Commr.,95,58,2,13,122,89,33,24,0,225,705,3851,185,136,305,11,11,1663,12,35,27,323,7441,15244
2,Gujarat,Ahmedabad Rural,53,35,1,11,52,19,33,28,0,50,99,317,91,80,124,3,7,592,0,40,0,64,2532,4179
3,Gujarat,Ahwa- Dang,6,1,0,0,3,2,1,0,0,2,9,16,3,2,0,2,1,27,0,4,0,3,73,152
4,Gujarat,Amreli,29,16,1,4,14,12,2,4,0,27,133,183,29,18,16,6,10,373,0,25,0,56,1265,2209
5,Gujarat,Anand,40,9,1,15,52,50,2,17,0,22,215,542,64,161,155,4,33,865,0,81,1,196,2553,5026
6,Gujarat,Banaskantha,39,31,2,9,45,43,2,12,0,92,257,611,152,65,200,3,30,1553,4,55,1,125,1628,4914
7,Gujarat,Bharuch,78,24,0,18,53,49,4,25,0,43,289,719,135,76,251,5,84,796,0,65,3,92,3503,6259
8,Gujarat,Bhavnagar,68,26,0,12,60,49,11,8,0,54,218,553,126,146,132,16,63,101,13,47,3,77,2920,4643
9,Gujarat,Gandhinagar,12,6,0,5,13,8,5,11,0,10,100,558,37,11,32,0,6,183,0,7,1,31,1068,2091
10,Gujarat,Jamnagar,43,21,0,20,28,25,3,4,0,18,218,334,42,93,140,8,16,474,4,24,4,220,2486,4197
11,Gujarat,Junagadh,53,43,0,12,35,29,6,5,0,30,216,435,103,116,125,6,16,914,11,34,4,159,2263,4580
12,Gujarat,Kheda North,43,10,0,11,42,42,0,15,0,21,170,446,78,72,133,8,16,583,0,52,0,96,2721,4517
13,Gujarat,Kutch,32,24,0,18,30,23,7,13,2,19,162,303,57,21,87,6,7,416,5,23,6,87,1995,3313
14,Gujarat,Meshana,57,50,0,7,89,86,3,14,1,60,236,958,181,97,189,5,23,756,0,61,0,121,3675,6580
15,Gujarat,Panchmahals,88,29,0,19,44,33,11,41,0,101,278,476,98,59,20,7,68,1084,0,114,2,36,1758,4322
16,Gujarat,Patan,24,23,0,7,28,25,3,7,0,19,130,473,85,70,64,7,6,471,0,38,0,87,1508,3047
17,Gujarat,Porbandar,9,7,0,3,5,4,1,0,0,17,52,85,3,94,28,3,2,106,0,8,0,35,705,1162
18,Gujarat,Rajkot Commr.,32,19,0,3,25,19,6,4,0,27,270,608,67,30,45,7,10,293,5,20,9,107,1977,3558
19,Gujarat,Rajkot Rural,45,48,2,20,37,31,6,11,0,39,267,631,61,95,90,4,15,725,2,50,3,118,3075,5338
20,Gujarat,Sabarkantha,56,10,0,13,51,51,0,10,0,24,155,294,61,80,75,4,15,395,2,49,4,156,2603,4057
21,Gujarat,Surat Commr.,100,28,0,17,49,27,22,29,0,67,475,1457,107,58,342,2,7,617,36,18,4,174,1312,4899
22,Gujarat,Surat Rural,69,12,1,11,32,30,2,17,0,27,88,191,51,54,96,1,12,323,0,16,0,10,1935,2946
23,Gujarat,Surendranagar,31,21,0,18,23,17,6,3,0,14,128,268,77,44,74,7,12,584,0,40,5,46,1944,3339
24,Gujarat,Vadodara Commr.,44,23,0,8,49,34,15,20,0,31,423,1442,250,143,317,8,10,427,6,40,4,130,3549,6924
25,Gujarat,Vadodara Rural,109,32,1,22,40,39,1,18,0,33,122,409,76,112,92,2,39,954,0,103,0,58,2504,4726
26,Gujarat,Valsad,68,11,0,7,25,22,3,23,0,36,280,468,54,78,59,2,22,493,4,19,0,50,2391,4090
27,Gujarat,W.Rly,15,4,0,3,9,6,3,8,0,22,22,980,16,17,6,1,0,63,1,9,0,9,324,1509
Gujarat,Gujarat,Total,1338,621,11,306,1055,864,191,371,3,1130,5717,17608,2289,2028,3197,138,541,15831,105,1077,81,2666,61708,117821
1,Haryana,Ambala,27,8,3,13,27,22,5,3,1,8,219,316,1,14,48,2,3,198,12,23,0,39,756,1721
2,Haryana,Bhiwani,37,21,7,26,12,8,4,3,0,14,162,163,70,21,41,2,32,267,19,38,0,38,877,1850
3,Haryana,Faridabad,66,51,10,55,80,55,25,16,8,48,413,844,114,53,124,5,24,405,15,52,224,86,2634,5327
4,Haryana,Gurgaon,44,43,5,14,44,28,16,8,1,32,263,560,95,40,70,2,13,1170,11,37,0,33,938,3423
5,Haryana,Hissar,58,51,12,13,58,39,19,2,1,21,245,406,30,20,85,1,16,884,16,65,50,0,1012,3046
6,Haryana,Jind,31,19,5,5,18,10,8,2,1,20,180,160,128,21,52,0,13,322,17,36,30,25,412,1497
7,Haryana,Kaithal,18,16,2,14,12,8,4,4,1,4,89,131,0,19,26,1,10,148,7,15,0,0,328,845
8,Haryana,Karnal,44,22,4,48,21,9,12,2,0,6,304,394,51,32,62,3,14,861,15,41,0,46,244,2214
9,Haryana,Kurukshetra,13,11,4,20,11,9,2,0,0,8,162,172,82,27,110,3,10,118,6,30,30,25,779,1621
10,Haryana,Mahendragarh,12,6,3,9,8,6,2,1,0,4,65,82,34,21,56,1,16,124,13,18,0,22,635,1130
11,Haryana,Panchkula,9,4,0,9,17,12,5,0,1,1,74,173,0,3,9,0,3,10,4,14,0,11,393,735
12,Haryana,Panipat,29,11,8,13,18,12,6,1,2,12,215,259,19,8,25,2,1,113,8,16,22,19,584,1385
13,Haryana,Rewari,34,5,1,13,5,5,0,1,0,10,102,132,22,24,15,1,13,152,16,22,0,14,494,1076
14,Haryana,Rohtak,67,48,4,41,44,30,14,6,4,37,334,449,45,25,40,3,29,343,23,42,0,48,1023,2655
15,Haryana,Sirsa,34,20,2,14,22,13,9,0,0,8,122,97,21,12,26,0,3,369,3,26,0,25,450,1254
16,Haryana,Sonipat,52,26,6,16,33,23,10,5,7,18,181,285,16,4,15,0,11,457,17,28,29,21,546,1773
17,Haryana,Yamunanagar,22,8,5,12,20,18,2,1,0,4,156,226,9,10,37,2,10,155,14,21,0,38,542,1292
18,Haryana,GRP,9,4,2,1,2,0,2,0,0,0,1,148,2,2,3,0,0,7,7,5,49,0,430,672
Haryana,Haryana,Total,606,374,83,336,452,307,145,55,27,255,3287,4997,739,356,844,28,221,6103,223,529,434,490,13077,33516
1,Himachal Pradesh,Bilaspur,9,6,1,12,8,5,3,0,0,5,39,64,63,17,14,0,23,109,1,22,0,26,412,813
2,Himachal Pradesh,Chamba,8,2,1,11,8,7,1,0,0,2,131,39,8,8,3,1,9,55,0,12,1,9,297,605
3,Himachal Pradesh,Hamirpur,8,2,0,2,6,5,1,0,0,1,48,18,20,12,9,1,6,144,1,10,0,21,205,514
4,Himachal Pradesh,Kangra,30,9,1,21,35,31,4,1,0,5,181,123,119,10,15,0,22,335,2,45,1,30,995,1980
5,Himachal Pradesh,Kinnaur,1,0,0,5,5,4,1,0,0,0,41,20,14,3,3,0,1,19,0,5,0,9,98,224
6,Himachal Pradesh,Kullu,13,5,0,7,13,8,5,0,0,0,53,55,15,1,8,0,4,33,0,22,0,4,389,622
7,Himachal Pradesh,Lahaul-Spiti,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,3,0,1,0,1,26,39
8,Himachal Pradesh,Mandi,20,9,0,9,24,22,2,0,0,2,110,84,65,7,15,1,31,1294,0,54,7,50,824,1506
9,Himachal Pradesh,Shimla,13,21,1,23,19,13,6,0,0,2,188,180,84,25,51,11,13,99,0,56,4,17,1017,1824
10,Himachal Pradesh,Sirmur,7,8,2,17,19,15,4,0,0,0,71,46,55,4,6,0,11,75,0,34,2,10,444,811
11,Himachal Pradesh,Solan,11,9,1,17,16,12,4,1,0,4,91,105,61,6,12,2,4,337,1,22,1,31,326,1058
12,Himachal Pradesh,UNA,3,9,0,8,4,3,1,1,0,2,32,34,35,0,13,0,4,78,1,12,0,19,500,755
13,Himachal Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,7
Himachal Pradesh,Himachal Pradesh,Total,123,80,7,132,157,125,32,3,0,24,987,771,539,97,149,16,128,1481,6,295,16,227,5538,10776
1,Jammu Kashmir,Anantnag,239,47,1,5,49,34,15,12,0,97,269,115,53,3,7,0,181,10,0,17,6,0,295,1406
2,Jammu Kashmir,Badgam,68,19,0,2,34,31,3,5,0,0,76,128,55,3,11,0,9,0,0,31,8,0,177,626
3,Jammu Kashmir,Baramulla,173,106,1,12,96,96,0,3,0,20,162,376,110,5,17,0,104,28,0,80,0,0,586,1879
4,Jammu Kashmir,Doda,24,21,1,7,23,23,0,3,0,7,60,69,32,4,6,0,36,20,0,8,1,0,465,787
5,Jammu Kashmir,Jammu,43,117,1,33,57,57,0,4,0,7,277,485,103,16,51,0,5,141,0,29,78,21,2290,3758
6,Jammu Kashmir,Kargil,0,0,0,0,7,7,0,0,0,0,6,5,12,0,1,0,0,1,0,3,0,0,96,131
7,Jammu Kashmir,Kathua,10,27,2,17,24,24,0,4,0,8,67,90,26,5,1,0,29,36,0,19,0,6,634,1005
8,Jammu Kashmir,Kupwara,211,186,2,1,21,13,8,3,0,0,45,74,32,3,5,0,68,20,0,55,4,0,133,863
9,Jammu Kashmir,Leh,1,0,0,1,1,1,0,0,0,0,3,7,4,2,1,0,0,1,0,3,0,0,52,76
10,Jammu Kashmir,Poonch,9,30,2,7,20,20,0,0,0,0,18,170,55,3,6,3,13,40,0,14,11,0,267,668
11,Jammu Kashmir,Pulwama,198,134,0,4,34,20,14,8,0,30,106,131,26,5,4,0,99,14,0,27,3,0,163,986
12,Jammu Kashmir,Rajouri,15,29,0,28,25,25,0,6,0,11,64,94,9,8,9,0,25,22,0,21,6,5,810,1187
13,Jammu Kashmir,Srinagar,23,31,2,8,110,105,5,9,0,93,666,465,146,5,29,0,103,19,0,57,36,0,979,2781
14,Jammu Kashmir,Udhampur,29,50,3,32,22,18,4,8,0,10,111,143,47,9,2,0,37,33,0,12,13,1,748,1310
15,Jammu Kashmir,Railways,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,15
Jammu Kashmir,Jammu Kashmir,Total,1044,797,15,157,523,474,49,65,0,283,1931,2357,710,71,150,3,709,385,0,376,166,33,7703,17478
