SL.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction Total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Others IPC Crimes,Total Cog. Under IPC
2,Kerala,Kozhikode,9,8,3,7,8,3,5,3,0,6,194,202,211,20,85,0,17,321,1,16,3,75,2029,3218
3,Kerala,Thiruvananthapuram,17,41,3,13,16,7,9,17,10,56,361,348,322,20,163,1,1,756,3,49,1,31,2361,4590
1,Madhya Pradesh,Bhilai (Durg),20,32,5,30,17,14,3,0,0,46,337,470,23,7,25,1,2,714,5,61,18,13,883,2709
2,Madhya Pradesh,Bhopal,56,120,0,60,35,29,6,1,1,101,458,1170,82,12,153,7,12,941,5,115,21,54,4310,7712
3,Madhya Pradesh,Gwalior,53,87,2,33,31,20,11,4,9,81,420,868,80,17,21,48,15,666,23,93,5,71,3758,6385
4,Madhya Pradesh,Indore,87,131,3,38,35,31,4,2,5,75,669,2253,86,40,109,0,21,71,20,69,21,123,5167,9025
5,Madhya Pradesh,Jabalpur,47,115,33,54,7,7,0,0,1,57,457,890,38,14,99,0,0,131,14,212,39,82,3536,5826
6,Madhya Pradesh,Raipur,26,55,6,56,12,12,0,1,0,25,310,544,47,14,95,1,9,154,4,47,11,47,1887,3351
1,Maharashtra,Aurangabad Commr.,28,19,2,20,23,21,2,13,1,42,396,675,115,25,81,0,6,389,2,46,22,180,795,2880
2,Maharashtra,Bombay Commr.,327,187,5,153,169,127,42,83,43,628,2554,14086,117,512,1364,46,6,3728,32,264,34,181,7984,32503
3,Maharashtra,Nagpur Commr.,101,65,0,46,67,46,21,16,1,244,1236,2619,144,72,172,13,25,1072,1,77,1,114,3243,9329
4,Maharashtra,Nasik Commr.,21,16,0,13,15,10,5,5,1,19,280,495,37,21,70,0,4,269,3,20,5,78,876,2248
5,Maharashtra,New Bombay,38,15,2,18,19,14,5,23,4,71,469,749,75,56,58,2,3,343,2,38,14,41,948,2988
6,Maharashtra,Pune Commr,85,37,2,55,61,44,17,10,5,73,746,2188,1415,80,194,8,15,1268,9,84,135,167,2932,9569
7,Maharashtra,Solapur Commr.,19,15,0,24,12,12,0,0,0,30,145,320,21,13,37,5,2,286,3,19,4,39,774,1768
8,Maharashtra,Thane Commr.,131,57,4,51,69,34,35,27,10,145,1147,1842,317,68,206,6,13,1747,0,120,45,171,818,6994
1,Punjab,Amritsar,21,7,1,2,13,11,2,0,0,4,81,83,0,15,26,4,1,57,7,2,0,26,191,541
2,Punjab,Jalandhar,30,18,1,4,24,15,9,0,0,2,102,152,0,3,67,4,6,125,5,4,0,23,261,831
3,Punjab,Ludhiana,61,25,16,14,30,16,14,3,4,5,118,250,0,14,82,8,0,91,18,2,0,31,422,1194
1,Rajasthan,Ajmer,14,53,4,13,53,53,0,0,0,19,169,375,140,6,159,11,6,620,6,18,3,87,407,2163
2,Rajasthan,Bharatpur,6,1,0,5,23,18,5,0,0,8,85,232,147,12,62,4,8,18,4,9,0,34,696,1354
3,Rajasthan,Bikaner,37,77,1,36,44,44,0,2,0,5,223,368,199,10,125,3,8,77,7,78,0,157,2298,3755
4,Rajasthan,Jaipur,61,168,3,25,201,178,23,4,0,68,1015,3245,1635,196,644,70,28,168,17,134,0,212,5523,13418
5,Rajasthan,Jodhpur,27,33,0,7,49,40,9,1,0,25,246,457,236,40,225,4,9,657,12,28,0,207,1011,3274
6,Rajasthan,Kota,36,203,2,44,118,118,0,8,0,62,410,837,361,44,226,4,25,202,9,61,10,209,2069,4940
7,Rajasthan,Udaipur,11,21,1,9,53,39,14,1,0,33,178,364,242,19,145,4,6,33,2,11,5,59,1281,2478
1,Tamil Nadu,Chennai,64,283,1,11,27,27,0,3,0,80,567,2732,58,117,388,60,0,434,8,14,0,88,1208,6143
2,Tamil Nadu,Coimbatore (Urban),19,17,0,2,9,6,3,1,0,20,128,964,129,30,64,20,0,65,3,1,1,6,1789,3268
3,Tamil Nadu,Madurai Urban,26,73,1,4,14,5,9,8,0,78,158,1040,69,32,143,18,1,220,5,10,86,18,2012,4016
4,Tamil Nadu,Salem,33,22,0,4,19,19,0,0,0,8,210,484,81,2,15,21,4,176,0,6,45,6,2219,3355
5,Tamil Nadu,Trichy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Uttar Pradesh,Agra,82,72,20,13,84,61,23,11,0,74,293,831,115,93,104,2,6,202,25,45,0,92,1044,3208
2,Uttar Pradesh,Aligarh,46,65,7,15,91,73,18,4,0,41,113,319,73,27,39,0,1,73,11,40,0,69,584,1618
3,Uttar Pradesh,Allahabad,73,135,8,16,32,31,1,2,0,49,238,633,108,70,73,0,2,149,11,21,0,21,646,2287
4,Uttar Pradesh,Bareilly,100,71,12,16,73,66,7,3,1,54,195,617,59,51,90,0,6,70,19,17,0,64,760,2278
5,Uttar Pradesh,Gorakhpur,41,66,11,8,12,0,12,1,1,128,25,220,96,90,69,0,7,132,13,10,0,37,980,1947
6,Uttar Pradesh,Kanpur,169,170,21,38,159,129,30,37,3,139,605,1287,186,215,232,1,20,629,51,53,0,185,1504,5704
7,Uttar Pradesh,Lucknow,117,135,20,17,80,69,11,7,7,86,399,1426,164,197,213,0,17,98,23,38,0,103,2367,5514
8,Uttar Pradesh,Meerut,79,113,12,18,70,42,28,3,2,93,261,754,80,61,140,6,7,138,10,63,0,179,852,2941
9,Uttar Pradesh,Moradabad,54,61,18,21,39,24,15,10,2,41,17,328,41,35,49,0,11,199,35,65,0,192,281,1499
10,Uttar Pradesh,Varanasi,63,86,14,10,40,7,33,2,2,62,160,526,77,50,58,0,0,86,14,1,40,26,571,1888
1,West Bengal,Calcutta,89,176,16,29,106,87,19,35,31,171,158,5462,485,216,603,32,5,1423,8,137,11,149,3053,12395
1,Delhi,Delhi (City),426,432,62,419,1050,795,255,24,20,522,2124,19206,180,580,1739,66,79,2096,102,587,178,84,24223,54199
