Category,SL.No.,State/UT/City,Recidential Premises - Number,Recidential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Total (States),Total (States),4995,1091.9,5274,1633,11,3.2,414,76.2,84,85.1,994,492.8,10312,2326.9,22084,5709.2
UT,26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,27,Chandigarh,2,1.1,0,0,0,0,0,0,0,0,0,0,3,1,5,2
UT,28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,3,0.1
UT,30,Delhi,290,129.4,33,253.5,2,3,24,3.3,0,0,44,102.7,216,354.6,609,846.4
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,2,0.8,0,0,0,0,0,0,0,0,0,0,2,1.6,4,2.3
UT,Total (UTs),Total (UTs),294,131.2,33,253.5,2,3,24,3.3,0,0,44,102.7,224,357.2,621,850.8
Total (All-India),Total (All-India),Total (All-India),5289,1223.1,5307,1886.4,13,6.2,438,79.5,84,85.1,1038,595.5,10536,2684.1,22705,6559.9
City,33,Ahmedabad,23,2.1,6,0.9,0,0,0,0,0,0,23,5,173,35.1,225,43
City,34,Bangalore,267,77.4,2,4.2,0,0,0,0,0,0,23,7.1,221,6.4,513,95.2
City,35,Bhopal,19,0.8,0,0,0,0,0,0,3,1.1,0,0,79,15.6,101,17.5
City,36,Bombay,101,127.5,22,46.9,0,0,0,0,1,3,126,182.3,378,440.9,628,800.6
City,37,Calcutta,19,11.2,63,33.3,0,0,0,0,1,1,34,37.3,54,32.4,171,115.1
City,38,Coimbatore,7,5.8,0,0,0,0,0,0,0,0,2,0.4,11,2.8,20,9
City,39,Delhi,248,109.5,28,259.6,0,0,24,3.3,0,0,38,97.7,184,345.4,522,815.5
City,40,Hyderabad,49,10.4,0,0,0,0,0,0,0,0,0,0,0,0,49,10.4
City,41,Indore,0,0,6,1.7,0,0,0,0,0,0,4,0.7,65,6.7,75,9.1
City,42,Jaipur,6,1,0,0,0,0,0,0,0,0,8,1.2,54,0.8,68,3
City,43,Kanpur,34,3,98,30.8,0,0,0,0,0,0,0,0,7,0.2,139,34
City,44,Kochi,3,1,0,0,0,0,0,0,0,0,0,0,11,0.5,14,1.4
City,45,Lucknow,9,0.5,41,11.3,0,0,0,0,1,1.7,2,0.3,33,9.9,86,23.7
City,46,Ludhiana,0,0,0,0,0,0,0,0,0,0,1,0.2,4,2.2,5,2.3
City,47,Madras,26,8.3,0,0,0,0,0,0,0,0,6,0.4,48,8.7,80,17.4
City,48,Madurai,6,0.9,20,1,1,0.1,0,0,0,0,3,0.2,48,9.1,78,11.2
City,49,Nagpur,14,3,0,0,0,0,0,0,0,0,42,6,188,14.4,244,26.3
City,50,Patna,34,0.7,105,2,0,0,0,0,1,0.8,21,0.8,62,1,223,5.3
City,51,Pune,23,8.1,2,3,0,0,0,0,1,0.1,4,1.1,43,13.4,73,25.6
City,52,Surat,14,4.9,2,3.1,0,0,0,0,0,0,11,4.6,40,34.2,67,46.8
City,53,Vadodara,12,2.3,6,5.5,0,0,0,0,0,0,3,0.3,10,1.1,31,9.2
City,54,Varanasi,7,10,51,21,0,0,0,0,0,0,4,0,0,0,62,31
City,55,Vishakhapatnam,9,1.7,0,0,0,0,0,0,0,0,2,0.1,1,0.2,12,2.1
