Category,SI.No.,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psy. Substances Act - Male,Narcotic Drugs & Psy. Substances Act - Female,Narcotic Drugs & Psy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Subs.Act - Male,Explosive & Explosive Subs.Act - Female,Explosive & Explosive Subs.Act - Total,Immoral Trafic (prevention) Act - Male,Immoral Trafic (prevention) Act - Female,Immoral Trafic (prevention) Act - Total,Indian Raiways Act - Male,Indian Raiways Act - Female,Indian Raiways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasures Act - Male,Antiquity & Art Treasures Act - Female,Antiquity & Art Treasures Act - Total,Dowry Prohibtion Act - Male,Dowry Prohibtion Act - Female,Dowry Prohibtion Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (p) Act - Male,Indecent Representation of Women (p) Act - Female,Indecent Representation of Women (p) Act - Total,Copy right Act - Male,Copy right Act - Female,Copy right Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST(Prev. of Atrocities Act - Male,SC/ST(Prev. of Atrocities Act - Female,SC/ST(Prev. of Atrocities Act - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total
State,11,Kerala,352,2,354,488,21,509,11206,0,11206,788,16,804,6026,210,6236,454,1,455,83,34,117,219,0,219,19,2,21,8,1,9,30,2,32,158,0,158,0,0,0,0,0,0,6,2,8,1,0,1,49,0,49,18,0,18,0,0,0,431,15,446,71,14,85,5435,234,5669,25842,554,26396
State,12,Madhya Pradesh,6981,0,6981,1306,51,1357,62270,0,62270,19541,1037,20578,4,0,4,499,24,523,70,26,96,13634,118,13752,8,2,10,169,9,178,0,0,0,326,3,329,0,0,0,2,0,2,212,44,256,8,4,12,0,0,0,58,0,58,0,0,0,1634,38,1672,175,0,175,173730,1234,174964,280627,2590,283217
State,13,Maharashtra,1265,4,1269,1374,78,1452,35713,113,35826,0,0,0,109054,10496,119550,119,1,120,227,543,770,6958,77,7035,129,41,170,475,30,505,2,0,2,1237,7,1244,0,0,0,0,0,0,34,5,39,15,7,22,167,2,169,282,3,285,0,0,0,996,85,1081,55,0,55,188919,16586,205505,347021,28078,375099
State,14,Manipur,26,1,27,71,11,82,48,0,48,432,376,808,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,19,315,895,413,1308
State,15,Meghalaya,78,0,78,29,1,30,77,6,83,70,33,103,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,8,102,354,49,403
State,16,Mizoram,12,10,22,60,32,92,1,5,6,0,0,0,0,0,0,11,0,11,0,1,1,0,0,0,120,94,214,0,0,0,164,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,64,378,682,206,888
State,17,Nagaland,28,0,28,205,1,206,25,0,25,21,1,22,29,0,29,7,1,8,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,592,9,601,925,12,937
State,18,Orissa,393,0,393,212,3,215,3627,5,3632,0,0,0,3,0,3,179,0,179,30,20,50,16,0,16,0,0,0,2,0,2,0,0,0,71,0,71,0,0,0,0,0,0,271,82,353,0,0,0,0,0,0,13,0,13,0,0,0,923,7,930,2,0,2,2107,15,2122,7849,132,7981
State,19,Punjab,1174,2,1176,1660,145,1805,3617,5,3622,13220,439,13659,0,0,0,32,0,32,8,5,13,390,0,390,53,2,55,0,0,0,84,2,86,153,0,153,0,0,0,0,0,0,1,3,4,0,1,1,2,0,2,18,0,18,0,0,0,6,0,6,0,0,0,270,5,275,20688,609,21297
State,20,Rajasthan,893,5,898,811,25,836,6648,2,6650,4623,68,4691,0,0,0,308,1,309,28,19,47,1482,0,1482,22,4,26,11,0,11,34,0,34,226,0,226,0,0,0,0,0,0,3,0,3,17,4,21,5,0,5,50,0,50,0,0,0,2990,177,3167,1214,1,1215,3324,347,3671,22689,653,23342
State,21,Sikkim,0,0,0,6,1,7,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,63,25,88,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,41,339,381,71,452
State,22,Tamil Nadu,182,0,182,3152,324,3476,19301,20,19321,1,0,1,235929,65721,301650,371,0,371,126,4490,4616,171,0,171,15,0,15,351,2,353,31,2,33,11,0,11,0,0,0,0,0,0,420,175,595,0,0,0,0,0,0,0,1,1,0,0,0,774,22,796,41,2,43,329337,17661,346998,590213,88420,678633
State,23,Tripura,64,0,64,3,0,3,19,0,19,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,151,0,151
State,24,Uttar Pradesh,43442,15,43457,8384,74,8458,19949,22,19971,29367,520,29887,0,0,0,1662,1,1663,30,199,229,2992,0,2992,16,0,16,493,8,501,2,0,2,526,1,527,0,0,0,1,0,1,1234,314,1548,0,0,0,5,0,5,94,0,94,0,0,0,16553,114,16667,7222,0,7222,283555,1082,284637,415527,2350,417877
State,25,West Bengal,1788,2,1790,435,25,460,1839,0,1839,1426,6,1432,1,0,1,233,0,233,17,60,77,8810,370,9180,1220,47,1267,0,0,0,5,0,5,1186,1,1187,0,0,0,9,0,9,4,0,4,0,0,0,0,0,0,56,0,56,0,0,0,0,0,0,5,0,5,760547,1365,761912,777581,1876,779457
State,Total States,Total States,65635,59,65694,21625,959,22584,269836,241,270077,143002,5506,148508,491524,135182,626706,5710,59,5769,1219,8571,9790,38705,576,39281,1808,229,2037,3263,115,3378,1333,26,1359,6334,30,6384,324,0,324,38,0,38,5759,1356,7115,223,105,328,245,6,251,834,4,838,0,0,0,31386,761,32147,10193,31,10224,3410745,49120,3459865,4509741,202936,4712677
UT,26,A & N Islands,0,0,0,4,0,4,74,0,74,1277,451,1728,96,0,96,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,589,0,589,2062,451,2513
UT,27,Chandigarh,9,0,9,11,1,12,54,0,54,38,1,39,0,0,0,0,0,0,4,7,11,0,0,0,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,2,0,0,0,12,4,16,140,13,153
UT,28,D & N Haveli,4,0,4,0,0,0,9,0,9,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,42,0,42
UT,29,Daman & DIU,0,0,0,0,0,0,17,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0,17,1,18
UT,30,Delhi,3693,2,3695,751,46,797,6520,1,6521,5170,1684,6854,0,0,0,56,1,57,98,267,365,49,0,49,55,8,63,5,1,6,15,2,17,97,0,97,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,66,0,66,0,0,0,3,0,3,6,0,6,707,20,727,17296,2033,19329
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
UT,32,Pondicherry,26,0,26,2,0,2,54,0,54,0,0,0,0,0,0,3,1,4,29,77,106,0,0,0,1,0,1,19,1,20,0,0,0,18,0,18,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1384,17,1401,1538,97,1635
UT,Total (UTs),Total (UTs),3732,2,3734,768,47,815,6728,2,6730,6506,2136,8642,98,0,98,59,2,61,131,351,482,49,0,49,78,8,86,24,2,26,15,2,17,120,0,120,0,0,0,0,0,0,6,2,8,0,0,0,1,0,1,71,0,71,0,0,0,5,0,5,6,0,6,2700,41,2741,21097,2595,23692
Total (All-India),Total (All -India),Total (All -India),69367,61,69428,22393,1006,23399,276564,243,276807,149508,7642,157150,491622,135182,626804,5769,61,5830,1350,8922,10272,38754,0,39330,1886,237,2123,3287,117,3404,1348,28,1376,6454,30,6484,324,0,324,38,0,38,5765,1358,7123,223,105,328,246,6,252,905,4,909,0,0,0,31391,761,32152,10199,31,10230,3413445,49161,3462606,4530838,205531,4736369
City,33,Ahmedabad,93,1,94,53,2,55,6526,5,6531,0,0,0,9936,1209,11145,11,0,11,5,3,9,11,0,11,0,1,1,6,0,6,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,5,0,5,0,0,0,45,6,51,0,0,0,11588,633,12221,28311,1861,30172
City,34,Bangalore,9,0,9,35,3,38,1177,0,1177,196,23,219,28,0,28,7,0,7,97,578,675,1,0,1,7,0,7,19,2,21,3,0,3,10,1,11,0,0,0,0,0,0,119,78,197,0,0,0,0,0,0,23,0,23,0,0,0,57,28,85,66,1,67,434810,54,434864,436664,768,437432
City,35,Bhopal,399,0,399,50,0,50,1853,0,1853,244,7,251,0,0,0,12,0,12,9,11,20,0,0,0,3,2,5,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,7,52,0,52,2657,21,2678
City,36,Bombay,177,0,177,729,42,771,5355,89,5444,0,0,0,1922,321,2243,7,1,8,206,446,652,0,0,0,30,1,31,0,0,0,0,0,0,161,1,162,0,0,0,0,0,0,0,0,0,0,0,0,117,2,119,106,2,108,0,0,0,0,0,0,0,0,0,153901,15033,168934,162711,15938,178649
City,37,Calcutta,121,0,121,152,17,169,953,0,953,1321,6,1327,0,0,0,39,0,39,15,56,71,26,0,26,0,0,0,0,0,0,0,0,0,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,755479,1285,756764,758186,1364,759550
City,38,Coimbatore,3,0,3,55,7,62,557,0,557,0,0,0,580,2,582,0,0,0,6,291,297,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,10305,11412,395,11807
City,39,Delhi,3431,2,3433,741,44,785,6365,1,6366,4797,1462,6259,0,0,0,56,1,57,93,247,340,49,0,49,55,8,63,5,1,6,15,2,17,84,0,84,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,59,0,59,0,0,0,3,0,3,6,0,6,652,20,672,16415,1789,18204
City,40,Hyderabad,104,0,104,45,0,45,1732,0,1732,1253,53,1306,34,0,34,11,0,11,38,99,137,0,0,0,10,0,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,20,0,20,0,0,0,2,0,2,0,0,0,501023,1594,502617,504280,1749,506029
City,41,Indore,592,0,592,51,0,51,1450,0,1450,422,5,427,0,0,0,8,0,8,3,8,11,0,0,0,5,0,5,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,11,0,11,0,0,0,63,0,63,2655,13,2668
City,42,Jaipur,247,3,250,52,4,56,802,0,802,315,3,318,0,0,0,7,0,7,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,32,4,36,5,0,5,218,14,232,1729,28,1757
City,43,Kanpur,1921,2,1923,970,12,982,1156,0,1156,697,23,720,0,0,0,172,0,172,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,39,1,40,0,0,0,0,0,0,26,6,32,0,0,0,0,0,0,21,0,21,0,0,0,265,7,272,34,0,34,18893,5,18898,24196,56,24252
City,44,Kochi,13,0,13,46,2,48,149,0,149,0,0,0,214,0,214,6,0,6,8,5,13,0,0,0,8,2,10,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,3,1,4,0,0,0,126,0,126,582,10,592
City,45,Lucknow,1932,0,1932,490,3,493,921,0,921,498,9,507,0,0,0,58,0,58,0,32,32,1,0,1,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,7,281,78,0,78,30171,0,30171,34452,51,34503
City,46,Ludhiana,257,0,257,91,10,101,476,5,481,571,4,575,0,0,0,5,0,5,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,21,0,21,1467,19,1486
City,47,Madras,4,0,4,278,40,318,3086,20,3106,0,0,0,7519,1723,9242,6,0,6,10,857,867,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60405,8869,69274,71315,11558,82873
City,48,Madurai,30,0,30,110,41,151,312,0,312,0,0,0,1239,168,1407,4,0,4,0,152,152,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,15,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83674,1386,85060,85388,1757,87145
City,49,Nagpur,396,0,396,48,5,53,2996,0,2996,0,0,0,2829,0,2829,0,0,0,0,0,0,1,0,1,0,0,0,22,0,22,1,0,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,2173,2,2175,8497,7,8504
City,50,Patna,223,0,223,0,0,0,217,0,217,104,4,108,0,0,0,31,0,31,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,62,9,71,0,0,0,0,0,0,3,0,3,0,0,0,11,0,11,0,0,0,138,3,141,796,21,817
City,51,Pune,16,0,16,17,0,17,460,8,468,0,0,0,4016,2077,6093,0,0,0,2,8,10,0,0,0,97,39,136,6,3,9,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,5,5,10,0,0,0,12,1,13,0,0,0,0,0,0,0,0,0,3598,10,3608,8246,2151,10397
City,52,Surat,64,0,64,23,1,24,1788,0,1788,0,0,0,14369,15893,30262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,14,0,14,0,0,0,5817,421,6238,22085,16215,38400
City,53,Vadodra,10,2,12,22,4,26,1120,2,1122,0,0,0,6264,991,7255,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,33,5,38,2,3,5,2072,424,2496,9562,1431,10993
City,54,Varanasi,489,0,489,334,11,345,105,0,105,160,0,160,0,0,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,175,0,0,0,863,0,863,2176,11,2187
City,55,Vishakhapatnam,0,0,0,5,0,5,1307,0,1307,0,0,0,899,165,1064,6,0,6,74,132,206,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,26339,95,26434,28641,393,29034
