Category,SI.No.,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C. H. Not Amounting to Murder - Male,C. H. Not Amounting to Murder - Female,C. H. Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction - of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly For Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowry Deaths - Male,Dowry Deaths - Female,Dowry Deaths - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total cognizable crimes under IPC - Female,Total cognizable crimes under IPC - Total
State,12,Madhya Pradesh,7511,240,7751,8278,230,8508,387,35,422,4303,82,4385,1769,40,1809,1511,40,1551,258,0,258,759,0,759,637,1,638,2241,18,2259,10401,170,10571,15089,418,15507,25509,510,26019,828,4,832,2022,24,2046,108,1,116,2053,20,2073,50398,2043,52441,1090,323,1413,8260,0,8260,1097,0,1097,4930,1311,6241,140234,3185,143419,287904,8662,296566
State,13,Maharashtra,5253,636,5889,3576,228,3804,209,51,260,1839,66,1905,1431,119,1550,873,103,976,558,16,574,2579,42,2621,459,2,461,3551,37,3588,11574,441,2760,23273,1139,24412,37771,3839,41610,2271,37,2308,3640,175,3815,33,0,34,1822,31,1853,54296,3831,58127,960,350,1310,3764,16,3780,1172,3,1175,22948,6203,29151,57656,5426,63082,240077,22673,262750
State,14,Manipur,114,0,114,97,2,99,1,0,1,13,0,13,54,0,54,35,0,35,19,0,19,14,0,14,0,0,0,16,2,18,48,0,10571,156,4,160,74,162,236,9,0,9,21,0,21,12,0,12,9,0,9,177,12,189,0,0,0,19,0,19,0,0,0,0,1,0,743,174,917,1577,356,1933
State,15,Meghalaya,104,3,107,18,0,18,9,0,9,35,0,35,43,1,44,22,0,22,21,1,22,193,0,193,0,0,0,100,0,100,103,0,12015,383,4,387,154,0,154,8,0,8,26,0,26,2,0,2,22,0,22,175,1,176,1,0,1,24,0,24,1,0,1,0,0,0,612,1,613,2013,10,2023
State,16,Mizoram,52,0,52,10,0,10,2,0,2,51,0,51,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,13,0,13,188,0,48,653,5,658,0,0,0,34,0,34,73,0,73,10,0,10,21,0,21,146,0,146,0,0,0,35,0,35,0,0,0,0,0,0,440,3,443,1735,8,1743
State,17,Nagaland,40,4,44,17,0,17,1,0,1,14,0,14,42,0,42,22,0,22,20,0,20,38,0,38,0,0,0,107,0,107,144,1,103,139,0,139,38,0,38,26,0,26,21,1,22,0,0,0,0,1,1,110,2,112,0,0,0,7,0,7,1,0,1,2,0,2,327,2,329,1074,11,1085
State,18,Orissa,1796,106,1902,2993,58,3051,231,12,243,783,0,783,359,0,359,260,0,260,99,0,99,1212,1,1213,49,0,49,1510,19,1529,4289,60,188,7920,267,8187,10591,231,10822,379,0,379,430,5,435,1,0,1,605,8,613,8224,219,8443,335,71,406,2441,10,2451,173,3,176,1289,179,1468,36640,1390,38030,82250,2639,84889
State,19,Punjab,1115,109,1224,808,39,847,168,19,187,270,17,287,337,37,374,125,27,152,212,10,222,109,0,109,128,0,128,103,3,106,782,12,145,1254,57,1311,40,0,40,286,10,296,1203,95,1298,14,0,14,122,1,123,6713,150,6863,282,171,453,170,9,179,0,0,0,452,210,662,5601,169,5770,19957,1108,21065
State,20,Rajasthan,2512,214,2726,4529,210,4739,143,20,163,1107,8,1115,1911,115,2026,1519,104,1623,392,11,403,342,7,349,11,0,11,1265,14,1279,4001,71,4349,6185,173,6358,56904,5904,62808,434,8,442,1887,53,1940,27,0,27,961,54,1015,21322,1544,22866,429,166,595,2640,14,2654,45,0,45,4051,1074,5125,93568,7485,101053,204274,17134,221408
State,21,Sikkim,9,0,9,6,0,6,1,0,1,13,0,13,8,2,10,4,1,5,4,1,5,0,0,0,0,0,0,8,2,10,44,0,794,79,1,79,188,17,205,1,0,1,29,1,30,0,0,0,0,0,0,96,7,103,0,0,0,28,0,28,0,0,0,0,0,0,139,10,149,649,39,688
State,22,Tamil Nadu,4674,200,4874,6954,148,7102,28,0,28,453,2,455,1280,113,1393,1176,112,1288,104,1,105,693,8,701,0,0,0,930,1,931,4020,52,4072,13543,393,13936,46483,2798,49281,268,4,272,734,14,748,20,0,20,1651,48,1699,29235,1953,31188,167,50,217,2021,44,2065,1559,2,1561,569,100,669,77559,3527,81086,192841,9457,202298
State,23,Tripura,286,4,290,58,0,58,3,0,3,72,0,72,189,3,192,150,0,150,39,3,42,166,0,166,31,0,31,116,0,116,224,0,224,413,11,424,535,4,539,21,0,21,22,0,22,10,0,10,34,0,34,850,0,850,21,3,24,88,0,88,1,0,1,96,20,116,2013,45,2058,5249,90,5339
State,24,Uttar Pradesh,19173,179,19352,17481,26,17507,3429,10,3439,2712,7,2719,6401,198,6599,3613,178,3791,2788,20,2808,3724,3,3727,574,0,574,5745,0,5745,6321,25,6346,16707,133,16840,39819,532,40351,2293,11,2304,3548,15,3563,94,0,94,1957,6,1963,44802,572,45374,4624,1337,5961,3405,6,3411,157,0,157,8525,1681,10206,81480,1121,82601,272971,5862,278833
State,25,West Bengal,4502,180,4682,1165,36,1201,1215,43,1258,1062,0,1062,1539,84,1623,1339,71,1410,200,13,213,2062,3,2065,1113,1,1114,1546,0,1546,1014,0,1014,19315,224,19539,29789,719,30508,550,5,555,1295,19,1314,27,0,27,360,1,361,8312,58,8370,205,47,252,1486,0,1486,20,0,20,5213,1104,6317,27631,1404,29035,109421,3928,113349
State,Total States,Total States,76673,3097,79770,71342,1504,72846,7470,319,7789,18672,245,18917,24198,2720,26918,14746,2573,17319,9452,147,9599,24387,94,24481,4262,29,4291,27873,172,28045,72436,1178,73614,16605,4209,170814,453122,23140,476262,15204,264,15468,28471,844,29315,696,12,708,15096,242,15338,403216,20481,423697,11217,3255,14472,35217,337,35554,6693,90,6783,64976,16390,81366,880238,41235,921473,2408064,119857,2527921
UT,26,A & N Islands,10,0,10,17,1,18,2,0,2,7,0,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,50,2,52,43,2,45,2,0,2,2,0,2,0,0,0,8,0,8,101,14,115,0,0,0,7,0,7,2,0,2,2,1,3,188,17,205,469,37,506
UT,27,Chandigarh,17,3,20,54,2,56,5,2,7,19,2,21,31,8,39,23,8,31,8,0,8,0,0,0,0,0,0,0,0,0,108,3,11,446,15,461,423,7,430,22,0,22,71,6,77,0,0,0,0,0,0,154,8,162,2,0,2,12,0,12,7,0,7,14,8,22,676,21,697,2061,85,2146
UT,28,D & N Haveli,19,0,19,20,0,20,5,0,5,3,0,3,7,0,7,7,0,7,0,0,0,4,0,4,0,0,0,0,0,0,25,1,26,64,0,64,188,13,201,2,0,2,0,0,0,0,0,0,1,0,1,69,11,80,0,0,0,7,0,7,0,0,0,6,1,7,181,9,190,601,35,636
UT,29,Daman & DIU,10,2,12,2,0,2,0,0,0,0,1,1,2,1,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,10,0,10,99,4,103,6,0,6,9,1,10,0,0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,110,10,120,268,19,287
UT,30,Delhi,776,64,840,928,26,954,214,11,225,633,39,672,634,41,675,425,28,453,209,13,222,146,2,148,99,0,99,1021,5,1026,1554,3,1557,7698,192,7890,1253,65,1318,344,7,351,1577,101,1678,9,0,9,39,1,40,3800,163,3963,236,128,364,916,10,926,223,2,225,381,172,553,28093,1070,29163,50574,2102,52676
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,8
UT,32,Pondicherry,85,2,87,80,1,81,29,0,29,2,0,2,8,0,8,5,0,5,3,0,3,9,0,9,0,0,0,4,0,4,59,2,61,261,6,267,797,11,808,4,0,4,16,0,16,0,0,0,8,0,8,681,20,701,1,0,1,20,1,21,10,0,10,2,1,3,1848,98,1946,3924,142,4066
UT,Total (UTs),Total (UTs),917,71,988,1101,30,1131,255,13,268,664,42,706,683,50,733,463,37,500,220,13,233,159,2,161,99,0,99,1025,5,1030,1796,9,1805,8529,215,8744,2803,102,2905,380,7,387,1675,108,1783,9,0,9,56,1,57,4809,216,5025,239,128,367,962,11,973,242,2,244,405,183,588,31097,1225,32322,57905,2420,60325
Total (All-India),Total (All -India),Total (All -India),77590,3168,80758,72443,1534,73977,7725,332,8057,19336,287,19623,24881,2770,27651,15209,2610,17819,9672,160,9832,24546,96,24642,4361,29,4390,28898,177,29075,74232,1187,75419,175134,4424,179558,455925,23242,479167,15584,271,15855,30146,952,31098,705,12,717,15152,243,15395,408025,20697,428722,11456,3383,14839,36179,348,36527,6935,92,7027,65381,16573,81954,911335,42460,953795,2465969,122277,2588246
City,33,Ahmedabad,175,10,185,173,20,193,6,0,6,18,0,18,188,6,194,101,4,105,87,2,89,55,0,55,0,0,0,168,6,174,484,13,497,1416,64,1480,934,59,993,183,10,193,295,17,312,10,1,11,11,0,11,3173,194,3367,22,10,32,47,1,48,33,0,33,589,220,809,6743,558,7301,14723,1189,15912
City,34,Bangalore,273,14,287,464,8,472,7,0,7,39,1,40,75,4,79,39,4,43,36,0,36,140,0,140,0,0,0,382,1,383,979,16,995,2417,80,2497,1056,47,1103,149,7,156,518,34,552,8,0,8,137,0,137,4756,222,4978,49,25,74,238,3,241,38,0,38,290,137,427,5554,361,5915,17569,960,18529
City,35,Bhopal,96,0,96,266,8,274,0,0,0,94,0,94,41,0,41,36,0,36,5,0,5,6,0,6,6,0,6,123,0,123,221,7,228,400,11,411,609,17,626,9,0,9,158,6,164,0,0,0,11,0,11,1191,15,1206,9,3,12,152,0,152,20,0,20,94,15,109,5691,220,5911,9197,302,9499
City,36,Calcutta,512,30,542,335,10,345,3,0,3,181,24,205,148,17,165,96,17,113,52,0,52,211,2,213,157,0,157,533,4,537,891,19,910,3994,126,4120,1284,251,1535,634,10,644,834,53,887,14,0,14,3,0,3,5389,277,5666,31,20,51,253,2,255,39,0,39,241,141,382,7255,365,7620,22942,1351,24293
City,37,Chennai,93,2,95,123,4,127,14,0,14,35,0,35,108,9,117,89,6,95,19,3,22,82,0,82,81,0,81,197,0,197,127,0,127,2763,21,2784,993,0,993,132,0,132,321,0,321,2,0,2,7,0,7,1480,0,1480,17,4,21,139,0,139,9,0,9,136,35,171,1744,41,1785,8603,116,8719
City,38,Coimbatore,29,5,34,62,0,62,0,0,0,6,0,6,4,0,4,3,0,3,1,0,1,9,0,9,0,0,0,21,0,21,53,0,53,773,59,832,451,94,545,14,0,14,12,0,12,0,0,0,0,0,0,95,0,95,8,1,9,1,0,1,1,0,1,6,5,11,1612,9,1621,3157,173,3330
City,39,Delhi,652,56,708,809,20,829,194,9,203,535,31,566,510,36,546,340,24,364,170,12,182,109,1,110,92,0,92,909,3,912,1255,3,1258,6369,176,6545,934,58,992,280,6,286,1530,81,1611,9,0,9,36,1,37,1584,72,1656,218,104,322,811,7,818,210,2,212,276,146,422,24498,865,25363,41820,1677,43497
City,40,Hyderabad,204,0,204,189,0,189,31,0,31,43,0,43,73,0,73,43,0,43,30,0,30,0,0,0,0,0,0,36,0,36,412,27,439,872,84,956,1873,0,1873,21,0,21,276,0,276,5,0,5,36,0,36,757,0,757,0,17,17,9,0,9,0,0,0,171,42,213,5568,1217,6785,10576,1387,11963
City,41,Indore,209,3,212,350,4,354,5,0,5,67,0,67,50,2,52,39,2,41,11,0,11,3,0,3,33,0,33,94,4,98,254,0,254,518,5,523,494,3,497,38,0,38,120,0,120,0,0,0,44,0,44,157,4,161,47,3,50,90,0,90,41,0,41,323,16,339,7394,36,7430,10331,80,10411
City,42,Jaipur,113,0,123,171,0,171,1,0,1,29,0,29,147,8,155,140,8,148,7,0,7,14,0,14,0,0,0,77,0,77,266,0,266,542,11,553,3622,234,3856,28,0,28,154,3,157,2,0,2,13,0,44,276,1,277,13,5,18,170,0,170,0,0,0,171,8,179,5493,208,5701,11302,488,11790
City,43,Kanpur,365,11,376,315,4,319,49,3,52,44,0,44,190,24,214,146,22,168,44,2,46,79,0,79,15,0,15,174,0,174,425,2,427,473,4,477,624,9,633,124,3,127,183,0,183,1,0,1,16,0,13,1295,32,1327,117,59,176,70,0,70,0,0,0,403,74,477,1942,44,1986,6904,269,7173
City,44,Kochi,23,0,23,54,0,54,7,0,7,12,0,12,16,0,16,3,0,3,13,0,13,26,0,26,0,0,0,29,0,29,194,3,197,228,8,236,658,7,665,15,1,16,80,21,101,0,0,0,14,0,16,712,41,753,2,0,2,47,0,47,0,0,0,16,5,21,2853,42,2895,4986,128,5114
City,45,Lucknow,351,0,351,243,0,243,39,0,39,36,0,36,66,0,66,51,0,51,15,0,15,19,0,19,17,0,17,71,0,71,102,0,102,298,0,298,531,0,531,47,2,49,61,0,61,0,0,0,16,0,14,825,12,837,40,9,49,50,0,50,0,0,0,142,29,171,2138,51,2189,5092,103,5195
City,46,Ludhiana,89,6,95,50,3,53,19,3,22,15,0,15,16,1,17,5,0,5,11,1,12,8,0,8,25,0,25,9,0,9,56,3,59,144,0,144,0,0,0,24,2,26,94,11,105,5,0,5,0,0,0,204,7,211,17,8,25,5,0,5,0,0,0,24,32,56,409,10,419,1213,86,1299
City,47,Madras,212,6,218,526,14,540,3,0,3,15,0,15,70,2,72,70,2,72,0,0,0,30,0,30,0,0,0,122,0,122,266,0,266,1382,33,1415,538,19,557,19,0,19,78,0,78,0,0,0,0,0,0,877,16,893,7,7,14,16,0,16,0,0,0,101,5,106,2397,296,2693,6659,398,7057
City,48,Madurai,73,0,73,167,0,167,0,0,0,1,0,1,9,0,9,7,0,7,2,0,2,40,0,40,0,0,0,102,0,102,74,0,74,672,42,714,364,0,364,9,0,9,35,0,35,1,0,1,0,0,0,226,0,226,8,4,12,9,0,9,86,0,86,7,5,12,1772,56,1828,3655,107,3762
City,49,Nagpur,196,3,199,126,0,126,0,0,0,51,1,52,63,1,64,47,1,48,16,0,16,39,0,39,6,0,6,177,0,177,213,3,216,455,7,462,1402,0,1402,32,0,32,88,2,90,0,0,0,7,0,7,1090,0,1090,3,0,3,74,0,74,1,0,1,326,16,342,2832,0,2832,7181,33,7214
City,50,Patna,691,0,691,1046,0,1046,35,0,35,25,0,25,126,29,155,0,29,29,126,0,126,281,0,281,84,0,84,679,0,679,329,0,329,1451,0,1451,679,0,679,276,0,276,125,0,125,2,0,2,48,0,48,1421,0,1421,93,0,93,81,0,81,1,0,1,132,9,141,2699,3,2702,10304,41,10345
City,51,Pune,159,26,185,82,5,87,4,0,4,63,4,67,67,24,91,46,21,67,21,3,24,54,1,55,33,0,33,74,4,78,509,42,551,1266,117,1383,2918,1384,4302,75,1,76,191,25,216,0,0,0,12,0,12,2246,120,2366,12,8,20,86,1,87,158,0,158,298,204,502,2638,325,2963,10945,2291,13236
City,52,Surat,141,5,146,52,5,57,0,0,0,17,0,17,55,7,62,35,5,40,20,2,22,100,0,100,0,0,0,65,0,65,426,6,432,745,20,765,582,20,602,45,5,50,329,25,354,0,0,0,16,0,16,1085,63,1148,0,89,89,21,1,22,5,0,5,345,108,453,1035,89,1124,5064,443,5507
City,53,Vadodra,52,6,58,50,6,56,0,0,0,10,1,11,97,1,98,61,1,62,36,0,36,29,0,29,0,0,0,30,3,33,272,26,298,491,26,517,869,189,1058,156,13,169,413,46,459,0,0,0,7,0,7,757,64,821,13,7,20,48,0,48,4,0,4,255,138,393,3511,856,4367,7064,1382,8446
City,54,Varanasi,156,0,156,219,0,219,36,0,36,18,0,18,98,4,102,16,4,20,82,0,82,6,0,6,14,0,14,85,0,85,78,0,78,185,0,185,520,6,526,58,0,58,127,0,127,0,0,0,0,0,0,258,0,258,30,20,50,2,0,2,51,0,51,81,24,105,760,18,778,2782,72,2854
City,55,Vishakhapatnam,33,0,33,29,1,30,1,1,2,57,0,57,41,3,44,26,3,29,15,0,15,19,0,19,0,0,0,25,0,25,156,3,159,420,8,428,168,12,180,23,0,23,138,3,141,0,0,0,6,0,6,579,50,629,5,1,6,52,1,53,337,0,337,170,53,223,877,0,877,3136,136,3272
