Category,SL. No.,State/UT/City,Murder,Attempt to commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt/ Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Other IPC Crimes,Total Cognizable Crimes Under IPC
State,18,Orissa,3,0,0,0,3,3,0,1,0,0,53,84,5,1,0,0,0,6,0,0,0,0,13,169
State,19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
State,20,Rajasthan,16,19,1,10,14,12,2,2,0,1,104,87,154,0,1,0,8,88,7,14,0,13,227,166
State,21,Sikkim,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4
State,22,Tamil Nadu,16,18,0,0,0,0,0,0,0,1,58,252,14,0,0,0,1,4,0,0,1,0,29,394
State,23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,24,Uttar Pradesh,5,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,26,1,38
State,25,West Bengal,2,1,0,1,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,14
State,Total (States),Total (States),313,231,22,150,138,44,94,51,0,111,1655,2937,1156,8,33,0,40,1729,49,116,14,267,3377,12397
UT,26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4
UT,27,Chandigarh,0,1,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,1,0,0,0,0,9,40
UT,28,D & N Haveli,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
UT,29,Daman & Diu,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2
UT,30,Delhi,14,9,0,14,1,0,1,4,0,0,89,201,5,1,29,0,0,15,3,7,0,1,94,497
UT,31,Lakshadweep,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,10
UT,Total (UTs),Total (UTs),14,12,0,14,1,0,1,4,0,8,111,222,5,1,29,0,40,16,3,8,0,1,105,556
Total (All -India),Total (All -India),Total (All -India),327,243,24,164,139,44,95,55,0,119,1766,3159,1161,9,62,0,0,1745,52,124,14,268,3482,12953
City,33,Ahmedabad,1,0,0,0,2,1,1,0,0,1,19,24,9,0,0,0,0,21,0,0,0,4,10,91
City,34,Bangalore,0,0,0,0,0,0,0,0,0,5,31,72,0,0,5,0,0,6,0,0,0,1,3,123
City,35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,36,Bombay,8,1,0,1,1,1,0,0,0,0,18,84,0,0,1,0,0,56,0,6,0,1,83,260
City,37,Calcutta,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
City,38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,23
City,39,Delhi,14,9,2,14,1,0,1,4,0,8,89,201,5,1,29,0,0,15,3,7,0,1,94,497
City,40,Hyderabad,0,0,0,0,0,0,0,0,0,0,59,44,0,0,0,0,0,0,0,0,0,0,2,105
City,41,Indore,1,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,8,0,0,0,0,50,71
City,42,Jaipur,2,1,0,0,1,1,0,0,0,0,15,19,31,0,1,0,1,0,0,2,0,0,19,92
City,43,Kanpur,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3
City,44,Kochi,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,11
City,45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,47,Madras,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,32
City,48,Madurai,1,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,0,6,53
City,49,Nagpur,0,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,21
City,50,Patna,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,3,0,0,0,1,1,15
City,51,Pune,3,0,0,6,0,0,0,2,0,0,30,44,8,0,1,0,1,16,0,2,1,3,7,124
City,52,Surat,1,0,0,0,0,0,0,0,0,2,9,35,6,0,3,0,0,14,0,0,0,1,1,72
City,53,Vadodara,0,1,0,0,1,0,1,0,0,0,11,18,9,3,1,0,0,9,0,0,0,2,53,108
City,54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,55,Vishakhapatnam,0,0,0,1,0,0,0,0,0,0,4,40,0,0,0,0,0,14,0,0,0,0,4,63
