SL. No.,State/UT,Murder - Incidence (I),Murder - Rate (R),Murder - Percentage Contribution to All-India (P),Hurt - Incidence (I),Hurt - Rate (R),Hurt - Percentage Contribution to All-India (P),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dacoity - Incidence (I),Dacoity - Rate (R),Dacoity - Percentage Contribution to All-India (P),Robbery - Incidence (I),Robbery - Rate (R),Robbery - Percentage Contribution to All-India (P),Arson - Incidence (I),Arson - Rate (R),Arson - Percentage Contribution to All-India (P),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Protection of Civil Rights Act - Percentage Contribution to All-India (P),SC & ST (Prev. of Atrocities) Act - Incidence (I),SC & ST (Prev. of Atrocities) Act - Rate (R),SC & ST (Prev. of Atrocities) Act - Percentage Contribution to All-India (P),Other Offences - Incidence (I),Other Offences - Rate (R),Other Offences - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
13,Maharashtra,7,0,7.4,61,0.1,8.8,34,0,10.8,6,0,12,0,0,0,1,0,4.8,0,0,0,14,0,19.4,61,0.1,8.1,153,0.2,5.3,337,0.4,6.8
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,1,0,1.1,62,0.2,8.9,7,0,2.2,2,0,4,1,0,3.1,3,0,14.3,0,0,0,1,0,1.4,56,0.2,7.4,46,0.1,1.6,179,0.5,3.6
19,Punjab,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Rajasthan,19,0,20.2,60,0.1,8.6,41,0.1,13.1,1,0,2,0,0,0,1,0,4.8,8,0,15.7,0,0,0,176,0.4,23.3,1087,2.2,37.6,1393,2.8,28
21,Sikkim,0,0,0,8,1.7,1.2,1,0.2,0.3,0,0,0,0,0,0,0,0,0,1,0.2,2,0,0,0,0,0,0,36,7.5,1.2,46,9.6,0.9
22,Tamil Nadu,0,0,0,54,0.1,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,29.2,6,0,0.8,4,0,0.1,85,0.1,1.7
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,7,0,7.4,33,0,4.8,8,0,2.5,3,0,6,1,0,3.1,2,0,9.5,19,0,37.3,3,0,4.2,91,0.1,12.1,169,0.1,5.8,336,0.2,6.8
25,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),Total (States),94,0,100,694,0.1,100,314,0,100,50,0,100,32,0,100,21,0,100,51,0,100,72,0,100,753,0.1,99.9,2891,0.3,100,4972,0.5,100
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.1,0,0,0,1,0.6,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,1,0,0
Total (All-India),Total (All-India),94,0,100,694,0.1,100,314,0,100,50,0,100,32,0,100,21,0,100,51,0,100,72,0,100,754,0.1,100,2891,0.3,100,4973,0.5,100
