Category,SI.No.,State/UT/City,Arms Act - Incidence (I),Arms Act - Rate (R),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Rate (R),Gambling Act - Incidence (I),Gambling Act - Rate (R),Excise Act - Incidence (I),Excise Act - Rate (R),Prohibition Act - Incidence (I),Prohibition Act - Rate (R),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Rate (R),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Indian Railways Act - Incidence (I),Indian Railways Act - Rate (R),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Rate (R),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Indian Passport Act - Incidence (I),Indian Passport Act - Rate (R),Essential Commodities Act - Incidence (I),Essential Commodities Act - Rate (R),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Rate (R),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Rate (R),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R),Child Marriage Restraint Act - Incidence (I),Child Marriage Restraint Act - Rate (R),Incidence Representation of Women (P) Act - Incidence (I),Incidence Representation of Women (P) Act - Rate (R),Copy Right Act - Incidence (I),Copy Right Act - Rate (R),Sati Prevention Act - Incidence (I),Sati Prevention Act - Rate (R),SC/ST (Prev. Of Atrocities ) Act - Incidence (I),SC/ST (Prev. Of Atrocities ) Act - Rate (R),Forest Act - Incidence (I),Forest Act - Rate (R),Other SLL Crimes - Incidence (I),Other SLL Crimes - Rate (R),Total Cognizable Crimes Under SLL - Incidence (I),Total Cognizable Crimes Under SLL - Rate (R)
State,12,Madhya Pradesh,6946,9.5,1198,1.6,15943,21.7,19507,26.5,2,0,460,0.6,18,0,13250,18,6,0,77,0.1,1,0,245,0.3,0,0,2,0,102,0.1,3,0,0,0,42,0.1,0,0,1074,1.5,110,0.1,173661,236.3,232647,316.6
State,13,Maharashtra,1112,1.3,1070,1.2,13676,15.6,0,0,115636,132.1,67,0.1,615,0.7,7020,8,169,0.2,315,0.4,2,0,781,0.9,0,0,0,0,20,0,4,0,43,0,231,0.3,0,0,619,0.7,26,0,201708,230.4,343114,391.9
State,14,Manipur,33,1.6,88,4.2,34,1.6,850,40.9,0,0,21,1,0,0,0,0,0,0,0,0,6,0.3,8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,13.5,1320,63.5
State,15,Meghalaya,77,3.8,17,0.8,63,3.1,151,7.5,0,0,8,0.4,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2.2,362,18
State,16,Mizoram,28,3.5,53,6.5,3,0.4,0,0,0,0,11,1.4,1,0.1,0,0,52,6.4,0,0,82,10.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,9.5,308,38
State,17,Nagaland,31,2.2,148,10.3,6,0.4,25,1.7,22,1.5,12,0.8,0,0,10,0.7,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,572,40,830,58
State,18,Orissa,241,0.7,124,0.4,822,2.4,0,0,48,0.1,65,0.2,15,0,11,0,0,0,1,0,12,0,54,0.2,0,0,0,0,175,0.5,0,0,0,0,8,0,0,0,388,1.1,2,0,610,1.7,2576,7.4
State,19,Punjab,1171,5.3,1700,7.8,1749,8,13427,61.3,0,0,30,0.1,3,0,314,1.4,17,0.1,1,0,74,0.3,102,0.5,0,0,0,0,5,0,1,0,2,0,16,0.1,0,0,3,0,0,0,562,2.6,19177,87.5
State,20,Rajasthan,903,1.8,577,1.2,3028,6.2,4070,8.3,0,0,174,0.4,24,0,1329,2.7,25,0.1,7,0,42,0.1,280,0.6,0,0,0,0,2,0,9,0,5,0,17,0,0,0,3933,8,845,1.7,3517,7.2,18787,38.2
State,21,Sikkim,1,0.2,6,1.3,0,0,0,0,0,0,2,0.4,1,0.2,0,0,46,9.6,0,0,0,0,10,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,80.6,453,94.4
State,22,Tamil Nadu,150,0.3,3395,5.8,14886,25.3,1,0,309581,526.2,364,0.6,4491,7.6,184,0.3,14,0,292,0.5,31,0.1,21,0,2,0,0,0,324,0.6,2,0,0,0,3,0,0,0,459,0.8,29,0,321524,546.5,655753,1114.7
State,23,Tripura,53,1.7,6,0.2,7,0.2,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,26,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.3,135,4.3
State,24,Uttar Pradesh,43437,28.5,8393,5.5,5105,3.3,29394,19.3,0,0,1631,1.1,36,0,2723,1.8,14,0,226,0.1,3,0,571,0.4,0,0,1,0,566,0.4,0,0,5,0,57,0,0,0,6167,4,2898,1.9,275978,180.8,377205,247.2
State,25,West Bengal,1081,1.5,300,0.4,684,0.9,1376,1.8,1,0,181,0.2,19,0,8777,11.8,783,1.1,0,0,3,0,874,1.2,0,0,3,0,1,0,0,0,0,0,38,0.1,0,0,0,0,1,0,552074,741.7,566196,760.7
State,Total States,Total States,63612,6.9,20203,2.2,124033,13.5,135080,14.7,617712,67.3,5343,0.6,7554,0.8,37282,4.1,1236,0.1,1848,0.2,435,0,5083,0.6,56,0,22,0,2642,0.3,89,0,95,0,570,0.1,0,0,16304,1.8,4818,0.5,3525120,383.9,4569136,497.6
UT,26,A & N Islands,0,0,3,0.9,12,3.5,1670,491.2,57,16.8,0,0,0,0,0,0,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,429,126.2,2177,640.3
UT,27,Chandigarh,8,1,13,1.6,24,3,30,3.7,0,0,0,0,3,0.4,0,0,1,0.1,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,4,0.5,0,0,1,0.1,0,0,15,1.9,103,12.7
UT,28,D & N Haveli,2,1.3,0,0,2,1.3,13,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5.6,26,16.3
UT,29,Daman & Diu,2,1.8,0,0,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8,9,8.2
UT,30,Delhi,3668,32.3,776,6.8,2562,22.6,6417,56.5,0,0,51,0.4,131,1.2,43,0.4,44,0.4,9,0.1,19,0.2,93,0.8,0,0,0,0,4,0,0,0,0,0,59,0.5,0,0,1,0,2,0,614,5.4,14493,127.6
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
UT,32,Pondicherry,7,0.8,2,0.2,13,1.4,0,0,0,0,3,0.3,18,2,0,0,1,0.1,13,1.4,0,0,19,2.1,0,0,0,0,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,961,106.8,1039,115.4
UT,Total (UTs),Total (UTs),3687,26.8,794,5.8,2618,19.1,8130,59.2,60,0.4,54,0.4,152,1.1,43,0.3,51,0.4,22,0.2,19,0.1,116,0.8,0,0,0,0,5,0,0,0,1,0,64,0.5,0,0,2,0,2,0,2030,14.8,17850,129.9
Total (All-India),Total (All -India),Total (All -India),67299,7.2,20996,2.3,126651,13.6,143210,15.4,617772,66.3,5397,0.6,7706,0.8,37325,4,1287,0.1,1870,0.2,454,0,5199,0.6,56,0,22,0,2647,0.3,89,0,96,0,634,0.1,0,0,16306,1.7,4820,0.5,3527150,378.5,4586986,492.2
City,33,Ahmedabad,53,1.4,32,0.8,1530,40.2,0,0,9914,260.2,4,0.1,3,0.1,6,0.2,1,0,7,0.2,0,0,25,0.7,0,0,0,0,0,0,1,0,0,0,5,0.1,0,0,30,0.8,0,0,9796,257.1,21407,561.9
City,34,Bangalore,3,0.1,31,0.6,431,8.7,212,4.3,10,0.2,8,0.2,530,10.7,1,0,6,0.1,15,0.3,3,0.1,7,0.1,0,0,0,0,87,1.8,0,0,0,0,21,0.4,0,0,69,1.4,47,0.9,734864,14786,736345,14815.8
City,35,Bhopal,399,28.7,50,3.6,456,32.8,244,17.6,0,0,12,0.9,5,0.4,0,0,1,0.1,0,0,0,0,24,1.7,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,1,0.1,2,0.1,28,2,1223,88
City,36,Calcutta,148,0.9,528,3.3,1733,11,0,0,2118,13.4,4,0,595,3.8,0,0,31,0.2,3,0,0,0,108,0.7,0,0,0,0,0,0,0,0,37,0.2,100,0.6,0,0,0,0,0,0,176485,1117.7,181890,1151.9
City,37,Chennai,121,1,133,1.1,354,2.9,1327,10.9,0,0,72,0.6,15,0.1,24,0.2,0,0,0,0,0,0,50,0.4,0,0,0,0,0,0,0,0,0,0,16,0.1,0,0,0,0,0,0,547649,4511.1,549761,4528.5
City,38,Coimbatore,2,0.2,61,5,163,13.5,0,0,574,47.4,0,0,296,24.5,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,9053,748.2,10153,839.1
City,39,Delhi,3406,32.9,766,7.4,2500,24.2,5845,56.5,0,0,51,0.5,127,1.2,43,0.4,44,0.4,9,0.1,19,0.2,82,0.8,0,0,0,0,3,0,0,0,0,0,55,0.5,0,0,1,0,2,0,569,5.5,13522,130.8
City,40,Hyderabad,126,2.2,9,0.2,658,11.4,1154,20,31,0.5,6,0.1,34,0.6,0,0,12,0.2,4,0.1,0,0,0,0,0,0,0,0,9,0.2,0,0,0,0,20,0.3,0,0,3,0.1,0,0,501768,8681.1,503834,8716.9
City,41,Indore,586,45.1,37,2.8,427,32.8,391,30.1,0,0,13,1,3,0.2,1,0.1,5,0.4,0,0,0,0,20,1.5,0,0,0,0,0,0,0,0,0,0,10,0.8,0,0,5,0.4,0,0,57,4.4,1555,119.6
City,42,Jaipur,246,13.1,33,1.8,275,14.6,280,14.9,0,0,6,0.3,7,0.4,0,0,0,0,0,0,1,0.1,14,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3.5,4,0.2,264,14,1195,63.6
City,43,Kanpur,1922,84.3,979,42.9,242,10.6,702,30.8,0,0,157,6.9,0,0,0,0,0,0,0,0,3,0.1,32,1.4,0,0,0,0,15,0.7,0,0,0,0,6,0.3,0,0,119,5.2,14,0.6,18879,828,23070,1011.8
City,44,Kochi,6,0.4,46,3.1,20,1.3,0,0,67,4.5,2,0.1,6,0.4,0,0,2,0.1,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,3,0.2,1,0.1,0,0,4,0.3,0,0,114,7.6,275,18.3
City,45,Lucknow,1932,88.6,493,22.6,178,8.2,507,23.3,0,0,58,2.7,5,0.2,1,0,0,0,0,0,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3,20,0.9,30167,1383.8,33436,1533.8
City,46,Ludhiana,254,18.3,100,7.2,192,13.8,489,35.2,0,0,7,0.5,0,0,13,0.9,0,0,0,0,0,0,17,1.2,0,0,0,0,0,0,0,0,2,0.1,4,0.3,0,0,0,0,0,0,11,0.8,1089,78.3
City,47,Madurai,4,0.1,235,3.8,2843,46.3,0,0,9011,146.8,4,0.1,786,12.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,49,0.8,0,0,0,0,0,0,0,0,0,0,0,0,56401,918.6,69335,1129.2
City,48,Mumbai,30,2.5,151,12.7,312,26.2,0,0,1393,117.1,6,0.5,152,12.8,0,0,2,0.2,6,0.5,2,0.2,1,0.1,0,0,0,0,6,0.5,0,0,0,0,1,0.1,0,0,0,0,0,0,85060,7147.9,87122,7321.2
City,49,Nagpur,393,20.7,42,2.2,858,45.2,0,0,2628,138.3,0,0,0,0,1,0.1,0,0,15,0.8,1,0.1,21,1.1,0,0,0,0,0,0,0,0,0,0,7,0.4,0,0,0,0,0,0,1338,70.4,5304,279.2
City,50,Patna,180,14.9,0,0,42,3.5,78,6.4,0,0,13,1.1,5,0.4,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,22,1.8,0,0,0,0,3,0.2,0,0,5,0.4,0,0,87,7.2,438,36.2
City,51,Pune,15,0.5,14,0.5,154,5,0,0,5820,189.6,0,0,4,0.1,0,0,135,4.4,4,0.1,0,0,6,0.2,0,0,0,0,0,0,1,0,0,0,8,0.3,0,0,4,0.1,0,0,3430,111.7,9595,312.5
City,52,Surat,52,2.6,15,0.8,457,23,0,0,28271,1420.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,3,0.2,3,0.2,0,0,10,0.5,0,0,4878,245.1,33690,1693
City,53,Vadodra,9,0.6,16,1.1,334,23.7,0,0,6808,482.8,0,0,0,0,14,1,0,0,0,0,0,0,10,0.7,0,0,0,0,0,0,0,0,0,0,7,0.5,0,0,24,1.7,3,0.2,1933,137.1,9158,649.5
City,54,Varanasi,489,41.4,345,29.2,41,3.5,155,13.1,0,0,44,3.7,0,0,0,0,0,0,0,0,0,0,7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5.4,0,0,955,80.9,2100,178
City,55,Vishakhapatnam,0,0,3,0.2,1244,87,0,0,638,44.6,2,0.1,54,3.8,0,0,0,0,4,0.3,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,26392,1845.6,28342,1982
