Category,SL. No.,State/UT/City,Gain - Murder,Gain - Culpable Homicide Not Amounting to Murder (C.H.),Property Dispute - Murder,Property Dispute - Culpable Homicide Not Amounting to Murder (C.H.),Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - Culpable Homicide Not Amounting to Murder (C.H.),Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - Culpable Homicide Not Amounting to Murder (C.H.),Dowry - Murder,Dowry - Culpable Homicide Not Amounting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homicide Not Amounting to Murder (C.H.),Communalism - Murder,Communalism - Culpable Homicide Not Amounting to Murder (C.H.),Casteism - Murder,Casteism - Culpable Homicide Not Amounting to Murder (C.H.),Class Conflict - Murder,Class Conflict - Culpable Homicide Not Amounting to Murder (C.H.),Other Motives - Murder,Other Motives - Culpable Homicide Not Amounting to Murder (C.H.),Total - Muder,Total - Culpable Homicide Not Amounting to Murder (C.H.)
State,16,Mizoram,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,37,7,43,8
State,17,Nagaland,4,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,22,0,173,6,203,8
State,18,Orissa,54,3,80,3,111,4,54,0,116,0,0,0,0,0,0,0,11,0,582,97,1008,107
State,19,Punjab,22,5,93,8,68,6,96,10,14,11,1,0,0,0,0,0,0,0,412,54,706,94
State,20,Rajasthan,98,3,148,1,280,2,40,1,215,13,2,0,0,0,0,0,0,0,839,67,1622,87
State,21,Sikkim,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,2
State,22,Tamil Nadu,87,0,162,0,434,0,209,0,22,0,6,0,4,0,21,0,4,0,934,16,1883,16
State,23,Tripura,52,0,13,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,120,1,228,1
State,24,Uttar Pradesh,408,19,637,128,1769,87,522,42,0,0,1,1,1,0,24,0,1,1,5137,1054,8500,1332
State,25,West Bengal,30,4,35,17,123,24,2,0,44,0,0,0,3,0,0,0,0,0,1690,586,1927,631
State,Total (States),Total (States),2324,155,3853,316,5569,198,2543,83,1150,199,138,22,119,0,172,0,176,10,21039,2649,37083,3632
UT,26,A & N Islands,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,1,11,1
UT,27,Chandigarh,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,17,4,20,5
UT,28,D & N Haveli,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,2
UT,29,Daman & Diu,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
UT,30,Delhi,55,1,89,20,114,2,68,8,34,3,0,0,0,0,0,0,0,0,158,48,518,82
UT,31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,32,Pondicherry,1,0,1,0,15,2,2,0,0,0,0,0,0,0,0,0,0,0,8,4,27,6
UT,Total (UTs),Total (UTs),57,1,93,21,130,4,73,8,35,3,0,0,0,0,0,0,0,0,200,59,588,96
Total (All-India),Total (All-India),Total (All-India),2381,156,3946,337,5699,202,2616,91,1185,202,138,22,119,0,172,0,176,10,21239,2708,37671,3728
City,33,Ahmedabad,5,0,4,0,3,0,7,0,3,0,0,0,0,0,0,0,0,0,73,2,95,2
City,34,Bangalore,17,0,7,0,14,0,7,0,56,0,0,0,0,0,0,0,1,0,99,0,201,0
City,35,Bhopal,2,0,4,0,18,0,7,0,4,0,0,0,0,0,0,0,0,0,21,0,56,0
City,36,Bombay,29,1,7,0,21,1,14,0,7,0,0,0,0,0,0,0,0,0,249,3,327,5
City,37,Calcutta,3,0,2,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,77,12,89,16
City,38,Coimbatore,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,13,0,19,0
City,39,Delhi,40,0,74,16,93,1,55,6,27,2,0,0,0,0,0,0,0,0,137,37,426,62
City,40,Hyderabad,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,6,111,6
City,41,Indore,0,0,9,0,28,0,10,0,0,0,1,0,0,0,0,0,0,0,39,3,87,3
City,42,Jaipur,1,0,1,0,2,0,2,0,17,0,0,0,0,0,0,0,0,0,38,3,61,3
City,43,Kanpur,21,1,9,2,39,0,14,0,15,0,0,0,0,0,0,0,0,0,71,18,169,21
City,44,Kochi,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,8
City,45,Lucknow,8,0,4,0,36,2,10,1,0,0,0,0,0,0,0,0,0,0,59,17,117,20
City,46,Ludhiana,6,2,2,0,6,0,9,2,1,1,0,0,0,0,0,0,0,0,37,11,61,16
City,47,Madras,5,0,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,64,1
City,48,Madurai,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,17,1,26,1
City,49,Nagpur,0,0,2,0,26,0,8,0,0,0,0,0,0,0,0,0,0,0,65,0,101,0
City,50,Patna,0,0,137,9,26,7,11,0,0,0,0,0,0,0,0,0,0,0,54,4,228,20
City,51,Pune,2,0,0,0,5,0,5,0,0,0,1,0,0,0,0,0,0,0,72,2,85,2
City,52,Surat,6,0,3,0,12,0,5,0,4,0,1,0,0,0,0,0,0,0,69,0,100,0
City,53,Vadodara,5,0,0,0,4,0,7,0,6,0,1,0,0,0,0,0,0,0,21,0,44,0
City,54,Varanasi,8,0,6,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,40,14,63,14
City,55,Vishakhapatnam,6,0,0,0,2,0,5,0,1,1,0,0,0,0,0,0,0,0,6,0,20,1
