Si. No.,Category,States/ UTs/Cities,Murder (Sec.302 IPC) - (I),Murder (Sec.302 IPC) - (R),Attempt to Commit Murder (Sec. 307 IPC) - (I),Attempt to Commit Murder (Sec. 307 IPC) - ( R),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - (I)","C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - (R)",Rape (Sec. 376 IPC) - Total - (I),Rape (Sec. 376 IPC) - Total - ( R),Rape (Sec. 376 IPC) - Custodial - (I),Rape (Sec. 376 IPC) - Custodial - (R),Rape (Sec. 376 IPC) - Others - (I),Rape (Sec. 376 IPC) - Others - ( R),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - ( R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - ( R)",Dacoity (Sec. 395-398 IPC) - (I),Dacoity (Sec. 395-398 IPC) - (R),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - (I),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - (R),"Robbery (Sec. 392-394,397,398 IPC) - (I)","Robbery (Sec. 392-394,397,398 IPC) - (R)","Burglary (Sec. 449-452,454,455, 457-460 IPC) - (I)","Burglary (Sec. 449-452,454,455, 457-460 IPC) - (R)",Theft (Sec.379-382 IPC) - Total - (I),Theft (Sec.379-382 IPC) - Total - ( R),Theft (Sec.379-382 IPC) - Auto Theft - (I),Theft (Sec.379-382 IPC) - Auto Theft - (R),Theft (Sec.379-382 IPC) - Other Theft - (I),Theft (Sec.379-382 IPC) - Other Theft - (R),"Riots (Sec. 143-145,147-151,153,153A,153B,157,158,160 IPC) - (I)","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - (R)",Criminal Breach of Trust (Sec. 406-409 IPC) - (I),Criminal Breach of Trust (Sec. 406-409 IPC) - (R),"Cheating (Sec. 419,420 IPC) - (I)","Cheating (Sec. 419,420 IPC) - (R)","Counterfeiting (Sec. 231-254,489A, 489D IPC) - (I)","Counterfeiting (Sec. 231-254,489A, 489D IPC) - (R)","Arson (Sec. 435,436,438 IPC) - (I)","Arson (Sec. 435,436,438 IPC) - (R)","Hurt (Sec.323-333,335-338 IPC) - (I)","Hurt (Sec.323-333,335-338 IPC) - (R)",Dowry Deaths (Sec.304B IPC) - (I),Dowry Deaths (Sec.304B IPC) - (R),Molestation (Sec.354 IPC) - (I),Molestation (Sec.354 IPC) - (R),Sexual Harassment (Sec.509 IPC) - (I),Sexual Harassment (Sec.509 IPC) - (R),Cruelty by Husband and Relatives (Sec. 498A IPC) - (I),Cruelty by Husband and Relatives (Sec. 498A IPC) - (R),Importation of Girls (Sec. 366B IPC) - (I),Importation of Girls (Sec. 366B IPC) - (R),Causing Death by Negligence (Sec. 304A IPC) - (I),Causing Death by Negligence (Sec. 304A IPC) - (R),Other IPC Crimes - (I),Other IPC Crimes - (R),Total Cognizable Crimes Under IPC - (I),Total Cognizable Crimes Under IPC - (R)
11,State,Jharkhand,1636,5.4,1274,4.2,104,0.3,719,2.4,0,0,719,2.4,827,2.7,517,1.7,310,1,412,1.3,53,0.2,780,2.6,1392,4.6,7716,25.3,2990,9.8,4726,15.5,2312,7.6,473,1.5,910,3,15,0,203,0.7,4132,13.5,295,1,276,0.9,83,0.3,710,2.3,6,0,1678,5.5,11430,37.4,37436,122.6
12,State,Karnataka,1702,2.9,1607,2.8,79,0.1,509,0.9,0,0,509,0.9,892,1.5,408,0.7,484,0.8,273,0.5,346,0.6,1825,3.1,6629,11.4,20576,35.4,11093,19.1,9483,16.3,6269,10.8,461,0.8,5079,8.7,171,0.3,293,0.5,20105,34.5,264,0.5,2186,3.8,64,0.1,3185,5.5,2,0,417,0.7,61108,105,134042,230.3
13,State,Kerala,343,1,408,1.2,100,0.3,568,1.6,0,0,568,1.6,256,0.7,173,0.5,83,0.2,112,0.3,266,0.8,830,2.4,3554,10.3,5564,16.1,2029,5.9,3535,10.2,8086,23.3,354,1,3394,9.8,66,0.2,503,1.5,18274,52.7,20,0.1,2540,7.3,395,1.1,4007,11.6,0,0,41,0.1,68688,198.2,118369,341.5
14,State,Madhya Pradesh,2386,3.4,2212,3.1,117,0.2,2998,4.2,1,0,2997,4.2,1036,1.5,841,1.2,195,0.3,117,0.2,156,0.2,2270,3.2,10661,15,23260,32.8,10705,15.1,12555,17.7,2409,3.4,575,0.8,1830,2.6,27,0,741,1,37132,52.4,858,1.2,6307,8.9,728,1,3983,5.6,1,0,6591,9.3,101367,143,207762,293
15,State,Maharashtra,2653,2.4,1880,1.7,98,0.1,1483,1.4,0,0,1483,1.4,1286,1.2,926,0.9,360,0.3,780,0.7,287,0.3,3314,3,15841,14.6,50930,46.9,18133,16.7,32797,30.2,8030,7.4,1895,1.7,7976,7.3,478,0.4,1105,1,28326,26.1,341,0.3,3196,2.9,1099,1,7681,7.1,0,0,12459,11.5,48460,44.6,199598,183.6
16,State,Manipur,131,4.9,478,17.9,2,0.1,31,1.2,0,0,31,1.2,159,6,97,3.6,62,2.3,1,0,188,7,3,0.1,68,2.5,394,14.8,283,10.6,111,4.2,48,1.8,20,0.7,96,3.6,1,0,81,3,224,8.4,0,0,39,1.5,2,0.1,25,0.9,0,0,0,0,861,32.2,2852,106.8
17,State,Meghalaya,128,5,39,1.5,12,0.5,112,4.3,0,0,112,4.3,56,2.2,26,1,30,1.2,64,2.5,1,0,67,2.6,147,5.7,545,21.1,180,7,365,14.2,18,0.7,26,1,113,4.4,9,0.3,54,2.1,207,8,0,0,72,2.8,1,0,24,0.9,1,0,72,2.8,680,26.4,2448,95
18,State,Mizoram,31,3.1,14,1.4,8,0.8,83,8.3,1,0.1,82,8.2,9,0.9,0,0,9,0.9,2,0.2,0,0,4,0.4,381,38.3,761,76.4,77,7.7,684,68.7,1,0.1,30,3,61,6.1,9,0.9,24,2.4,120,12,0,0,61,6.1,1,0.1,4,0.4,0,0,36,3.6,407,40.9,2047,205.5
19,State,Nagaland,46,2.1,35,1.6,7,0.3,22,1,0,0,22,1,52,2.3,10,0.4,42,1.9,8,0.4,0,0,92,4.1,82,3.7,347,15.6,69,3.1,278,12.5,4,0.2,6,0.3,33,1.5,3,0.1,4,0.2,38,1.7,0,0,11,0.5,0,0,0,0,0,0,34,1.5,235,10.6,1059,47.6
20,State,Odisha,1250,3.1,1231,3,48,0.1,1023,2.5,0,0,1023,2.5,930,2.3,799,2,131,0.3,380,0.9,63,0.2,1488,3.7,2937,7.3,7136,17.6,2521,6.2,4615,11.4,1718,4.2,258,0.6,1137,2.8,34,0.1,413,1,6816,16.9,384,0.9,2697,6.7,210,0.5,2047,5.1,1,0,2979,7.4,20560,50.8,55740,137.9
21,State,Punjab,853,3.2,1014,3.8,129,0.5,511,1.9,0,0,511,1.9,692,2.6,513,1.9,179,0.7,38,0.1,96,0.4,171,0.6,2507,9.3,5624,20.8,2713,10.1,2911,10.8,8,0,234,0.9,3098,11.5,63,0.2,101,0.4,5498,20.4,126,0.5,319,1.2,33,0.1,1061,3.9,0,0,3289,12.2,10080,37.4,35545,131.7
22,State,Rajasthan,1395,2.1,1673,2.5,80,0.1,1519,2.3,0,0,1519,2.3,2870,4.3,2310,3.5,560,0.8,53,0.1,57,0.1,886,1.3,5294,8,22144,33.5,12156,18.4,9988,15.1,1145,1.7,842,1.3,15037,22.8,59,0.1,556,0.8,21652,32.8,436,0.7,2485,3.8,24,0,10371,15.7,0,0,7898,12,70089,106.1,166565,252.2
23,State,Sikkim,19,3.1,7,1.2,3,0.5,18,3,0,0,18,3,6,1,6,1,0,0,0,0,0,0,4,0.7,93,15.4,62,10.3,8,1.3,54,8.9,39,6.5,4,0.7,12,2,2,0.3,9,1.5,91,15.1,0,0,10,1.7,0,0,6,1,0,0,59,9.8,225,37.3,669,110.8
24,State,Tamil Nadu,1776,2.6,2325,3.5,26,0,596,0.9,0,0,596,0.9,1372,2,1133,1.7,239,0.4,97,0.1,34,0.1,1144,1.7,4221,6.3,15712,23.4,4973,7.4,10739,16,2397,3.6,215,0.3,2557,3.8,352,0.5,580,0.9,18147,27,194,0.3,1242,1.9,501,0.7,1460,2.2,0,0,13528,20.2,106215,158.3,174691,260.3
25,State,Tripura,133,3.7,59,1.7,2,0.1,190,5.3,0,0,190,5.3,121,3.4,92,2.6,29,0.8,7,0.2,0,0,77,2.2,231,6.5,415,11.6,39,1.1,376,10.5,178,5,52,1.5,110,3.1,20,0.6,62,1.7,1047,29.4,29,0.8,384,10.8,5,0.1,815,22.8,0,0,225,6.3,1324,37.1,5486,153.8
26,State,Uttar Pradesh,4534,2.3,4141,2.1,1439,0.7,1759,0.9,0,0,1759,0.9,6083,3.1,5078,2.6,1005,0.5,365,0.2,59,0,2285,1.2,5260,2.7,29226,14.9,16109,8.2,13117,6.7,4263,2.2,3917,2,8845,4.5,339,0.2,254,0.1,10934,5.6,2232,1.1,2782,1.4,2524,1.3,8566,4.4,0,0,12159,6.2,60918,31.2,172884,88.4
27,State,Uttarakhand,195,2,185,1.9,51,0.5,111,1.1,0,0,111,1.1,275,2.8,247,2.6,28,0.3,35,0.4,7,0.1,179,1.8,363,3.7,1601,16.5,735,7.6,866,8.9,466,4.8,156,1.6,544,5.6,43,0.4,17,0.2,1198,12.4,94,1,119,1.2,249,2.6,361,3.7,0,0,685,7.1,1868,19.3,8802,90.9
28,State,West Bengal,2068,2.3,2119,2.4,931,1,2336,2.6,0,0,2336,2.6,2750,3.1,2187,2.5,563,0.6,214,0.2,724,0.8,751,0.8,329,0.4,17133,19.2,3709,4.2,13424,15,6700,7.5,918,1,3298,3.7,153,0.2,344,0.4,11196,12.5,506,0.6,1942,2.2,108,0.1,16112,18.1,5,0,3623,4.1,38776,43.5,113036,126.7
State,State,Total (States),31728,2.8,28612,2.5,3827,0.3,20874,1.8,2,0,20872,1.8,31238,2.7,24014,2.1,7224,0.6,4527,0.4,2773,0.2,21841,1.9,89862,7.8,299774,26.1,125121,10.9,174653,15.2,62541,5.4,15916,1.4,70434,6.1,2873,0.3,8665,0.8,276172,24,8239,0.7,38044,3.3,10864,0.9,88175,7.7,48,0,97387,8.5,846741,73.7,2061155,179.5
29,Union Territory,Andaman & Nicobar Islands,15,3.5,4,0.9,4,0.9,18,4.3,0,0,18,4.3,16,3.8,14,3.3,2,0.5,0,0,0,0,11,2.6,86,20.3,134,31.7,10,2.4,124,29.3,11,2.6,7,1.7,20,4.7,2,0.5,12,2.8,89,21,1,0.2,30,7.1,7,1.7,21,5,0,0,2,0.5,451,106.6,941,222.5
30,Union Territory,Chandigarh,22,2,18,1.6,8,0.7,29,2.6,0,0,29,2.6,40,3.6,36,3.3,4,0.4,4,0.4,3,0.3,27,2.5,241,22,1731,157.8,1117,101.8,614,56,66,6,38,3.5,193,17.6,4,0.4,4,0.4,63,5.7,2,0.2,26,2.4,2,0.2,51,4.6,0,0,7,0.6,976,89,3555,324.1
31,Union Territory,Dadra Nagar Haveli,10,3.6,5,1.8,1,0.4,4,1.5,0,0,4,1.5,12,4.4,9,3.3,3,1.1,9,3.3,0,0,2,0.7,43,15.6,63,22.9,21,7.6,42,15.3,53,19.3,17,6.2,20,7.3,1,0.4,5,1.8,23,8.4,0,0,2,0.7,1,0.4,3,1.1,0,0,17,6.2,151,54.9,442,160.7
32,Union Territory,Daman & Diu,5,2.6,4,2.1,1,0.5,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,4,2.1,33,17,41,21.1,27,13.9,14,7.2,29,14.9,8,4.1,4,2.1,3,1.5,3,1.5,14,7.2,0,0,4,2.1,1,0.5,3,1.5,0,0,40,20.6,78,40.2,276,142.3
33,Union Territory,Delhi,552,3.1,369,2.1,84,0.5,469,2.6,0,0,469,2.6,2536,14.3,1655,9.3,881,5,36,0.2,69,0.4,515,2.9,1733,9.7,21731,122.2,13224,74.4,8507,47.8,57,0.3,333,1.9,2000,11.2,47,0.3,34,0.2,1938,10.9,141,0.8,552,3.1,118,0.7,1283,7.2,0,0,846,4.8,14808,83.3,50251,282.6
34,Union Territory,Lakshadweep,0,0,1,1.4,0,0,1,1.4,0,0,1,1.4,0,0,0,0,0,0,3,4.2,0,0,0,0,1,1.4,10,14.1,5,7,5,7,44,62,0,0,0,0,0,0,2,2.8,14,19.7,0,0,0,0,0,0,0,0,0,0,0,0,58,81.7,134,188.7
35,Union Territory,Pondicherry,37,3.4,25,2.3,5,0.5,1,0.1,0,0,1,0.1,18,1.6,13,1.2,5,0.5,7,0.6,5,0.5,9,0.8,71,6.5,711,64.8,502,45.8,209,19.1,141,12.9,7,0.6,47,4.3,5,0.5,11,1,901,82.1,0,0,53,4.8,16,1.5,10,0.9,0,0,233,21.2,2278,207.7,4591,418.5
Union Territory,Union Territory,Total (UTs),641,3.1,426,2,103,0.5,523,2.5,0,0,523,2.5,2622,12.5,1727,8.2,895,4.3,59,0.3,77,0.4,568,2.7,2208,10.5,24421,116.6,14906,71.2,9515,45.4,401,1.9,410,2,2284,10.9,62,0.3,71,0.3,3042,14.5,144,0.7,667,3.2,145,0.7,1371,6.5,0,0,1145,5.5,18800,89.8,60190,287.5
Total (All-India),Total (All-India),Total (All-India),32369,2.8,29038,2.5,3930,0.3,21397,1.8,2,0,21395,1.8,33860,2.9,25741,2.2,8119,0.7,4586,0.4,2850,0.2,22409,1.9,92070,7.9,324195,27.7,140027,12,184168,15.7,62942,5.4,16326,1.4,72718,6.2,2935,0.3,8736,0.7,279214,23.9,8383,0.7,38711,3.3,11009,0.9,89546,7.7,48,0,98532,8.4,865541,74,2121345,181.4
36,City,Agra,57,4.3,78,5.9,29,2.2,16,1.2,0,0,16,1.2,170,12.9,127,9.6,43,3.3,9,0.7,0,0,52,3.9,137,10.4,1566,118.5,1226,92.8,340,25.7,140,10.6,122,9.2,241,18.2,37,2.8,2,0.2,270,20.4,37,2.8,48,3.6,68,5.1,294,22.3,0,0,211,16,1252,94.8,4836,366.1
37,City,Ahmedabad,83,1.8,50,1.1,7,0.2,63,1.4,0,0,63,1.4,181,4,132,2.9,49,1.1,16,0.4,2,0,844,18.7,751,16.6,6283,139,4232,93.6,2051,45.4,178,3.9,224,5,205,4.5,16,0.4,6,0.1,1165,25.8,5,0.1,74,1.6,18,0.4,1169,25.9,0,0,205,4.5,9181,203.2,20726,458.6
38,City,Allahabad,36,3.4,41,3.9,6,0.6,6,0.6,0,0,6,0.6,56,5.3,41,3.9,15,1.4,2,0.2,0,0,23,2.2,110,10.5,536,51,345,32.9,191,18.2,54,5.1,53,5,178,17,21,2,2,0.2,63,6,10,1,12,1.1,30,2.9,142,13.5,0,0,116,11,576,54.9,2073,197.4
39,City,Amritsar,54,5.3,64,6.3,3,0.3,15,1.5,0,0,15,1.5,46,4.5,37,3.7,9,0.9,1,0.1,16,1.6,12,1.2,108,10.7,430,42.5,223,22.1,207,20.5,0,0,18,1.8,261,25.8,8,0.8,3,0.3,230,22.7,7,0.7,15,1.5,6,0.6,85,8.4,0,0,132,13.1,643,63.6,2157,213.4
40,City,Asansol,32,2.9,7,0.6,10,0.9,13,1.2,0,0,13,1.2,27,2.5,17,1.6,10,0.9,4,0.4,39,3.6,12,1.1,6,0.5,283,25.9,138,12.6,145,13.3,61,5.6,18,1.6,45,4.1,0,0,5,0.5,65,6,17,1.6,14,1.3,0,0,211,19.3,0,0,111,10.2,381,34.9,1361,124.7
41,City,Bengaluru,256,4.5,338,5.9,1,0,65,1.1,0,0,65,1.1,270,4.7,2,0,268,4.7,41,0.7,278,4.9,743,13.1,1592,28,11730,206.3,7074,124.4,4656,81.9,337,5.9,214,3.8,3007,52.9,65,1.1,8,0.1,2653,46.7,50,0.9,251,4.4,35,0.6,367,6.5,0,0,87,1.5,9992,175.7,32380,569.4
42,City,Bhopal,49,3.4,61,4.2,1,0.1,117,8,0,0,117,8,67,4.6,52,3.6,15,1,2,0.1,6,0.4,178,12.2,926,63.6,2643,181.6,1651,113.5,992,68.2,103,7.1,8,0.5,339,23.3,4,0.3,5,0.3,1668,114.6,42,2.9,187,12.9,20,1.4,201,13.8,0,0,187,12.9,5355,368,12169,836.4
43,City,Chennai,96,1.5,175,2.7,0,0,39,0.6,0,0,39,0.6,42,0.7,37,0.6,5,0.1,7,0.1,0,0,84,1.3,398,6.2,1716,26.7,341,5.3,1375,21.4,70,1.1,46,0.7,350,5.4,42,0.7,2,0,735,11.4,19,0.3,42,0.7,10,0.2,154,2.4,0,0,602,9.4,6276,97.7,10905,169.7
44,City,Coimbatore,24,1.7,26,1.8,0,0,9,0.6,0,0,9,0.6,23,1.6,9,0.6,14,1,2,0.1,0,0,26,1.8,197,13.6,1165,80.6,608,42,557,38.5,17,1.2,12,0.8,103,7.1,35,2.4,3,0.2,324,22.4,4,0.3,21,1.5,3,0.2,48,3.3,0,0,279,19.3,1997,138.1,4318,298.6
45,City,Delhi (city),444,3.5,327,2.6,75,0.6,404,3.2,0,0,404,3.2,2149,16.8,1379,10.8,770,6,33,0.3,62,0.5,473,3.7,1566,12.2,20088,157,12232,95.6,7856,61.4,50,0.4,305,2.4,1874,14.7,47,0.4,26,0.2,1738,13.6,104,0.8,491,3.8,113,0.9,1177,9.2,0,0,815,6.4,12886,100.7,45247,353.7
46,City,Dhanbad,20,1.9,13,1.2,6,0.6,5,0.5,0,0,5,0.5,27,2.5,23,2.2,4,0.4,15,1.4,2,0.2,13,1.2,98,9.2,361,33.9,240,22.6,121,11.4,63,5.9,13,1.2,41,3.9,1,0.1,1,0.1,101,9.5,10,0.9,5,0.5,0,0,11,1,0,0,2,0.2,508,47.7,1316,123.7
47,City,Faridabad,60,5.7,47,4.5,8,0.8,35,3.3,0,0,35,3.3,86,8.2,62,5.9,24,2.3,5,0.5,42,4,23,2.2,258,24.5,1136,107.7,887,84.1,249,23.6,129,12.2,132,12.5,44,4.2,3,0.3,4,0.4,175,16.6,17,1.6,26,2.5,4,0.4,179,17,0,0,243,23,1753,166.2,4409,417.9
48,City,Hyderabad,153,2.8,110,2,5,0.1,47,0.8,0,0,47,0.8,108,2,55,1,53,1,5,0.1,0,0,59,1.1,969,17.5,5091,92,2095,37.9,2996,54.1,199,3.6,85,1.5,2007,36.3,49,0.9,7,0.1,3516,63.5,36,0.7,295,5.3,63,1.1,1363,24.6,0,0,516,9.3,3157,57,17840,322.4
49,City,Indore,94,5.7,159,9.7,3,0.2,44,2.7,0,0,44,2.7,28,1.7,22,1.3,6,0.4,1,0.1,18,1.1,291,17.8,823,50.2,3481,212.4,2618,159.7,863,52.7,55,3.4,26,1.6,139,8.5,1,0.1,16,1,1917,117,31,1.9,256,15.6,50,3.1,363,22.1,0,0,260,15.9,6045,368.8,14101,860.3
50,City,Jabalpur,62,5.6,77,6.9,0,0,76,6.8,0,0,76,6.8,25,2.2,16,1.4,9,0.8,1,0.1,2,0.2,73,6.5,340,30.4,792,70.9,180,16.1,612,54.8,71,6.4,7,0.6,112,10,1,0.1,3,0.3,602,53.9,9,0.8,84,7.5,19,1.7,48,4.3,0,0,103,9.2,3688,330.2,6195,554.6
51,City,Jaipur,52,2.2,92,4,4,0.2,69,3,0,0,69,3,215,9.3,189,8.1,26,1.1,3,0.1,8,0.3,236,10.2,911,39.2,5313,228.6,3864,166.3,1449,62.3,169,7.3,295,12.7,2527,108.7,10,0.4,13,0.6,747,32.1,20,0.9,102,4.4,0,0,573,24.7,0,0,482,20.7,4947,212.9,16788,722.4
52,City,Jamshedpur,72,6.5,188,17.1,15,1.4,34,3.1,0,0,34,3.1,54,4.9,30,2.7,24,2.2,15,1.4,1,0.1,60,5.4,120,10.9,1220,110.7,630,57.2,590,53.5,55,5,56,5.1,88,8,0,0,13,1.2,646,58.6,8,0.7,22,2,3,0.3,60,5.4,0,0,119,10.8,226,20.5,3075,279
53,City,Kanpur,143,5.3,84,3.1,45,1.7,40,1.5,0,0,40,1.5,282,10.5,227,8.4,55,2,16,0.6,0,0,114,4.2,229,8.5,1094,40.7,745,27.7,349,13,187,7,223,8.3,403,15,34,1.3,3,0.1,446,16.6,73,2.7,109,4.1,210,7.8,551,20.5,0,0,449,16.7,2077,77.2,6812,253.2
