Sr. No.,Category,Sub Category,States/UTs/District,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
17,State,Andhra Pradesh,Nellore,66,82,3,32,0,32,50,48,2,14,0,7,189,599,206,393,41,44,193,17,38,2304,3,287,128,305,0,485,980,5867
18,State,Andhra Pradesh,Nizamabad,106,55,3,27,0,27,46,41,5,4,0,16,241,417,105,312,37,18,201,15,49,1595,19,79,75,518,0,408,961,4890
19,State,Andhra Pradesh,Prakasham,78,91,6,27,0,27,66,44,22,1,0,3,180,423,132,291,47,31,194,15,26,1303,14,197,51,248,0,510,2614,6125
20,State,Andhra Pradesh,Rajahmundry,63,27,4,26,0,26,29,20,9,2,0,5,99,128,12,116,18,3,57,2,20,777,20,44,25,108,0,139,446,2042
21,State,Andhra Pradesh,Secunderabad Rly.,9,1,0,0,0,0,0,0,0,0,0,0,0,463,0,463,0,0,3,0,0,8,0,3,0,0,0,5,96,588
22,State,Andhra Pradesh,Srikakulam,31,2,1,21,0,21,20,20,0,1,0,5,125,162,2,160,8,22,63,16,18,755,6,67,44,211,0,229,1547,3354
23,State,Andhra Pradesh,Vijayawada City,34,54,1,23,0,23,63,53,10,0,0,22,176,1137,439,698,8,23,306,38,16,1547,17,177,198,433,0,290,617,5180
24,State,Andhra Pradesh,Vijayawada Rly.,3,4,0,0,0,0,0,0,0,0,0,3,1,510,0,510,0,5,4,1,0,23,0,0,0,0,0,1,37,592
25,State,Andhra Pradesh,Visakha Rural,47,36,2,14,0,14,18,7,11,0,0,4,94,158,34,124,40,5,79,7,20,1172,8,57,56,167,0,332,422,2738
26,State,Andhra Pradesh,Visakhapatnam,28,25,4,39,0,39,48,26,22,1,0,21,311,1040,420,620,12,62,270,19,13,473,13,95,54,481,0,428,1979,5416
27,State,Andhra Pradesh,Vizianagaram,30,24,2,13,0,13,15,12,3,1,0,4,128,242,1,241,8,12,118,19,15,523,8,103,105,297,0,265,1519,3451
28,State,Andhra Pradesh,Warangal,103,42,5,70,0,70,140,130,10,3,0,14,277,516,216,300,289,9,365,7,40,1421,49,234,25,432,0,510,2928,7479
29,State,Andhra Pradesh,West Godavari,73,124,5,114,0,114,115,89,26,0,0,25,364,1252,379,873,44,57,380,30,61,2216,14,384,196,729,0,610,1793,8586
Total,Total,Total,Total,2449,1859,134,1188,0,1188,1958,1526,432,102,27,544,7772,24692,7804,16888,2261,904,8528,461,1039,44488,546,5147,3520,11297,0,13438,48087,180441
1,State,Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,5,20
2,State,Arunachal Pradesh,Changlang,3,2,0,8,0,8,7,6,1,5,0,7,28,38,0,38,1,4,3,1,3,38,0,3,0,4,0,5,47,207
3,State,Arunachal Pradesh,Dibang Valley,1,1,1,3,0,3,6,4,2,0,0,3,10,22,10,12,0,0,1,0,1,31,0,2,0,1,0,5,27,115
4,State,Arunachal Pradesh,K/kumey,6,4,0,5,0,5,0,0,0,1,0,0,8,6,0,6,1,2,2,0,4,9,0,0,0,0,0,2,22,72
5,State,Arunachal Pradesh,Kameng East,5,0,0,3,0,3,5,3,2,4,0,5,11,17,2,15,5,1,2,0,0,44,0,1,0,0,0,4,56,163
6,State,Arunachal Pradesh,Kameng West,3,5,2,1,0,1,0,0,0,2,0,3,7,10,3,7,2,0,0,0,2,43,0,5,0,1,0,16,35,137
7,State,Arunachal Pradesh,Lohit,9,1,0,8,0,8,6,2,4,2,0,4,13,35,4,31,5,2,1,0,1,29,0,5,0,0,0,8,41,170
8,State,Arunachal Pradesh,Papum Pare,7,4,0,11,0,11,13,3,10,3,0,10,33,89,57,32,3,12,0,2,7,81,0,10,6,1,0,28,136,456
9,State,Arunachal Pradesh,Siang East,3,2,1,9,0,9,10,3,7,0,0,0,24,58,17,41,9,4,3,2,1,50,0,6,0,1,0,4,35,222
10,State,Arunachal Pradesh,Siang Upper,0,0,0,2,0,2,1,0,1,0,0,0,11,9,1,8,0,0,3,1,1,16,0,1,0,0,0,1,9,55
11,State,Arunachal Pradesh,Siang West,11,3,0,5,0,5,5,4,1,1,0,7,9,29,6,23,19,6,7,0,6,56,0,6,0,4,0,8,61,243
12,State,Arunachal Pradesh,Subansiri Lower,1,3,1,2,0,2,4,1,3,0,0,2,16,13,3,10,3,2,2,1,1,37,0,8,0,0,0,4,27,127
13,State,Arunachal Pradesh,Subansiri Upper,4,3,0,1,0,1,1,1,0,0,0,5,3,16,2,14,0,1,1,0,0,39,0,5,0,1,0,4,52,136
14,State,Arunachal Pradesh,Tawang,1,0,0,0,0,0,0,0,0,0,0,0,5,14,0,14,0,0,2,0,0,4,0,0,0,0,0,7,11,44
15,State,Arunachal Pradesh,Tirap Upper Dibang,5,3,0,1,0,1,4,1,3,2,0,9,12,25,4,21,1,2,2,1,1,40,0,6,0,0,0,6,46,166
16,State,Arunachal Pradesh,Valley,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,2,0,0,0,3,0,0,0,0,0,1,9,29
Total,Total,Total,Total,59,33,5,59,0,59,62,28,34,20,0,55,201,381,109,272,52,38,29,8,28,526,0,58,6,13,0,110,619,2362
1,State,Assam,Barpeta,46,20,0,123,0,123,113,98,15,10,3,26,168,186,35,151,166,25,31,7,21,176,29,130,0,206,0,254,756,2496
2,State,Assam,Baska,29,14,1,18,0,18,38,23,15,0,0,5,18,30,1,29,5,9,8,0,5,57,3,8,0,25,0,21,119,413
3,State,Assam,Bongaigaon,13,9,0,54,0,54,58,53,5,11,0,12,95,139,45,94,75,13,34,1,10,86,4,5,0,118,0,114,402,1253
4,State,Assam,C.i.d.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12,1,0,0,0,0,0,0,0,0,7,22
5,State,Assam,Cachar,56,10,0,70,0,70,152,131,21,29,0,25,270,522,145,377,191,70,79,1,41,84,23,29,1,479,0,74,2395,4601
6,State,Assam,Chirang,34,1,0,35,0,35,58,51,7,3,0,3,35,58,11,47,5,0,2,0,10,26,1,1,0,51,0,28,231,582
7,State,Assam,Darrang,29,8,0,80,0,80,99,96,3,11,0,13,119,222,37,185,27,60,50,13,20,357,7,139,0,236,0,112,719,2321
8,State,Assam,Dhemaji,20,27,0,62,0,62,71,63,8,4,0,11,27,130,25,105,7,21,19,2,12,218,1,42,0,110,0,59,173,1016
9,State,Assam,Dhubri,53,16,2,150,0,150,185,147,38,9,1,26,118,258,25,233,347,42,109,16,38,496,20,154,2,375,0,90,784,3291
10,State,Assam,Dibrugarh,77,4,0,46,0,46,110,6,104,2,0,26,103,494,61,433,7,34,22,0,0,467,3,44,0,92,0,108,516,2155
11,State,Assam,G.r.p.,8,0,0,0,0,0,2,0,2,10,0,9,2,146,0,146,8,1,4,1,0,0,0,0,0,0,0,0,115,306
12,State,Assam,Goalpara,51,4,0,90,0,90,89,89,0,8,0,5,82,166,32,134,120,0,52,1,5,376,2,2,0,252,0,45,426,1776
13,State,Assam,Golaghat,55,22,1,35,0,35,101,97,4,2,1,25,72,239,32,207,1,35,34,1,15,347,0,46,0,108,0,160,286,1586
14,State,Assam,Guwahati City,86,34,4,54,0,54,293,231,62,24,8,165,631,1728,728,1000,49,148,227,9,45,721,9,162,0,321,0,311,2251,7280
15,State,Assam,Hailakandi,12,1,0,45,0,45,59,44,15,3,1,5,71,77,3,74,144,18,25,0,17,17,8,12,0,81,0,28,578,1202
16,State,Assam,Jorhat,26,4,2,36,0,36,54,40,14,2,0,29,93,249,72,177,22,17,24,1,10,256,1,53,0,116,0,139,228,1362
17,State,Assam,Kamrup,43,20,1,57,0,57,121,108,13,11,2,18,107,241,55,186,54,14,34,6,17,218,3,35,0,108,0,109,1116,2335
18,State,Assam,Karbi Anglong,40,13,0,17,0,17,21,14,7,7,0,11,30,109,27,82,28,12,8,0,0,58,0,9,0,23,0,31,207,624
19,State,Assam,Karimganj,34,10,0,26,0,26,39,36,3,8,0,7,70,73,17,56,44,13,4,5,22,82,12,9,0,106,1,41,534,1140
20,State,Assam,Kokrajhar,69,25,0,44,0,44,71,35,36,10,0,6,35,148,24,124,71,10,20,5,31,176,1,26,0,70,0,43,330,1191
21,State,Assam,Lakhimpur,31,20,8,54,0,54,123,97,26,0,0,13,79,209,34,175,23,9,4,0,10,365,3,42,0,187,0,97,584,1861
22,State,Assam,Morigaon,26,10,2,88,0,88,77,69,8,5,0,12,51,84,7,77,82,4,33,2,0,475,3,60,0,98,0,99,111,1322
23,State,Assam,N.c.hills,73,12,10,3,0,3,16,6,10,0,0,1,4,20,2,18,1,4,1,0,13,13,0,4,0,3,0,19,57,254
24,State,Assam,Nagaon,75,67,2,162,0,162,233,221,12,36,4,76,259,439,95,344,209,132,99,1,69,655,12,134,7,655,0,182,1695,5203
25,State,Assam,Nalbari,23,22,0,31,0,31,58,48,10,10,0,23,75,158,46,112,8,3,27,2,10,304,6,76,0,73,0,38,401,1348
26,State,Assam,R.p.o.,4,0,0,7,0,7,1,0,1,5,0,2,2,6,0,6,8,0,0,0,0,0,0,0,0,0,0,0,55,90
27,State,Assam,Sibsagar,68,24,1,71,0,71,120,0,120,5,0,37,155,426,76,350,33,14,47,6,15,179,4,52,0,149,0,85,672,2163
28,State,Assam,Sonitpur,109,20,1,89,0,89,174,169,5,5,1,27,177,347,23,324,35,31,73,0,18,145,11,38,0,246,0,333,1027,2907
29,State,Assam,Tinsukia,85,0,0,58,0,58,106,87,19,18,0,39,136,632,50,582,30,53,13,3,16,154,2,8,0,62,0,54,905,2374
30,State,Assam,Udalguri,47,0,0,26,0,26,76,33,43,3,0,23,65,107,5,102,8,10,3,0,6,39,2,22,0,48,0,61,293,839
Total,Total,Total,Total,1323,417,35,1631,0,1631,2718,2092,626,251,21,680,3149,7644,1713,5931,1808,802,1098,84,476,6547,170,1342,10,4398,1,2735,17973,55313
1,State,Bihar,Araria,50,21,5,28,0,28,56,50,6,29,3,50,44,252,27,225,196,37,24,0,15,85,21,4,0,18,0,42,1149,2129
2,State,Bihar,Arwal,23,15,3,2,0,2,16,10,6,2,0,5,10,55,4,51,44,0,13,0,12,39,10,9,0,6,0,22,369,655
3,State,Bihar,Aurangabad,67,6,8,19,0,19,54,53,1,23,0,27,122,346,27,319,364,17,55,2,33,917,37,16,0,46,0,117,837,3113
4,State,Bihar,Bagaha,38,41,3,8,0,8,46,34,12,7,3,12,37,134,2,132,60,20,29,1,14,580,14,44,0,13,0,19,377,1500
5,State,Bihar,Banka,78,53,13,31,0,31,54,45,9,20,2,37,88,139,9,130,114,11,32,3,16,431,19,4,1,24,0,1,649,1820
6,State,Bihar,Begusarai,109,237,1,12,0,12,79,39,40,18,1,61,62,303,13,290,273,90,77,0,16,323,46,10,0,47,2,234,1386,3387
7,State,Bihar,Bettiah,65,16,2,22,0,22,82,76,6,11,2,23,71,277,22,255,198,60,38,5,10,1036,37,3,0,38,0,155,1051,3202
8,State,Bihar,Bhabhua,56,27,0,4,0,4,38,25,13,6,0,28,62,200,34,166,127,12,29,0,0,70,19,0,0,16,0,22,1064,1780
9,State,Bihar,Bhagalpur,73,8,6,28,0,28,57,44,13,2,1,27,130,515,189,326,222,44,44,1,9,569,15,2,0,47,0,2,1438,3240
10,State,Bihar,Bhojpur,94,34,0,11,0,11,50,37,13,18,0,41,99,444,111,333,184,0,78,2,4,25,54,0,2,275,0,265,2056,3736
11,State,Bihar,Buxar,53,37,0,14,0,14,64,45,19,15,0,25,52,225,46,179,172,30,35,4,37,476,26,17,0,50,0,60,468,1860
12,State,Bihar,Darbhanga,49,121,6,27,0,27,83,77,6,20,2,28,101,301,58,243,481,66,163,4,26,114,33,10,0,247,0,93,2286,4261
13,State,Bihar,Gaya,155,33,17,20,0,20,108,66,42,52,2,85,163,667,169,498,374,28,126,2,38,10,46,12,0,106,5,159,2418,4626
14,State,Bihar,Gopalganj,81,127,15,37,0,37,112,71,41,13,1,21,66,226,63,163,221,22,77,0,16,86,42,39,0,127,0,195,1117,2641
15,State,Bihar,Jamalpur Rly.,6,2,0,1,0,1,3,0,3,7,3,11,1,124,7,117,4,1,3,0,0,0,0,2,0,0,0,0,64,232
16,State,Bihar,Jamui,65,156,2,15,0,15,35,21,14,14,2,30,53,148,26,122,181,3,71,0,5,821,17,7,0,56,0,53,523,2257
17,State,Bihar,Jehanabad,48,10,2,8,0,8,40,9,31,10,0,12,40,128,17,111,127,20,25,0,6,117,43,11,0,42,0,44,859,1592
18,State,Bihar,Katihar,89,19,1,120,0,120,130,41,89,13,2,27,48,183,63,120,213,3,61,3,28,405,17,5,0,55,0,57,1058,2537
19,State,Bihar,Katihar Rly.,9,0,0,1,0,1,2,0,2,4,0,6,5,189,0,189,3,0,8,0,0,20,0,2,0,0,0,2,113,364
20,State,Bihar,Khagaria,46,114,8,8,0,8,49,28,21,3,0,22,20,141,33,108,153,10,33,0,13,620,23,37,0,7,1,23,340,1671
21,State,Bihar,Kishanganj,32,0,1,33,0,33,41,30,11,10,0,5,30,182,43,139,135,12,27,1,2,183,6,0,0,32,0,13,502,1247
22,State,Bihar,Lakhisarai,45,73,3,15,0,15,39,16,23,5,0,25,29,103,4,99,114,20,39,0,10,410,13,25,5,25,0,48,248,1294
23,State,Bihar,Madhepura,45,10,5,11,0,11,50,28,22,1,0,41,31,204,52,152,152,23,14,0,8,113,19,4,0,11,0,39,989,1770
24,State,Bihar,Madhubani,66,7,0,19,0,19,81,78,3,12,0,24,89,390,55,335,307,15,32,0,18,1055,31,20,0,71,0,96,1842,4175
25,State,Bihar,Motihari,127,253,3,31,0,31,156,117,39,19,5,50,155,502,132,370,486,46,177,5,34,1112,49,6,0,41,0,178,1799,5234
26,State,Bihar,Munger,79,133,1,12,0,12,68,48,20,16,0,53,64,266,43,223,168,20,56,2,26,180,12,0,0,54,0,62,730,2002
27,State,Bihar,Muzaffarpur,150,19,17,55,0,55,151,111,40,28,6,66,196,798,263,535,356,108,133,5,29,63,77,13,0,109,0,559,2641,5579
28,State,Bihar,Muzaffarpur Rly.,19,21,0,3,0,3,5,1,4,12,1,10,10,327,52,275,5,1,12,0,0,65,1,5,0,0,0,1,102,600
29,State,Bihar,Nalanda,114,301,8,33,0,33,99,67,32,23,0,50,120,418,34,384,194,28,53,1,18,665,74,88,0,33,0,258,2129,4707
30,State,Bihar,Naugachia,32,63,3,6,0,6,36,31,5,2,0,7,26,65,4,61,143,42,36,0,12,153,9,56,0,13,0,67,802,1573
31,State,Bihar,Nawadah,60,27,2,14,0,14,64,34,30,4,1,16,41,145,13,132,129,18,60,0,5,268,21,6,1,60,0,128,1094,2164
32,State,Bihar,Patna,314,104,12,46,0,46,351,167,184,54,2,227,714,2794,1263,1531,476,29,448,17,5,130,95,21,0,341,0,255,8011,14446
33,State,Bihar,Patna Rly.,21,6,7,0,0,0,17,7,10,13,3,14,0,670,57,613,17,5,23,1,0,0,3,17,0,0,0,0,329,1146
34,State,Bihar,Purnea,86,119,13,49,0,49,69,25,44,16,5,27,68,196,30,166,150,68,104,1,41,242,20,35,3,76,0,130,1302,2820
35,State,Bihar,Rohtas,110,63,0,18,0,18,83,11,72,37,0,61,125,569,171,398,219,28,37,0,1,165,41,38,0,57,23,285,2111,4071
36,State,Bihar,Saharsa,49,123,8,28,0,28,55,9,46,12,1,77,61,161,31,130,287,29,55,0,6,246,11,36,0,15,0,61,766,2087
37,State,Bihar,Samastipur,109,211,17,26,0,26,130,27,103,9,1,45,82,409,97,312,235,23,26,1,47,267,68,21,0,64,0,165,2121,4077
38,State,Bihar,Saran,112,175,9,11,0,11,91,73,18,17,3,76,119,597,41,556,298,22,103,0,38,1369,57,20,0,132,0,171,406,3826
39,State,Bihar,Sheikhpura,16,0,0,6,0,6,10,9,1,3,0,8,12,96,8,88,85,20,25,0,0,29,8,0,0,14,0,32,600,964
40,State,Bihar,Sheohar,20,17,0,4,0,4,25,16,9,2,1,2,17,55,15,40,44,1,17,0,2,220,7,6,0,12,0,16,87,555
41,State,Bihar,Sitamarhi,67,22,4,8,0,8,104,81,23,24,4,51,107,389,125,264,109,13,22,0,29,318,27,20,0,14,0,55,2376,3763
42,State,Bihar,Siwan,82,50,6,14,0,14,89,72,17,17,5,26,39,272,52,220,164,6,38,5,18,490,42,6,0,25,0,102,746,2242
43,State,Bihar,Supaul,36,138,24,26,0,26,42,29,13,14,0,30,36,110,28,82,175,24,36,1,15,129,12,21,0,30,0,39,737,1675
44,State,Bihar,Vaishali,107,56,8,45,0,45,208,128,80,17,2,50,121,506,141,365,395,111,82,2,23,130,73,28,0,83,0,191,2073,4311
Total,Total,Total,Total,3152,3068,243,929,0,929,3222,1986,1236,654,64,1619,3566,15221,3674,11547,8554,1186,2676,69,685,14746,1295,726,12,2532,31,4516,54165,122931
1,State,Chhattisgarh,Balrampur,41,18,1,43,0,43,10,10,0,9,0,11,49,50,0,50,23,0,6,0,6,179,2,40,26,0,0,29,218,761
2,State,Chhattisgarh,Bilaspur,96,52,1,59,0,59,45,32,13,5,2,68,576,849,326,523,187,16,56,7,42,1741,30,175,17,131,0,235,2048,6438
3,State,Chhattisgarh,Bizapur,61,102,1,10,0,10,4,0,4,10,0,1,4,6,0,6,5,0,7,0,19,7,0,1,0,3,0,9,56,306
4,State,Chhattisgarh,Dantewara,60,76,0,14,0,14,10,5,5,30,0,6,36,58,14,44,20,2,8,2,20,50,0,14,0,5,0,38,288,737
5,State,Chhattisgarh,Dhamtari,15,16,0,24,0,24,7,7,0,5,0,10,134,127,40,87,29,2,19,0,4,66,1,64,3,15,0,80,821,1442
6,State,Chhattisgarh,Durg,87,45,0,109,0,109,19,17,2,8,3,63,564,726,316,410,81,18,105,12,35,298,8,223,20,124,0,394,4399,7341
7,State,Chhattisgarh,Grp Raipur,8,1,0,0,0,0,1,1,0,0,0,5,6,271,22,249,2,0,1,1,0,11,0,1,0,1,0,2,47,358
8,State,Chhattisgarh,Jagdalpur,71,45,1,60,0,60,19,15,4,9,0,19,144,174,94,80,31,6,13,0,10,599,0,36,1,17,0,170,786,2211
9,State,Chhattisgarh,Janjgir,58,23,0,25,0,25,13,11,2,2,0,21,206,268,96,172,107,4,56,3,18,966,12,97,10,96,0,136,843,2964
10,State,Chhattisgarh,Jashpur,53,23,1,64,0,64,26,24,2,3,2,30,104,110,36,74,10,5,13,6,17,100,3,57,2,25,0,75,529,1258
11,State,Chhattisgarh,Kabirdham,20,14,5,20,0,20,2,0,2,1,0,7,77,98,16,82,42,2,14,0,8,662,1,55,6,29,0,67,437,1567
12,State,Chhattisgarh,Kanker,46,26,0,22,0,22,11,4,7,11,0,10,62,37,13,24,28,1,13,1,9,22,2,28,2,16,0,69,577,993
13,State,Chhattisgarh,Korba,58,12,1,35,0,35,6,4,2,3,5,38,181,230,105,125,49,9,47,3,11,688,9,82,8,52,0,169,732,2428
14,State,Chhattisgarh,Koriya,29,15,0,70,0,70,8,8,0,1,0,9,166,126,8,118,17,4,19,0,11,482,4,83,11,58,0,50,411,1574
15,State,Chhattisgarh,Mahasamund,15,13,0,28,0,28,6,4,2,0,0,7,138,173,76,97,24,2,28,4,10,153,8,60,4,17,0,160,810,1660
16,State,Chhattisgarh,Narayanpur,17,51,0,1,0,1,0,0,0,4,0,2,4,3,0,3,1,0,0,0,7,28,1,4,0,0,0,3,45,171
17,State,Chhattisgarh,Raigarh,82,24,0,43,0,43,18,18,0,5,1,56,224,402,176,226,63,18,54,2,18,582,9,73,4,36,0,180,996,2890
18,State,Chhattisgarh,Raipur,101,94,1,145,0,145,42,35,7,9,1,119,889,1578,696,882,156,56,150,22,51,2425,26,260,32,120,0,529,3109,9915
19,State,Chhattisgarh,Rajnandgaon,55,31,6,47,0,47,13,12,1,6,0,29,191,262,72,190,32,7,20,5,22,93,8,78,5,59,0,168,1934,3071
20,State,Chhattisgarh,Sarguja,58,28,1,81,0,81,15,15,0,2,0,26,111,138,60,78,29,7,35,0,12,48,1,86,0,45,0,86,1026,1835
21,State,Chhattisgarh,Surajpur,52,23,0,76,0,76,11,7,4,11,2,17,109,106,15,91,21,7,18,0,5,343,3,81,1,44,0,86,434,1450
Total,Total,Total,Total,1083,732,19,976,0,976,286,229,57,134,16,554,3975,5792,2181,3611,957,166,682,68,335,9543,128,1598,152,893,0,2735,20546,51370
1,State,Goa,North Goa,33,9,8,31,0,31,17,10,7,2,0,20,162,441,186,255,25,35,69,15,16,107,1,17,5,12,0,141,507,1673
2,State,Goa,South Goa,20,15,3,16,0,16,16,12,4,2,0,10,132,417,150,267,25,17,63,12,8,84,2,20,5,9,0,79,377,1332
Total,Total,Total,Total,53,24,11,47,0,47,33,22,11,4,0,30,294,858,336,522,50,52,132,27,24,191,3,37,10,21,0,220,884,3005
1,State,Gujarat,Ahmedabad Commr.,83,50,7,63,0,63,181,132,49,16,2,844,751,6283,4232,2051,178,224,205,16,6,1165,5,74,18,1169,0,205,9181,20726
2,State,Gujarat,Ahmedabad Rural,19,19,1,9,0,9,50,38,12,13,1,37,125,382,162,220,46,76,15,4,8,238,1,17,0,131,0,319,1730,3241
3,State,Gujarat,Ahwa-dang,5,1,0,3,0,3,0,0,0,0,0,0,5,2,0,2,1,2,0,1,3,10,0,2,0,4,0,19,95,153
4,State,Gujarat,Amreli,27,8,2,8,0,8,52,50,2,5,0,9,122,217,91,126,65,51,5,8,5,303,1,21,4,131,0,104,1078,2226
5,State,Gujarat,Anand,36,4,1,13,0,13,43,35,8,8,0,8,105,412,216,196,26,50,11,6,7,275,0,29,3,231,0,211,1976,3455
6,State,Gujarat,Bharuch,26,19,0,18,0,18,28,25,3,11,0,18,123,429,187,242,53,70,19,6,18,282,0,22,3,113,0,354,1571,3183
7,State,Gujarat,Bhavnagar,41,24,2,9,0,9,71,64,7,6,0,27,235,684,307,377,95,39,53,14,15,130,0,41,42,157,0,0,2926,4611
8,State,Gujarat,Dahod,33,36,2,10,0,10,40,40,0,30,0,34,73,188,126,62,44,2,11,3,13,290,0,22,0,50,0,0,578,1459
9,State,Gujarat,Gandhinagar,28,8,0,7,0,7,30,28,2,5,0,28,168,572,251,321,30,11,45,7,6,192,0,10,3,174,0,215,3351,4890
10,State,Gujarat,Himatnagar,34,15,1,15,0,15,36,35,1,12,0,10,86,200,98,102,53,73,24,11,9,151,0,23,0,208,0,240,2164,3365
