Si. No.,Category,States/ UTs/ Cities,2004,2005,2006,2007,2008,Quinquennial Average (2004- 2008) (Q.A.)@,2009,Percentage Change in 2009 [(+) Increase (-) Decrease] Over - QA,Percentage Change in 2009 [(+) Increase (-) Decrease] Over - 2008
40,City,Asansol,1062,1217,1699,1491,1676,1429,1361,-4.8,-18.8
41,City,Bengaluru,28526,29042,26284,27049,29664,28113,32380,15.2,9.2
42,City,Bhopal,12268,8092,10468,11069,11515,10682,12169,13.9,5.7
43,City,Chennai,12436,20127,16168,16508,11829,15414,10905,-29.3,-7.8
44,City,Coimbatore,3831,3845,3974,3924,4180,3951,4318,9.3,3.3
45,City,Delhi (city),48677,51010,53007,50895,44573,49632,45247,-8.8,1.5
46,City,Dhanbad,1726,1758,1577,1331,1302,1539,1316,-14.5,1.1
47,City,Faridabad,3148,3153,4682,4520,4516,4004,4409,10.1,-2.4
48,City,Hyderabad,18868,17276,17295,17391,18567,17879,17840,-0.2,-3.9
49,City,Indore,11935,12556,12605,12992,15430,13104,14101,7.6,-8.6
50,City,Jabalpur,6395,6082,6244,6543,5128,6078,6195,1.9,20.8
51,City,Jaipur,13224,11790,13877,14102,15407,13680,16788,22.7,9
52,City,Jamshedpur,2203,2538,2624,2767,2685,2563,3075,20,14.5
53,City,Kanpur,4526,3718,4736,8008,8885,5975,6812,14,-23.3
54,City,Kochi,6756,5930,5699,6602,7956,6589,8757,32.9,10.1
55,City,Kolkata,10757,9391,9381,10901,13005,10687,13615,27.4,4.7
56,City,Lucknow,6300,6147,6772,8468,11735,7884,10482,32.9,-10.7
57,City,Ludhiana,2551,2541,2817,3075,2847,2766,2888,4.4,1.4
58,City,Madurai,3164,3384,2464,2325,2470,2761,3000,8.6,21.5
59,City,Meerut,2479,2439,2400,2441,2765,2505,2431,-2.9,-12.1
60,City,Mumbai,29453,31432,31070,30481,32770,31041,31262,0.7,-4.6
61,City,Nagpur,8518,9605,9991,9791,8661,9313,7785,-16.4,-10.1
62,City,Nasik,2606,2776,2951,3115,3813,3052,4218,38.2,10.6
63,City,Patna,7597,7888,8432,8944,9014,8375,8806,5.1,-2.3
64,City,Pune,10754,11817,11484,12818,14467,12268,13848,12.9,-4.3
65,City,Rajkot,4339,3934,3489,3912,5525,4240,4475,5.5,-19
66,City,Surat,4131,5273,8659,10986,10741,7958,7564,-5,-29.6
67,City,Vadodara,5551,5276,5672,5109,5386,5399,5060,-6.3,-6.1
68,City,Varanasi,1557,1214,1970,2802,2734,2055,2254,9.7,-17.6
69,City,Vijayawada,7659,5791,5862,5587,5127,6005,5180,-13.7,1
70,City,Vishakhapatnam,3182,4455,5478,5480,5015,4722,5416,14.7,8
City,City,Total (Cities),309929,314708,326363,336889,347153,327008,343749,5.1,-1
