Sr. No.,Category,States/ UTs/Cities,Number of Cases Reported,Number of Victims - Upto 10 Years,Number of Victims - 10-14 Years,Number of Victims - 14-18 Years,Number of Victims - 18-30 Years,Number of Victims - 30-50 Years,Number of Victims - Above 50 Years,Number of Victims - Total Victims,Number of Cases Reported,Number of Victims - Upto 10 Years,Number of Victims - 10-14 Years,Number of Victims - 14-18 Years,Number of Victims - 18-30 Years,Number of Victims - 30-50 Years,Number of Victims - Above 50 Years,Number of Victims - Total Victims,Number of Cases Reported,Number of Victims - Upto 10 Years,Number of Victims - 10-14 Years,Number of Victims - 14-18 Years,Number of Victims - 18-30 Years,Number of Victims - 30-50 Years,Number of Victims - Above 50 Years,Number of Victims - Total Victims
27,State,Uttarakhand,6,0,3,1,2,0,0,6,105,1,0,2,87,15,0,105,111,1,3,3,89,15,0,111
28,State,West Bengal,3,0,0,1,1,1,0,3,2333,6,18,84,1834,391,0,2333,2336,6,18,85,1835,392,0,2336
State,State,Total (States),302,21,28,71,152,29,2,303,20572,636,1647,2635,12503,3074,92,20587,20874,657,1675,2706,12655,3103,94,20890
29,Union Territory,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,18,2,3,7,5,1,0,18,18,2,3,7,5,1,0,18
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,29,3,8,10,8,0,0,29,29,3,8,10,8,0,0,29
31,Union Territory,Dadra Nagar Haveli,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,4,4,0,2,0,2,0,0,4
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
33,Union Territory,Delhi,19,3,3,5,6,2,0,19,450,44,69,183,135,18,1,450,469,47,72,188,141,20,1,469
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
35,Union Territory,Pondicherry,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
Union Territory,Union Territory,Total (UTs),19,3,3,5,6,2,0,19,504,50,82,201,151,19,1,504,523,53,85,206,157,21,1,523
Total (All-India),Total (All-India),Total (All-India),321,24,31,76,158,31,2,322,21076,686,1729,2836,12654,3093,93,21091,21397,710,1760,2912,12812,3124,95,21413
36,City,Agra,0,0,0,0,0,0,0,0,16,0,0,3,11,2,0,16,16,0,0,3,11,2,0,16
37,City,Ahmedabad,0,0,0,0,0,0,0,0,63,0,0,0,50,13,0,63,63,0,0,0,50,13,0,63
38,City,Allahabad,0,0,0,0,0,0,0,0,6,0,1,1,3,1,0,6,6,0,1,1,3,1,0,6
39,City,Amritsar,2,0,0,1,1,0,0,2,13,1,3,2,6,0,1,13,15,1,3,3,7,0,1,15
40,City,Asansol,0,0,0,0,0,0,0,0,13,0,0,0,11,2,0,13,13,0,0,0,11,2,0,13
41,City,Bengaluru,15,0,0,0,14,1,0,15,50,0,0,0,45,2,3,50,65,0,0,0,59,3,3,65
42,City,Bhopal,0,0,0,0,0,0,0,0,117,10,18,50,32,7,0,117,117,10,18,50,32,7,0,117
43,City,Chennai,0,0,0,0,0,0,0,0,39,5,4,6,24,0,0,39,39,5,4,6,24,0,0,39
44,City,Coimbatore,2,0,0,2,0,0,0,2,7,1,0,4,0,0,2,7,9,1,0,6,0,0,2,9
45,City,Delhi (city),19,3,3,5,6,2,0,19,385,37,55,157,117,18,1,385,404,40,58,162,123,20,1,404
46,City,Dhanbad,0,0,0,0,0,0,0,0,5,0,0,0,3,2,0,5,5,0,0,0,3,2,0,5
47,City,Faridabad,0,0,0,0,0,0,0,0,35,1,3,4,24,3,0,35,35,1,3,4,24,3,0,35
48,City,Hyderabad,0,0,0,0,0,0,0,0,47,0,0,1,15,31,0,47,47,0,0,1,15,31,0,47
49,City,Indore,0,0,0,0,0,0,0,0,44,0,0,2,40,2,0,44,44,0,0,2,40,2,0,44
50,City,Jabalpur,0,0,0,0,0,0,0,0,76,1,28,36,11,0,0,76,76,1,28,36,11,0,0,76
51,City,Jaipur,2,0,1,1,0,0,0,2,67,4,7,15,25,16,0,67,69,4,8,16,25,16,0,69
52,City,Jamshedpur,3,0,0,0,3,0,0,3,31,0,0,0,25,6,0,31,34,0,0,0,28,6,0,34
53,City,Kanpur,0,0,0,0,0,0,0,0,40,0,10,8,16,6,0,40,40,0,10,8,16,6,0,40
54,City,Kochi,0,0,0,0,0,0,0,0,20,2,0,5,10,2,1,20,20,2,0,5,10,2,1,20
55,City,Kolkata,1,0,0,1,0,0,0,1,41,6,5,6,19,5,0,41,42,6,5,7,19,5,0,42
56,City,Lucknow,0,0,0,0,0,0,0,0,30,1,15,1,10,3,0,30,30,1,15,1,10,3,0,30
57,City,Ludhiana,0,0,0,0,0,0,0,0,38,3,2,11,19,3,0,38,38,3,2,11,19,3,0,38
58,City,Madurai,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,3
59,City,Meerut,0,0,0,0,0,0,0,0,15,0,2,8,5,0,0,15,15,0,2,8,5,0,0,15
60,City,Mumbai,10,1,1,8,1,0,0,11,172,17,16,42,82,21,0,178,182,18,17,50,83,21,0,189
61,City,Nagpur,2,0,0,2,0,0,0,2,43,5,4,21,12,2,0,44,45,5,4,23,12,2,0,46
62,City,Nasik,1,0,0,1,0,0,0,1,23,2,1,1,10,9,0,23,24,2,1,2,10,9,0,24
63,City,Patna,0,0,0,0,0,0,0,0,24,0,0,2,21,1,0,24,24,0,0,2,21,1,0,24
64,City,Pune,0,0,0,0,0,0,0,0,67,9,6,28,22,1,1,67,67,9,6,28,22,1,1,67
65,City,Rajkot,2,0,1,0,1,0,0,2,6,0,1,0,5,0,0,6,8,0,2,0,6,0,0,8
66,City,Surat,0,0,0,0,0,0,0,0,28,2,7,2,16,1,0,28,28,2,7,2,16,1,0,28
67,City,Vadodara,0,0,0,0,0,0,0,0,6,0,0,1,4,1,0,6,6,0,0,1,4,1,0,6
68,City,Varanasi,0,0,0,0,0,0,0,0,5,0,1,3,1,0,0,5,5,0,1,3,1,0,0,5
69,City,Vijayawada,0,0,0,0,0,0,0,0,23,4,4,9,5,1,0,23,23,4,4,9,5,1,0,23
70,City,Vishakhapatnam,0,0,0,0,0,0,0,0,39,1,4,7,27,0,0,39,39,1,4,7,27,0,0,39
City,City,Total (Cities),59,4,6,21,26,3,0,60,1637,112,197,436,729,161,9,1644,1696,116,203,457,755,164,9,1704
