Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registraion of Foreigners Act,Protection of Civil Rights Act -Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (p) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other Sll Crimes,Total Cognizable Crimes Under Sll
11,State,Jharkhand,97,90.9,91.2,98,NA,85.1,100,100,0,NA,NA,NA,NA,90.1,NA,66.7,86.5,NA,NA,77.8,NA,79,78.4,80.6,79.2,82,88.1
12,State,Karnataka,97.7,96.5,99.9,99.3,NA,90.3,100,50,100,100,100,NA,98,97.8,NA,83.3,94.8,100,NA,100,NA,91.3,91.1,92.7,89.2,94.7,97.8
13,State,Kerala,91.8,99.4,100,NA,98.3,60.8,100,0,93.8,NA,NA,NA,84.7,99.2,NA,0,100,NA,100,98.6,NA,58.6,57.1,100,100,95.2,95.6
14,State,Madhya Pradesh,99.9,98,100,100,NA,96.9,100,82.6,NA,NA,NA,NA,NA,98.3,NA,NA,100,NA,100,98.9,NA,0,0,0,95.6,99.5,99.7
15,State,Maharashtra,98.5,99.1,99.9,NA,99.7,85,100,14.3,100,80.8,80.8,NA,100,98.4,NA,100,100,100,100,99.3,NA,95.9,95.7,97.5,100,96.9,98.7
16,State,Manipur,37.5,77.8,NA,NA,NA,0,NA,NA,85.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,7.5
17,State,Meghalaya,73.9,75,100,NA,NA,83.3,0,NA,100,NA,NA,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,81.7
18,State,Mizoram,77.1,94.4,100,NA,100,14.3,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,97.4
19,State,Nagaland,84.8,88,100,100,97.7,69.2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,85,89
20,State,Odisha,89.1,100,100,100,100,95.5,100,NA,NA,NA,NA,NA,NA,99.4,NA,NA,99.6,100,NA,100,NA,96.8,97.3,94.7,100,95.7,99.3
21,State,Punjab,98.8,97.5,99.4,98.5,NA,50,98,85.7,0,0,0,NA,75,86.3,NA,100,25,100,NA,94.1,NA,82,82,NA,NA,75.4,97.4
22,State,Rajasthan,99.8,96.7,100,99.6,NA,99.1,100,20,100,NA,NA,NA,100,99.2,NA,NA,100,0,99,99.5,NA,93.1,92,100,99.6,80.1,96
23,State,Sikkim,75,100,NA,NA,NA,60,100,NA,100,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,67.7,70
24,State,Tamil Nadu,89.7,94.6,100,NA,87.7,97.8,100,25,93.3,NA,NA,NA,68.6,85.6,NA,NA,96.1,NA,25,100,NA,89.4,89.1,100,100,46.9,58.5
25,State,Tripura,88.9,96.2,100,NA,NA,100,NA,NA,100,NA,NA,NA,100,90.7,NA,NA,100,NA,NA,NA,NA,50,33.3,100,NA,62.5,92.4
26,State,Uttar Pradesh,99.4,98.8,99.8,99.9,NA,95.8,92.5,70,100,81.3,81.3,NA,100,83.6,NA,71.4,82.4,NA,NA,87.4,NA,87,87,NA,91,99.2,99.2
27,State,Uttarakhand,99.3,98.2,100,99.8,NA,100,71.4,100,100,NA,NA,NA,71.4,85.2,NA,NA,100,NA,NA,100,NA,75,75,NA,92.8,99.9,99.8
28,State,West Bengal,98.2,96.8,88.8,61.9,50,67.6,89.1,75,99,NA,NA,NA,99,96.4,NA,100,100,NA,100,95.3,NA,100,100,100,85.7,87.2,90.4
Total (States),Total (States),Total (States),98.8,97.8,99.8,99.6,96.1,87.3,99,56,98.4,68.2,69,33.3,85.2,93.1,100,76.5,89.6,88.2,99.5,98,0,83.7,83.2,89.7,94.3,93.9,94.6
29,Union Territories,Andaman & Nicobar Islands,0,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,100,100
30,Union Territories,Chandigarh,81.8,98.8,99,100,NA,100,100,NA,100,NA,NA,NA,NA,100,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,96.2,98.8
31,Union Territories,Dadra Nagar Haveli,100,NA,100,100,NA,100,100,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,NA,100,NA,75,NA,75,NA,NA,94.7
32,Union Territories,Daman & Diu,NA,NA,100,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
33,Union Territories,Delhi,98.6,99.7,100,99.8,NA,50,100,100,92.9,100,100,NA,90.9,98.1,NA,NA,100,NA,NA,81.1,NA,88.9,88.9,NA,100,98.4,98.5
34,Union Territories,Lakshadweep,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
35,Union Territories,Pondicherry,100,100,100,NA,NA,100,100,NA,100,100,100,NA,100,100,NA,NA,100,NA,NA,100,NA,100,100,NA,NA,98.3,98.8
Total (UTs),Total (UTs),Total (UTs),98.6,99.5,99.7,99.9,100,92.3,100,100,95.2,100,100,0,91.7,99.2,0,0,100,0,0,85.1,0,83.3,89.5,60,100,98.9,99.2
Total (All-India),Total (All-India),Total (All-India),98.8,97.8,99.8,99.6,96.1,87.3,99,56.8,98.4,71.4,72.2,33.3,85.3,93.2,100,76.5,89.7,88.2,99.5,97.5,0,83.7,83.2,89.5,94.3,93.9,94.6
