Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304, 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",Dacoity (Sec.395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec. 392-394,397,398 IPC)","Burglary (Sec. 449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto Theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt(Sec.323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
27,State,Uttarakhand,46.1,48.1,47.5,52.1,NA,52.1,44,43.4,47.1,30,100,58.7,68.5,68.9,67,69.7,53.4,50,54.9,56.5,42.9,72.8,47.7,78.3,97,61.7,NA,75.2,81.2,69.3
28,State,West Bengal,16.5,12.3,25,15.1,NA,15.1,7.9,7.8,8.8,18.1,4.6,11.5,7.5,4,1.4,4.2,1.3,4.2,4.7,30.3,4.8,14.6,15.7,12.9,33.3,5.3,0,4.8,18.4,12.6
State,State,Total (States),35.8,29,37.8,26.2,0,26.2,26.6,26.7,26.4,22.8,24.5,29.6,35.8,38.4,44,36.5,20.1,30.2,28,38.7,19.4,28.2,33.3,28.7,49.1,19.7,28.6,35.3,53.3,41.2
29,Union Territory,Andaman & Nicobar Islands,31.3,100,NA,33.3,NA,33.3,0,0,NA,NA,NA,0,75,50,NA,50,0,50,0,NA,100,4.8,NA,0,NA,0,NA,NA,48.6,37.6
30,Union Territory,Chandigarh,88.9,35.7,44.4,57.1,NA,57.1,46.4,45.8,50,66.7,0,36.4,66,71,59.6,74.8,13.3,36.4,21.4,66.7,NA,22.4,66.7,17.6,33.3,29.2,NA,20,41.8,48.2
31,Union Territory,Dadra Nagar Haveli,0,100,NA,50,NA,50,50,66.7,0,NA,NA,0,15.4,21.7,0,29.4,0,0,0,0,NA,14.3,NA,NA,NA,0,NA,0,32.4,24.7
32,Union Territory,Daman & Diu,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,13.3,22.2,10,29.4,8,0,0,NA,NA,16.7,NA,NA,NA,0,NA,0,18.9,12.7
33,Union Territory,Delhi,48.1,40.5,38,47.3,NA,47.3,33.3,30.7,43.6,38.5,47.5,54.8,57,58.9,56.7,60,32.4,36.8,58,35.3,62.5,39.1,44.9,48.4,60.9,26.4,NA,51.5,63,58.1
34,Union Territory,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0
35,Union Territory,Pondicherry,32.5,19,33.3,66.7,NA,66.7,0,0,0,0,0,50,60,75.3,81.2,61.3,97.7,NA,46.7,100,25,58.7,100,18.2,50,6.7,NA,97.4,98.2,90.2
Union Territory,Union Territory,Total (UTs),46.9,39.4,38.6,48.2,0,48.2,33.9,32.4,39.6,41.2,46.2,53.5,56,61,60.2,61.4,50.2,34.8,52.6,40.9,57.1,38.2,46.3,45.1,56.8,24.9,0,76.2,65.2,59.8
Total (All-India),Total (All-India),Total (All-India),36,29.2,37.9,26.9,0,26.9,26.8,26.8,26.6,22.9,25.9,30.3,36.2,39.3,45,37.4,20.3,30.3,29.2,38.7,19.5,28.3,33.4,29,49.2,19.8,28.6,35.7,53.6,41.7
