Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC) - 2008,Murder (Sec.302 IPC) - 2009,Murder (Sec.302 IPC) - % Varitation,Attempt to Commit Murder (Sec. 307 IPC) - 2008,Attempt to Commit Murder (Sec. 307 IPC) - 2009,Attempt to Commit Murder (Sec. 307 IPC) - % Varitation,"C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - 2008","C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - 2009","C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - % Varitation",Rape (Sec. 376 IPC) - Total - 2008,Rape (Sec. 376 IPC) - Total - 2009,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2008,Rape (Sec. 376 IPC) - Custodial - 2009,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Others - 2008,Rape (Sec. 376 IPC) - Others - 2009,Rape (Sec. 376 IPC) - Others - % Variation,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2008,Dacoity (Sec. 395-398 IPC) - 2009,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2008,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2009,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2008","Robbery (Sec.392-394, 397, 398 IPC) - 2009","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2008","Burglary (Sec.449-452,454,455,457-460 IPC) - 2009","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec.379-382 IPC) - Total - 2008,Theft (Sec.379-382 IPC) - Total - 2009,Theft (Sec.379-382 IPC) - Total - % Variation,Theft (Sec.379-382 IPC) - Auto Theft - 2008,Theft (Sec.379-382 IPC) - Auto Theft - 2009,Theft (Sec.379-382 IPC) - Auto Theft - % Variation,Theft (Sec.379-382 IPC) - Other Theft -2008,Theft (Sec.379-382 IPC) - Other Theft - 2009,Theft (Sec.379-382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2008","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2009","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2008,Criminal Breach of Trust (Sec. 406-409 IPC) - 2009,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2008","Cheating (Sec. 419,420 IPC) - 2009","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2008","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2009","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2008","Arson (Sec.435,436,438 IPC) - 2009","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2008","Hurt (Sec.323-333, 335-338 IPC) - 2009","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2008,Dowry Deaths (Sec.304B IPC) - 2009,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2008,Molestation (Sec.354 IPC) - 2009,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2008,Sexual Harassment (Sec.509 IPC) - 2009,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2008,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2009,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2008,Importation of Girls (Sec. 366B IPC) - 2009,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2008,Causing Death by Negligence (Sec. 304A IPC) - 2009,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2008,Other IPC Crimes - 2009,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2008,Total Cognizable Crimes Under IPC - 2009,Total Cognizable Crimes Under IPC - % Variation,Note of Attempt to Commit Murder (Sec. 307 IPC) - %Varitation,"Note of C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Note of Rape (Sec. 376 IPC) - Custodial - % Variation,Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
11,State,Jharkhand,1697,1636,-3.6,1061,1274,20.1,112,104,-7.1,791,719,-9.1,0,0,NA,791,719,-9.1,792,827,4.4,499,517,3.6,293,310,5.8,416,412,-1,50,53,6,761,780,2.5,1375,1392,1.2,7269,7716,6.1,2165,2990,38.1,5104,4726,-7.4,2576,2312,-10.2,269,473,75.8,900,910,1.1,24,15,-37.5,164,203,23.8,2826,4132,46.2,266,295,10.9,271,276,1.8,23,83,260.9,851,710,-16.6,39,6,-84.6,1310,1678,28.1,14843,11430,-23,38686,37436,-3.2,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
12,State,Karnataka,1698,1702,0.2,1475,1607,8.9,81,79,-2.5,446,509,14.1,0,0,NA,446,509,14.1,758,892,17.7,405,408,0.7,353,484,37.1,270,273,1.1,248,346,39.5,1615,1825,13,6258,6629,5.9,17820,20576,15.5,8960,11093,23.8,8860,9483,7,6013,6269,4.3,424,461,8.7,3669,5079,38.4,118,171,44.9,265,293,10.6,19159,20105,4.9,259,264,1.9,1954,2186,11.9,44,64,45.5,2638,3185,20.7,1,2,100,572,417,-27.1,61755,61108,-1,127540,134042,5.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
13,State,Kerala,362,343,-5.2,434,408,-6,95,100,5.3,568,568,0,0,0,NA,568,568,0,253,256,1.2,166,173,4.2,87,83,-4.6,91,112,23.1,267,266,-0.4,816,830,1.7,3882,3554,-8.4,5818,5564,-4.4,1981,2029,2.4,3837,3535,-7.9,8057,8086,0.4,435,354,-18.6,3659,3394,-7.2,46,66,43.5,389,503,29.3,19178,18274,-4.7,31,20,-35.5,2745,2540,-7.5,258,395,53.1,4138,4007,-3.2,0,0,NA,37,41,10.8,59061,68688,16.3,110620,118369,7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
14,State,Madhya Pradesh,2322,2386,2.8,2282,2212,-3.1,204,117,-42.6,2937,2998,2.1,0,1,NA,2937,2997,2,929,1036,11.5,736,841,14.3,193,195,1,160,117,-26.9,124,156,25.8,2234,2270,1.6,11072,10661,-3.7,24583,23260,-5.4,10533,10705,1.6,14050,12555,-10.6,2768,2409,-13,570,575,0.9,1368,1830,33.8,47,27,-42.6,898,741,-17.5,36344,37132,2.2,805,858,6.6,6445,6307,-2.1,758,728,-4,3185,3983,25.1,0,1,NA,6008,6591,9.7,100513,101367,0.8,206556,207762,0.6,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
15,State,Maharashtra,2795,2653,-5.1,1837,1880,2.3,111,98,-11.7,1558,1483,-4.8,0,0,NA,1558,1483,-4.8,1379,1286,-6.7,998,926,-7.2,381,360,-5.5,811,780,-3.8,274,287,4.7,3031,3314,9.3,16004,15841,-1,52860,50930,-3.7,16900,18133,7.3,35960,32797,-8.8,9388,8030,-14.5,1880,1895,0.8,7296,7976,9.3,405,478,18,1288,1105,-14.2,29742,28326,-4.8,390,341,-12.6,3619,3196,-11.7,1091,1099,0.7,7829,7681,-1.9,0,0,NA,12472,12459,-0.1,50183,48460,-3.4,206243,199598,-3.2,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
16,State,Manipur,187,131,-29.9,498,478,-4,4,2,-50,38,31,-18.4,0,0,NA,38,31,-18.4,176,159,-9.7,87,97,11.5,89,62,-30.3,1,1,0,212,188,-11.3,7,3,-57.1,76,68,-10.5,446,394,-11.7,223,283,26.9,223,111,-50.2,48,48,0,24,20,-16.7,161,96,-40.4,3,1,-66.7,41,81,97.6,301,224,-25.6,1,0,-100,57,39,-31.6,0,2,NA,28,25,-10.7,0,0,NA,2,0,-100,1038,861,-17.1,3349,2852,-14.8,NA,NA,@,NA,NA,NA,NA,NA,@,@,NA
17,State,Meghalaya,126,128,1.6,55,39,-29.1,6,12,100,88,112,27.3,0,0,NA,88,112,27.3,56,56,0,25,26,4,31,30,-3.2,63,64,1.6,0,1,NA,65,67,3.1,168,147,-12.5,669,545,-18.5,137,180,31.4,532,365,-31.4,8,18,125,32,26,-18.8,104,113,8.7,10,9,-10,28,54,92.9,204,207,1.5,2,0,-100,54,72,33.3,4,1,-75,32,24,-25,0,1,NA,64,72,12.5,480,680,41.7,2318,2448,5.6,NA,NA,@,NA,@,NA,NA,NA,NA,@,NA
18,State,Mizoram,35,31,-11.4,10,14,40,6,8,33.3,77,83,7.8,0,1,NA,77,82,6.5,9,9,0,1,0,-100,8,9,12.5,4,2,-50,0,0,0,6,4,-33.3,338,381,12.7,747,761,1.9,27,77,185.2,720,684,-5,1,1,0,34,30,-11.8,57,61,7,15,9,-40,18,24,33.3,118,120,1.7,0,0,0,78,61,-21.8,0,1,NA,5,4,-20,0,0,NA,53,36,-32.1,378,407,7.7,1989,2047,2.9,NA,NA,@,NA,NA,NA,NA,NA,@,@,NA
19,State,Nagaland,143,46,-67.8,47,35,-25.5,13,7,-46.2,19,22,15.8,0,0,NA,19,22,15.8,44,52,18.2,7,10,42.9,37,42,13.5,6,8,33.3,0,0,0,87,92,5.7,127,82,-35.4,345,347,0.6,182,69,-62.1,163,278,70.6,4,4,0,16,6,-62.5,31,33,6.5,4,3,-25,14,4,-71.4,46,38,-17.4,0,0,0,15,11,-26.7,1,0,-100,4,0,-100,0,0,NA,44,34,-22.7,192,235,22.4,1202,1059,-11.9,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
20,State,Odisha,1250,1250,0,1415,1231,-13,84,48,-42.9,1113,1023,-8.1,0,0,NA,1113,1023,-8.1,908,930,2.4,762,799,4.9,146,131,-10.3,305,380,24.6,67,63,-6,1345,1488,10.6,3100,2937,-5.3,7419,7136,-3.8,1975,2521,27.6,5444,4615,-15.2,2721,1718,-36.9,342,258,-24.6,1244,1137,-8.6,26,34,30.8,869,413,-52.5,7013,6816,-2.8,401,384,-4.2,2782,2697,-3.1,282,210,-25.5,1618,2047,26.5,0,1,NA,3535,2979,-15.7,18916,20560,8.7,56755,55740,-1.8,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
21,State,Punjab,769,853,10.9,956,1014,6.1,146,129,-11.6,517,511,-1.2,0,0,NA,517,511,-1.2,718,692,-3.6,514,513,-0.2,204,179,-12.3,40,38,-5,122,96,-21.3,167,171,2.4,2621,2507,-4.3,5563,5624,1.1,2182,2713,24.3,3381,2911,-13.9,1,8,700,236,234,-0.8,3192,3098,-2.9,78,63,-19.2,75,101,34.7,5597,5498,-1.8,128,126,-1.6,388,319,-17.8,49,33,-32.7,984,1061,7.8,0,0,NA,2845,3289,15.6,10122,10080,-0.4,35314,35545,0.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
22,State,Rajasthan,1297,1395,7.6,1649,1673,1.5,54,80,48.1,1355,1519,12.1,0,0,NA,1355,1519,12.1,2358,2870,21.7,1863,2310,24,495,560,13.1,64,53,-17.2,77,57,-26,829,886,6.9,4736,5294,11.8,20411,22144,8.5,9857,12156,23.3,10554,9988,-5.4,1390,1145,-17.6,737,842,14.2,12097,15037,24.3,51,59,15.7,615,556,-9.6,21117,21652,2.5,439,436,-0.7,2520,2485,-1.4,19,24,26.3,8113,10371,27.8,0,0,NA,7322,7898,7.9,63924,70089,9.6,151174,166565,10.2,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
23,State,Sikkim,9,19,111.1,7,7,0,3,3,0,20,18,-10,0,0,NA,20,18,-10,4,6,50,4,6,50,0,0,0,1,0,-100,0,0,0,7,4,-42.9,81,93,14.8,127,62,-51.2,9,8,-11.1,118,54,-54.2,17,39,129.4,6,4,-33.3,46,12,-73.9,0,2,NA,23,9,-60.9,100,91,-9,0,0,0,19,10,-47.4,0,0,0,5,6,20,0,0,NA,40,59,47.5,215,225,4.7,730,669,-8.4,NA,NA,@,NA,NA,NA,@,NA,NA,@,NA
24,State,Tamil Nadu,1759,1776,1,2327,2325,-0.1,28,26,-7.1,573,596,4,0,0,NA,573,596,4,1375,1372,-0.2,1160,1133,-2.3,215,239,11.2,100,97,-3,66,34,-48.5,662,1144,72.8,3849,4221,9.7,15019,15712,4.6,3722,4973,33.6,11297,10739,-4.9,2811,2397,-14.7,231,215,-6.9,2349,2557,8.9,599,352,-41.2,610,580,-4.9,20529,18147,-11.6,207,194,-6.3,1705,1242,-27.2,974,501,-48.6,1648,1460,-11.4,0,0,NA,12328,13528,9.7,107084,106215,-0.8,176833,174691,-1.2,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
25,State,Tripura,155,133,-14.2,53,59,11.3,2,2,0,204,190,-6.9,0,0,NA,204,190,-6.9,146,121,-17.1,110,92,-16.4,36,29,-19.4,13,7,-46.2,3,0,-100,95,77,-18.9,218,231,6,499,415,-16.8,43,39,-9.3,456,376,-17.5,197,178,-9.6,42,52,23.8,92,110,19.6,23,20,-13,47,62,31.9,924,1047,13.3,16,29,81.3,346,384,11,4,5,25,735,815,10.9,0,0,NA,195,225,15.4,1327,1324,-0.2,5336,5486,2.8,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
26,State,Uttar Pradesh,4564,4534,-0.7,4233,4141,-2.2,1493,1439,-3.6,1871,1759,-6,0,0,NA,1871,1759,-6,5428,6083,12.1,4439,5078,14.4,989,1005,1.6,313,365,16.6,76,59,-22.4,2097,2285,9,5418,5260,-2.9,25946,29226,12.6,12064,16109,33.5,13882,13117,-5.5,4381,4263,-2.7,4296,3917,-8.8,9327,8845,-5.2,420,339,-19.3,228,254,11.4,11683,10934,-6.4,2237,2232,-0.2,2955,2782,-5.9,3374,2524,-25.2,8312,8566,3.1,0,0,NA,10102,12159,20.4,60242,60918,1.1,168996,172884,2.3,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
27,State,Uttarakhand,223,195,-12.6,217,185,-14.7,40,51,27.5,87,111,27.6,0,0,NA,87,111,27.6,247,275,11.3,222,247,11.3,25,28,12,16,35,118.8,2,7,250,144,179,24.3,423,363,-14.2,1622,1601,-1.3,726,735,1.2,896,866,-3.3,509,466,-8.4,171,156,-8.8,463,544,17.5,31,43,38.7,15,17,13.3,937,1198,27.9,73,94,28.8,120,119,-0.8,306,249,-18.6,340,361,6.2,0,0,NA,590,685,16.1,2280,1868,-18.1,8856,8802,-0.6,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
