Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
41,City,Bengaluru,113,635.5,140,133.1,0,0,0,0,0,0,0,0,15,3.3,164,155.6,1160,945,1592,1872.6
42,City,Bhopal,810,257,0,0,0,0,0,0,0,0,0,0,0,0,116,4.1,0,0,926,261.1
43,City,Chennai,279,154,0,0,0,0,0,0,0,0,0,0,0,0,40,45.8,79,12.1,398,211.9
44,City,Coimbatore,151,79.2,0,0,0,0,0,0,0,0,0,0,0,0,35,21.6,11,5.6,197,106.3
45,City,Delhi (city),1047,954.3,0,0,0,0,1,0.4,0,0,1,0.4,4,18.7,271,311.5,243,1094,1566,2378.7
46,City,Dhanbad,98,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,24.6
47,City,Faridabad,157,61.1,0,0,0,0,0,0,0,0,0,0,0,0,85,42,16,29.2,258,132.3
48,City,Hyderabad,542,323.2,0,0,0,0,38,19.5,0,0,38,19.5,1,0,21,5.5,367,697.5,969,1045.7
49,City,Indore,694,140.4,0,0,0,0,0,0,0,0,0,0,0,0,129,26.1,0,0,823,166.5
50,City,Jabalpur,109,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,99.5,340,102.7
51,City,Jaipur,636,185.8,0,0,0,0,0,0,0,0,0,0,1,32.5,251,99.8,23,1.2,911,319.3
52,City,Jamshedpur,65,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,120,80.1
53,City,Kanpur,184,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7.7,229,60.2
54,City,Kochi,27,20.3,0,0,0,0,0,0,0,0,0,0,0,0,11,12.3,29,11.5,67,44.1
55,City,Kolkata,38,97.6,0,0,0,0,0,0,0,0,0,0,0,0,35,89.8,17,20.3,90,207.7
56,City,Lucknow,438,139.3,0,0,0,0,0,0,0,0,0,0,0,0,31,5,80,41.7,549,185.9
57,City,Ludhiana,81,202.3,0,0,0,0,0,0,0,0,0,0,0,0,63,132.8,36,116.5,180,451.6
58,City,Madurai,67,34.9,0,0,0,0,0,0,0,0,0,0,0,0,8,2.7,10,9.8,85,47.4
59,City,Meerut,62,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.3,70,12.4
60,City,Mumbai,1381,1680,0,0,0,0,0,0,0,0,0,0,5,2.7,880,1174.1,503,800,2769,3656.9
61,City,Nagpur,507,288.3,0,0,0,0,0,0,0,0,0,0,2,0,134,159.6,81,10,724,457.9
62,City,Nasik,434,251.8,0,0,0,0,0,0,0,0,0,0,1,0,119,160.6,67,75,621,487.4
63,City,Patna,409,3.7,0,0,0,0,0,0,0,0,0,0,0,0,32,0.4,96,0.8,537,4.9
64,City,Pune,986,635.5,0,0,3,0.5,0,0,0,0,0,0,6,0.1,229,222.7,81,112.9,1305,971.7
65,City,Rajkot,106,44.8,0,0,0,0,0,0,0,0,0,0,0,0,59,143.7,68,84.2,233,272.7
66,City,Surat,245,229.6,0,0,0,0,0,0,0,0,0,0,0,0,30,30,164,62.2,439,321.8
67,City,Vadodara,211,88.5,0,0,0,0,0,0,0,0,0,0,3,0,49,31.2,13,16.4,276,136.1
68,City,Varanasi,82,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.9,94,22.5
69,City,Vijayawada,133,50.2,0,0,0,0,0,0,0,0,0,0,0,0,38,13.9,5,2.7,176,66.9
70,City,Vishakhapatnam,230,102.9,0,0,0,0,0,0,0,0,0,0,0,0,58,31.3,23,2.7,311,136.8
