Sr. No.,Category,States/ UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks/Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks/Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks/Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
25,State,Tripura,63,24,0,4,1,0,1,1,0,3,3,0,0,0,0,71,29,0
26,State,Uttar Pradesh,11181,1718,212,2718,320,41,20,6,0,168,52,11,291,93,25,14378,2189,289
27,State,Uttarakhand,556,193,0,106,26,0,0,0,0,29,7,0,11,3,0,702,229,0
28,State,West Bengal,3034,477,265,401,86,64,1,1,0,38,6,2,144,31,25,3618,601,356
State,State,Total (states),101957,27081,7411,15663,3685,901,74,42,12,2209,761,133,3758,1541,376,123661,33110,8833
29,Union Territory,A & N Islands,9,8,0,1,1,0,0,0,0,0,0,0,0,0,0,10,9,0
30,Union Territory,Chandigarh,648,199,0,466,75,0,1,0,0,1,0,0,1,1,0,1117,275,0
31,Union Territory,D & N Haveli,10,2,0,10,3,0,0,0,0,0,0,0,3,0,0,23,5,0
32,Union Territory,Daman & Diu,27,5,0,4,0,0,0,0,0,0,0,0,0,0,0,31,5,0
33,Union Territory,Delhi,7843,1164,438,4757,580,289,13,0,1,173,24,7,465,118,3,13251,1886,738
34,Union Territory,Lakshadweep,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,0
35,Union Territory,Puducherry,487,243,77,9,3,0,0,0,0,3,2,0,3,2,1,502,250,78
Union Territory,Union Territory,Total (UTs),9025,1622,515,5251,666,289,14,0,1,177,26,7,472,121,4,14939,2435,816
Total (All-India),Total (All-India),Total (All-India),110982,28703,7926,20914,4351,1190,88,42,13,2386,787,140,4230,1662,380,138600,35545,9649
36,City,Agra,1038,121,67,87,18,11,0,0,0,12,1,0,28,10,3,1165,150,81
37,City,Ahmedabad,3697,663,130,357,55,7,0,0,0,11,0,0,167,41,4,4232,759,141
38,City,Allahabad,290,47,0,31,6,0,0,0,0,1,1,0,0,0,0,322,54,0
39,City,Amritsar,125,85,85,78,7,7,0,0,0,20,7,7,0,0,0,223,99,99
40,City,Asansol,125,12,7,7,1,0,0,0,0,0,0,0,7,0,0,139,13,7
41,City,Bengaluru,6189,975,62,623,122,15,5,0,1,40,14,0,153,52,59,7010,1163,137
42,City,Bhopal,1416,276,0,208,110,0,0,0,0,0,0,0,27,12,0,1651,398,0
43,City,Chennai,302,167,39,16,5,0,0,0,0,22,20,0,0,0,0,340,192,39
44,City,Coimbatore,567,392,392,34,27,27,0,0,0,0,0,0,7,4,4,608,423,423
45,City,Delhi (city),7212,1052,438,4566,552,289,12,0,1,77,15,7,462,112,3,12329,1731,738
46,City,Dhanbad,229,34,0,8,1,0,0,0,0,0,0,0,3,0,0,240,35,0
47,City,Faridabad,620,117,0,264,67,0,0,0,0,28,11,0,5,2,0,917,197,0
48,City,Hyderabad,1801,638,0,131,44,0,0,0,0,0,0,0,175,102,0,2107,784,0
49,City,Indore,2462,328,0,125,19,0,0,0,0,28,3,0,3,1,0,2618,351,0
50,City,Jabalpur,172,80,0,0,0,0,0,0,0,0,0,0,90,29,0,262,109,0
51,City,Jaipur,3199,300,281,613,89,136,0,0,0,0,0,0,18,4,6,3830,393,423
52,City,Jamshedpur,540,130,0,90,10,0,0,0,0,0,0,0,0,0,0,630,140,0
53,City,Kanpur,520,138,0,107,17,0,0,0,0,4,2,0,4,2,0,635,159,0
54,City,Kochi,93,52,1,16,10,1,1,1,0,5,2,0,4,2,0,119,67,2
55,City,Kolkata,324,59,39,100,40,28,1,1,0,8,2,0,0,0,0,433,102,67
56,City,Lucknow,892,143,0,248,33,0,0,0,0,5,2,0,6,2,0,1151,180,0
57,City,Ludhiana,192,63,63,163,33,33,0,0,0,25,6,6,13,8,8,393,110,110
58,City,Madurai,166,91,88,5,3,2,0,0,0,0,0,0,3,2,1,174,96,91
59,City,Meerut,374,32,0,72,7,0,0,0,0,5,3,0,18,2,0,469,44,0
60,City,Mumbai,2773,706,385,1240,237,177,1,1,1,106,27,17,96,117,77,4216,1088,657
61,City,Nagpur,684,209,53,72,19,2,2,1,0,68,7,4,6,3,0,832,239,59
62,City,Nasik,784,152,152,63,7,7,0,0,0,0,0,0,3,0,0,850,159,159
63,City,Patna,1059,21,0,102,5,0,6,0,0,6,1,0,24,2,0,1197,29,0
64,City,Pune,2906,826,134,241,68,11,2,2,0,45,13,2,67,29,8,3261,938,155
65,City,Rajkot,720,186,186,23,5,5,0,0,0,0,0,0,10,2,2,753,193,193
66,City,Surat,1268,342,0,83,27,0,0,0,0,0,0,0,123,38,0,1474,407,0
67,City,Vadodara,862,253,253,68,21,21,0,0,0,8,3,3,8,1,1,946,278,278
68,City,Varanasi,320,13,0,34,3,0,0,0,0,1,0,0,0,0,0,355,16,0
69,City,Vijayawada,403,168,0,22,12,0,0,0,0,0,0,0,14,9,0,439,189,0
70,City,Vishakhapatnam,400,151,0,6,6,0,0,0,0,12,9,0,2,1,0,420,167,0
City,City,Total (Cities),44724,9022,2855,9903,1686,779,30,6,3,537,149,46,1546,589,176,56740,11452,3859
