Sr. No.,Category,States/UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
51,City,Jaipur,530,292,0,0,0,0,0,0,0,0,0,0,0,0,61,35.9,4722,2035.5,5313,2363.3
52,City,Jamshedpur,350,31.5,180,150.7,0,0,0,0,0,0,0,0,0,0,405,120.2,285,16,1220,318.3
53,City,Kanpur,123,8.9,745,164.5,0,0,37,10.3,22,7.8,15,2.5,0,0,63,4.3,126,58.7,1094,246.7
54,City,Kochi,55,29.4,20,17.8,0,0,0,0,0,0,0,0,0,0,7,0.5,240,102.4,322,150.1
55,City,Kolkata,1021,689.9,0,0,0,0,0,0,0,0,0,0,0,0,843,597.7,1214,494,3078,1781.6
56,City,Lucknow,199,34.1,1250,450.3,0,0,85,18.2,39,8.8,46,9.3,0,0,107,33.7,673,66.4,2314,602.7
57,City,Ludhiana,183,390.5,0,0,0,0,0,0,0,0,0,0,1,0,32,203.1,400,85.7,616,679.3
58,City,Madurai,52,10.2,21,7.8,0,0,0,0,0,0,0,0,0,0,64,63.3,393,83.6,530,164.9
59,City,Meerut,35,3.1,555,398,0,0,0,0,0,0,0,0,0,0,5,0.3,170,12.7,765,414.2
60,City,Mumbai,1780,1897.3,63,36.7,3,1.5,0,0,0,0,0,0,32,42.1,808,1112.6,9323,9548.3,12009,12638.5
61,City,Nagpur,197,73.1,0,0,0,0,0,0,0,0,0,0,0,0,65,36.5,1471,918.4,1733,1028
62,City,Nasik,253,90.8,0,0,0,0,0,0,0,0,0,0,8,4.6,194,66.3,1250,605.3,1705,767.1
63,City,Patna,823,92.3,1197,767.7,0,0,0,0,0,0,0,0,0,0,62,2.1,165,4.4,2247,866.4
64,City,Pune,886,1782.8,0,0,9,22.8,0,0,0,0,0,0,0,0,301,92.8,3985,615.6,5181,2514
65,City,Rajkot,55,14.6,0,0,0,0,0,0,0,0,0,0,0,0,12,1.7,1087,288.1,1154,304.4
66,City,Surat,829,305.5,3,2.7,0,0,74,18,0,0,74,18,9,5.4,118,75.5,1187,508.1,2220,915.1
67,City,Vadodara,392,165.7,1,0.1,0,0,0,0,0,0,0,0,2,1,212,164.1,819,277.9,1426,608.8
68,City,Varanasi,65,8.7,512,60.9,0,0,15,3,11,2.4,4,0.6,0,0,0,0,54,0.2,646,72.8
69,City,Vijayawada,307,68.3,6,3,0,0,0,0,0,0,0,0,0,0,132,35.7,692,190.1,1137,297.1
70,City,Visakhapatnam,511,113.8,0,0,0,0,0,0,0,0,0,0,20,1,209,26.8,300,63.9,1040,205.6
