Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
13,State,Kerala,31,166.9,13,47,0,0,0,0,0,0,0,0,1,0,8,12.2,59,187.2,112,413.3
14,State,Madhya Pradesh,32,40.4,22,96.8,0,0,1,0,0,0,1,0,3,4.6,7,85.6,52,50.6,117,278
15,State,Maharashtra,159,320,88,338.3,1,5.9,22,10.9,17,9.8,5,1.2,2,5.8,43,204.3,465,821.4,780,1706.6
16,State,Manipur,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4
17,State,Meghalaya,21,8,18,7.6,0,0,0,0,0,0,0,0,0,0,1,0.1,24,14,64,29.7
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
19,State,Nagaland,2,0.9,3,3.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7,8,6.3
20,State,Orissa,90,182.9,88,592.3,0,0,8,36.5,2,0.1,6,36.4,11,226.4,44,101.7,139,364.6,380,1504.6
21,State,Punjab,6,1.3,10,15.3,0,0,0,0,0,0,0,0,3,9.4,8,20.9,11,12.5,38,59.4
22,State,Rajasthan,5,3.9,18,628.3,0,0,2,1.5,2,1.5,0,0,0,0,5,52,23,94.1,53,779.8
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,28,186.2,17,142.7,1,0.2,0,0,0,0,0,0,1,0,7,32.6,43,110.2,97,471.9
25,State,Tripura,3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.8,7,5.2
26,State,Uttar Pradesh,106,76.9,58,597.6,0,0,5,0.5,0,0,5,0.5,1,2.8,9,54.3,186,145.5,365,877.6
27,State,Uttarakhand,8,11.9,3,2.1,0,0,0,0,0,0,0,0,1,0.7,2,0.2,21,21.1,35,36
28,State,West Bengal,70,64.3,24,150.4,0,0,4,1.2,4,1.2,0,0,7,109.1,23,80.4,86,229.9,214,635.3
State,State,Total (States),1527,2418.2,798,3776.4,3,6.8,108,82.5,84,36,24,46.6,53,463.6,257,993.7,1781,3755.3,4527,11496.6
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,2,0.1,4,5.2
31,Union Territory,D & N Haveli,3,18.4,1,11.8,0,0,0,0,0,0,0,0,0,0,2,6.9,3,8.6,9,45.7
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,7,45.2,1,1.2,0,0,2,0.4,2,0.4,0,0,1,7.4,7,168,18,132.7,36,354.8
34,Union Territory,Lakshadweep,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20.6,7,20.6
Union Territory,Union Territory,Total (UTs),13,71.6,2,13,0,0,2,0.4,2,0.4,0,0,1,7.4,10,175,31,163.9,59,431.2
Total (All-India),Total (All-India),Total (All-India),1540,2489.7,800,3789.5,3,6.8,110,82.9,86,36.3,24,46.6,54,471,267,1168.7,1812,3919.2,4586,11927.8
36,City,Agra,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6,9,1.5
37,City,Ahmedabad,4,0.4,0,0,0,0,0,0,0,0,0,0,1,0.4,2,63,9,12.7,16,76.5
38,City,Allahabad,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5
39,City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5
40,City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.8,4,2.8
41,City,Bengaluru,13,14.1,7,138.3,0,0,0,0,0,0,0,0,2,0.6,3,8.3,16,431.9,41,593.1
42,City,Bhopal,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.2
43,City,Chennai,3,110.1,2,6.6,0,0,0,0,0,0,0,0,0,0,0,0,2,5.8,7,122.5
44,City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,2,22
45,City,Delhi (City),7,45.2,1,1.2,0,0,2,0.4,2,0.4,0,0,1,7.4,7,168,15,124.7,33,346.8
46,City,Dhanbad,13,14.5,2,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17.1
47,City,Faridabad,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,26.5,5,27.4
48,City,Hyderabad,1,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.5,5,10.3
49,City,Indore,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
50,City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
51,City,Jaipur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,8
52,City,Jamshedpur,4,1.3,5,0.7,0,0,0,0,0,0,0,0,0,0,3,0.9,3,6.5,15,9.4
53,City,Kanpur,8,2.9,1,5,0,0,0,0,0,0,0,0,0,0,1,0,6,0,16,7.9
54,City,Kochi,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.2,5,13.6
55,City,Kolkata,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,2,4.2
56,City,Lucknow,4,0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,1.5
57,City,Ludhiana,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
58,City,Madurai,2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,8.9,3,9.5,6,19.4
59,City,Meerut,3,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.7
60,City,Mumbai,6,13.8,0,0,1,5.9,0,0,0,0,0,0,0,0,9,23.4,23,203.4,39,246.4
61,City,Nagpur,5,4.8,0,0,0,0,0,0,0,0,0,0,0,0,4,1.7,9,13.5,18,20
62,City,Nasik,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,17,16.8,22,18.7
63,City,Patna,9,7.5,7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10.3
64,City,Pune,13,9.6,4,7.8,0,0,0,0,0,0,0,0,0,0,3,0.4,16,39.8,36,57.6
65,City,Rajkot,2,0.1,1,15.2,0,0,0,0,0,0,0,0,0,0,2,0.5,4,2.1,9,18.1
66,City,Surat,5,5.8,0,0,0,0,3,0.8,0,0,3,0.8,0,0,1,0.6,11,30.5,20,37.7
67,City,Vadodara,4,26.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,26.3
68,City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,City,Vijayawada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,City,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,1,0.9
