Sr. No.,Category,States/ UTs,Estimated Mid-Year Population (In Lakhs)#,Murder (Sec. 302 IPC) (I),Murder (Sec. 302 IPC) ( R),Murder (Sec. 302 IPC) (P),Rape (Sec. 376 IPC) (I),Rape (Sec. 376 IPC) (R),Rape (Sec. 376 IPC) (P),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) (P)",Dacoity (Sec. 395-398 IPC) (I),Dacoity (Sec. 395-398 IPC) ( R),Dacoity (Sec. 395-398 IPC) (P),"Robbery (Sec. 392-394, 397, 398 IPC) (I)","Robbery (Sec. 392-394, 397, 398 IPC) ( R)","Robbery (Sec. 392-394, 397, 398 IPC) (P)","Arson (Sec. 435, 436, 438 IPC) (I)","Arson (Sec. 435, 436, 438 IPC) ( R)","Arson (Sec. 435, 436, 438 IPC) (P)","Hurt (Sec. 323-333, 335-338 IPC) (I)","Hurt (Sec. 323-333, 335-338 IPC) ( R)","Hurt (Sec. 323-333, 335-338 IPC) (P)","Prot. of Civil Rights Act, 1955 (I)","Prot. of Civil Rights Act, 1955 ( R)","Prot. of Civil Rights Act, 1955 (P)","SC/ST Prev. of Attrocities Act, 1989 (I)","SC/ST Prev. of Attrocities Act, 1989 ( R)","SC/ST Prev. of Attrocities Act, 1989 (P)",Other Offences (I),Other Offences ( R),Other Offences (P),Total (I),Total ( R),Total (P)
11,State,Jharkhand,305.4,6,0,5.1,13,0,2.2,5,0,6.1,1,0,33.3,1,0,4.2,1,0,3.4,50,0.2,6.4,0,0,0,62,0.2,6.6,43,0.1,1.5,182,0.6,3.4
12,State,Karnataka,582,2,0,1.7,5,0,0.9,1,0,1.2,0,0,0,1,0,4.2,0,0,0,12,0,1.5,0,0,0,147,0.3,15.6,104,0.2,3.6,272,0.5,5
13,State,Kerala,346.6,0,0,0,28,0.1,4.8,1,0,1.2,0,0,0,0,0,0,1,0,3.4,28,0.1,3.6,0,0,0,6,0,0.6,38,0.1,1.3,102,0.3,1.9
14,State,Madhya Pradesh,709,41,0.1,34.7,263,0.4,45.1,27,0,32.9,0,0,0,1,0,4.2,6,0,20.7,216,0.3,27.4,0,0,0,0,0,0,581,0.8,20.4,1135,1.6,20.9
15,State,Maharashtra,1087,8,0,6.8,50,0,8.6,1,0,1.2,1,0,33.3,1,0,4.2,6,0,20.7,6,0,0.8,0,0,0,37,0,3.9,114,0.1,4,224,0.2,4.1
16,State,Manipur,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,404.3,14,0,11.9,33,0.1,5.7,13,0,15.9,1,0,33.3,12,0,50,1,0,3.4,77,0.2,9.8,0,0,0,80,0.2,8.5,321,0.8,11.3,552,1.4,10.2
21,State,Punjab,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,660.6,12,0,10.2,39,0.1,6.7,6,0,7.3,0,0,0,0,0,0,5,0,17.2,120,0.2,15.2,0,0,0,21,0,2.2,980,1.5,34.3,1183,1.8,21.8
23,State,Sikkim,6,1,0.2,0.8,1,0.2,0.2,1,0.2,1.2,0,0,0,0,0,0,0,0,0,7,1.2,0.9,0,0,0,0,0,0,4,0.7,0.1,14,2.3,0.3
24,State,Tamil Nadu,671.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.6,0,0,0,17,0,1.8,0,0,0,22,0,0.4
25,State,Tripura,35.7,0,0,0,4,0.1,0.7,1,0,1.2,0,0,0,0,0,0,1,0,3.4,3,0.1,0.4,0,0,0,0,0,0,18,0.5,0.6,27,0.8,0.5
26,State,Uttar Pradesh,1955.2,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,1,0,0,4,0,0.1
27,State,Uttarakhand,96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,892.1,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.8,7,0,0.2,16,0,0.3
State,State,Total (States),11485.1,118,0,100,583,0.1,100,82,0,100,3,0,100,24,0,100,29,0,100,787,0.1,100,2,0,100,939,0.1,99.5,2840,0.2,99.5,5407,0.5,99.7
29,Union Territory,Andaman & Nicobar Islands,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.1,1,0.2,0,2,0.5,0
30,Union Territory,Chandigarh,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,Dadra Nagar Haveli,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,0.4,12,4.4,0.4,16,5.8,0.3
32,Union Territory,Daman & Diu,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,177.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Pondicherry,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),209.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.5,13,0.1,0.5,18,0.1,0.3
Total (All-India),Total (All-India),Total (All-India),11694.4,118,0,100,583,0,100,82,0,100,3,0,100,24,0,100,29,0,100,787,0.1,100,2,0,100,944,0.1,100,2853,0.2,100,5425,0.5,100
