Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (p) Act,Copyright Act,Sati Prevention Act,SC/ST (Prevention of Atrocities) Act - Total,SC/ST (Prevention of Atrocities) Act - for SCs,SC/ST (Prevention of Atrocities) Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
22,State,Rajasthan,85.6,62.3,98.7,90.5,NA,83.7,55.3,98,50,NA,NA,NA,85.7,50,NA,NA,22.2,0,77.3,57.8,NA,40.2,41.3,35.7,93.5,86.4,91.7
23,State,Sikkim,NA,44.4,NA,NA,NA,0,NA,NA,75,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.3,75.7
24,State,Tamil Nadu,28.6,51.4,99.7,NA,77.7,88.7,72.9,80,71.4,19.5,19.5,NA,95.4,82.5,NA,NA,15.9,NA,18.8,89.8,NA,8.9,8.9,NA,40,95.9,89.2
25,State,Tripura,5.9,0,25,NA,NA,0,NA,NA,NA,NA,NA,NA,72.2,0,NA,NA,NA,50,NA,50,NA,0,0,0,NA,0,19.7
26,State,Uttar Pradesh,79.3,75,88.3,85.2,NA,73.6,58.3,93.1,100,59.6,59.6,NA,86.4,67.7,NA,50,67.4,NA,NA,72.9,NA,52.4,52.4,50,73.5,89.4,88.9
27,State,Uttarakhand,89.8,86.2,90.6,96.8,NA,100,0,100,100,NA,NA,NA,100,58.5,NA,NA,NA,NA,NA,55.6,NA,39.3,34.6,100,72.5,100,99.8
28,State,West Bengal,11.2,33.1,22.4,31.2,25,5.3,34.6,0,83.9,NA,NA,NA,100,7.7,NA,NA,68,NA,20,9.7,NA,0,0,NA,11.1,21.8,35.3
State,State,Total (States),69,67.2,86.1,80.3,51.2,58,55.2,80.2,82.5,17,17.5,0,78.5,34.8,0,26.7,21.5,28.6,91.4,43.4,0,25.3,25.8,20.6,77.7,92.1,87.3
29,Union Territory,Andaman & Nicobar Islands,NA,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
30,Union Territory,Chandigarh,41.2,61.4,98.7,92.7,NA,50,0,NA,50,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,30.8,NA,NA,NA,NA,NA,90.9,82.5
31,Union Territory,Dadra Nagar Haveli,100,NA,0,66.7,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
32,Union Territory,Daman & Diu,NA,50,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
33,Union Territory,Delhi,68.3,77.9,88.3,72.6,NA,54.5,79.5,76.9,80,NA,NA,NA,75,63,100,NA,100,NA,NA,76.2,NA,0,0,0,NA,88.6,74
34,Union Territory,Lakshadweep,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.7,66.7
35,Union Territory,Pondicherry,12.5,0,100,NA,NA,0,60,NA,NA,0,0,NA,100,100,NA,NA,0,NA,NA,9.1,NA,NA,NA,NA,NA,99.7,91.9
Union Territory,Union Territory,Total (UTs),67.3,75.2,92.5,82.4,100,50,63.6,76.9,71.4,0,0,0,75.3,78.9,100,0,28.6,0,0,49.4,0,0,0,0,0,94.3,81.6
Total (All-India),Total (All-India),Total (All-India),69,67.4,86.2,80.4,51.2,58,55.4,80.2,82.3,16.2,16.7,0,78.1,35.4,3.4,26.7,21.5,28.6,91.4,43.5,0,25.3,25.8,20.6,77.7,92.1,87.3
