Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. not Amounting to Murder (Sec.304,308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Others,"Kidnapping and Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",Dacoity (Sec.395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto Theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Death (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
21,State,Punjab,83.9,83.8,75.9,89.4,NA,89.4,70.9,70.9,70.8,81.5,95.4,81.7,46.6,49,47.2,50.3,NA,82,82.3,96.2,59.2,82.6,91.5,82.3,85,84.1,NA,65.7,79.8,71.8
22,State,Rajasthan,88.8,96.5,93.1,98.7,NA,98.7,79.1,76.6,88.1,80.4,89.5,63,32.9,23.4,17,31.9,98.5,78.2,71.5,39.7,71.3,99,98.5,98.7,100,95.8,NA,88.9,94.9,79.7
23,State,Sikkim,92.9,90.9,100,100,NA,100,100,100,NA,100,NA,50,47.1,44.4,45.5,44.2,38.2,54.5,54.5,33.3,72.7,88.7,NA,56.1,NA,88.9,NA,40.7,40.9,52.2
24,State,Tamil Nadu,93.9,95.4,79.2,96.3,NA,96.3,69.6,66.8,81.9,96.7,97.1,96.1,83.9,90.3,87.5,91.5,91.4,85.9,63.1,13.5,75.9,94.7,96.9,95.9,95.8,84.3,NA,86.1,89.1,89.1
25,State,Tripura,86.9,80.6,100,94.4,NA,94.4,72.5,77.2,57.1,66.7,100,65.3,56,51.4,60,50.8,88.7,75,78.7,76.9,63.2,90.4,87.1,91.2,100,96.4,NA,94.5,84.4,84
26,State,Uttar Pradesh,86.5,85.7,88.5,91.9,NA,91.9,67.7,69.6,55.4,92.2,98.3,79.9,38.5,27.8,16.4,42.6,84,57.3,58.1,48.5,71.3,82.2,87.1,94.8,98.9,79.1,NA,77.9,80.9,70.2
27,State,Uttarakhand,84,79.1,82.4,93.3,NA,93.3,66.1,66.4,64,81.3,100,74.5,49.9,45.1,30.4,58.9,75.3,55.7,64.3,40.4,47.1,87.2,85.7,88.5,99.6,81.2,NA,82.3,87.2,73.6
28,State,West Bengal,77.1,94.8,83.7,93.6,NA,93.6,76.3,78,67,76.5,94.4,57.8,28.9,20.9,13.6,22.5,84.8,73.3,61.7,89.9,64.5,95.4,97.9,93.4,85.8,97.1,81.8,81.9,80.2,74.9
Total (States),Total (States),Total (States),83.5,88.8,86.4,94.2,100,94.2,74.2,75.6,69.6,70.3,95.1,67.2,42.1,40.1,29.7,47,89.2,70.5,68.8,39.4,68.3,94.3,91.7,95.9,96.6,93.4,89.4,79.9,89,79.1
29,Union Territories,Andaman & Nicobar Islands,88.2,100,100,82.4,NA,82.4,27.3,22.2,50,NA,NA,92.3,48.7,55,60,54.8,91.7,80,44.4,NA,46.7,82.5,100,93.1,100,69.6,NA,66.7,88.6,77.5
30,Union Territories,Chandigarh,89.5,91.7,33.3,94.4,NA,94.4,90.9,94.4,75,100,50,66.7,11.7,10.9,5,23,98.4,42.9,76.3,100,25,88,66.7,92.9,100,87.5,NA,100,63.6,34
31,Union Territories,Dadra Nagar Haveli,66.7,100,100,100,NA,100,100,100,100,50,NA,100,46.9,42.9,11.1,76.5,80,61.5,54.5,0,0,100,NA,100,NA,NA,NA,100,84,74.7
32,Union Territories,Daman & Diu,60,75,100,50,NA,50,50,NA,50,33.3,NA,100,10.8,41.4,18.8,69.2,82.1,33.3,66.7,0,60,80,NA,0,100,100,NA,56.1,88.5,60.3
33,Union Territories,Delhi,87.9,98,98.9,95.2,NA,95.2,34.9,32.7,39.5,93.3,100,83.9,30.9,17.5,11.9,26.2,97.4,63.3,78,65.8,50,88.7,94.1,93,97.9,90,NA,64.5,95.1,54
34,Union Territories,Lakshadweep,NA,NA,NA,0,NA,0,100,100,NA,50,NA,NA,66.7,17.4,NA,17.4,50,NA,NA,NA,NA,50,NA,NA,NA,66.7,NA,NA,60.4,52.3
35,Union Territories,Pondicherry,96.6,100,100,100,NA,100,87.5,92.9,80,100,100,90,49.5,54.9,47,74.3,98.9,50,81.3,20,54.5,99.4,100,100,100,100,NA,96.5,98.2,90.2
Total (UTs),Total (UTs),Total (UTs),88.3,97.7,97.2,94.5,0,94.5,37.3,35.4,41.2,87.8,98.9,84.1,30.7,18.5,12.7,27.6,93.1,61.6,77.8,58.3,47.6,91.5,93.8,93.4,98.2,89.7,0,73.3,93.9,56.5
Total (All-India),Total (All-India),Total (All-India),83.6,89,86.7,94.2,100,94.2,72,73.5,67.2,70.5,95.2,67.7,41.8,38.3,27.7,45.9,89.2,70.2,69.2,39.7,68.1,94.3,91.7,95.8,96.6,93.3,89.4,79.8,89.1,78.4
