Sr. No.,Category,States/ UTs,Murder (Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Total,Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Others,"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC) - Total,Theft (Sec 379-382 IPC) - Auto Theft,Theft (Sec 379-382 IPC) - Other Theft,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust Sec 406 -409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231- 254, 489A – 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband and Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
15,State,Maharashtra,142,108,4,76,0,76,35,23,12,61,17,148,516,1396,470,926,426,2,30,0,14,948,20,72,26,99,0,37,445,4622
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,9,0,0,5,0,5,0,0,0,3,0,1,16,32,0,32,0,0,0,0,1,5,0,0,0,0,0,0,10,82
18,State,Mizoram,0,0,0,1,0,1,0,0,0,0,0,0,9,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19
19,State,Nagaland,2,0,1,0,0,0,0,0,0,0,0,1,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11
20,State,Orissa,14,14,0,27,0,27,4,4,0,10,0,16,40,117,4,113,12,0,1,1,0,18,0,4,2,1,0,1,99,381
21,State,Punjab,9,7,0,4,0,4,7,5,2,0,0,3,17,23,7,16,0,0,1,0,0,13,2,2,0,0,0,2,45,135
22,State,Rajasthan,62,70,2,50,0,50,50,39,11,0,4,23,234,357,150,207,28,2,5,0,6,237,5,44,1,9,0,9,621,1819
23,State,Sikkim,1,1,0,2,0,2,0,0,0,0,0,0,3,26,0,26,14,0,0,0,0,5,0,0,0,1,0,0,3,56
24,State,Tamil Nadu,47,26,0,15,0,15,3,3,0,2,0,22,138,538,80,458,18,0,8,0,2,144,0,2,3,0,0,38,356,1362
25,State,Tripura,2,1,0,6,0,6,0,0,0,0,0,1,2,8,3,5,5,0,0,0,1,10,0,0,0,2,0,0,4,42
26,State,Uttar Pradesh,42,13,4,36,0,36,31,27,4,0,0,2,13,64,10,54,4,0,0,0,0,12,12,6,4,7,0,0,63,313
27,State,Uttarakhand,3,1,1,6,0,6,2,2,0,0,0,5,13,60,21,39,5,0,2,0,0,10,1,2,0,0,0,0,41,152
28,State,West Bengal,8,1,0,20,0,20,12,12,0,0,2,0,4,37,3,34,10,0,0,0,0,11,0,3,0,3,0,0,24,135
State,State,Total (States),778,567,21,767,0,767,388,267,121,145,69,449,2383,5051,1428,3623,1410,17,104,8,79,3562,87,465,152,284,0,157,6318,23261
29,Union Territory,A & N Islands,1,2,0,0,0,0,0,0,0,0,0,0,8,2,0,2,1,0,0,0,0,0,0,1,1,0,0,0,11,27
30,Union Territory,Chandigarh,2,0,1,4,0,4,0,0,0,0,0,1,8,38,6,32,5,0,1,2,0,5,0,0,0,0,0,0,21,88
31,Union Territory,D & N Haveli,0,1,0,1,0,1,0,0,0,0,0,0,1,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,3,13
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
33,Union Territory,Delhi,57,32,3,26,0,26,8,8,0,4,1,31,28,120,49,71,3,0,3,1,0,63,0,6,0,0,0,8,58,452
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,6,1,0,0,0,0,0,0,0,1,2,0,3,37,29,8,0,0,0,0,0,16,0,1,0,0,0,0,16,83
Union Territory,Union Territory,Total (UTs),66,36,4,31,0,31,8,8,0,5,3,32,48,202,84,118,12,0,4,3,0,84,0,9,1,0,0,8,109,665
Total (All-India),Total (All-India),Total (All-India),844,603,25,798,0,798,396,275,121,150,72,481,2431,5253,1512,3741,1422,17,108,11,79,3646,87,474,153,284,0,165,6427,23926
