SL. No.,Category,States/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise & Prohibition Act - Incidence (I),Excise & Prohibition Act - Volume (V),Explosives & Explosive Substances Act - Incidence (I),Explosives & Explosive Substances Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),"Offences under other Special and Local Laws declared to be Cognizable, but not included above - Incidence (I)","Offences under other Special and Local Laws declared to be Cognizable, but not included above - Volume (V)",Grand Total - Incidence (I),Grand Total - Volume (V)
20,UT,Dadra & N. Haveli,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.4
21,UT,Delhi,424,10.5,341,8.4,1655,41,2750,68.1,1,Negligible,45,1.1,NA,NA,452,11.2,5668,140.3
22,UT,"Goa, Daman & Diu",7,1,2,0.3,NA,NA,NA,NA,1,0.1,1,0.1,1,0.1,31,4.6,43,6.3
23,UT,Himachal Pradesh,117,3.3,43,1.2,11,0.3,1405,39.8,3,0.1,NA,NA,21226,601.8,99,2.8,22904,649.4
24,UT,Lakshadweep,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,41,3.8,5,0.5,13,1.2,169,15.7,4,0.4,1,0.1,NA,NA,186,17.3,419,38.9
26,UT,Pondicherry,NA,NA,NA,NA,1473,335.5,NA,NA,2,0.5,NA,NA,916,20.9,5069,1154.7,7460,1699.3
27,UT,Tripura,9,0.6,NA,NA,6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,108,7.4,123,8.4
Total (UTs),UT,Total (UTs),603,5.2,439,3.8,3224,27.9,4933,42.6,23,0.2,47,0.4,22153,191.4,6057,52.3,37479,323.8
Total (All-India),Total (All-India),Total (All-India),20482,3.8,10659,2,138586,25.8,251559,46.9,1804,0.3,4751,0.9,1008541,188,1356766,252.8,2793148,520.5
1,City,Ahmedabad,4,0.3,NA,NA,2767,174.8,4514,285.2,2,0.1,1,0.1,30,1.9,24913,1573.8,32231,2036.1
2,City,Bangalore,2,0.1,2,0.1,482,27.6,1630,93.4,6,0.3,568,32.6,313311,17954.8,3,0.2,316004,18109.1
3,City,Bombay,NA,NA,6,0.1,12981,234.6,24505,442.8,478,8.6,40,0.7,10985,198.5,314505,5686.1,363500,6568.5
4,City,Calcutta,17,0.5,5,0.2,1917,61.2,1022,32.6,148,4.7,57,1.8,191224,6101.6,64281,2051.1,258671,8253.7
5,City,Delhi,404,11.2,334,9.2,1602,44.2,2426,67,1,Negligible,45,1.2,NA,NA,405,1.2,5217,144.1
6,City,Hyderabad,NA,NA,NA,NA,550,40.4,NA,NA,11,0.8,252,18.5,8033,589.4,38955,2858,47801,3507
7,City,Kanpur,942,73.8,76,6,259,20.3,379,29.7,NA,NA,36,2.8,450,35.3,485,38,2627,205.9
8,City,Madras,10,0.5,16,0.8,455,22.2,61291,2992.7,1,Negligible,30,1.5,NA,NA,159721,7798.9,221524,10816.6
Total (Cities),City,Total (Cities),1379,6.8,439,2.2,21013,103.5,95767,471.7,647,3.2,1029,5.1,524033,2580.9,603268,2971.2,1247575,6144.5
