SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
41,Bihar,Railway Patna,11,NA,1,5,16,13,8,573,23,7,16,NA,730
42,Bihar,Railway Jamshedpur,2,NA,NA,1,9,1,9,174,6,5,1,NA,257
43,Bihar,Railway Katihar,7,NA,1,9,12,21,17,255,16,1,6,NA,398
44,Bihar,Railway Muzaffarpur,4,NA,NA,11,12,16,NA,293,17,13,9,NA,438
45,Bihar,Railway Dhanbad,8,NA,NA,3,16,16,4,254,8,NA,2,NA,403
46,Bihar,Railway Jamalpur,8,NA,NA,1,17,11,5,170,4,NA,1,NA,297
1,Gujarat,Gandhinagar,53,NA,9,12,22,43,248,804,191,44,34,NA,4216
2,Gujarat,Kheda,36,2,4,23,10,28,260,550,109,74,35,NA,3256
3,Gujarat,Anand,56,NA,3,19,12,24,233,609,135,59,30,NA,3833
4,Gujarat,Sabarkantha,36,NA,4,11,15,11,259,489,108,68,23,1,3436
5,Gujarat,Banaskantha,42,NA,4,29,5,65,266,709,111,45,22,1,3598
6,Gujarat,Meshana,52,NA,2,16,12,59,257,1199,299,104,43,NA,4923
7,Gujarat,Patan,33,NA,5,13,24,60,195,733,167,49,27,1,3457
8,Gujarat,Jamnagar,43,NA,5,30,2,43,189,515,59,45,36,1,2822
9,Gujarat,Kutch,31,NA,NA,20,14,45,231,392,95,33,45,1,2625
10,Gujarat,Rajkot Rural,50,NA,6,14,5,28,179,610,51,28,14,1,3206
11,Gujarat,Surendranagar,29,NA,4,20,4,21,157,362,80,27,14,NA,2425
12,Gujarat,Amreli,29,NA,8,13,3,34,91,372,69,21,14,NA,1878
13,Gujarat,Bhavnagar,67,NA,9,47,7,36,234,721,191,65,14,NA,3930
14,Gujarat,Junagarh,53,NA,12,26,9,57,229,726,107,35,30,NA,3499
15,Gujarat,Porbandar,13,NA,1,5,NA,10,49,121,5,8,13,NA,798
16,Gujarat,Vadodara Rural,91,1,8,21,16,52,179,478,71,51,24,NA,3642
17,Gujarat,Bharuch,61,NA,5,18,10,13,219,455,109,50,21,NA,3325
18,Gujarat,Panchmahal,79,NA,4,21,15,39,202,387,95,42,15,1,3101
19,Gujarat,Surat Rural,48,NA,4,15,4,12,101,273,51,27,14,1,2013
20,Gujarat,Valsad,45,NA,12,17,24,16,248,389,88,53,37,2,3336
21,Gujarat,Western Railway,11,NA,1,4,11,23,42,1125,35,20,12,1,1759
22,Gujarat,Ahmedabad City,136,1,10,96,21,49,542,2324,883,98,127,10,10703
23,Gujarat,Rajkot City,13,NA,1,6,1,3,104,281,54,24,17,NA,1666
24,Gujarat,Surat City,36,NA,1,29,17,19,233,1003,486,51,50,1,3849
25,Gujarat,Vadodara City,28,NA,8,33,38,21,457,1712,751,56,89,1,6040
1,Haryana,Gurgaon,29,4,8,9,7,9,184,281,25,28,38,NA,1694
2,Haryana,Faridabad,25,15,4,31,3,10,258,497,31,63,49,1,2314
3,Haryana,Rohtak,42,9,10,19,NA,11,171,276,42,21,34,NA,2156
4,Haryana,Sonepat,21,10,13,3,3,7,149,203,20,13,18,NA,1874
5,Haryana,Ambala,25,5,10,40,NA,13,266,387,8,41,30,NA,2247
6,Haryana,Kurukshetra,29,13,20,33,2,3,274,363,NA,26,183,NA,1747
7,Haryana,Karnal,48,8,13,35,1,6,282,384,8,34,31,2,2105
8,Haryana,Jind,18,7,7,9,4,4,138,164,7,10,29,NA,882
9,Haryana,Hissar,42,8,9,24,NA,1,188,370,18,27,27,NA,1707
10,Haryana,Bhiwani,28,4,4,3,NA,1,87,123,18,13,16,NA,1154
11,Haryana,Narnaul,16,18,4,5,NA,1,98,207,21,14,14,1,1141
12,Haryana,Sirsa,25,8,3,11,1,3,97,143,2,23,21,NA,980
1,Himachal Pradesh,Mandi,9,3,5,9,NA,2,77,68,23,20,8,NA,684
2,Himachal Pradesh,Kangra,21,3,8,18,1,2,92,97,31,13,11,1,834
3,Himachal Pradesh,Hamirpur,4,4,NA,6,NA,1,47,30,7,4,3,NA,295
4,Himachal Pradesh,Una,6,2,6,1,NA,2,36,31,5,2,8,NA,337
5,Himachal Pradesh,Kulu,4,2,4,5,NA,1,43,33,NA,5,3,1,277
6,Himachal Pradesh,Chamba,4,2,1,2,1,2,57,26,4,8,2,NA,250
7,Himachal Pradesh,Lahaul & Spiti,NA,NA,NA,NA,NA,NA,6,3,NA,1,NA,NA,21
8,Himachal Pradesh,Shimla,10,5,2,7,NA,3,109,125,74,24,44,2,1185
9,Himachal Pradesh,Bilaspur,6,NA,1,6,1,NA,29,25,24,5,10,NA,322
10,Himachal Pradesh,Sirmaur,4,1,5,10,NA,2,45,62,20,5,4,NA,478
11,Himachal Pradesh,Solan,3,3,1,6,1,3,49,60,44,12,14,NA,516
12,Himachal Pradesh,Kinnaur,3,NA,NA,1,NA,NA,28,16,5,2,NA,NA,91
13,Himachal Pradesh,Railway & Traffic,NA,1,NA,NA,NA,1,NA,2,NA,1,NA,NA,9
1,Jammu Kashmir,Doda,8,NA,18,55,NA,NA,91,156,134,12,NA,NA,1126
2,Jammu Kashmir,Jammu,35,8,34,59,2,13,356,677,88,19,65,NA,3488
3,Jammu Kashmir,Kathua,9,1,6,31,1,2,89,115,82,2,5,NA,962
4,Jammu Kashmir,Poonch,10,NA,8,19,NA,NA,41,153,152,13,5,NA,756
5,Jammu Kashmir,Rajouri,7,NA,16,41,NA,NA,64,226,34,7,14,NA,909
6,Jammu Kashmir,Udhampur,14,NA,31,37,NA,3,126,206,39,8,8,NA,1381
7,Jammu Kashmir,Railways,1,NA,1,1,NA,NA,6,44,NA,NA,3,NA,70
8,Jammu Kashmir,Anantnag,6,NA,17,49,NA,NA,99,187,345,6,12,NA,1383
9,Jammu Kashmir,Bramulla,7,NA,23,65,3,7,100,163,396,24,17,NA,2266
10,Jammu Kashmir,Badgam,4,NA,6,27,NA,NA,26,104,237,7,3,NA,767
11,Jammu Kashmir,Kargil,NA,NA,NA,NA,NA,NA,3,4,8,NA,2,NA,39
12,Jammu Kashmir,Kupwara,5,NA,8,37,NA,1,47,165,157,4,8,NA,947
13,Jammu Kashmir,Leh,2,NA,2,2,NA,NA,11,13,3,1,2,NA,94
14,Jammu Kashmir,Pulwama,2,NA,14,24,NA,NA,87,91,149,15,8,NA,967
15,Jammu Kashmir,Srinagar,11,NA,23,97,NA,8,347,564,324,39,59,NA,4285
1,Karnataka,Bangalore City,92,6,23,101,13,191,1516,7174,215,204,740,203,20137
2,Karnataka,Bangalore Distt.,57,1,6,17,9,23,525,774,442,13,432,3,5433
3,Karnataka,Kolar,42,2,5,25,5,10,462,527,268,26,17,3,3685
4,Karnataka,K.G.F.,11,NA,4,12,2,12,174,245,56,6,10,3,1217
5,Karnataka,Tumkur,52,NA,3,15,NA,22,465,687,224,21,26,5,6335
6,Karnataka,ChitraDurga,43,2,16,17,3,15,360,440,279,39,43,9,3768
7,Karnataka,Shimoga,46,NA,5,5,2,7,251,414,174,12,32,29,3811
8,Karnataka,Mysore,80,NA,10,14,28,28,602,1254,326,43,60,1,5031
9,Karnataka,Mandya,46,NA,4,5,3,8,377,400,152,23,21,5,3207
10,Karnataka,Hassan,43,NA,6,8,9,17,452,485,217,41,16,13,3046
11,Karnataka,Chickmagalur,25,NA,2,NA,5,7,182,175,129,NA,7,3,1548
12,Karnataka,Kodagu,13,NA,5,2,1,2,158,138,51,2,9,1,1392
13,Karnataka,Dakshina Kannada,38,3,1,8,3,11,319,307,339,17,53,79,3428
14,Karnataka,Belgaum,92,1,6,30,16,19,357,712,470,33,98,17,4090
15,Karnataka,Bijapur,61,1,3,21,16,17,188,345,521,40,51,13,3081
16,Karnataka,Dharwad,81,NA,6,33,17,25,466,871,648,59,93,40,5113
17,Karnataka,Uttara Kannada,14,NA,NA,7,4,2,216,217,154,18,22,2,786
18,Karnataka,Gulbarga,39,3,5,16,5,9,158,243,346,13,33,2,1986
19,Karnataka,Bidar,16,NA,2,14,NA,7,90,175,152,2,23,1,1285
20,Karnataka,Raichur,57,NA,5,15,13,15,205,294,400,25,24,4,2271
21,Karnataka,Bellary,45,1,4,4,8,11,209,348,250,24,25,6,2412
22,Karnataka,Railways,9,NA,NA,1,13,13,7,303,6,NA,7,2,518
1,Kerala,Trivandrum City,9,NA,2,12,4,20,300,454,313,22,96,NA,3420
2,Kerala,Trivandrum Rural,41,1,7,11,3,4,295,178,358,18,46,NA,4669
3,Kerala,Quilon,40,4,4,9,1,1,200,106,308,12,39,NA,3110
4,Kerala,Pathanamthitta,30,NA,3,7,2,1,163,68,156,8,32,NA,2027
5,Kerala,Alleppey,21,5,6,11,4,12,270,198,404,20,77,NA,4271
6,Kerala,Kottayam,32,1,10,8,3,3,259,174,346,19,47,NA,4453
7,Kerala,Idukki,40,6,5,9,2,8,212,171,272,23,25,NA,2507
8,Kerala,Ernakulam City,17,3,1,2,1,8,291,220,171,27,54,3,2431
9,Kerala,Ernakulam Rural,21,NA,7,3,1,13,285,232,306,28,46,5,3311
10,Kerala,Trichur,48,2,15,14,NA,9,258,206,424,33,81,NA,3853
11,Kerala,Palghat,32,NA,20,10,2,11,313,155,356,32,50,1,4112
12,Kerala,Malappuram,26,1,6,7,NA,6,180,106,299,15,19,NA,3151
13,Kerala,Calicut City,6,NA,4,4,NA,NA,149,153,202,10,46,NA,2583
14,Kerala,Calicut Rural,22,1,11,2,1,8,116,115,266,12,17,NA,2823
15,Kerala,Wyanad,7,NA,7,3,NA,7,112,102,112,15,14,NA,1383
16,Kerala,Cannanore,22,1,15,15,NA,3,202,105,366,27,91,NA,3877
17,Kerala,Kasaragod,23,1,7,2,NA,4,74,77,173,6,15,NA,1707
18,Kerala,Railways,NA,NA,NA,NA,NA,4,3,127,6,2,5,NA,636
19,Kerala,Crime Branch,35,2,NA,NA,1,1,10,8,2,13,62,153,351
1,Madhya Pradesh,Gwalior,99,1,23,43,4,113,771,1338,150,35,48,1,5951
2,Madhya Pradesh,Bhind,74,3,9,370,8,33,266,393,107,7,25,NA,2398
3,Madhya Pradesh,Datiya,17,NA,3,4,NA,10,85,177,39,3,7,NA,932
4,Madhya Pradesh,Murrena,71,4,20,33,8,51,382,557,307,8,42,NA,4089
5,Madhya Pradesh,Shivpuri,43,1,14,13,NA,36,211,223,131,7,16,1,1918
6,Madhya Pradesh,Guna,53,1,59,NA,2,45,395,528,174,23,27,3,3398
7,Madhya Pradesh,Indore,71,2,31,46,3,70,1007,2682,218,107,85,NA,10330
8,Madhya Pradesh,Dhar,97,6,47,33,9,55,353,974,127,68,28,1,3904
9,Madhya Pradesh,Jhabua,149,2,28,133,30,168,250,303,78,17,20,NA,3589
10,Madhya Pradesh,Khargoan,59,3,36,44,6,67,357,1047,115,46,34,NA,4251
11,Madhya Pradesh,Khandva,27,3,23,18,6,36,275,691,94,15,15,NA,3838
12,Madhya Pradesh,Ujjain,47,NA,53,30,11,132,684,1483,221,47,127,NA,5800
13,Madhya Pradesh,Mandsor,34,1,25,33,7,57,732,1179,173,101,18,NA,4278
14,Madhya Pradesh,Ratlam,42,NA,46,20,3,52,376,1020,113,63,31,NA,3423
15,Madhya Pradesh,Dewas,42,NA,40,278,9,46,441,1053,198,27,36,NA,4065
16,Madhya Pradesh,Shajapur,29,2,38,9,10,63,596,690,181,10,13,NA,3153
17,Madhya Pradesh,Jabalpur,111,2,41,36,15,106,1079,1516,182,49,82,NA,9929
18,Madhya Pradesh,Mandla,35,NA,23,16,7,29,443,343,86,23,19,NA,2447
19,Madhya Pradesh,Chindwada,77,NA,56,12,5,40,343,487,62,17,17,NA,3720
20,Madhya Pradesh,Balaghat,44,NA,23,NA,NA,42,530,88,1,25,25,NA,3108
21,Madhya Pradesh,Sivani,26,1,43,5,4,26,274,355,42,6,17,NA,1920
22,Madhya Pradesh,Narsinghpur,49,NA,21,20,NA,28,185,314,65,5,8,NA,1740
23,Madhya Pradesh,Sagar,77,3,57,17,9,70,600,686,85,12,42,NA,5124
24,Madhya Pradesh,Panna,25,NA,5,7,9,17,145,154,80,1,6,NA,1234
25,Madhya Pradesh,Damoh,48,1,26,14,2,26,305,241,77,5,9,3,2281
26,Madhya Pradesh,Chattarpur,69,NA,17,10,17,17,319,192,96,11,21,NA,1857
27,Madhya Pradesh,Tikamgarh,20,NA,3,NA,6,32,155,180,28,13,10,NA,1352
28,Madhya Pradesh,Raipur,73,NA,78,39,14,52,1003,1601,98,46,70,NA,7261
29,Madhya Pradesh,Durg,41,NA,48,23,6,38,720,1547,216,36,51,1,6366
30,Madhya Pradesh,Rajnandgaon,35,1,28,21,3,24,404,608,111,27,31,NA,2888
31,Madhya Pradesh,Bastar,206,NA,52,37,12,54,558,871,215,29,43,1,5015
32,Madhya Pradesh,Bilaspur,117,NA,30,23,7,71,733,1695,223,19,62,NA,6457
33,Madhya Pradesh,Raigarh,57,NA,28,NA,6,29,298,383,75,17,11,NA,2089
34,Madhya Pradesh,Sarguja,104,5,44,36,9,36,641,716,129,41,41,NA,4217
35,Madhya Pradesh,Riva,37,1,19,15,24,65,724,760,183,11,41,3,3661
36,Madhya Pradesh,Satna,27,NA,18,9,11,62,504,454,96,4,22,NA,2451
37,Madhya Pradesh,Sidhi,38,1,17,2,8,17,207,323,56,5,7,NA,1940
38,Madhya Pradesh,Shehdol,43,NA,17,19,5,23,478,435,118,3,11,NA,2943
39,Madhya Pradesh,Bhopal,63,NA,36,42,11,144,747,1864,165,22,106,NA,8593
40,Madhya Pradesh,Sihor,37,1,43,15,8,28,308,443,112,9,15,NA,2437
41,Madhya Pradesh,Rajgarh,22,NA,25,16,10,50,297,321,98,10,9,NA,2957
42,Madhya Pradesh,Hoshangabad,58,NA,51,9,2,NA,269,469,68,9,18,NA,2861
43,Madhya Pradesh,Raisen,44,3,21,14,7,45,253,387,97,13,4,NA,2190
44,Madhya Pradesh,Baitul,54,1,28,NA,3,NA,197,254,40,12,13,NA,1984
45,Madhya Pradesh,Vidisha,33,NA,62,13,5,34,298,418,154,11,16,NA,2854
46,Madhya Pradesh,Railway Police Jabalpur,7,4,1,1,1,22,14,248,1,3,5,NA,401
47,Madhya Pradesh,Railway Police Raipur,2,NA,4,5,NA,NA,15,295,4,2,1,NA,420
48,Madhya Pradesh,Railway Police Indore,1,NA,1,NA,2,7,NA,345,15,1,NA,NA,564
49,Madhya Pradesh,Railway Police Bhopal,5,5,4,NA,3,19,29,652,9,4,12,NA,975
1,Maharashtra,Akola,70,1,22,57,20,104,831,2538,117,74,52,1,5426
2,Maharashtra,Amravati,83,2,39,49,14,157,744,3276,165,69,74,NA,6431
3,Maharashtra,Buldhana,57,1,19,17,10,56,389,1420,120,37,36,NA,4196
4,Maharashtra,Yevatmal,41,NA,25,21,7,33,455,1505,77,41,29,3,4353
5,Maharashtra,Aurangabad,47,1,9,33,20,79,433,1084,205,49,46,NA,3813
6,Maharashtra,Jalana,34,NA,6,7,10,56,294,550,86,13,12,NA,2533
7,Maharashtra,Beed,32,NA,10,22,21,80,244,541,131,70,15,NA,2459
8,Maharashtra,Nanded,49,NA,7,25,23,107,367,813,40,55,30,NA,3293
9,Maharashtra,Osmanabad,33,NA,19,15,4,44,159,502,36,21,17,NA,1953
10,Maharashtra,Latur,35,NA,9,19,12,42,201,464,51,27,40,NA,1812
11,Maharashtra,Parbhani,47,NA,13,15,25,120,312,749,94,26,21,NA,2885
12,Maharashtra,Kolhapur,62,2,17,27,14,26,372,1051,206,70,46,6,3037
13,Maharashtra,Pune Rural,90,1,18,7,27,58,406,639,223,45,17,NA,3456
14,Maharashtra,Sangli,63,8,10,12,9,25,233,624,87,65,14,NA,2282
15,Maharashtra,Satara,43,3,16,18,3,15,401,743,79,58,18,NA,2692
16,Maharashtra,Solapur,90,NA,18,16,24,73,348,704,775,79,49,5,3883
17,Maharashtra,Bhandara,74,NA,39,26,6,31,465,854,51,51,32,NA,3538
18,Maharashtra,Chandrapur,32,2,30,16,4,25,269,856,76,42,24,2,3523
19,Maharashtra,Gadchiroli,23,NA,8,7,3,10,106,474,17,14,11,NA,1540
20,Maharashtra,Nagpur (Rural),57,NA,21,17,5,27,340,1001,49,25,18,NA,3005
21,Maharashtra,Wardha,37,NA,19,30,4,25,352,802,40,20,21,NA,3002
22,Maharashtra,Ahmednagar,66,NA,16,22,23,119,345,1016,151,66,30,2,3916
23,Maharashtra,Dhule,71,NA,13,7,20,31,227,667,143,52,20,1,2721
24,Maharashtra,Jalgaon,65,NA,12,18,12,55,533,1226,156,71,48,NA,4755
25,Maharashtra,Nasik,81,NA,23,25,26,68,787,1841,336,85,70,4,5796
26,Maharashtra,Raigarh,59,1,9,25,13,45,256,453,167,52,16,NA,2593
27,Maharashtra,Ratnagiri,26,NA,7,5,2,13,277,230,59,15,9,4,1305
28,Maharashtra,Sindhudurg,13,NA,6,2,2,17,132,136,16,19,12,NA,790
29,Maharashtra,Thane Rural,106,1,17,28,48,125,650,808,267,62,34,5,7275
30,Maharashtra,Bombay Railways,5,NA,2,2,NA,26,4,1980,8,22,26,NA,5025
31,Maharashtra,Pune Railways,10,NA,2,2,6,28,7,993,17,14,11,NA,1198
32,Maharashtra,Nagpur Railways,8,1,1,3,6,24,8,1058,7,5,4,NA,1275
33,Maharashtra,Nagpur City,85,NA,27,52,13,204,792,2691,172,95,193,10,7929
34,Maharashtra,Pune City,60,NA,22,62,1,105,709,2515,225,96,195,3,8665
35,Maharashtra,Thane City,100,NA,40,57,39,275,1487,2624,413,154,152,12,8340
36,Maharashtra,Bombay City,237,1,102,226,76,782,2325,15449,215,960,1150,36,35977
1,Manipur,Imphal District,101,434,112,29,107,5,1772,25,1,11,119,22,29
2,Manipur,Churachandpur District,26,71,10,5,1,NA,208,6,NA,3,5,2,3
3,Manipur,Bishenpur District,18,46,13,3,9,NA,288,6,1,NA,18,1,3
4,Manipur,Okhrul District,12,21,6,5,3,1,128,6,NA,1,NA,2,3
5,Manipur,Tamenglong District,5,6,12,NA,2,1,31,2,NA,1,1,NA,1
6,Manipur,Senapati District,13,20,17,2,3,NA,236,10,3,NA,7,2,2
7,Manipur,Thoubal District,30,89,23,7,22,NA,488,13,1,NA,26,3,10
8,Manipur,Tengnoupal District,6,21,NA,5,5,1,52,5,NA,1,1,5,2
1,Meghalaya,East Khasi Hills,88,242,73,8,26,1,1014,36,22,11,12,7,28
2,Meghalaya,West Khasi Hills,1,23,2,2,NA,NA,78,15,NA,2,NA,4,NA
3,Meghalaya,East Garo Hills,16,27,2,2,NA,NA,95,2,NA,1,1,3,2
4,Meghalaya,West Garo Hills,44,126,27,3,2,NA,402,4,1,2,5,9,3
5,Meghalaya,Jaintia Hills,8,26,NA,2,3,NA,163,19,NA,NA,NA,2,4
1,Nagaland,Kohima,38,98,1,9,9,NA,289,6,NA,1,4,3,12
2,Nagaland,Phek,39,34,15,3,7,NA,177,2,NA,3,2,3,4
3,Nagaland,Mokokchung,28,23,9,2,3,NA,148,2,NA,1,4,NA,3
4,Nagaland,Tuensang,46,32,2,7,2,NA,164,3,NA,3,4,1,4
5,Nagaland,Zunheboto,11,80,3,5,2,NA,266,1,NA,1,NA,NA,1
6,Nagaland,Mon,18,16,NA,NA,1,NA,142,11,NA,NA,1,4,5
7,Nagaland,Wokha,2,36,10,5,7,NA,126,5,1,2,2,4,2
8,Nagaland,Dimapur,92,122,4,14,19,NA,810,12,NA,2,15,5,28
1,Orissa,Balasore,367,674,228,26,12,3,2880,30,4,NA,13,22,40
2,Orissa,Cuttack (S),470,914,150,81,38,24,3572,16,3,1,22,19,54
3,Orissa,Cuttack (R ),544,1015,300,20,13,NA,4405,36,1,2,24,27,55
4,Orissa,Ganjam,272,412,137,9,12,NA,2421,46,7,1,11,10,44
5,Orissa,Berhampur,170,238,73,14,4,NA,1176,11,1,1,NA,1,22
6,Orissa,Koraput,585,811,285,50,18,4,4223,81,7,1,24,29,102
7,Orissa,Puri,485,934,261,38,23,1,3897,42,2,NA,21,32,53
8,Orissa,Sambalpur,650,915,127,33,26,2,4053,45,7,3,14,28,71
9,Orissa,Dhankanal,356,913,137,28,17,NA,3018,33,NA,NA,8,14,63
