SL. No.,Category,States/U.Ts/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
12,State,Manipur,73,4.6,6,0.4,17,1.1,177,11.2,37,2.3,53,3.3,211,13.3,708,44.7,193,12.2,56,3.5,152,9.6,8,0.5,3203,202
13,State,Meghalaya,76,5,23,1.5,16,1.1,18,1.2,25,1.7,37,2.5,157,10.4,444,29.4,104,6.9,17,1.1,31,2.1,1,0.1,1752,116.2
14,State,Nagaland,42,4.5,1,0.1,13,1.4,32,3.5,20,2.2,59,6.4,274,29.7,441,47.7,44,4.8,45,4.9,50,5.4,NA,0,2122,229.7
15,State,Orissa,604,2.1,52,0.2,154,0.5,228,0.8,259,0.9,773,2.7,5598,19.6,10834,38,2329,8.2,465,1.6,272,1,39,0.1,44838,157.2
16,State,Punjab,646,3.5,142,0.8,82,0.4,164,0.9,10,0.1,110,0.6,1003,5.5,1477,8.1,58,0.3,312,1.7,252,1.4,9,0,11185,61.1
17,State,Rajasthan,1017,2.6,42,0.1,522,1.4,1736,4.5,78,0.2,1116,2.9,6508,16.9,12394,32.2,13741,35.7,927,2.4,2342,6.1,15,0,78876,204.8
18,State,Sikkim,5,1.3,1,0.3,6,1.6,1,0.3,1,0.3,3,0.8,60,16.1,95,25.6,9,2.4,11,3,11,3,NA,0,325,87.5
19,State,Tamil Nadu,1456,2.8,9,0,230,0.4,629,1.2,52,0.1,423,0.8,9298,17.9,25660,49.3,9760,18.8,1170,2.2,1107,2.1,298,0.6,119455,229.7
20,State,Tripura,150,6.5,1,0,34,1.5,52,2.3,212,9.3,218,9.5,955,41.7,1131,49.4,433,18.9,57,2.5,28,1.2,NA,0,5461,238.4
21,State,Uttar Pradesh,6599,5.4,1942,1.6,1163,1,3626,3,4355,3.6,8197,6.8,24283,20,51531,42.5,10614,8.7,4672,3.8,3571,2.9,102,0.1,184786,152.2
22,State,West Bengal,1397,2.3,633,1.1,597,1,970,1.6,942,1.6,1092,1.8,2464,4.1,27258,46,9671,16.3,1049,1.8,1011,1.7,46,0.1,70346,118.3
Total (States),State,Total (States),25530,3.5,3777,0.5,7125,1,14998,2,11190,1.5,22120,3,127108,17.2,313698,42.4,99088,13.4,17795,2.4,20092,2.7,1425,0.2,1342603,181.6
23,UT,A & N Islands,12,51.1,1,0.4,3,1.3,3,1.3,NA,0,2,0.9,46,19.9,102,44,41,17.7,6,2.6,18,7.8,NA,0,672,290
24,UT,Arunachal Pradesh,35,4.9,NA,0,5,0.7,18,2.5,9,1.3,17,2.4,131,18.3,222,31.1,13,1.8,21,2.9,6,0.8,NA,0,1012,141.7
25,UT,Chandigarh,14,2.5,3,0.5,4,0.7,32,5.6,NA,0,9,1.6,153,26.8,720,126.2,7,1.2,41,7.2,88,15.4,7,1.2,1767,309.7
26,UT,D & N Haveli,10,8.6,NA,0,1,0.9,4,3.4,1,0.9,8,6.9,13,11.2,70,60.3,20,17.2,1,0.9,3,2.6,NA,0,382,329
27,UT,Delhi,312,4.2,206,2.8,83,1.1,972,13.1,48,0.6,256,3.4,2004,27,13763,185.3,126,1.7,451,6.1,703,9.5,28,0.4,30412,409.4
28,UT,"Goa, Daman & Diu",21,1.7,5,0.4,9,0.7,13,1.1,4,0.3,55,4.6,653,54.1,1053,87.3,290,24,56,4.6,42,3.5,27,2.2,3873,321
29,UT,Lakshadweep,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,4,9.3,5,11.6,NA,0,NA,0,NA,0,NA,0,28,65.1
30,UT,Mizoram,19,3.2,3,0.5,51,8.7,4,0.7,2,0.3,23,3.9,85,14.5,225,38.4,2,0.3,25,4.3,38,6.5,13,2.2,1213,206.9
31,UT,Pondicherry,17,2.5,NA,0,8,1.2,7,1,NA,0,11,1.6,157,23.5,696,104.2,170,25.5,21,3.1,26,3.9,4,0.6,2769,414.6
Total (UTs),UT,Total (UTs),440,3.8,218,1.9,164,1.4,1053,9.1,64,0.6,381,3.3,3246,28.1,16856,145.8,669,5.8,622,5.4,924,8,79,0.7,42128,364.3
All India,All India,All India,25970,3.5,3995,0.5,7289,1,16051,2.1,11254,1.5,22501,3,130354,17.4,330554,44,99757,13.3,18417,2.5,21016,2.8,1504,0.2,1384731,184.4
1,City,Ahmedabad,136,6,1,0,10,0.4,96,4.2,21,0.9,49,2.2,469,20.7,2324,102.6,883,39,98,4.3,127,5.6,10,0.4,10703,472.7
2,City,Bangalore,64,2.1,6,0.2,15,0.5,78,2.6,10,0.3,161,5.3,1159,38.5,6131,203.6,167,5.5,199,6.6,566,18.8,203,6.7,16019,531.9
3,City,Bombay,237,2.5,1,0,102,1.1,226,2.4,76,0.8,782,8.3,2325,24.6,15449,163.7,215,2.3,960,10.2,1150,12.2,36,0.4,35977,381.1
4,City,Calcutta,82,2.4,9,0.3,27,0.8,121,3.6,42,1.3,333,9.9,825,24.6,7254,216.7,694,20.7,310,9.3,444,13.3,32,1,14644,437.4
5,City,Delhi,270,4.7,179,3.1,71,1.2,942,16.6,41,0.7,244,4.3,1914,33.6,13350,234.7,110,1.9,437,7.7,692,12.2,28,0.5,28823,506.7
6,City,Hyderabad,79,3.4,NA,0,31,1.3,102,4.4,12,0.5,75,3.2,1165,50.2,3233,139.4,328,14.1,82,3.5,401,17.3,29,1.3,7579,326.7
7,City,Jaipur,31,2.6,NA,0,19,1.6,115,9.7,3,0.3,47,4,395,33.3,1463,123.2,755,63.6,90,7.6,226,19,15,1.3,5411,455.6
8,City,Kanpur,124,7.6,28,1.7,36,2.2,180,11,79,4.8,226,13.8,811,49.5,2470,150.7,207,12.6,354,21.6,348,21.2,37,2.3,7278,444
9,City,Lucknow,90,9.4,30,3.1,29,3,120,12.5,23,2.4,98,10.2,705,73.4,2657,276.5,162,16.9,250,26,284,29.6,8,0.8,4778,497.3
10,City,Madras,36,1,NA,0,13,0.4,22,0.6,NA,0,74,2,544,14.7,4388,118.4,115,3.1,165,4.5,283,7.6,95,2.6,11834,319.3
11,City,Nagpur,85,6,NA,0,27,1.9,52,3.7,13,0.9,204,14.5,792,56.2,2691,191.1,172,12.2,95,6.7,193,13.7,10,0.7,7929,562.9
12,City,Pune,60,4.3,NA,0,22,1.6,62,4.5,1,0.1,105,7.6,709,51,2515,181.1,225,16.2,96,6.9,195,14,3,0.2,9165,659.9
Total (Cities),City,Total (Cities),1294,0,254,0,402,0,2116,0,321,0,2398,0,11813,0,63925,175.8,4033,11.1,3136,8.6,4909,13.5,506,1.4,160140,440.4
