SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
6,Gujarat,Jamnagar City,8,NA,2,20,NA,17,72,199,27,16,23,NA,1234
7,Gujarat,Nadiad City,4,NA,NA,4,NA,3,34,114,25,6,4,NA,366
1,Haryana,Gurgaon,2,NA,NA,2,1,1,75,79,2,6,8,NA,552
2,Haryana,Faridabad,9,9,4,18,3,6,157,277,21,38,26,NA,2062
3,Haryana,Rohtak,6,3,2,4,NA,1,54,70,11,3,7,NA,1313
4,Haryana,Sonipat,2,2,1,3,NA,1,55,57,3,2,6,NA,658
5,Haryana,Hissar,8,NA,1,3,NA,NA,29,113,4,9,15,NA,536
6,Haryana,Bhiwani,4,2,3,1,NA,1,21,45,8,5,3,NA,541
7,Haryana,Rewari,NA,NA,NA,NA,NA,NA,16,30,1,6,11,1,409
8,Haryana,Ambala Cantt.,1,NA,2,2,NA,1,38,46,NA,6,9,NA,243
9,Haryana,Ambala City,3,1,1,1,NA,NA,24,44,1,9,6,NA,258
10,Haryana,Yamuna Nagar,2,NA,1,11,NA,NA,40,26,NA,5,2,NA,289
11,Haryana,Jind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Haryana,Karnal,3,NA,3,5,NA,2,28,77,1,NA,13,1,420
13,Haryana,Panipat,4,1,1,11,NA,1,56,93,1,NA,10,1,531
1,Karnataka,Bangalore City,64,6,15,78,10,161,1159,6131,167,199,566,203,16019
2,Karnataka,K.G.F.,4,NA,3,4,NA,NA,41,53,21,2,5,2,390
3,Karnataka,Tumkur,7,NA,2,1,3,11,183,200,32,11,13,3,788
4,Karnataka,Davanagere,3,NA,NA,2,NA,2,66,124,5,11,15,8,316
5,Karnataka,Shimoga,16,NA,1,4,NA,3,101,154,22,7,13,28,349
6,Karnataka,Bhadravathy,9,NA,1,1,1,NA,27,65,23,1,3,NA,131
7,Karnataka,Mysore,16,NA,4,16,1,17,220,647,45,25,54,NA,1045
8,Karnataka,Mandya,2,NA,2,3,NA,1,55,68,11,12,11,5,362
9,Karnataka,Mangalore,6,2,NA,5,1,3,67,94,66,6,20,49,469
10,Karnataka,Belgaum,7,NA,2,6,NA,10,115,128,59,9,41,NA,806
11,Karnataka,Bijapur,3,1,NA,3,1,2,44,44,22,2,10,NA,132
12,Karnataka,Dharwar,11,NA,NA,4,5,3,112,181,48,14,17,7,861
13,Karnataka,Hubli,11,NA,2,9,NA,7,196,272,48,11,38,29,1069
14,Karnataka,Gadag Betgery,5,NA,1,1,NA,4,36,55,33,7,5,NA,274
15,Karnataka,Raichur,7,NA,2,2,4,5,59,76,29,2,7,2,195
16,Karnataka,Gulbarga,3,1,4,4,1,5,67,81,54,4,20,NA,542
17,Karnataka,Bellary,6,NA,2,1,5,4,79,128,33,9,12,4,608
18,Karnataka,Hospet,1,NA,NA,NA,NA,2,28,62,5,1,7,2,108
1,Kerala,Trivendrum City,9,NA,2,12,4,20,300,454,313,22,96,NA,3420
2,Kerala,Alleppey Town,21,5,6,11,4,12,270,198,404,20,77,NA,4271
3,Kerala,Ernakulam City,17,3,1,2,1,8,291,220,171,27,54,3,2431
4,Kerala,Calicut City,6,NA,4,4,NA,NA,149,153,202,10,46,NA,2583
1,Madhya Pradesh,Gwalior,61,1,15,31,NA,73,149,986,81,18,37,NA,3834
2,Madhya Pradesh,Indore,71,2,45,67,3,77,1007,2682,218,NA,98,NA,6080
3,Madhya Pradesh,Ujjain,15,NA,24,19,4,45,309,785,94,51,33,NA,3196
4,Madhya Pradesh,Burahanpur,NA,1,5,7,NA,9,65,196,15,8,9,NA,1150
5,Madhya Pradesh,Jabalpur,59,1,21,26,10,68,542,1048,97,32,57,NA,6371
6,Madhya Pradesh,Sagar,77,3,57,17,9,70,600,791,85,12,42,NA,5124
7,Madhya Pradesh,Raipur,73,NA,78,39,14,52,1003,1692,216,46,70,NA,7261
8,Madhya Pradesh,Bhilai,12,1,13,12,3,8,203,614,26,5,10,NA,2603
9,Madhya Pradesh,Ratlam,35,NA,28,21,3,24,404,673,111,27,31,NA,2888
10,Madhya Pradesh,Bhopal,63,NA,36,42,11,144,747,1864,165,22,106,NA,8593
1,Maharashtra,Akola City,7,1,9,23,4,48,272,901,19,31,33,NA,2174
2,Maharashtra,Aurangabad,17,NA,1,15,1,36,212,608,22,17,34,NA,1430
3,Maharashtra,Nanded,14,NA,NA,7,NA,12,88,247,10,15,13,NA,821
4,Maharashtra,Kolhapur,15,1,9,10,3,12,179,659,52,21,35,5,1336
5,Maharashtra,Sangli,7,NA,3,2,1,4,51,180,14,12,9,NA,456
6,Maharashtra,Miraj,3,NA,3,NA,1,4,34,73,8,1,3,NA,218
7,Maharashtra,Gendia City,9,NA,11,12,1,5,75,96,1,4,6,NA,386
8,Maharashtra,Ahmednagar City,3,NA,1,3,NA,17,53,170,21,14,9,NA,452
9,Maharashtra,Nasik City,4,NA,2,3,5,11,25,512,23,14,28,1,890
10,Maharashtra,Malegaon City,3,NA,4,4,1,7,87,251,59,13,8,NA,916
11,Maharashtra,Nagpur City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Maharashtra,Pune City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Maharashtra,Thane City,24,NA,9,10,3,65,236,841,46,32,57,2,2480
14,Maharashtra,Ulhasnagar,11,NA,7,11,4,44,173,254,30,16,15,1,1028
15,Maharashtra,Bombay City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Maharashtra,Dhule,3,NA,2,NA,NA,1,44,125,6,8,7,NA,316
17,Maharashtra,Jalgaon,4,NA,1,1,2,14,115,308,17,11,21,NA,905
18,Maharashtra,Latur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Manipur,Imphal City,19,1,3,122,6,26,144,241,77,34,102,2,1337
1,Orissa,Cuttack City,16,3,1,22,19,54,470,906,150,81,38,NA,2083
2,Orissa,Bhubaneswar,3,NA,NA,13,5,49,225,528,23,34,29,3,918
3,Orissa,Barhampur,3,NA,NA,NA,NA,11,66,118,7,12,1,NA,609
4,Orissa,Rourkela,9,3,2,11,6,22,164,502,110,24,15,2,1817
1,Punjab,Jalandhar,9,1,2,11,NA,5,62,137,1,14,2,1,320
2,Punjab,Amritsar,4,3,4,8,2,7,13,83,NA,13,17,3,521
3,Punjab,Patiala,2,5,NA,2,NA,1,28,83,NA,12,8,NA,251
4,Punjab,Ludhiana,17,4,5,15,1,4,61,117,NA,34,15,NA,719
1,Rajasthan,Ajmer,16,2,9,32,NA,16,152,299,124,17,55,NA,1318
2,Rajasthan,Jaipur City,31,NA,19,115,3,47,395,1463,755,90,226,15,5411
3,Rajasthan,Bikaner,4,3,3,10,NA,7,81,141,125,8,47,NA,861
4,Rajasthan,Jodhpur,9,NA,3,29,NA,35,201,391,191,34,105,NA,1692
5,Rajasthan,Kota City,15,1,7,34,2,31,196,340,126,40,49,NA,1931
6,Rajasthan,Udaipur,7,1,,26,NA,22,181,225,107,24,60,NA,1261
1,Tamil Nadu,Madras City,36,NA,13,22,NA,74,544,4388,115,165,283,95,11834
2,Tamil Nadu,Madurai City,29,NA,4,12,NA,5,192,737,136,26,72,19,2500
3,Tamil Nadu,Coimbatore City,17,NA,3,2,5,48,359,782,283,30,47,16,2730
4,Tamil Nadu,Vellore Town,8,NA,2,2,NA,2,120,290,83,6,21,NA,938
5,Tamil Nadu,Cuddalore Town,NA,NA,1,5,NA,NA,30,91,19,5,NA,2,336
6,Tamil Nadu,Thanjavur Town,5,NA,3,4,NA,1,88,323,71,2,2,NA,1019
7,Tamil Nadu,Tiruchirapalli Town,19,NA,4,5,NA,5,244,812,11,34,58,35,1227
8,Tamil Nadu,Dindigul,5,NA,1,6,NA,NA,77,169,111,2,8,2,623
9,Tamil Nadu,Tirunelveli Town,10,NA,11,6,NA,12,56,205,21,12,9,8,350
10,Tamil Nadu,Tuticorin Town,20,NA,4,8,1,5,38,199,31,5,2,2,464
11,Tamil Nadu,Nagercoil Town,2,NA,NA,NA,NA,4,82,133,68,3,6,2,594
12,Tamil Nadu,Salem Town,12,NA,2,10,NA,7,151,298,96,9,36,7,1633
13,Tamil Nadu,Kanchepuram Town,1,NA,NA,3,NA,NA,54,88,59,1,5,1,342
14,Tamil Nadu,Kumbakonam Town,7,NA,NA,3,NA,NA,109,197,90,3,1,NA,890
15,Tamil Nadu,Trippur,10,NA,1,4,4,6,84,253,81,11,17,5,973
16,Tamil Nadu,Erode,5,NA,NA,5,NA,2,70,290,5,12,23,3,733
17,Tamil Nadu,Singanallur,6,NA,1,NA,NA,3,26,47,13,2,2,NA,135
1,Uttar Pradesh,Meerut,252,44,50,159,121,301,817,2035,426,122,166,1,6708
2,Uttar Pradesh,Bulandshahar,226,52,35,112,133,234,701,1508,454,98,80,1,5043
3,Uttar Pradesh,Saharanpur,139,46,22,92,129,180,530,1206,221,107,98,1,4193
4,Uttar Pradesh,Muzaffarnagar,175,48,22,68,67,129,362,880,182,59,44,2,3129
5,Uttar Pradesh,Ghaziabad,199,31,34,104,65,188,642,1535,301,145,108,3,5021
6,Uttar Pradesh,Varanasi,109,51,12,74,109,94,554,1107,290,137,120,6,5084
7,Uttar Pradesh,Mirzapur,79,32,8,23,35,61,270,494,88,61,37,2,2090
8,Uttar Pradesh,Jaunpur,62,20,10,26,69,66,355,425,141,29,22,1,2076
9,Uttar Pradesh,Lucknow,160,47,45,147,71,197,981,3161,279,268,289,8,8153
10,Uttar Pradesh,Kanpur City,124,28,36,180,79,226,811,2470,207,354,348,37,7382
11,Uttar Pradesh,Allahabad,213,53,32,74,77,176,770,1773,263,127,154,1,5705
12,Uttar Pradesh,Etawah,136,55,15,66,71,268,472,770,222,66,33,NA,3404
13,Uttar Pradesh,Fatehgarh,184,43,13,104,89,291,587,1010,202,80,67,NA,2986
14,Uttar Pradesh,Bareilly,200,42,43,109,132,216,695,1798,242,135,103,NA,5358
15,Uttar Pradesh,Shahjahanpur,149,44,43,65,47,178,340,1047,116,44,44,NA,3350
16,Uttar Pradesh,Agra,173,47,60,196,205,329,996,2042,501,176,209,7,7254
17,Uttar Pradesh,Mathura,111,29,24,41,90,145,451,740,339,80,57,NA,3270
18,Uttar Pradesh,Aligarh,188,50,28,149,141,242,708,1321,405,134,109,6,5175
19,Uttar Pradesh,Gorakhpur,106,53,25,81,119,157,561,1112,339,90,54,NA,4486
20,Uttar Pradesh,Bahraich,76,20,21,120,134,149,479,997,256,77,52,1,3359
21,Uttar Pradesh,Jhansi,70,37,15,19,33,102,310,453,148,34,39,NA,2130
22,Uttar Pradesh,Dehradun,32,10,13,50,11,43,211,398,63,41,27,NA,1445
23,Uttar Pradesh,Moradabad,296,16,44,180,118,304,599,1693,270,224,64,NA,6780
24,Uttar Pradesh,Rampur,82,18,18,35,26,74,200,526,58,42,35,NA,2118
