SL. No.,Category,State/U.Ts/City,Murder - Male,Murder - Female,Murder - Total,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Culpable Homicide Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
16,State,Punjab,1313,52,1365,261,5,266,136,5,141,152,14,166,43,NA,43,151,NA,151,877,7,884,1145,40,1185,189,NA,189,294,1,295,257,3,260,7,NA,7,18657,188,18845
17,State,Rajasthan,2474,79,2553,63,1,64,652,NA,652,1558,57,1615,361,NA,361,1284,10,1294,4226,29,4255,7406,100,7506,48753,2770,51523,512,3,515,1217,19,1236,1,NA,1,120490,4181,124671
18,State,Sikkim,8,1,9,1,NA,1,4,NA,4,2,NA,2,NA,NA,NA,2,NA,2,30,NA,30,75,2,77,24,13,37,4,NA,4,4,NA,4,NA,NA,NA,268,24,292
19,State,Tamil Nadu,3025,157,3182,19,2,21,331,2,333,817,48,865,201,NA,201,486,4,490,5654,118,5772,19432,716,20148,74141,6650,80791,568,17,585,599,9,608,93,NA,93,200913,14541,215454
20,State,Tripura,216,NA,216,4,NA,4,72,NA,72,117,NA,117,411,NA,411,273,NA,273,533,4,537,1449,26,1475,1126,46,1172,87,NA,87,46,NA,46,NA,NA,NA,6865,153,7018
21,State,Uttar Pradesh,17549,208,17757,4500,52,4552,1671,19,1690,5759,114,5873,18059,40,18099,9085,155,9240,18587,55,18642,27849,93,27942,59780,192,59972,2937,4,2941,3729,16,3745,92,NA,92,276040,637,276677
22,State,West Bengal,2973,74,3047,1095,6,1101,808,NA,808,1190,53,1243,4723,20,4743,1867,5,1872,2322,6,2328,18883,146,19029,50049,289,50338,1299,3,1302,1097,9,1106,65,NA,65,124109,796,124905
Total (States),State,Total (States),60219,2712,62931,7523,92,7615,9874,195,10069,19289,599,19888,44056,179,44235,27687,311,27998,93794,1933,95727,211871,5847,217718,561718,19518,581236,15085,135,15220,17503,246,17749,677,NA,677,2092663,55077,2147740
23,UT,A & N Islands,23,NA,23,2,NA,2,3,NA,3,6,NA,6,NA,NA,NA,3,NA,3,30,2,32,75,NA,75,201,7,208,4,NA,4,18,NA,18,NA,NA,NA,810,11,821
24,UT,Arunachal Pradesh,30,3,33,4,NA,4,8,NA,8,11,NA,11,NA,NA,NA,24,NA,24,73,NA,73,176,NA,176,57,NA,57,32,NA,32,7,NA,7,NA,NA,NA,1135,3,1138
25,UT,Chandigarh,28,NA,28,11,NA,11,6,NA,6,22,NA,22,14,NA,14,91,1,92,17,NA,17,275,13,288,8,6,14,25,NA,25,95,1,96,8,NA,8,1398,98,1496
26,UT,D & N Haveli,27,NA,27,NA,NA,NA,2,NA,2,NA,NA,NA,5,NA,5,11,NA,11,4,NA,4,55,2,57,80,8,88,NA,NA,NA,1,NA,1,NA,NA,NA,491,33,524
27,UT,Delhi,371,10,381,371,2,373,113,1,114,394,26,420,135,NA,135,234,NA,234,831,8,839,2295,37,2332,1521,2,1523,238,NA,238,294,1,295,7,NA,7,17703,361,18064
28,UT,"Goa, Daman & Diu",35,1,36,5,NA,5,9,NA,9,15,NA,15,11,NA,11,61,NA,61,317,6,323,483,20,503,1087,98,1185,38,1,39,33,1,34,NA,NA,NA,3845,226,4071
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
30,UT,Mizoram,25,10,35,1,1,2,59,NA,59,8,1,9,2,NA,2,39,NA,39,108,1,109,264,3,267,8,NA,8,35,1,36,55,NA,55,37,1,38,2310,105,2415
31,UT,Pondicherry,21,NA,21,NA,NA,NA,9,NA,9,4,1,5,NA,NA,NA,7,NA,7,90,1,91,359,6,365,1698,15,1713,11,NA,11,32,NA,2,2,NA,2,3574,566,4140
Total (UTs),UT,Total (UTs),560,24,584,394,3,397,209,1,210,460,28,488,167,NA,167,470,1,471,1471,18,1489,3982,81,4063,4660,136,4796,383,2,385,535,3,538,54,1,55,31267,1403,32670
All India,All India,All India,60779,2736,63515,7917,95,8012,10083,196,10279,19749,627,20376,44223,179,44402,28157,312,28469,95265,1951,97216,215853,5928,221781,566378,19654,586032,15468,137,15605,18038,249,18287,731,1,732,2123930,56480,2180410
1,City,Ahmedabad,456,9,465,1,NA,1,12,NA,12,108,7,115,72,NA,72,79,3,82,389,4,393,1093,43,1136,3212,32,3244,103,1,104,111,6,117,8,NA,8,16362,374,16736
2,City,Bangalore,79,2,81,21,NA,21,21,NA,21,43,5,48,27,NA,27,176,6,182,378,12,390,1117,63,1180,751,36,787,55,1,56,152,15,167,NA,NA,NA,10233,315,10548
3,City,Bombay,470,15,485,1,NA,1,113,5,118,246,10,256,233,NA,233,606,NA,606,1257,11,1268,5212,202,5414,1539,6,1545,752,18,770,590,9,599,17,NA,17,26526,621,27147
4,City,Calcutta,229,13,242,16,NA,16,23,NA,23,87,NA,87,142,NA,142,393,NA,393,612,NA,612,5794,45,5839,1781,NA,1781,211,3,214,287,NA,287,43,NA,43,21933,171,22104
5,City,Delhi,311,8,319,313,2,315,103,1,104,378,26,404,125,NA,125,222,NA,222,806,8,814,2123,37,2160,1409,1,1410,224,NA,224,286,1,287,7,NA,7,16509,346,16855
6,City,Hyderabad,131,7,138,NA,NA,NA,40,NA,40,59,3,62,49,NA,49,105,NA,105,407,1,408,997,26,1023,1534,53,1587,25,NA,25,150,5,155,1,NA,1,5611,105,5716
7,City,Jaipur,43,4,47,NA,NA,NA,30,1,31,55,5,60,NA,NA,NA,49,1,50,224,2,226,485,13,498,1690,139,1829,17,NA,17,103,NA,103,1,NA,1,5279,273,5552
8,City,Kanpur,287,1,288,49,NA,49,33,NA,33,181,2,183,147,NA,147,164,NA,164,431,1,432,599,4,603,876,NA,876,70,NA,70,198,NA,198,4,NA,4,5900,8,5908
9,City,Lucknow,197,2,199,47,NA,47,59,NA,59,143,NA,143,73,NA,73,131,NA,131,428,NA,428,618,6,624,708,NA,708,74,NA,74,154,NA,154,4,4,8,2955,12,2967
10,City,Madras,52,4,56,1,NA,1,16,NA,16,18,1,19,NA,NA,NA,82,NA,82,562,27,589,4438,177,4615,1036,22,1058,15,NA,15,35,NA,35,NA,NA,NA,12849,644,13493
11,City,Nagpur,169,8,177,NA,NA,NA,46,NA,46,64,NA,64,55,NA,55,232,NA,232,329,6,335,804,66,870,1401,37,1438,80,NA,80,162,2,164,NA,NA,NA,7585,256,7841
12,City,Pune,97,9,106,2,NA,2,41,NA,41,57,5,62,NA,NA,NA,137,1,138,5858,23,608,1501,131,1632,1922,94,2016,98,NA,98,171,7,178,1,NA,1,11486,2081,13567
Total (Cities),City,Total (Cities),2521,82,2603,451,2,453,537,7,544,1439,64,1503,923,NA,923,2376,11,2387,6408,95,6503,24781,813,25594,17859,420,18279,1724,23,1747,2399,45,2444,86,4,90,143228,5206,148434
