SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting To Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
25,Andhra Pradesh,Secunderabad Rly.,11,3,0,1,0,0,0,0,0,5,0,337,2,0,2,1,25,387
26,Andhra Pradesh,Vijyawada Rly.,1,0,2,0,0,0,0,0,0,3,0,310,5,0,7,0,109,437
27,Andhra Pradesh,Total,2419,1302,83,873,993,648,345,529,5,979,6954,17396,3354,637,2384,252,62629,100789
1,Arunachal Pradesh,Changlang,7,2,0,0,1,1,0,1,0,1,9,24,0,1,0,0,82,128
2,Arunachal Pradesh,Dibang Valley,4,3,0,3,3,0,3,3,0,4,14,11,0,0,0,1,66,112
3,Arunachal Pradesh,Kameng East,3,0,0,4,0,0,0,2,0,2,4,17,2,2,0,0,65,101
4,Arunachal Pradesh,Kameng West,4,3,0,0,7,7,0,3,0,4,13,24,2,2,1,1,80,144
5,Arunachal Pradesh,Lohit,4,5,0,2,5,5,0,3,0,8,8,39,0,2,1,1,83,161
6,Arunachal Pradesh,Papum Pare,10,2,2,6,11,7,4,2,0,7,35,77,1,8,10,0,177,348
7,Arunachal Pradesh,Siang East,9,1,0,9,4,2,2,9,0,9,27,41,1,3,0,0,128,241
8,Arunachal Pradesh,Siang West,2,6,0,2,4,4,0,8,0,7,12,21,1,4,8,0,97,172
9,Arunachal Pradesh,Subansiri Lower,10,4,0,0,2,0,2,0,0,5,17,14,0,3,0,2,67,124
10,Arunachal Pradesh,Subansiri Upper,3,4,1,1,2,2,0,1,0,1,9,13,1,2,0,0,94,132
11,Arunachal Pradesh,Tawang,2,1,0,0,0,0,0,4,0,0,3,9,1,2,0,1,30,53
12,Arunachal Pradesh,Tirap,6,1,0,1,2,2,0,9,0,4,14,27,2,2,2,0,87,157
13,Arunachal Pradesh,Total,64,32,3,28,41,30,11,45,0,52,165,317,11,31,22,6,1056,1873
1,Assam,Barpeta,77,17,0,18,52,25,27,13,1,60,195,245,368,19,27,1,662,1755
2,Assam,Bongaigaon,48,9,0,11,32,30,2,26,0,27,104,228,88,12,14,1,343,943
3,Assam,Cachar,47,3,0,25,86,86,0,17,0,18,312,489,409,29,38,3,1264,2740
4,Assam,Darrang,63,16,2,29,37,10,27,43,1,62,122,253,95,12,24,1,346,1106
5,Assam,Dheonaji,16,4,1,23,23,17,6,15,0,19,38,82,18,8,3,0,250,500
6,Assam,Dhubri,45,23,4,21,69,64,5,16,2,17,89,248,465,22,33,3,692,1749
7,Assam,Dibrugarh,101,22,8,30,49,48,1,22,0,79,125,362,17,11,15,1,854,1696
8,Assam,Goalpara,22,2,1,9,23,22,1,12,3,15,75,189,167,8,6,0,303,835
9,Assam,Golaghat,57,19,2,19,44,39,5,11,0,50,96,300,40,10,34,3,489,1174
10,Assam,Hailakandi,19,4,0,16,33,33,0,1,0,8,105,265,200,9,7,1,308,976
11,Assam,Jorhat,58,15,4,13,39,31,8,18,3,54,95,335,80,22,18,1,585,1340
12,Assam,Kamrup,70,42,2,54,121,108,13,60,5,159,410,1386,388,119,117,52,2156,5141
13,Assam,Karbi Anglong,37,15,2,7,24,21,3,72,2,45,67,168,59,10,9,2,261,780
14,Assam,Karimaganj,28,23,0,25,33,33,0,14,0,10,119,276,308,10,15,5,324,1190
15,Assam,Kokrajhar,53,7,0,14,19,15,4,64,1,34,76,171,116,6,17,5,317,900
16,Assam,Lakhimpur,31,30,0,35,69,65,4,15,0,26,116,213,97,15,39,2,674,1362
17,Assam,Morigaon,18,14,0,15,24,24,0,29,1,20,84,136,95,4,5,1,340,786
18,Assam,N.C. Hills,15,5,1,3,5,4,0,29,1,20,84,136,95,4,5,1,340,786
19,Assam,Nagaon,70,15,2,24,102,95,7,129,3,72,346,486,487,23,29,5,1364,3157
20,Assam,Nalbari,55,14,18,19,60,56,4,67,0,57,137,188,111,16,10,4,549,1305
21,Assam,Sibsagar,79,29,0,37,61,61,0,32,0,49,106,435,78,25,13,1,983,1928
22,Assam,Sonitpur,79,24,2,46,81,69,12,68,2,62,285,441,132,35,24,1,753,2035
23,Assam,Tinsukia,110,15,0,37,54,47,7,35,0,90,152,393,55,30,11,2,844,1828
24,Assam,Total,1198,367,49,530,1140,1003,137,807,24,1054,3275,7325,3876,456,509,95,14756,35461
1,Bihar,Araria,52,21,3,17,34,0,34,65,2,30,159,215,332,12,26,0,688,1656
2,Bihar,Aurangabad,55,42,5,7,14,0,14,39,2,44,142,168,228,31,31,0,1195,2003
3,Bihar,Banka,96,85,0,18,35,0,35,66,0,44,126,194,300,5,10,0,0,979
4,Bihar,Begusarai,117,52,0,23,75,0,75,26,0,43,134,375,394,22,18,0,1703,2982
5,Bihar,Bettiah,138,282,7,30,235,35,200,75,12,37,165,422,344,31,15,0,980,2773
6,Bihar,Bhabhua,62,43,7,10,33,8,25,52,4,22,62,195,186,20,16,0,554,1266
7,Bihar,Bhagalpur,415,70,7,10,55,17,38,27,1,132,149,314,208,28,25,2,1277,2450
8,Bihar,Bhojpur,124,105,9,25,44,0,44,46,0,31,144,384,231,26,47,0,1429,2645
9,Bihar,Bokaro,79,79,21,17,28,15,13,26,6,70,162,585,265,21,17,0,1051,2427
10,Bihar,Buxar,55,18,3,5,30,0,30,74,1,48,100,217,243,11,19,0,696,1520
11,Bihar,Chaibasa,128,0,0,18,23,0,23,15,0,36,44,117,28,0,7,0,1210,1626
12,Bihar,Chapra,138,355,17,24,62,20,42,91,0,104,207,415,261,21,45,0,2074,3814
13,Bihar,Chatra,30,27,0,14,4,0,4,8,3,4,37,36,91,3,0,0,303,560
14,Bihar,Darbhanga,55,13,9,10,34,24,10,35,2,45,0,236,471,25,10,5,1256,2206
15,Bihar,Deoghar,54,8,7,17,20,7,13,20,3,14,134,163,188,20,12,4,630,1294
16,Bihar,Dhanbad,114,125,17,34,81,51,30,94,19,112,400,903,405,72,50,44,1914,4384
17,Bihar,Dumka,78,75,36,50,19,16,3,24,3,17,132,335,215,28,8,0,0,1020
18,Bihar,Garhwa,35,22,3,11,7,2,5,8,0,15,25,47,110,3,11,0,205,502
19,Bihar,Gaya,171,201,20,20,45,0,45,129,21,150,177,370,329,45,33,0,1369,3080
20,Bihar,Giridih,61,4,23,20,19,14,5,46,2,39,105,222,302,25,35,0,1211,2114
21,Bihar,Godda,61,82,5,19,24,16,8,27,0,19,91,129,227,16,20,0,458,1178
22,Bihar,Gopalganj,80,55,9,6,35,11,24,55,4,40,148,206,164,62,9,0,0,873
23,Bihar,Gumla,138,77,10,37,32,30,2,22,0,41,63,109,43,5,24,0,545,1146
24,Bihar,Hazaribagh,136,24,15,26,33,26,7,61,3,96,207,588,239,15,21,2,1481,2947
25,Bihar,Jamshedpur,104,146,29,49,34,0,34,24,25,67,148,552,144,229,17,1,695,2264
26,Bihar,Jamui,66,72,6,23,22,0,22,33,0,16,54,151,183,15,21,0,461,1123
27,Bihar,Jehanabad,74,65,13,14,33,0,33,61,4,23,65,186,191,0,33,0,614,1376
28,Bihar,Katihar,84,101,9,46,52,0,52,42,0,38,35,521,202,74,21,0,851,2076
29,Bihar,Khagaria,98,67,0,4,9,2,7,33,0,11,0,349,288,0,0,0,0,859
30,Bihar,Kishanganj,35,2,5,47,26,13,13,31,0,10,84,103,176,9,19,1,511,1059
31,Bihar,Loharadagga,31,14,3,9,10,0,10,11,0,24,24,81,15,7,5,0,194,428
32,Bihar,Madhepura,40,13,2,7,22,14,8,13,1,18,52,79,242,7,20,0,0,516
33,Bihar,Madhubani,46,103,18,20,33,20,13,43,7,31,124,295,601,36,18,0,2137,3512
34,Bihar,Motihari,68,131,8,15,50,37,13,35,7,34,194,265,296,32,41,0,1604,2780
35,Bihar,Munger,208,231,40,15,140,0,140,76,0,128,158,490,633,36,75,0,1234,3464
36,Bihar,Muzaffarpur,119,107,8,34,71,0,71,100,7,124,362,444,351,106,24,0,2015,3872
37,Bihar,Nalanda,177,149,22,13,85,0,85,72,3,75,173,410,198,51,39,0,2142,3609
38,Bihar,Naugachia,63,66,3,2,15,0,15,17,0,43,23,80,83,15,7,0,236,653
39,Bihar,Nawadah,64,78,6,13,37,11,26,42,0,10,48,138,220,9,38,0,730,1433
40,Bihar,Pakur,33,35,6,25,6,0,6,22,0,7,14,91,36,13,6,0,211,505
41,Bihar,Palamau,113,54,18,24,22,0,22,32,2,41,83,178,269,13,11,0,982,1842
42,Bihar,Patna,453,467,33,35,228,23,205,116,51,266,660,2417,811,224,141,0,2787,8689
43,Bihar,Purnea,86,84,9,65,69,21,48,120,4,126,233,355,697,30,64,1,1493,3436
44,Bihar,Ranchi,306,98,20,51,57,42,15,59,12,230,329,893,126,34,42,4,1892,4153
45,Bihar,Rohtas,86,97,10,31,54,22,32,93,7,66,216,528,420,92,45,3,1246,2994
46,Bihar,Saharsa,33,48,6,7,23,0,23,15,0,24,82,139,260,16,10,0,935,1598
47,Bihar,Sahebganj,57,102,7,20,32,0,32,41,0,23,58,134,84,33,8,0,357,956
48,Bihar,Samastipur,90,147,45,27,60,0,60,69,7,35,136,300,250,54,0,0,1289,2509
49,Bihar,Sitamarhi,76,16,12,29,46,40,6,43,1,39,187,206,333,9,1,0,1898,2896
50,Bihar,Siwan,121,170,8,6,50,0,50,97,10,67,233,260,147,23,4,5,1343,2544
51,Bihar,Supaul,31,4,1,10,38,0,38,53,1,31,78,102,195,10,29,2,965,1550
52,Bihar,Vaishali,78,0,47,16,49,0,49,63,0,54,146,247,253,39,68,0,1661,2721
53,Bihar,Dhanbad Rly.,3,2,1,1,1,0,1,17,0,19,2,116,13,0,0,0,138,313
54,Bihar,Jamalpur Rly.,9,0,0,1,7,0,7,20,7,17,3,246,18,0,11,0,141,480
55,Bihar,Jamshedpur Rly.,3,2,2,0,1,0,1,8,0,8,3,146,9,1,4,0,68,255
56,Bihar,Katihar Rly.,13,0,0,1,3,1,2,15,2,23,14,187,12,1,11,0,103,385
57,Bihar,Muzaffarpur Rly.,5,0,0,1,4,0,4,7,0,16,20,192,13,5,11,0,151,425
58,Bihar,Patna Rly.,23,6,0,1,9,3,6,23,2,25,2,573,20,5,9,0,204,902
59,Bihar,Total,5098,4542,630,1130,2419,541,1878,2677,248,3002,7156,18399,13593,1775,1362,74,53517,115622
1,Goa,North Goa,18,4,0,4,10,7,3,2,0,11,280,504,123,28,36,13,823,1856
2,Goa,South Goa,20,4,2,4,6,4,2,3,0,8,208,371,40,18,21,5,564,1274
3,Goa,Total,38,8,2,8,16,11,5,5,0,19,488,875,163,46,57,18,1387,3130
1,Gujarat,Ahmedabad Commr.,101,65,1,20,113,85,28,17,0,134,868,4554,143,110,160,19,4896,11201
2,Gujarat,Ahmedabad Rural,54,52,0,5,45,37,8,29,0,54,171,407,140,86,99,3,2088,3233
3,Gujarat,Ahwa- Dang,7,1,0,0,1,1,0,0,0,0,11,11,2,1,1,0,77,112
4,Gujarat,Amreli,27,34,0,8,23,18,5,1,0,15,105,188,34,12,8,7,1548,2010
5,Gujarat,Anand,55,28,0,19,63,52,11,15,0,37,262,775,59,208,239,8,3875,5643
6,Gujarat,Banaskantha,64,28,0,16,43,43,0,9,0,88,254,759,113,74,118,3,3331,4900
7,Gujarat,Bharuch,66,33,0,33,55,51,4,35,0,39,292,625,107,90,194,3,3880,5452
8,Gujarat,Bhavnagar,67,26,0,24,51,44,7,4,0,42,214,522,117,118,106,17,2902,4210
9,Gujarat,Gandhinagar,11,6,0,3,19,15,4,6,0,7,132,527,23,9,23,5,1145,1916
10,Gujarat,Jamnagar,43,30,0,31,30,23,7,0,0,37,175,404,35,84,223,6,4037,5135
11,Gujarat,Junagadh,49,37,0,19,45,34,11,7,0,44,238,585,86,80,116,6,3751,5063
12,Gujarat,Kheda North,40,10,0,23,41,41,0,11,0,36,229,572,57,100,189,5,2734,4047
13,Gujarat,Kutch,17,22,0,7,24,19,5,3,0,24,160,273,74,38,88,7,2338,3075
14,Gujarat,Meshana,46,24,0,10,99,95,4,9,0,87,305,1033,199,172,216,6,3633,5839
15,Gujarat,Panchmahals,101,20,0,9,87,87,0,43,0,111,390,574,117,119,215,8,4990,6784
16,Gujarat,Patan,31,21,0,8,28,26,2,8,0,44,134,505,77,57,123,6,2147,3189
17,Gujarat,Porbandar,18,22,0,1,7,4,3,2,0,11,68,87,10,47,25,4,916,1218
18,Gujarat,Rajkot Commr.,32,25,2,6,35,28,7,3,0,39,270,767,87,173,185,9,2238,3871
19,Gujarat,Rajkot Rural,53,53,2,14,36,30,6,7,0,36,242,610,60,137,102,0,3437,4789
20,Gujarat,Sabarkantha,47,18,0,14,30,29,1,6,0,24,210,366,88,139,91,5,3364,4402
21,Gujarat,Surat Commr.,93,54,0,10,39,26,13,17,0,66,456,1683,134,103,195,4,1918,4772
22,Gujarat,Surat Rural,57,11,0,8,31,30,1,15,0,20,82,230,41,44,85,2,2070,2696
23,Gujarat,Surendranagar,29,31,0,13,17,13,4,4,0,25,170,352,79,50,35,17,2580,3401
24,Gujarat,Vadodara Commr.,35,13,1,13,41,37,4,7,0,26,364,1305,265,107,249,5,2413,4844
25,Gujarat,Vadodara Rural,105,20,0,20,54,54,0,10,0,35,158,518,56,126,73,0,3195,4370
26,Gujarat,Valsad,72,21,0,17,26,24,2,35,0,34,250,538,47,101,130,5,2710,3986
27,Gujarat,W.Rly,20,9,0,5,8,5,3,15,0,38,28,1495,9,9,11,0,447,2094
28,Gujarat,Total,1340,714,6,356,1091,951,140,318,0,1153,6238,20265,2259,2394,3298,160,72660,112252
1,Haryana,Ambala,43,11,3,13,25,16,9,2,5,11,242,355,2,25,56,2,1182,1977
2,Haryana,Bhiwani,33,14,6,8,17,9,8,4,0,12,137,164,47,25,29,1,1431,1928
3,Haryana,Faridabad,60,43,5,35,70,46,24,16,9,54,368,617,75,47,99,7,3297,4802
4,Haryana,Gurgaon,45,24,14,25,32,28,4,8,4,43,221,459,44,22,62,4,1832,2839
5,Haryana,Hissar,70,36,3,11,35,23,12,1,0,18,235,355,32,33,75,3,2817,3724
6,Haryana,Jind,36,12,3,11,15,11,4,1,0,4,117,147,11,21,39,1,1139,1557
7,Haryana,Kaithal,27,32,4,9,5,4,1,1,1,7,89,89,0,18,27,2,494,805
8,Haryana,Karnal,35,39,4,33,17,8,9,2,0,6,193,340,30,21,58,3,1098,1879
9,Haryana,Kurukshetra,23,25,2,19,8,2,6,2,0,6,115,176,0,11,28,0,803,1218
10,Haryana,Mahendragarh,20,6,2,5,13,11,2,0,1,5,50,84,24,11,15,1,950,1187
11,Haryana,Panipat,45,15,8,18,13,7,6,2,0,10,185,297,28,14,45,0,1026,1706
12,Haryana,Rewari,22,8,5,9,6,4,2,2,2,9,84,147,28,12,26,3,685,1048
13,Haryana,Rohtak,79,39,31,23,24,17,7,4,3,28,304,371,58,32,83,7,1443,2529
14,Haryana,Sirsa,32,19,5,7,17,12,5,0,3,10,101,123,10,7,27,0,941,1302
15,Haryana,Sonipat,64,24,9,14,27,20,7,3,7,20,121,187,10,9,41,3,1149,1688
16,Haryana,Yamunanagar,28,21,4,18,23,18,5,0,1,13,187,274,18,22,63,4,1012,1688
17,Haryana,GRP,15,2,1,0,0,0,0,0,0,1,0,148,3,2,6,0,537,715
18,Haryana,Total,677,370,109,258,347,236,111,48,36,257,2749,4333,420,332,779,41,21836,32592
1,Himachal Pradesh,Bilaspur,8,5,1,4,4,2,2,1,0,1,43,57,70,10,8,0,405,617
2,Himachal Pradesh,Chamba,9,3,1,6,13,13,0,0,0,3,128,62,14,7,8,1,274,529
3,Himachal Pradesh,Hamirpur,4,11,1,1,9,7,2,1,0,2,43,26,56,8,6,0,439,607
4,Himachal Pradesh,Kangra,20,11,4,12,36,33,3,0,0,3,208,169,126,16,25,1,1194,1825
5,Himachal Pradesh,Kinnaur,3,1,0,10,8,8,0,0,0,0,55,20,15,6,3,0,104,225
6,Himachal Pradesh,Kullu,6,3,0,4,19,12,7,1,0,0,63,48,14,8,11,0,436,613
7,Himachal Pradesh,Lahaul-Spiti,0,0,0,1,0,0,0,0,0,0,6,3,3,2,0,0,25,40
8,Himachal Pradesh,Mandi,19,12,2,11,14,12,2,0,0,4,116,110,54,7,15,0,1122,1486
9,Himachal Pradesh,Shimla,17,10,3,30,53,35,18,0,0,7,226,281,162,23,72,8,1347,2239
10,Himachal Pradesh,Sirmaur,8,7,0,15,21,17,4,0,0,1,71,67,70,10,18,0,556,844
11,Himachal Pradesh,Solan,6,8,1,11,22,20,2,0,0,3,92,134,77,7,25,1,734,1121
12,Himachal Pradesh,UNA,4,6,2,5,9,6,3,0,0,0,36,40,34,5,5,0,482,628
13,Himachal Pradesh,G.R.P.,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,5,11
14,Himachal Pradesh,Total,104,77,16,110,208,165,43,3,0,24,1089,1019,696,109,196,11,7123,10785
1,Jammu Kashmir,Anantnag,126,4,1,7,27,11,16,13,0,16,169,58,33,0,8,0,262,724
2,Jammu Kashmir,Badgam,25,9,0,0,16,16,0,2,0,1,41,38,28,1,1,0,85,247
3,Jammu Kashmir,Baramulla,259,114,0,4,36,19,17,3,0,21,205,240,56,13,16,0,378,1345
4,Jammu Kashmir,Doda,13,19,0,8,20,20,0,7,0,10,51,68,33,4,8,0,441,682
5,Jammu Kashmir,Jammu,43,203,2,25,66,58,8,3,0,10,418,831,164,33,56,1,2826,4681
6,Jammu Kashmir,Kargil,0,1,0,0,3,3,0,0,0,0,3,5,20,2,0,0,50,84
7,Jammu Kashmir,Kathua,8,37,2,13,24,22,2,3,0,4,108,105,52,6,6,0,670,1038
8,Jammu Kashmir,Kupwara,140,45,0,3,24,12,12,0,0,3,67,57,62,2,5,0,257,665
9,Jammu Kashmir,Leh,1,0,0,0,4,4,0,0,0,0,14,6,7,1,8,0,72,113
10,Jammu Kashmir,Pulwama,69,105,0,0,11,11,0,4,0,15,71,48,24,6,5,0,146,504
11,Jammu Kashmir,Punch,10,29,1,6,19,19,0,1,0,0,44,197,67,14,10,2,340,740
12,Jammu Kashmir,Rajouri,8,29,0,17,39,39,0,0,0,0,41,93,14,1,14,0,712,968
13,Jammu Kashmir,Srinagar,35,12,1,3,27,22,5,8,0,21,415,395,58,5,24,0,583,1587
14,Jammu Kashmir,Udhampur,21,49,1,23,23,23,0,5,0,10,180,190,29,5,8,0,967,1511
15,Jammu Kashmir,Railways,0,1,0,0,0,0,0,0,0,0,0,17,0,0,3,0,10,31
16,Jammu Kashmir,Total,758,657,8,109,339,279,60,49,0,111,1827,2348,647,93,172,3,7799,14920
1,Karnataka,Bangalore Commr.,213,275,7,61,152,68,84,90,1,576,2547,8965,1041,245,1013,367,14387,29940
2,Karnataka,Bangalore Rural,105,82,1,17,38,31,7,23,1,36,820,952,466,31,54,2,4818,7446
3,Karnataka,Belgaum,145,56,1,3,32,0,32,21,0,23,449,459,617,16,53,12,3435,5412
4,Karnataka,Bellary,57,27,0,6,16,16,0,4,1,25,273,372,337,8,32,2,1736,2896
5,Karnataka,Bidar,35,52,0,4,11,5,6,14,0,30,207,305,234,9,52,0,1669,2622
6,Karnataka,Bijapur,133,62,5,9,47,35,12,25,0,27,225,396,511,30,70,1,2696,4237
7,Karnataka,Chickmagalur,29,18,5,5,6,6,0,4,0,8,106,155,89,4,11,5,1350,1795
8,Karnataka,ChitraDurga,63,60,8,16,24,22,2,26,1,3,566,598,879,18,28,1,3505,5829
9,Karnataka,Dharwad Commr.,29,16,0,3,12,8,4,7,0,27,285,444,127,18,61,2,1020,2051
10,Karnataka,Dharwad Rural,67,68,4,13,22,1,21,16,0,13,224,328,475,40,47,5,2602,3925
11,Karnataka,Gulbarga,83,66,1,14,46,46,0,11,0,43,310,518,526,19,45,1,2311,3994
12,Karnataka,Hassan,59,18,0,13,26,21,5,14,0,18,327,477,456,9,43,1,2632,4093
13,Karnataka,K.G.F.,12,12,0,1,6,6,0,5,0,9,170,227,115,7,17,2,585,1177
14,Karnataka,Kannada North,22,12,0,6,14,12,2,6,0,6,244,286,167,21,24,1,2098,2907
15,Karnataka,Kannada South,54,38,4,6,18,6,12,7,0,18,542,428,313,20,50,4,3249,4751
16,Karnataka,Kodagu,38,30,3,8,14,0,14,0,0,6,200,195,62,9,21,0,1121,1707
17,Karnataka,Kolar,71,56,4,17,23,16,7,16,0,28,350,591,352,13,34,3,2280,3838
18,Karnataka,Mandya,47,19,0,9,10,10,0,13,0,16,263,325,248,5,0,2,2269,3226
19,Karnataka,Mysore Commr.,24,12,0,13,17,15,2,1,0,63,366,1005,48,17,101,1,1325,3002
20,Karnataka,Mysore Rural,75,9,1,26,10,7,3,13,0,23,483,648,370,12,29,5,2629,4333
21,Karnataka,Raichur,56,46,3,7,24,14,10,30,0,20,227,333,532,12,60,4,1925,3279
22,Karnataka,Shimoga,49,25,0,9,31,23,8,3,0,13,311,402,566,14,32,4,2717,4176
23,Karnataka,Tumkur,73,34,5,6,21,21,0,15,0,20,481,754,587,15,25,0,3773,5809
24,Karnataka,Railways,13,1,9,0,1,1,0,4,0,31,4,284,12,8,3,0,134,504
25,Karnataka,Total,1552,1094,61,281,621,390,231,377,4,1115,9980,19538,9130,600,1905,425,66266,112949
1,Kerala,Alappuzha,31,22,2,9,17,17,0,1,0,6,328,243,452,27,117,3,5014,6272
2,Kerala,CBCID,24,2,0,1,2,0,2,1,NA,2,11,26,2,18,37,49,69,244
3,Kerala,Ernakulam,49,36,3,16,10,7,3,6,0,16,473,444,573,29,160,4,9121,10940
4,Kerala,Idukki,44,13,2,4,2,1,1,2,0,8,216,149,261,11,29,0,2616,3357
5,Kerala,Kannur,38,46,1,21,10,1,9,5,0,10,307,177,939,21,137,1,4020,5733
6,Kerala,Kasargod,21,14,0,9,1,0,1,4,0,16,158,166,501,8,103,0,1742,2743
7,Kerala,Kollam,40,18,1,17,15,13,2,9,0,13,369,246,478,44,93,1,6084,7428
8,Kerala,Kottayam,35,8,1,12,5,2,3,4,0,20,367,291,390,18,114,0,4827,6092
9,Kerala,Kozhikode,17,46,2,20,21,13,8,5,0,14,408,348,897,36,162,4,5908,7888
10,Kerala,Malappuram,29,16,4,17,17,13,4,6,0,12,252,195,523,22,73,1,4297,5464
11,Kerala,Palakkad,42,23,4,17,14,7,7,6,1,13,277,239,481,36,54,1,3721,4929
12,Kerala,Pathanamthitta,21,11,3,4,12,7,5,2,0,8,186,92,196,7,55,0,2891,3488
13,Kerala,Thiruvananthapuram,54,69,6,16,38,28,10,41,18,57,665,512,913,16,141,4,8201,10751
14,Kerala,Thrissur,46,51,0,11,13,11,2,7,0,12,378,385,530,27,114,3,4820,6397
15,Kerala,Wayanadu,17,9,4,23,3,NA,3,3,0,7,145,111,176,5,25,0,1466,1994
16,Kerala,Railways,1,1,0,0,0,0,0,0,0,3,5,82,12,0,1,0,35,140
17,Kerala,Total,509,385,33,197,180,120,60,102,19,217,4545,3706,7324,325,1415,71,64832,83860
1,Madhya Pradesh,Baitul,65,28,1,57,11,10,1,0,1,11,210,193,46,10,7,0,1293,1933
2,Madhya Pradesh,Balaghat,67,43,3,97,15,15,0,7,0,14,307,439,28,7,27,0,1758,2812
3,Madhya Pradesh,Bastar,86,54,0,59,38,38,0,5,0,48,352,250,63,7,28,0,1742,2732
4,Madhya Pradesh,Bhind,92,90,8,11,20,7,13,9,10,24,212,339,95,4,14,0,1826,2754
5,Madhya Pradesh,Bhopal,71,157,5,88,36,36,0,4,3,142,742,1619,78,16,87,7,6302,9357
6,Madhya Pradesh,Bilaspur,132,77,10,124,39,39,0,17,3,83,1259,1601,336,36,80,11,5062,8870
7,Madhya Pradesh,Chhatarpur,50,52,2,45,22,17,5,3,8,44,289,253,85,3,21,1,1449,2327
8,Madhya Pradesh,Chhindwara,77,38,5,64,11,11,0,1,1,27,200,325,32,10,22,0,2102,2915
9,Madhya Pradesh,Damoh,39,73,13,40,6,NA,0,0,1,24,225,183,57,6,10,0,1511,2188
10,Madhya Pradesh,Dantewara,135,50,0,24,7,7,0,11,1,15,158,117,31,7,5,0,613,1174
11,Madhya Pradesh,Datiya,34,30,0,11,7,3,4,2,2,17,135,102,31,4,8,1,817,1201
12,Madhya Pradesh,Dewas,47,48,4,55,24,24,0,3,1,19,441,741,88,23,20,0,2290,3804
13,Madhya Pradesh,Dhar,98,105,2,84,60,59,1,19,0,61,191,1331,165,58,15,0,3011,5500
14,Madhya Pradesh,Durg,62,84,8,135,135,135,0,4,3,85,686,1299,58,24,96,0,3866,6545
