SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
22,Tamil Nadu,8110,505.9,416,25.8,17,0.6,373,32.2,0,0,1107,56.4,9963,471.1,19986,1092.1
23,Tripura,302,10.1,2,0.2,0,0,0,0,0,0,68,3.8,235,6.9,607,20.9
24,Uttar Pradesh,16387,1130.8,4854,585.1,0,0,0,0,0,0,235,17.6,21667,1473.6,43143,3207.1
25,West Bengal,11844,629.6,186,7.3,2,0.1,1578,34,2,0.1,1770,108.7,6686,384.6,22068,1164.4
Total (States),Total (States),108666,8090.4,8503,1070.7,232,21,10251,718.9,165,23.9,12358,1377.2,147968,25669,288143,36971.1
26,A & N Islands,1,0,0,0,0,0,0,0,0,0,1,0,59,24.1,61,24.1
27,Chandigarh,207,12.1,0,0,0,0,0,0,0,0,46,3.5,714,65.7,967,81.3
28,D & N Haveli,22,3.3,0,0,0,0,0,0,0,0,0,0,39,1.6,61,4.9
29,Daman & Diu,3,0.2,0,0,0,0,0,0,0,0,5,0.2,25,7.5,33,7.9
30,Delhi,8647,995,364,74.6,0,0,369,0.3,9,5.4,668,89.9,3433,1661.2,13490,2826.5
31,Lakshadweep,8,0.2,0,0,0,0,0,0,0,0,0,0,12,0.1,20,0.2
32,Pondicherry,176,8.2,0,0,0,0,0,0,0,0,35,1.1,578,19.8,789,29.1
Total (UTs),Total (UTs),9064,1019,364,74.6,0,0,369,0.3,9,5.4,755,94.8,4860,1779.9,15421,2974
Total (All -India),Total (All -India),117730,9109.4,8867,1145.3,232,21,10620,719.2,174,29.4,13113,1471.9,152828,27448.9,303564,39945
33,Ahmedabad,609,84,7,9.2,0,0,0,0,4,0.4,222,25.4,3712,409.3,4554,528.2
34,Bangalore,3596,317.1,0,0,0,0,0,0,22,0.4,445,71,4902,385.8,8965,774.3
35,Bhopal,415,62.2,0,0,0,0,0,0,0,0,329,168,658,18.6,1402,248.9
36,Bombay,2850,597,284,41.9,0,0,0,0,4,3.4,740,281.4,9606,4189.4,13484,5113
37,Calcutta,2309,375.9,0,0,0,0,0,0,0,0,635,87.2,1953,226.6,4897,689.8
38,Coimbatore,376,22.7,0,0,0,0,0,0,0,0,28,4.8,374,16.3,778,43.9
39,Delhi,8365,896.4,293,69.7,0,0,291,0.3,6,5,587,78.8,3112,1369.3,12654,2419.6
40,Hyderabad,3243,370.8,0,0,0,0,0,0,0,0,0,0,0,0,3243,370.8
41,Indore,1175,9.6,24,0.2,0,0,0,0,0,0,108,1,1192,250,2499,260.9
42,Jaipur,2109,148.9,0,0,0,0,0,0,0,0,210,89,170,61,2489,298.8
43,Kanpur,696,53.6,897,79.2,0,0,0,0,0,0,0,0,0,0,1593,132.7
44,Kochi,99,9.9,5,4,0,0,0,0,1,0.2,39,4.1,118,26.1,262,44.2
45,Lucknow,115,14.9,1241,54.1,0,0,0,0,0,0,0,0,1740,42.7,3096,111.6
46,Ludhiana,31,21,3,2.2,0,0,0,0,0,0,16,4.7,103,70.9,155,98.9
47,Madras,700,55.7,0,0,0,0,2,0.1,0,0,78,1.3,2051,159.9,2829,217
48,Madurai,351,32.2,0,0,0,0,0,0,0,0,225,6.4,401,41,977,79.5
49,Nagpur,364,3,0,0,0,0,0,0,0,0,275,31.6,2009,169.5,2648,204.1
50,Patna,1303,192.5,460,7.8,0,0,0,0,0,0,0,0,0,0,1763,200.3
51,Pune,364,53.1,17,8.1,0,0,0,0,0,0,89,20.3,1565,283.6,2035,365.1
52,Surat,419,71.7,0,0,1,0.3,0,0,15,3.5,140,16,1108,150.7,1683,242.1
53,Vadodara,397,42.7,0,0,0,0,0,0,0,0,181,21.6,727,69.6,1305,133.8
54,Varanasi,328,31.8,0,0,0,0,0,0,0,0,0,0,265,22.6,593,54.4
55,Vishakhapatnam,638,31.3,0,0,0,0,0,0,0,0,120,5.1,336,20.9,1094,57.3
