SL. No.,State/UT/City,Gain - Murder,Gain - C.H.,Propey Dispute - Muder,Propey Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
23,Tripura,57,0,26,0,75,0,3,0,6,0,1,0,0,0,0,0,0,0,116,1,284,1
24,Uttar Pradesh,401,35,637,70,1854,87,398,21,1782,7,11,4,2,0,3,4,5,2,5683,1141,10776,1371
25,West Bengal,143,32,505,198,668,244,304,86,7,3,0,0,0,0,0,0,0,0,190,83,1817,646
Total (States),Total (States),2475,167,3417,367,6521,441,2918,274,2503,305,92,8,49,0,76,4,195,4,19768,2287,38014,3857
26,A & N Islands,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0
27,Chandigarh,2,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,14,5,22,5
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
30,Delhi,0,0,60,25,98,7,73,9,3,0,0,0,0,0,0,0,0,0,258,43,492,84
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,3,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25,0
Total (UTs),Total (UTs),5,0,63,25,116,7,74,9,5,0,0,0,0,0,0,0,0,0,300,48,563,89
Total (All -India),Total (All -India),2480,167,3480,392,6637,448,2992,283,2508,305,92,8,49,0,76,4,195,4,20068,2335,38577,3946
33,Ahmedabad,6,0,5,1,5,0,9,0,4,0,0,0,0,0,0,0,3,0,69,0,101,1
34,Bangalore,10,0,3,0,13,0,8,0,6,0,1,0,13,0,0,0,1,0,158,7,213,7
35,Bhopal,0,0,2,0,32,0,7,0,2,2,0,0,0,0,0,0,0,0,8,0,51,2
36,Bombay,29,3,12,0,42,0,17,1,6,0,1,0,0,0,0,0,0,0,247,1,354,5
37,Calcutta,10,0,2,0,14,8,0,0,2,0,0,0,0,0,0,0,0,0,49,14,77,22
38,Coimbatore,2,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,23,0
39,Delhi,0,0,49,21,68,5,64,6,3,0,0,0,0,0,0,0,0,0,212,30,396,62
40,Hyderabad,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,2,99,2
41,Indore,0,0,6,0,28,0,1,0,1,0,0,0,0,0,0,0,0,0,53,1,89,1
42,Jaipur,4,0,2,0,7,0,1,0,9,0,0,0,0,0,0,0,0,0,40,1,63,1
43,Kanpur,10,1,8,0,56,2,9,2,66,0,0,0,0,0,0,0,0,0,148,20,297,25
44,Kochi,2,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,25,3
45,Lucknow,8,0,7,1,30,0,11,0,26,0,0,0,0,0,0,0,0,0,95,15,177,16
46,Ludhiana,4,1,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,28,4,40,6
47,Madras,6,0,2,0,47,0,4,0,0,0,0,0,0,0,0,0,0,0,35,10,94,10
48,Madurai,0,0,2,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,26,0
49,Nagpur,2,0,1,0,18,0,11,0,1,0,1,0,0,0,0,0,0,0,53,3,87,3
50,Patna,0,0,81,4,38,7,11,0,0,0,0,0,0,0,0,0,0,0,94,8,224,19
51,Pune,2,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,84,3,92,3
52,Surat,1,0,2,0,17,0,2,0,0,0,1,0,0,0,0,0,0,0,70,0,93,0
53,Vadodara,2,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,24,1,35,1
54,Varanasi,6,0,14,0,14,2,3,0,10,0,0,0,0,0,0,0,0,0,23,6,70,8
55,Vishakhapatnam,2,0,3,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,9,1,24,1
