SL. No.,State/UT/City,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. not Amounting to Murder - Incidence,C.H. not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
Total (States),Total (States),38014,4.3,29497,3.3,3857,0.4,12882,1.5,19854,2.2,13302,1.5,6552,0.7,9249,1,932,0.1,23536,2.7,119443,13.5,288143,32.5,94002,10.6,15899,1.8,29699,3.3,2739,0.3,903029,101.8,1590775,179.3
26,A & N Islands,14,4.4,4,1.3,0,0,4,1.3,4,1.3,3,0.9,1,0.3,0,0,0,0,1,0.3,68,21.3,61,19.1,21,6.6,8,2.5,6,1.9,0,0,356,111.3,547,170.9
27,Chandigarh,22,3,15,2,5,0.7,6,0.8,55,7.4,45,6.1,10,1.4,0,0,0,0,8,1.1,178,24.1,967,130.7,46,6.2,27,3.6,99,13.4,0,0,671,90.7,2099,283.6
28,D & N Haveli,7,4.7,3,2,0,0,2,1.3,6,4,5,3.3,1,0.7,1,0.7,0,0,4,2.7,24,16,61,40.7,30,20,5,3.3,0,0,0,0,345,230,488,325.3
29,Daman & Diu,3,2.7,2,1.8,0,0,1,0.9,1,0.9,0,0,1,0.9,2,1.8,0,0,3,2.7,37,33.6,33,30,24,21.8,4,3.6,4,3.6,2,1.8,107,97.3,223,202.7
30,Delhi,492,4.6,479,4.5,84,0.8,309,2.9,1055,10,713,6.7,342,3.2,19,0.2,14,0.1,377,3.6,1660,15.7,13490,127.4,172,1.6,578,5.5,1383,13.1,99,0.9,18012,170.1,38223,360.9
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,20,33.3,8,13.3,1,1.7,0,0,0,0,20,33.3,52,86.7
32,Pondicherry,25,2.9,20,2.3,0,0,4,0.5,8,0.9,7,0.8,1,0.1,0,0,0,0,4,0.5,123,14.3,789,91.7,41,4.8,1,0.1,16,1.9,11,1.3,1802,209.5,2844,330.7
Total (UTs),Total (UTs),563,4.4,523,4.1,89,0.7,326,2.5,1129,8.8,773,6,356,2.8,22,0.2,14,0.1,397,3.1,2093,16.3,15421,120.2,342,2.7,624,4.9,1508,11.8,112,0.9,21313,166.1,44476,346.7
Total (All -India),Total (All -India),38577,4.3,30020,3.3,3946,0.4,13208,1.5,20983,2.3,14075,1.6,6908,0.8,9271,1,946,0.1,23933,2.7,121536,13.5,303564,33.7,94344,10.5,16523,1.8,31207,3.5,2851,0.3,924342,102.7,1635251,181.7
33,Ahmedabad,101,2.8,65,1.8,1,0,20,0.6,113,3.1,85,2.3,28,0.8,17,0.5,0,0,134,3.7,868,24,4554,125.8,143,4,110,3,160,4.4,19,0.5,4896,135.2,11201,309.4
34,Bangalore,213,4.6,275,5.9,7,0.2,61,1.3,152,3.3,68,1.5,84,1.8,90,1.9,1,0,576,12.4,2547,54.9,8965,193.2,1041,22.4,245,5.3,1013,21.8,367,7.9,14387,310.1,29940,645.3
35,Bhopal,51,4,138,10.9,2,0.2,62,4.9,30,2.4,30,2.4,0,0,2,0.2,2,0.2,132,10.4,634,49.9,1402,110.4,58,4.6,16,1.3,79,6.2,7,6,5105,402,7720,607.9
36,Bombay,354,2.4,229,1.6,5,0,150,1,234,1.6,146,1,88,0.6,113,0.8,57,0.4,754,5.2,2707,18.7,13484,92.9,233,1.6,565,3.9,1243,8.6,57,0.4,15190,104.7,35375,243.8
37,Calcutta,77,0.7,124,1.1,22,0.2,36,0.3,90,0.8,71,0.6,19,0.2,35,0.3,33,0.3,154,1.3,174,1.5,4897,41.8,413,3.5,257,2.2,630,5.4,34,0.3,4425,37.8,11401,97.4
38,Coimbatore,23,2,21,1.8,0,0,1,0.1,5,0.4,3,0.3,2,0.2,0,0,0,0,15,1.3,230,19.7,778,66.5,229,19.6,8,0.7,20,1.7,93,7.9,1663,142.1,3086,263.8
39,Delhi,396,4.1,393,4.1,62,0.6,252,2.6,916,9.6,619,6.5,297,3.1,11,0.1,12,0.1,328,3.4,1442,15.1,12654,132.2,149,1.6,527,5.5,1338,14,95,1,15903,166.2,34478,360.3
40,Hyderabad,99,1.9,31,0.6,2,0,49,0.9,108,2.1,67,1.3,41,0.8,7,0.1,0,0,72,1.4,1327,25.6,3243,62.5,173,3.3,84,1.6,586,11.3,12,0.2,4063,78.3,9856,189.9
41,Indore,89,7.3,134,11,1,0.1,29,2.4,33,2.7,31,2.5,2,0.2,2,0.2,1,0.1,80,6.6,745,61.1,2499,204.8,67,5.5,37,3,113,9.3,0,0,5139,421.2,8969,735.2
42,Jaipur,63,3.6,36,2.1,1,0.1,22,1.3,145,8.3,125,7.2,20,1.1,4,0.2,0,0,64,3.7,771,44.3,2489,143,1216,69.9,164,9.4,810,46.6,118,6.8,4905,281.9,10808,621.1
43,Kanpur,297,13.6,216,9.9,25,1.1,31,1.4,211,9.7,117,5.4,94,4.3,36,1.7,6,0.3,193,8.9,415,19,1593,73.1,203,9.3,300,13.8,254,11.7,109,5,2687,123.3,6576,301.7
44,Kochi,25,1.9,8,0.6,3,0.2,7,0.5,7,0.5,6,0.4,1,0.1,4,0.3,0,0,10,0.7,227,16.8,262,19.4,212,15.7,12,0.9,113,8.4,3,0.2,3227,239,4120,305.2
45,Lucknow,177,8.9,194,9.8,16,0.8,33,1.7,142,7.2,116,5.9,26,1.3,32,1.6,12,0.6,222,11.2,994,50.2,3096,156.4,290,14.6,257,13,277,14,2,0.1,2533,127.9,8277,418
46,Ludhiana,40,3.2,30,2.4,6,0.5,11,0.9,25,2,10,0.8,150,1.2,0,0,7,0.6,7,0.6,112,9,155,12.4,4,0.3,13,1,41,3.3,2,0.2,398,31.8,851,68.1
47,Madras,94,1.6,256,4.4,10,0.2,14,0.2,25,0.4,25,0.4,0,0,4,0.1,0,0,63,1.1,453,7.7,2829,48.3,68,1.2,267,4.6,364,6.2,68,1.2,1472,25.1,5987,102.2
48,Madurai,26,2.3,80,7,0,0,4,0.3,12,1,12,1,0,0,4,0.3,0,0,42,3.7,171,14.9,977,85,157,13.7,30,2.6,99,8.6,93,8.1,2142,186.3,3837,333.7
49,Nagpur,87,4.8,60,3.3,2,0.2,46,2.5,61,3.4,44,2.4,17,0.9,8,0.4,0,0,276,15.2,864,47.7,2648,146.3,127,7,69,3.8,135,7.5,12,0.7,4211,232.7,8607,475.5
50,Patna,224,19.1,240,20.5,19,1.6,25,2.1,122,10.4,10,0.9,112,9.6,63,5.4,24,2.1,175,15,471,40.3,1763,150.7,312,26.7,179,15.3,113,9.7,0,0,1555,132.9,5285,451.7
51,Pune,92,3.2,37,1.3,3,0.1,52,1.8,54,1.9,34,1.2,20,0.7,15,0.5,0,0,102,3.6,839,29.5,2035,71.7,78,2.7,63,2.2,172,6.1,18,0.6,5284,186.1,8844,311.4
52,Surat,93,5.2,54,3,0,0,10,0.6,39,2.2,26,1.4,13,0.7,17,0.9,0,0,66,3.7,456,25.3,1683,93.5,134,7.4,103,5.7,195,10.8,4,0.2,1918,106.6,4772,265.1
53,Vadodara,35,2.7,13,1,1,0.1,13,1,41,3.2,37,2.9,4,0.3,7,0.5,0,0,26,2,364,28.2,1305,101.2,265,20.5,107,8.3,249,19.3,5,0.4,2413,187.1,4844,375.5
54,Varanasi,70,6.3,112,10,8,0.7,9,0.8,43,3.8,20,1.8,23,2.1,6,0.5,3,0.3,73,6.5,184,16.4,593,52.9,119,10.6,62,5.5,41,3.7,6,0.5,870,77.7,2199,196.3
55,Vishakhapatnam,24,1.9,19,1.5,1,0.1,21,1.7,20,1.6,16,1.3,4,0.3,3,0.2,0,0,21,1.7,347,27.3,1094,86.1,13,1,49,3.9,177,13.9,11,0.9,1636,128.8,3436,270.6
