SL.No.,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic drugs & psy. Substances Act - Male,Narcotic drugs & psy. Substances Act - Female,Narcotic drugs & psy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives & Explosive Subs. Act - Male,Explosives & Explosive Subs. Act - Female,Explosives & Explosive Subs. Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential commodities Act - Male,Essential commodities Act - Female,Essential commodities Act - Total,Terrorist & Disruptive Activities Act - Male,Terrorist & Disruptive Activities Act - Female,Terrorist & Disruptive Activities Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total
21,Sikkim,34,21,34,20,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,35,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,390,3,393,477,11,488
22,Tamil Nadu,191,0,191,2587,425,3012,27259,12,27271,2,0,2,269387,83924,353311,184,139,323,809,6336,7145,421,0,1926,10,4,14,1024,24,1048,242,0,242,20,0,20,3,0,3,0,0,0,370,118,488,582887,35208,618095,885396,126190,1011586
23,Tripura,71,140,71,9,0,9,12,0,12,0,0,0,0,0,0,19,0,19,5,0,5,0,0,10182,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,5,0,5,148,0,148
24,Uttar Pradesh,37293,0,37314,7778,75,7853,223963,7,22400,21563,424,21987,35,0,35,1514,1,1515,94,177,271,1926,0,35000,11,1,12,3187,27,3214,6,0,6,54,0,54,19,0,19,0,0,0,1469,279,1748,219715,870,220585,317057,1882,318939
25,West Bengal,1477,0,1477,554,11,565,3741,0,3741,1927,36,1963,7,0,7,249,0,249,12,86,98,9978,240,0,1338,30,1368,0,0,0,48,10,58,1961,0,1961,0,0,0,40,0,40,52,15,67,601006,1244,602250,622390,1636,624026
Total (States),Total (States),59270,0,59410,21510,1091,22601,313653,150,313803,91848,4690,96538,501048,146226,647274,5304,168,5472,2730,10764,13494,34251,749,0,2316,360,2676,9324,271,9595,1028,58,1086,5627,17,5644,2720,53,2773,65,0,65,5346,1236,6582,3228089,72334,3300423,4284129,238307,4522436
26,A & N Islands,0,0,0,3,1,4,88,0,88,713,289,1002,75,0,75,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,516,2,518,1403,292,1695
27,Chandigarh,8,0,8,11,0,11,3,0,3,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,39,0,39,91,0,91
28,D & N Haveli,4,0,4,0,0,0,2,0,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,28,3,31,41,3,44
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
30,Delhi,3413,0,3413,683,64,747,7000,0,7000,4449,454,4903,0,0,0,11,0,11,116,137,253,61,0,61,73,0,73,7,0,7,8,0,8,63,0,63,53,0,53,1,0,1,27,0,27,777,14,791,16742,669,17411
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,35061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
32,Pondicherry,4,0,4,0,2,2,104,0,104,0,0,0,0,0,0,15,0,15,37,75,112,0,0,0,0,0,0,40,1,41,0,0,0,25,4,29,0,0,0,0,0,0,2,0,2,6896,196,7092,7123,278,7401
Total (UTs),Total (UTs),3429,0,3429,697,67,764,7197,0,7197,5181,743,5924,76,0,76,26,0,26,153,217,370,61,0,0,83,0,83,47,1,48,8,0,8,104,4,108,53,0,53,1,0,1,29,0,29,8256,215,8471,25401,1247,26648
Total (All -India),Total (All -India),62699,140,62839,22207,1158,23365,320850,150,321000,97029,5433,102462,501124,146226,647350,5330,168,5498,2883,10981,13864,34312,749,0,2399,0,2759,9371,272,9643,1036,58,1094,5731,21,5752,2773,53,2826,66,0,66,5375,1236,6611,3236345,72549,3308894,4309530,239554,4549084
33,Ahmedabad,196,0,196,56,3,59,8075,0,8075,0,0,0,11743,1313,13056,8,0,8,0,0,0,0,0,0,0,0,0,20,1,21,0,0,0,131,0,131,0,0,0,0,0,0,0,0,0,12276,1672,13948,32505,2989,35494
34,Bangalore,7,0,7,90,8,98,2478,0,2478,241,30,271,10,0,10,48,0,48,222,419,641,0,0,18,19,0,23,87,15,102,3,0,3,17,0,17,0,0,0,0,0,0,191,75,266,585837,1900,587737,589250,2451,591701
35,Bhopal,416,0,416,52,1,53,1912,0,1912,282,3,285,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1487,0,1487,4170,4,4174
36,Bombay,289,0,289,251,42,293,16871,30,16901,0,0,0,4728,478,5206,13,0,13,762,907,1669,0,0,56,285,0,529,7,0,7,16,3,19,115,3,118,83,3,86,0,0,0,0,0,0,202580,16391,218971,226000,18101,244101
37,Calcutta,129,0,129,173,7,180,1718,0,1718,1771,14,1785,0,0,0,21,0,21,9,80,89,18,0,0,0,0,0,0,0,0,0,0,0,55,0,55,0,0,0,0,0,0,0,0,0,591696,985,592681,595590,1086,596676
38,Coimbatore,0,0,0,182,28,210,765,0,765,0,0,0,NA,NA,NA,0,0,0,5,446,451,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20939,1990,22929,21893,2464,24357
39,Delhi,3212,0,3212,645,52,697,6719,0,6719,4306,268,4574,0,0,0,8,0,8,94,132,226,56,0,0,60,0,60,6,0,6,0,0,0,35,0,35,39,0,39,0,0,0,19,0,19,707,9,716,15906,461,16367
40,Hyderabad,108,0,108,40,0,40,1692,0,1692,471,30,501,0,0,0,19,0,19,21,43,64,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,322419,1027,323446,324771,1100,325871
41,Indore,290,0,290,60,0,60,1755,0,1755,625,0,625,0,0,0,21,0,21,14,3,17,0,0,0,3,0,3,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,61,0,61,2851,3,2854
42,Jaipur,249,2,251,32,3,35,787,0,787,132,5,137,0,0,0,0,0,0,15,4,19,0,0,2,0,0,0,12,1,13,1,0,1,8,0,8,0,0,0,0,0,0,0,0,0,296,4,300,1532,19,1551
43,Kanpur,2132,0,2132,666,10,676,834,0,834,714,22,736,0,0,0,87,1,88,0,6,6,2,0,31,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,4,9,9695,27,9722,14137,70,14207
44,Kochi,7,0,7,42,0,42,60,0,60,0,0,0,29,4,33,1,0,1,7,5,12,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1,233,0,233,384,9,393
45,Lucknow,1147,0,1147,183,1,184,412,0,412,286,1,287,0,0,0,17,0,17,14,7,21,2,0,0,0,0,0,5,0,5,1,0,1,0,0,0,1,0,1,0,0,0,22,4,26,5014,6,5020,7104,19,7123
46,Ludhiana,376,0,376,103,3,106,580,0,580,463,1,464,0,0,0,2,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,0,12,0,12,1621,4,1625
47,Madras,2,0,2,337,97,434,3000,12,3012,0,0,0,NA,NA,NA,1,0,1,74,1628,1702,0,0,0,2,0,2,5,0,5,2,0,2,0,0,0,0,0,0,0,0,0,36,14,50,56182,8887,65069,59641,10638,70279
48,Madurai,107,0,107,156,0,156,590,0,590,0,0,0,NA,NA,NA,2,0,2,0,396,396,0,0,0,8,4,12,13,0,13,9,0,9,1,0,1,0,0,0,0,0,0,16,0,16,84182,2068,86250,85084,2468,87552
49,Nagpur,533,0,533,101,15,116,7555,0,7555,0,0,0,4798,0,4798,3,0,3,3,0,3,0,0,0,0,0,0,23,0,23,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,3307,2,3309,16356,17,16373
50,Patna,181,0,181,1,0,1,305,0,305,95,26,121,0,0,0,31,0,31,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,13,121,25,0,25,749,42,791
51,Pune,69,0,69,56,0,56,1137,4,1141,0,0,0,5104,1319,6423,11,0,11,0,0,0,0,0,0,74,21,95,1,0,1,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3220,10,3230,9680,1354,11034
52,Surat,118,0,118,17,2,19,2403,0,2403,0,0,0,12023,14637,26660,15,9,24,6,4,10,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6664,311,6975,21250,14963,36213
53,Vadodara,27,0,27,64,11,75,1389,1,1390,0,0,0,5087,551,5638,8,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,2728,166,2894,9312,729,10041
54,Varanasi,618,0,618,479,3,482,220,0,220,156,0,156,0,0,0,59,0,59,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,21,4,25,511,0,511,2073,7,2080
55,Vishakhapatnam,2,0,2,0,1,1,1336,24,1360,68,3,71,0,0,0,9,0,9,40,77,117,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33992,879,34871,35448,986,36434
