SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
30,Delhi,65,43.2,5,3.8,0,0,7,2.5,0,0,25,6,275,75.9,377,131.4
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2
Total (UTs),Total (UTs),70,43.4,6,4.4,0,0,7,2.5,0,0,25,6,289,84.2,397,140.4
Total (All -India),Total (All -India),6189,1073.7,5636,1415.7,13,2.5,504,53.2,59,69.5,823,245.3,10709,2582.6,23933,5442.4
33,Ahmedabad,16,5,0,0,0,0,0,0,0,0,9,0.2,109,36.1,134,41.3
34,Bangalore,128,18.1,2,0.3,0,0,0,0,0,0,40,6.7,406,72.8,576,97.9
35,Bhopal,0,0,0,0,0,0,0,0,0,0,26,0.3,106,10.4,132,10.7
36,Bombay,139,114.6,4,36.9,0,0,0,0,0,0,104,83.4,507,478.4,754,713.3
37,Calcutta,16,9.3,47,21,0,0,0,0,0,0,37,19.1,54,27.7,154,77.1
38,Coimbatore,1,0,0,0,0,0,0,0,0,0,0,0,14,1.7,15,1.7
39,Delhi,58,42.6,5,3.8,0,0,7,2.5,0,0,17,5.8,241,75.4,328,130.1
40,Hyderabad,72,40.5,0,0,0,0,0,0,0,0,0,0,0,0,72,40.5
41,Indore,2,0.1,0,0,0,0,0,0,0,0,4,0.2,74,22.5,80,22.8
42,Jaipur,4,0.9,0,0,0,0,0,0,0,0,4,1.1,56,16,64,18
43,Kanpur,48,9.7,129,27.4,0,0,0,0,0,0,4,0.2,12,3.1,193,40.5
44,Kochi,1,0.2,3,0.1,0,0,0,0,0,0,0,0,6,1.2,10,1.5
45,Lucknow,45,6.4,155,31.7,0,0,0,0,2,3.1,3,0.3,17,0.3,222,41.8
46,Ludhiana,3,6.3,0,0,0,0,0,0,0,0,1,0,3,0.2,7,6.6
47,Madras,5,1,0,0,0,0,0,0,0,0,8,8.6,50,13,63,22.6
48,Madurai,7,0.9,4,0.1,0,0,0,0,0,0,3,0,28,1.6,42,2.6
49,Nagpur,9,0.3,0,0,0,0,0,0,0,0,48,0.6,219,17,276,17.9
50,Patna,90,2.1,85,1.2,0,0,0,0,0,0,0,0,0,0,175,3.2
51,Pune,14,2.7,4,1.2,1,0.2,0,0,0,0,5,0.3,78,9.7,102,14.1
52,Surat,22,6.6,2,0.2,0,0,0,0,0,0,5,0.7,37,10.2,66,17.7
53,Vadodara,3,0.6,0,0,0,0,0,0,0,0,2,0.1,21,3.2,26,3.9
54,Varanasi,49,6.2,11,3.1,0,0,0,0,1,1.5,0,0,12,8.4,73,19.2
55,Vishakhapatnam,15,3.2,1,1,0,0,0,0,0,0,0,0,5,1.7,21,6
