SL. No.,State/UT/City,Murder - 1993,Murder - 1994,Murder - Percentage Variation,Attempt to Commit Murder - 1993,Attempt to Commit Murder - 1994,Attempt to Commit Murder - Percentage Variation,C.H. not Amounting to Murder - 1993,C.H. not Amounting to Murder - 1994,C.H. not Amounting to Murder - Percentage Variation,Rape - 1993,Rape - 1994,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1993,Kidnapping & Abduction - Total - 1994,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - of Women & Girls - 1993,Kidnapping & Abduction - of Women & Girls - 1994,Kidnapping & Abduction - of Women & Girls - Percentage Variation,Kidnapping & Abduction - of Others - 1993,Kidnapping & Abduction - of Others - 1994,Kidnapping & Abduction - of Others - Percentage Variation,Dacoity - 1993,Dacoity - 1994,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1993,Preparation and Assembly for Dacoity - 1994,Preparation and Assembly for Dacoity - Percentage Variation,Robber - 1993,Robber - 1994,Robber - Percentage Variation,Burglary - 1993,Burglary - 1994,Burglary - Percentage Variation,Theft - 1993,Theft - 1994,Theft - Percentage Variation,Riots - 1993,Riots - 1994,Riots - Percentage Variation,Criminal Breach of Trust - 1993,Criminal Breach of Trust - 1994,Criminal Breach of Trust - Percentage Variation,Cheating - 1993,Cheating - 1994,Cheating - Percentage Variation,Counterfeiting - 1993,Counterfeiting - 1994,Counterfeiting - Percentage Variation,Other IPC Crimes - `1993,Other IPC Crimes - 1994,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1993,Total Cognizable Crimes Under IPC - 1994,Total Cognizable Crimes Under IPC - Percentage Variation
35,Bhopal,55,51,-7.3,132,138,4.5,9,2,-77.8,39,62,59,42,30,-28.6,42,30,-28.6,0,0,NA,8,2,-75,0,2,-50,120,132,10,495,634,28.1,1211,1402,15.8,65,58,-10.8,10,16,60,59,79,33.9,7,7,0,3532,5105,44.5,5784,7720,33.5
36,Bombay,687,354,-48.5,354,229,-35.3,7,5,-28.6,131,150,14.5,220,234,6.4,104,146,40.4,116,88,-24.1,117,113,-3.4,39,57,NA,824,754,-8.5,2855,2707,-5.2,13470,13484,0.1,772,233,-69.8,559,565,1.1,1054,1243,17.9,152,57,-62.5,14446,15190,5.2,35687,35375,-0.9
37,Calcutta,70,77,10,118,124,5.1,12,22,83.3,33,36,9.1,123,90,-26.8,96,71,-26,27,19,-29.6,38,35,-7.9,29,33,46.2,163,154,-5.5,228,174,-23.7,5405,4897,-9.4,467,413,-11.6,294,257,-12.6,650,630,-3.1,104,34,-67.3,4472,4425,-1.1,12206,11401,-6.6
38,Coimbatore,16,23,43.8,24,21,-12.5,0,0,NA,0,1,NA,10,5,-50,8,3,-62.5,2,2,0,3,0,-100,0,0,13.8,21,15,-28.6,263,230,-12.5,1163,778,-33.1,235,229,-2.6,18,8,-55.6,50,20,-60,73,93,27.4,1370,1663,21.4,3246,3086,-4.9
39,Delhi,396,396,0,401,393,-2,57,62,8.8,270,252,-6.7,727,916,26,518,619,19.5,209,297,42.1,24,11,-54.2,18,12,NA,277,328,18.4,1292,1442,11.6,12560,12654,0.7,186,149,-19.6,577,527,-8.7,1274,1338,5,98,95,-3.1,15642,15903,1.7,33799,34478,2
40,Hyderabad,103,99,-3.9,107,31,-71,7,2,-71.4,43,49,14,76,108,42.1,25,67,168,51,41,-19.6,14,7,-50,0,0,-33.3,114,72,-36.8,1180,1327,12.5,3374,3243,-3.9,170,173,1.8,65,84,29.2,448,586,30.8,12,12,0,3452,4063,17.7,9165,9856,7.5
41,Indore,67,89,32.8,155,134,-13.5,0,1,NA,21,29,38.1,28,33,17.9,28,31,10.7,0,2,NA,2,2,0,0,1,NA,99,80,-19.2,801,745,-7,2336,2499,7,73,67,-8.2,24,37,54.2,80,113,41.3,0,0,NA,4708,5139,9.2,8394,8969,6.9
42,Jaipur,49,63,28.6,35,36,2.9,3,1,-66.7,28,22,-21.4,169,145,-14.2,151,125,-17.2,18,20,11.1,0,4,NA,0,0,NA,76,64,-15.8,618,771,24.8,2179,2489,14.2,1244,1216,-2.3,139,164,18,479,810,69.1,71,118,66.2,4345,4905,12.9,9435,10808,14.6
43,Kanpur,271,297,9.6,259,216,-16.6,21,25,19,31,31,0,185,211,14.1,105,117,11.4,80,94,17.5,34,36,5.9,14,6,NA,240,193,-19.6,641,415,-35.3,1909,1593,-16.6,319,203,-36.4,299,300,0.3,276,254,-8,149,109,-26.8,2489,2687,8,7137,6576,-7.9
44,Kochi,9,25,177.8,11,8,-27.3,1,3,200,5,7,40,5,7,40,3,6,100,2,1,-50,0,4,NA,0,0,-57.1,11,10,-9.1,281,227,-19.2,302,262,-13.2,178,212,19.1,19,12,-36.8,98,113,15.3,3,3,0,2477,3227,30.3,3400,4120,21.2
45,Lucknow,103,177,71.8,155,194,25.2,18,16,-11.1,40,33,-17.5,85,142,67.1,5,116,2220,80,26,-67.5,24,32,33.3,8,12,NA,158,222,40.5,821,994,21.1,2584,3096,19.8,230,290,26.1,204,257,26,333,277,16.8,11,2,-81.8,2172,2533,16.6,6946,8277,19.2
46,Ludhiana,26,40,53.8,31,30,-3.2,3,6,100,3,11,266.7,11,25,127.3,8,10,25,3,15,400,1,0,-100,6,7,50,4,7,75,97,112,15.5,125,155,24,1,4,300,11,13,18.2,9,41,355.6,4,2,-50,314,398,26.8,646,851,31.7
47,Madras,100,94,-6,265,256,-3.4,3,10,233.3,17,14,-17.6,12,25,108.3,12,25,108.3,0,0,NA,1,4,300,0,0,16.7,71,63,-11.3,530,453,-14.5,4393,2829,-35.6,118,68,-42.4,263,267,1.5,368,364,-1.1,107,68,-36.4,2688,1472,-45.2,8936,5987,-33
48,Madurai,26,26,0,20,80,300,0,0,NA,4,4,0,21,12,-42.9,21,12,-42.9,0,0,NA,0,4,NA,0,0,NA,24,42,75,181,171,-5.5,871,977,12.2,109,157,44,13,30,130.8,44,99,125,106,93,-12.3,1516,2142,41.3,2935,3837,30.7
49,Nagpur,110,87,-20.9,55,60,9.1,3,3,0,53,46,-13.2,71,61,-14.1,59,44,-25.4,12,17,41.7,6,8,33.3,3,0,NA,348,276,-20.7,915,846,-5.6,3452,2648,-23.3,124,127,2.4,121,69,-43,225,135,-40,8,12,50,4545,4211,-7.3,10039,8607,-14.3
50,Patna,161,224,39.1,251,240,-4.4,21,19,-9.5,15,25,66.7,96,122,27.1,22,10,-54.5,74,112,51.4,16,63,293.8,8,24,-100,156,175,12.2,401,471,17.5,1922,1763,-8.3,260,312,20,141,179,27,101,113,11.9,2,0,-100,2195,1555,-29.2,5746,5285,-8
51,Pune,71,92,29.6,68,37,-45.6,3,3,0,47,52,10.6,58,54,-6.9,36,34,-5.6,22,20,-9.1,6,15,150,2,0,200,124,102,-17.7,898,839,-6.6,2692,2035,-24.4,85,78,-8.2,70,63,-10,246,172,-30.1,17,18,5.9,5438,5284,-2.8,9825,8844,-10
52,Surat,89,93,4.5,49,54,10.2,1,0,-100,14,10,-28.6,49,39,-20.4,35,26,-25.7,14,13,-7.1,29,17,-41.4,0,0,-100,60,66,10,411,456,10.9,1421,1683,18.4,167,134,-19.8,61,103,68.9,162,195,20.4,1,4,300,2022,1918,-5.1,4536,4772,5.2
53,Vadodara,41,35,-14.6,13,13,0,2,1,-50,11,13,18.2,36,41,13.9,34,37,8.8,2,4,100,3,7,133.3,0,0,NA,21,26,23.8,348,364,4.6,1368,1305,-4.6,318,265,-16.7,112,107,-4.5,215,249,15.8,11,5,-54.5,2672,2413,-9.7,5171,4844,-6.3
54,Varanasi,62,70,12.9,131,112,-14.5,8,8,0,12,9,-25,54,43,-20.4,41,20,-51.2,13,23,76.9,10,6,-40,8,3,NA,60,73,21.7,245,184,-24.9,727,593,-18.4,101,119,17.8,76,62,-18.4,77,41,-46.8,27,6,-77.8,976,870,-10.9,2574,2199,-41.6
55,Vishakhapatnam,25,24,-4,17,19,11.8,3,1,-66.7,12,21,75,20,20,0,13,16,23.1,7,4,-42.9,1,3,200,0,0,-62.5,30,21,-30,384,347,-9.6,1130,1094,-3.2,18,13,-27.8,50,49,-2,146,177,21.2,19,11,-42.1,1934,1636,-15.4,3789,3436,-9.3
