SL. No.,State/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction Total - Male,Kidnapping & Abduction Total - Female,Kidnapping & Abduction Total - Total,Kidnapping & Abduction Of Women & Girls - Male,Kidnapping & Abduction Of Women & Girls - Female,Kidnapping & Abduction Of Women & Girls - Total,Kidnapping & Abduction Of Others - Male,Kidnapping & Abduction Of Others - Female,Kidnapping & Abduction Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robber - Male,Robber - Female,Robber - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riot - Male,Riot - Female,Riot - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
32,Pondicherry,65,2,67,97,6,103,0,0,0,6,0,6,7,3,10,7,3,10,0,0,0,0,0,0,0,0,0,6,0,6,72,0,72,203,2,205,386,5,391,1,0,1,12,3,15,1,0,1,2558,168,2726,3414,189,3603
Total (UTs),Total (UTs),834,39,873,984,21,1005,292,7,299,462,1,463,603,44,647,371,33,404,232,11,243,84,0,84,53,0,53,640,0,640,1538,2,1540,6791,267,7058,2481,71,2552,309,81,390,1461,16,1477,28,0,28,24128,1121,25249,40688,1670,42358
Total (All -India),Total (All -India),82329,3487,85816,73852,1762,75614,8082,327,8409,18619,261,18880,27474,1106,28580,16658,894,17552,10816,212,11028,29519,165,29684,4675,21,4696,30118,124,30242,80324,1368,81692,192559,4787,197346,491368,19595,510963,15307,262,15569,28795,661,29456,1200,32,1232,1321681,62124,1383805,2405902,96082,2501984
33,Ahmedabad,203,18,221,188,2,190,1,0,1,25,2,27,182,5,187,114,4,118,68,1,69,61,0,61,0,0,0,177,1,178,569,16,585,1816,47,1863,1009,45,1054,117,2,119,252,3,255,26,0,26,11174,944,12118,15800,1085,16885
34,Bangalore,321,17,338,699,15,714,13,0,13,123,3,126,108,14,122,51,12,63,57,2,59,75,0,75,5,0,5,424,2,426,865,9,874,1884,81,1965,2052,62,2114,139,3,142,452,20,472,1,0,1,6270,641,6911,13431,867,14298
35,Bhopal,87,2,89,371,2,373,13,0,13,76,6,82,29,6,35,29,6,35,0,0,0,5,0,5,10,0,10,149,9,158,287,0,287,517,6,523,387,0,387,25,0,25,171,0,171,2,0,2,7776,36,7812,9905,67,9972
36,Bombay,646,32,678,411,4,415,6,0,6,192,14,206,294,14,308,176,9,185,118,5,123,398,3,401,229,1,230,751,1,752,938,16,954,4196,167,4363,3091,1423,4514,474,13,487,826,40,866,23,0,23,16539,864,17403,29014,2592,31606
37,Calcutta,127,2,129,65,2,67,19,0,19,38,0,38,73,4,77,56,4,60,17,0,17,49,0,49,81,0,81,171,0,171,133,0,133,2566,15,2581,1201,0,1201,97,0,97,263,0,263,3,0,3,4120,62,4182,9006,85,9091
38,Coimbatore,44,0,44,102,2,104,0,0,0,4,0,4,24,0,24,13,0,13,11,0,11,0,0,0,0,0,0,19,0,19,109,0,109,592,21,513,1540,281,1821,2,0,2,5,0,5,0,0,0,1655,69,1724,3996,373,4369
39,Delhi,634,23,657,644,5,649,193,0,193,396,1,397,461,24,485,381,19,400,80,5,85,67,0,67,42,0,42,537,0,537,1077,1,1078,5779,198,5977,1366,5,1371,199,62,261,1179,3,1182,19,0,19,17627,679,18306,30220,1001,31221
40,Hyderabad,186,0,186,37,0,37,1,0,1,43,0,43,105,0,105,44,0,44,61,0,61,215,0,215,0,0,0,336,0,336,1120,363,1483,1201,489,1690,236,0,236,34,0,34,249,0,249,0,0,0,1426,963,2389,5189,1815,7004
41,Indore,250,0,250,343,3,346,1,0,1,53,0,53,39,3,42,36,3,39,3,0,3,13,0,13,6,0,6,102,2,104,293,5,298,896,7,903,460,5,465,34,0,34,111,0,111,0,0,0,7466,13,7479,10067,38,10105
42,Jaipur,78,3,81,161,11,172,2,0,2,21,3,24,70,3,73,59,1,60,11,2,13,9,0,9,0,0,0,81,0,81,202,1,203,511,26,537,2254,97,2351,51,1,52,518,12,530,1,0,1,4704,176,4880,8663,333,8996
43,Kanpur,674,60,734,444,2,446,71,1,72,49,1,50,263,19,282,175,13,188,88,6,94,146,0,146,24,0,24,264,0,264,324,0,324,601,7,608,815,2,817,184,0,184,273,1,274,1,0,1,4170,127,4297,8303,220,8523
44,Kochi,32,3,35,31,0,31,2,1,3,8,0,8,8,0,8,4,0,4,4,0,4,19,0,19,0,0,0,14,0,14,121,1,122,162,2,164,1063,92,1155,9,0,9,90,3,93,0,0,0,3104,86,3190,4663,188,4851
45,Lucknow,335,34,369,314,1,315,40,1,41,65,4,69,214,19,233,182,19,201,32,0,32,124,0,124,57,0,57,262,0,262,439,2,441,657,9,666,840,9,849,119,0,119,138,2,140,0,0,0,3036,223,3259,6640,304,5944
46,Ludhiana,37,3,40,78,0,78,12,1,13,16,1,17,17,1,18,6,1,7,11,0,11,0,0,0,39,0,39,6,0,6,47,3,50,91,0,91,15,0,15,8,1,9,39,1,40,0,0,0,747,62,809,1152,73,1225
47,Madras,272,2,274,463,4,467,10,1,11,27,1,28,45,0,45,45,0,45,0,0,0,21,0,21,0,0,0,77,1,78,204,2,206,1955,24,1979,1724,159,1883,12,3,15,30,8,38,0,0,0,2581,101,282,7421,306,7727
48,Madurai,67,0,67,252,3,255,0,0,0,13,0,13,28,1,29,28,1,29,0,0,0,27,0,27,0,0,0,48,0,48,106,0,106,674,15,689,773,37,810,12,0,12,28,0,28,3,0,3,3485,256,3741,5516,312,5828
49,Nagpur,149,1,150,101,0,101,1,0,1,66,0,66,47,0,47,34,0,34,13,0,13,16,0,16,0,0,0,229,0,229,158,2,160,580,13,593,1815,12,1827,56,0,56,103,1,104,2,0,2,3908,7,3915,7231,36,7267
50,Patna,476,0,476,684,0,684,25,0,25,28,0,28,158,10,168,0,10,10,158,0,158,202,0,202,72,0,72,345,0,345,471,0,471,2124,0,2124,1604,0,1604,196,0,196,139,0,139,0,0,0,3480,315,3795,10004,325,10329
51,Pune,143,13,156,102,3,105,3,3,6,66,3,69,61,2,63,36,1,37,25,1,26,75,1,76,0,0,0,139,1,140,604,29,633,1287,87,1374,725,42,767,71,1,72,232,23,255,4,0,4,6903,1586,8489,10415,1794,12209
52,Surat,180,11,191,205,10,215,0,0,0,8,0,8,66,6,72,35,5,40,31,1,32,40,0,40,0,0,0,76,0,76,435,3,438,854,22,876,1057,63,1120,57,1,58,54,1,55,0,0,0,2218,128,2346,5250,245,5495
53,Vadodara,54,5,59,26,2,28,1,0,1,22,1,23,52,4,56,49,4,53,3,0,3,26,0,26,0,0,0,32,0,32,140,11,151,463,27,490,815,151,966,119,7,126,430,49,479,0,0,0,2810,209,3019,4990,466,546
54,Varanasi,183,0,183,211,0,211,23,0,23,41,0,41,40,0,40,28,0,28,12,0,12,10,0,10,14,0,14,66,0,66,61,0,61,124,0,124,488,0,488,59,0,59,48,0,48,3,0,3,1374,26,1400,2745,26,2771
55,Vishakhapatnam,24,2,26,26,2,28,1,0,1,19,0,19,17,1,18,8,1,9,9,0,9,9,0,9,0,0,0,22,0,22,215,7,222,639,41,680,107,2,109,34,0,34,102,5,107,0,0,0,1758,102,1860,2973,162,3135
