SL.No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Rate (R ),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Rate (R ),Gambling Act - Incidence (I),Gambling Act - Rate (R ),Excise Act - Incidence (I),Excise Act - Rate (R ),Prohibition Act - Incidence (I),Prohibition Act - Rate (R ),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Rate (R ),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R ),Indian Railways Act - Incidence (I),Indian Railways Act - Rate (R ),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Rate (R ),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R ),Indian Passport Act - Incidence (I),Indian Passport Act - Rate (R ),Essential Commodities Act - Incidence (I),Essential Commodities Act - Rate (R ),Terrorist & Disruptive Activities Act - Incidence (I),Terrorist & Disruptive Activities Act - Rate (R ),Anquity & Art Treasure Act - Incidence (I),Anquity & Art Treasure Act - Rate (R ),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R ),Other SLL Crimes - Incidence (I),Other SLL Crimes - Rate (R ),Total Cognizable Crime Under SLL - Incidence (I),Total Cognizable Crime Under SLL - Rate (R )
11,State,Kerala,132,0.4,278,0.9,894,2.9,817,2.7,471,1.5,186,0.6,53,0.2,17,0.1,11,0,49,0.2,129,0.4,82,0.3,5,0,1,0,3,0,5131,16.8,8259,27.1
12,State,Madhya Pradesh,5461,7.7,1367,1.9,20566,29.1,23205,32.8,3,0,468,0.7,4,0,12247,17.3,5,0,166,0.2,0,0,389,0.5,1,0,3,0,26,0,163476,231,227387,321.3
13,State,Maharashtra,1461,1.7,1048,1.8,39274,46.6,0,0,133495,158.4,97,0.1,909,1.1,3804,4.5,577,0.7,548,0.7,16,0,499,0.6,15,0,1,0,6,0,246353,292.3,428103,508
14,State,Manipur,64,3.2,219,11.1,89,4.5,2889,145.9,0,0,11,0.6,4,0.2,0,0,8,0.4,0,0,10,0.5,11,0.6,99,5,0,0,0,0,217,11,3621,182.9
15,State,Meghalaya,58,3,28,1.5,27,1.4,23,1.2,0,0,7,0.4,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,57,3,202,10.5
16,State,Mizoram,17,2.2,97,12.6,17,2.2,0,0,0,0,15,1.9,0,0,0,0,21,2.7,0,0,0,0,1,0.1,0,0,0,0,0,0,261,33.9,429,55.7
17,State,Nagaland,28,2.1,147,11,0,0,27,2,0,0,15,1.1,6,0.4,31,2.3,3,0.2,0,0,0,0,2,0.1,0,0,0,0,0,0,209,15.6,468,34.9
18,State,Orissa,269,0.8,192,0.6,923,2.7,1427,4.2,13,0,139,0.4,9,0,19,0.1,0,0,55,0.2,0,0,28,0.1,0,0,0,0,224,0.7,2293,6.8,5591,16.6
19,State,Punjab,1427,6.7,1737,8.2,1817,8.5,12148,57,9,0,33,0.2,4,0,151,0.7,2,0,0,0,55,0.3,173,0.8,3,0,0,0,1,0,308,1.4,17868,83.8
20,State,Rajasthan,2308,4.9,925,2,3219,6.8,3946,8.4,0,0,223,0.5,80,0.2,1188,2.5,13,0,63,0.1,124,0.3,230,0.5,2,0,1,0,1,0,8146,17.2,20469,43.3
21,State,Sikkim,33,7.3,15,3.3,0,0,0,0,0,0,3,0.7,0,0,0,0,29,6.4,0,0,0,0,3,0.7,0,0,0,0,0,0,326,72.4,409,90.9
22,State,Tamil Nadu,173,0.3,2640,4.6,21666,37.5,2,0,356291,617.1,273,0.5,5951,10.3,498,0.9,25,0,801,1.4,242,0.4,20,0,1,0,0,0,294,0.5,386837,670,775714,1343.5
23,State,Tripura,62,2.1,6,0.2,3,0.1,0,0,0,0,10,0.3,1,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,54,1.8,166,5.6
24,State,Uttar Pradesh,37246,25.2,7803,5.3,6254,4.2,21048,14.3,8,0,1477,1,27,0,1787,1.2,12,0,1483,1,6,0,61,0,15,0,0,0,538,0.4,184633,125.1,262398,177.8
25,State,West Bengal,1038,1.4,354,0.5,1145,1.6,1859,2.6,1,0,141,0.2,37,0.1,6120,8.5,563,0.8,0,0.5,20,0,1359,1.9,0,0,25,0,18,0,409073,567.5,421753,585.1
