Sr. No.,Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Railways Total - Number,Railways Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
15,State,Maharashtra,9490,3482,78,30.5,0,0,0,0,1,0,1,0,87,61.4,3471,2453.5,2750,859.8,15877,6887.2
16,State,Manipur,12,7.9,0,0,0,0,0,0,0,0,0,0,0,0,36,27.5,7,2.6,55,38
17,State,Meghalaya,58,9.4,0,0,0,0,0,0,0,0,0,0,0,0,21,26.3,61,2,140,37.7
18,State,Mizoram,136,59.8,126,23.2,0,0,0,0,0,0,0,0,0,0,84,38.2,76,35.4,422,156.6
19,State,Nagaland,44,417.5,0,0,0,0,0,0,0,0,0,0,0,0,10,2.5,16,2.2,70,422.2
20,State,Orissa,1880,330.3,2,1.3,0,0,0,0,36,1.3,36,1.3,23,24.6,591,239,588,245.3,3120,841.7
21,State,Punjab,1206,702.1,1,1.5,0,0,0,0,0,0,0,0,30,20.4,452,245.6,588,183.1,2277,1152.7
22,State,Rajasthan,2949,697.3,0,0,0,0,0,0,0,0,0,0,21,1.2,1128,364.2,987,303.9,5085,1366.6
23,State,Sikkim,55,20.6,0,0,0,0,0,0,0,0,0,0,0,0,13,3.9,16,2.6,84,27
24,State,Tamil Nadu,2230,713.4,2,1.6,0,0,0,0,2,0.1,2,0.1,7,1.2,454,217.3,605,316.8,3300,1250.3
25,State,Tripura,101,21.5,0,0,0,0,0,0,0,0,0,0,0,0,42,18.9,39,8.5,182,48.9
26,State,Uttar Pradesh,3138,1937.1,0,0,0,0,0,0,0,0,0,0,0,0,280,113,1159,268.9,4577,2319
27,State,Uttaranchal,349,115.4,0,0,0,0,0,0,0,0,0,0,0,0,52,11.8,69,15.1,470,142.3
28,State,West Bengal,273,71.4,1,0.3,0,0,0,0,0,0,0,0,4,19.2,29,14.4,294,27,601,132.2
State,State,Total (States),58637,18409.8,563,106.8,6,0.9,13,1.8,103,7.3,116,9.1,387,532.8,14350,7316.3,15199,4743.1,89258,31118.6
29,Union Territory,A & N Islands,50,17.2,0,0,0,0,0,0,0,0,0,0,0,0,12,5.3,20,3.5,82,26.1
30,Union Territory,Chandigarh,107,30.2,0,0,0,0,0,0,0,0,0,0,0,0,72,36.5,10,1.4,189,68.1
31,Union Territory,D & N Haveli,15,4.5,0,0,0,0,0,0,0,0,0,0,0,0,16,20.7,10,12.2,41,37.5
32,Union Territory,Daman & Diu,24,24.6,0,0,0,0,0,0,0,0,0,0,0,0,29,38.1,7,0.9,60,63.7
33,Union Territory,Delhi,1096,599.7,0,0,0,0,0,0,0,0,0,0,6,5.4,216,153.4,632,385.5,1950,1144
34,Union Territory,Lakshadweep,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3
35,Union Territory,Pondicherry,50,14.2,0,0,0,0,0,0,0,0,0,0,0,0,27,10.1,7,0.5,84,24.8
Union Territory,Union Territory,Total (UTs),1344,690.8,0,0,0,0,0,0,0,0,0,0,6,5.4,372,264.2,686,404.1,2408,1364.4
Total (All-India),Total (All-India),Total (All-India),59981,19100.6,563,106.8,6,0.9,13,1.8,103,7.3,116,9.1,393,538.1,14722,7580.5,15885,5147.2,91666,32483
36,City,Agra,166,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5.8,206,40
37,City,Ahmedabad,464,311,0,0,0,0,0,0,0,0,0,0,3,22.9,223,114.9,112,49.1,802,497.9
38,City,Allahabad,90,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.1,98,28.7
39,City,Amritsar,95,100.1,0,0,0,0,0,0,0,0,0,0,3,0,19,10.4,8,4.4,125,114.9
40,City,Asansol,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,9,0.5
41,City,Bangalore,1209,678.6,0,0,0,0,0,0,0,0,0,0,8,0.6,333,280.2,116,54.2,1666,1013.6
42,City,Bhopal,692,114.5,0,0,0,0,0,0,0,0,0,0,0,0,52,13,0,0,744,127.6
43,City,Chennai,426,167.9,0,0,0,0,0,0,0,0,0,0,0,0,61,28.3,73,49.1,560,245.2
44,City,Coimbatore,90,28.2,0,0,0,0,0,0,0,0,0,0,0,0,70,24.9,21,0.7,181,53.8
45,City,Delhi (city),956,534.6,0,0,0,0,0,0,0,0,0,0,5,4.9,212,150,594,347.1,1767,1036.6
46,City,Dhanbad,89,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,3.4
47,City,Faridabad,248,69.2,0,0,0,0,0,0,0,0,0,0,0,0,92,24.7,29,5,369,98.8
48,City,Hyderabad,896,257.9,0,0,0,0,0,0,0,0,0,0,0,0,212,635.8,78,2.1,1186,895.8
49,City,Indore,602,110.9,0,0,0,0,0,0,0,0,0,0,0,0,113,25,68,12.4,783,148.2
50,City,Jabalpur,285,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,56.1
51,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,194.9,682,194.9
52,City,Jamshedpur,150,45.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,4,0.6,159,47.1
53,City,Kanpur,139,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8.5,172,56
54,City,Kochi,93,50.4,0,0,0,0,0,0,0,0,0,0,0,0,46,24.6,48,25.8,187,100.7
55,City,Kolkata,69,41.1,0,0,0,0,0,0,0,0,0,0,0,0,19,12.2,27,8.5,115,61.8
56,City,Lucknow,346,90.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,13.8,399,104.2
57,City,Ludhiana,99,28.8,0,0,0,0,0,0,0,0,0,0,0,0,62,72.6,24,0.5,185,101.9
58,City,Madurai,33,19.1,0,0,0,0,0,0,0,0,0,0,0,0,12,9.8,17,2.8,62,31.7
59,City,Meerut,43,15.6,0,0,0,0,0,0,0,0,0,0,0,0,31,3.5,12,1.3,86,20.4
60,City,Mumbai,1522,1151.8,27,15.8,0,0,0,0,0,0,0,0,5,21.6,1160,1331.6,397,367.2,3111,2887.9
61,City,Nagpur,865,230.3,0,0,0,0,0,0,0,0,0,0,8,2.9,310,102.9,92,4.1,1275,340.2
62,City,Nasik,278,110.3,0,0,0,0,0,0,0,0,0,0,7,26.9,60,16.7,93,27.1,438,181
63,City,Patna,323,1.8,0,0,0,0,0,0,0,0,0,0,0,0,32,1,176,1.4,531,4.2
64,City,Pune,728,341,0,0,0,0,0,0,0,0,0,0,8,1.1,250,221.9,61,17.1,1047,581
65,City,Rajkot,179,675.7,0,0,0,0,0,0,0,0,0,0,0,0,52,219.4,29,120.5,260,1015.6
66,City,Surat,325,187.9,0,0,0,0,0,0,0,0,0,0,1,0,42,16.7,132,38.8,500,243.4
67,City,Vadodara,348,135.4,0,0,0,0,0,0,0,0,0,0,6,0.2,102,44.4,26,19.3,482,199.3
68,City,Varanasi,78,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.2,94,22
69,City,Vijayawada,311,65.6,0,0,0,0,0,0,0,0,0,0,0,0,69,9.4,12,3.6,392,78.6
70,City,Vishakhapatnam,196,62.7,0,0,0,0,0,0,0,0,0,0,1,0,150,78.3,70,17.2,417,158.2
