Sr. No.,Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Railways Total - Number,Railways Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
36,City,Agra,731,94.8,124,113.4,0,0,0,0,0,0,0,0,0,0,0,0,455,64.1,1310,272.3
37,City,Ahmedabad,1322,547.4,0,0,0,0,0,0,0,0,0,0,1,0.1,1031,227.1,3034,573.9,5388,1348.4
38,City,Allahabad,83,13.5,203,78.8,0,0,0,0,0,0,0,0,0,0,0,0,84,9.6,370,101.9
39,City,Amritsar,33,50.6,0,0,0,0,0,0,0,0,0,0,0,0,77,53.2,214,113.9,324,217.7
40,City,Asansol,14,22.5,2,0.8,0,0,0,0,0,0,0,0,0,0,5,3.2,133,30.3,154,56.9
41,City,Bangalore,2168,756.4,47,11.5,0,0,0,0,0,0,0,0,4,0.4,673,318.2,4462,1263.7,7354,2350.2
42,City,Bhopal,422,54.1,0,0,0,0,0,0,0,0,0,0,0,0,95,23.1,905,196.5,1422,273.7
43,City,Chennai,790,167.9,0,0,0,0,0,0,0,0,0,0,0,0,204,44.5,1369,415.7,2363,628.1
44,City,Coimbatore,103,20.3,0,0,0,0,0,0,0,0,0,0,0,0,466,85.5,323,24,892,129.8
45,City,Delhi (city),4134,2195.4,0,0,0,0,83,6.9,864,226.4,947,233.3,2,0.5,618,923.2,10823,250.8,16524,3603.3
46,City,Dhanbad,209,18.8,0,0,0,0,0,0,0,0,0,0,0,0,51,7.9,8,0.2,268,26.9
47,City,Faridabad,243,165.9,0,0,0,0,0,0,0,0,0,0,0,0,340,94.8,658,213.3,1241,474
48,City,Hyderabad,2098,669.1,0,0,0,0,0,0,0,0,0,0,0,0,600,139.2,1710,574.8,4408,1383.1
49,City,Indore,1343,261.9,0,0,0,0,0,0,0,0,0,0,0,0,267,156.6,1434,223,3044,641.5
50,City,Jabalpur,425,90.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,53,679,143.8
51,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3614,1082.7,3614,1082.7
52,City,Jamshedpur,274,73,2,0.7,0,0,0,0,11,1,11,1,0,0,58,23.4,328,41.9,673,139.9
53,City,Kanpur,275,95.8,340,88.7,0,0,0,0,0,0,0,0,0,0,63,4.6,159,7.1,837,196.1
54,City,Kochi,68,72.6,0,0,0,0,0,0,0,0,0,0,0,0,116,33.9,156,79.7,340,186.1
55,City,Kolkata,678,230,0,0,0,0,0,0,0,0,0,0,0,0,467,128.3,1421,701.3,2566,1059.6
56,City,Lucknow,453,120.6,919,266.2,0,0,0,0,0,0,0,0,0,0,10,3.9,739,136.8,2121,527.5
57,City,Ludhiana,174,99.4,0,0,0,0,0,0,0,0,0,0,0,0,34,1.5,282,285.8,490,386.8
58,City,Madurai,31,6.6,0,0,1,0,0,0,0,0,0,0,0,0,16,2.3,391,49.3,439,58.3
59,City,Meerut,39,13.4,394,35.1,0,0,0,0,0,0,0,0,0,0,28,13.6,136,11,597,73.1
60,City,Mumbai,1826,1190.4,416,355.9,0,0,0,0,0,0,0,0,8,0.6,1426,1155.4,8009,6763.1,11685,9465.4
61,City,Nagpur,251,73.3,0,0,0,0,0,0,0,0,0,0,1,0.5,141,40.2,2209,773.3,2602,887.2
62,City,Nasik,95,35.5,0,0,0,0,0,0,0,0,0,0,4,1.2,361,170.2,465,146.1,925,352.9
63,City,Patna,1055,9.3,0,0,0,0,0,0,0,0,0,0,0,0,42,2.8,81,5.3,1178,17.4
64,City,Pune,393,166.5,0,0,0,0,0,0,0,0,0,0,11,36,399,93.6,3265,1379.6,4068,1675.7
65,City,Rajkot,174,97.7,0,0,0,0,0,0,0,0,0,0,4,4.8,211,181.8,329,134.8,718,419.2
66,City,Surat,948,37.9,0,0,0,0,0,0,0,0,0,0,0,0,527,148.1,731,722.2,2206,908.1
67,City,Vadodara,255,64.3,0,0,0,0,0,0,0,0,0,0,6,0.9,158,30.5,900,304.7,1319,400.5
68,City,Varanasi,34,5.6,505,79,0,0,0,0,0,0,0,0,0,0,24,2.2,90,6.6,653,93.5
69,City,Vijayawada,291,31.8,19,2.2,0,0,0,0,0,0,0,0,2,1,78,9.6,1105,158.2,1495,202.8
70,City,Vishakhapatnam,368,78.5,0,0,0,0,0,0,0,0,0,0,0,0,439,81.7,314,26.3,1121,186.6
