Sr. No.,Category,States/UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Running Train - Number,Railways Running Train - Value,Railways Others in Railways - Number,Railways Others in Railways - Value,Railways Total - Number,Railways Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
36,City,Agra,2,0.8,19,11.6,0,0,0,0,0,0,0,0,0,0,0,0,54,10.1,75,22.5
37,City,Ahmedabad,23,14,0,0,0,0,0,0,0,0,0,0,0,0,38,22.7,111,44.2,172,80.9
38,City,Allahabad,2,1.3,11,5.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7,16,7.6
39,City,Amritsar,7,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6.9,16,20.6
40,City,Asansol,2,2.6,1,0.4,0,0,0,0,0,0,0,0,0,0,1,0.9,13,1.1,17,5
41,City,Bangalore,128,95,16,6.9,0,0,0,0,0,0,0,0,8,10.1,38,25.8,457,235.6,647,373.5
42,City,Bhopal,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,17,134,17.1
43,City,Chennai,13,6.2,0,0,0,0,0,0,0,0,0,0,0,0,2,16.8,43,1.9,58,24.9
44,City,Coimbatore,6,4.3,0,0,0,0,0,0,0,0,0,0,0,0,4,4.7,14,2.8,24,11.9
45,City,Delhi (city),51,199,2,13.4,0,0,1,0.3,1,0.1,2,0.4,1,40,23,55.4,401,187.9,480,496
46,City,Dhanbad,3,3,16,7,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.3,21,10.5
47,City,Faridabad,4,1.3,1,0.3,0,0,0,0,0,0,0,0,0,0,6,1.4,25,24.4,36,27.4
48,City,Hyderabad,9,7.9,0,0,0,0,0,0,0,0,0,0,0,0,6,5.3,84,73.5,99,86.7
49,City,Indore,53,17.2,8,13.8,0,0,0,0,0,0,0,0,0,0,13,1.7,21,74.7,95,107.3
50,City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7.1,73,7.1
51,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19.5,46,19.5
52,City,Jamshedpur,8,5.9,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,9,5,18,11.2
53,City,Kanpur,7,3.4,40,14.3,0,0,0,0,0,0,0,0,0,0,0,0,16,6.2,63,23.9
54,City,Kochi,8,0.4,3,0.1,0,0,0,0,0,0,0,0,0,0,5,1.2,28,6.5,44,8.1
55,City,Kolkata,6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,5,4.8,40,56.7,51,65.1
56,City,Lucknow,1,0.1,14,2.7,0,0,0,0,0,0,0,0,0,0,0,0,201,9.2,216,12.1
57,City,Ludhiana,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.8,7,8.9,13,39.7
58,City,Madurai,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.4,7,1.8
59,City,Meerut,9,6,18,16.4,0,0,0,0,0,0,0,0,0,0,0,0,15,20.4,42,42.8
60,City,Mumbai,35,40.1,19,23.7,0,0,0,0,0,0,0,0,2,3.8,29,45.4,207,284.7,292,397.7
61,City,Nagpur,17,9.8,0,0,0,0,0,0,0,0,0,0,0,0,21,5.1,131,21.6,169,36.5
62,City,Nasik,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,6,1.7,38,32.3,48,34.3
63,City,Patna,123,8.8,0,0,0,0,0,0,0,0,0,0,1,5,8,9.3,339,89.3,471,112.3
64,City,Pune,14,12.6,7,10.6,0,0,0,0,0,0,0,0,1,3.6,24,26.4,173,71.9,219,125.1
65,City,Rajkot,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,5.2,26,5.4
66,City,Surat,36,14,1,0,0,0,0,0,0,0,0,0,0,0,13,5.5,22,8.1,72,27.6
67,City,Vadodara,8,2.6,4,22.4,0,0,0,0,0,0,0,0,0,0,5,2.4,18,5.5,35,32.8
68,City,Varanasi,1,15,17,14.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,22,29.2
69,City,Vijayawada,10,0.4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,3.7,34,4.2
70,City,Vishakhapatnam,12,3.6,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,14,4.3,27,8.2
