Sr. No.,Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Railways Act - Incidence,Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women(P) Act - Incidence,Indecent Representation of Women(P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev) of Attrocities Act for SCs - Incidence,SC/ST (Prev) of Attrocities Act for SCs - Rate,SC/ST (Prev) of Attrocities Act for STs - Incidence,SC/ST (Prev) of Attrocities Act for STs - Rate,SC/ST (Prev. of Atrocities) Act (Total) - Incidence,SC/ST (Prev. of Atrocities) Act (Total) - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
29,Union Territory,A & N Islands,0,0,1,0.3,20,5.1,5725,1445.7,77,19.4,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,177,6526,1648
30,Union Territory,Chandigarh,6,0.6,181,17.7,323,31.6,297,29.1,0,0,3,0.3,3,0.3,0,0,2,0.2,0,0,0,0,0,0,1,0.1,7,0.7,0,0,0,0,0,0,0,0,0,0,11,1.1,0,0,1,0.1,0,0,1,0.1,0,0,82,8,917,89.8
31,Union Territory,D & N Haveli,0,0,0,0,1,0.4,6,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,9,3.6
32,Union Territory,Daman & Diu,1,0.6,0,0,1,0.6,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7
33,Union Territory,Delhi,9020,55.6,1494,9.2,1505,9.3,15122,93.2,0,0,44,0.3,112,0.7,0,0,26,0.2,0,0,0,0,0,0,41,0.3,45,0.3,0,0,2,0,15,0.1,0,0,1,0,189,1.2,0,0,21,0.1,0,0,21,0.1,0,0,2735,16.9,30372,187.1
34,Union Territory,Lakshadweep,0,0,2,3,0,0,0,0,9,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,19.4
35,Union Territory,Pondicherry,73,7,2,0.2,45,4.3,0,0,0,0,6,0.6,8,0.8,0,0,0,0,14,1.3,0,0,14,1.3,0,0,22,2.1,0,0,0,0,2,0.2,0,0,0,0,11,1.1,0,0,0,0,0,0,0,0,0,0,814,77.7,997,95.2
Union Territory,Union Territory,Total (UTs),9100,47.4,1680,8.8,1895,9.9,21150,110.2,86,0.4,54,0.3,124,0.6,0,0,28,0.1,14,0.1,0,0,14,0.1,42,0.2,75,0.4,0,0,2,0,17,0.1,0,0,1,0,213,1.1,0,0,22,0.1,0,0,22,0.1,0,0,4334,22.6,38837,202.4
Total (All-India),Total (All-India),Total (All-India),76562,6.8,31044,2.8,173930,15.5,146973,13.1,315883,28.2,4067,0.4,4541,0.4,189,0,2133,0.2,405,0,49,0,454,0,940,0.1,8319,0.7,0,0,31,0,4504,0.4,99,0,1562,0.1,7188,0.6,0,0,8581,0.8,1232,0.1,9813,0.9,4347,0.4,2431588,217.1,3224167,287.9
36,City,Agra,507,38.4,213,16.1,380,28.8,62,4.7,0,0,5,0.4,12,0.9,0,0,0,0,0,0,0,0,0,0,2,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,39,3,0,0,48,3.6,0,0,48,3.6,2,0.2,21816,1651.5,23087,1747.7
37,City,Ahmedabad,45,1,11,0.2,920,20.4,0,0,6884,152.3,10,0.2,3,0.1,0,0,0,0,3,0.1,0,0,3,0.1,0,0,21,0.5,0,0,0,0,0,0,0,0,0,0,106,2.3,0,0,34,0.8,0,0,34,0.8,0,0,2977,65.9,11014,243.7
38,City,Allahabad,300,28.6,182,17.3,68,6.5,162,15.4,0,0,199,19,8,0.8,1,0.1,0,0,0,0,0,0,0,0,0,0,19,1.8,0,0,0,0,72,6.9,0,0,0,0,5,0.5,0,0,4,0.4,0,0,4,0.4,28,2.7,50832,4841.1,51880,4941
39,City,Amritsar,27,2.7,237,23.4,89,8.8,212,21,0,0,2,0.2,9,0.9,0,0,1,0.1,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,25,2.5,0,0,2,0.2,0,0,2,0.2,0,0,1,0.1,607,60
40,City,Asansol,22,2,4,0.4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,0,0,0,0,0,13,1.2,0,0,0,0,0,0,0,0,0,0,19,1.7,73,6.7
41,City,Bangalore,9,0.2,33,0.6,200,3.5,500,8.8,0,0,6,0.1,480,8.4,0,0,11,0.2,1,0,0,0,1,0,19,0.3,19,0.3,0,0,0,0,265,4.7,3,0.1,0,0,232,4.1,0,0,103,1.8,0,0,103,1.8,22,0.4,1003,17.6,2906,51.1
42,City,Bhopal,801,55.1,61,4.2,1925,132.3,598,41.1,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0,0,0,0,1,0.1,0,0,0,0,24,1.6,0,0,41,2.8,1,0.1,42,2.9,0,0,25,1.7,3486,239.6
43,City,Chennai,3,0,143,2.2,1001,15.6,0,0,1182,18.4,4,0.1,135,2.1,0,0,0,0,0,0,0,0,0,0,217,3.4,6,0.1,0,0,0,0,2,0,1,0,0,0,231,3.6,0,0,15,0.2,0,0,15,0.2,0,0,55760,867.9,58700,913.6
44,City,Coimbatore,2,0.1,184,12.7,510,35.3,0,0,71,4.9,1,0.1,127,8.8,0,0,4,0.3,0,0,0,0,0,0,12,0.8,11,0.8,0,0,0,0,0,0,0,0,3,0.2,36,2.5,0,0,4,0.3,0,0,4,0.3,0,0,3187,220.4,4152,287.1
45,City,Delhi (city),8432,65.9,1458,11.4,1465,11.5,13640,106.6,0,0,43,0.3,109,0.9,0,0,24,0.2,0,0,0,0,0,0,41,0.3,35,0.3,0,0,2,0,14,0.1,0,0,1,0,181,1.4,0,0,20,0.2,0,0,20,0.2,0,0,2531,19.8,27996,218.9
46,City,Dhanbad,11,1,13,1.2,13,1.2,16,1.5,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.7,0,0,0,0,13,1.2,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0.1,0,0,54,5.1,129,12.1
47,City,Faridabad,91,8.6,15,1.4,232,22,683,64.7,0,0,2,0.2,6,0.6,0,0,6,0.6,0,0,0,0,0,0,3,0.3,14,1.3,0,0,0,0,3,0.3,0,0,0,0,10,0.9,0,0,19,1.8,0,0,19,1.8,1,0.1,78,7.4,1163,110.2
48,City,Hyderabad,79,1.4,17,0.3,71,1.3,80,1.4,357,6.5,8,0.1,88,1.6,0,0,3,0.1,5,0.1,0,0,5,0.1,59,1.1,3,0.1,0,0,1,0,11,0.2,0,0,0,0,249,4.5,0,0,94,1.7,0,0,94,1.7,3,0.1,1198,21.6,2326,42
49,City,Indore,778,47.5,23,1.4,1425,86.9,966,58.9,0,0,5,0.3,4,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,32,2,0,0,0,0,2,0.1,0,0,0,0,28,1.7,0,0,0,0,0,0,0,0,0,0,66,4,3330,203.2
50,City,Jabalpur,718,64.3,56,5,1996,178.7,1206,108,0,0,44,3.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,28,2.5,12,1.1,40,3.6,1,0.1,32406,2901.2,36478,3265.7
51,City,Jaipur,363,15.6,49,2.1,1009,43.4,732,31.5,0,0,0,0,40,1.7,0,0,0,0,0,0,0,0,0,0,3,0.1,30,1.3,0,0,0,0,0,0,0,0,31,1.3,134,5.8,0,0,5,0.2,2,0.1,7,0.3,3,0.1,933,40.1,3334,143.5
52,City,Jamshedpur,32,2.9,1,0.1,32,2.9,69,6.3,0,0,3,0.3,0,0,0,0,0,0,1,0.1,1,0.1,2,0.2,0,0,3,0.3,0,0,0,0,21,1.9,0,0,0,0,11,1,0,0,2,0.2,1,0.1,3,0.3,0,0,6,0.5,183,16.6
53,City,Kanpur,1402,52.1,932,34.6,417,15.5,1074,39.9,0,0,163,6.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,42,1.6,0,0,0,0,4,0.1,0,0,0,0,7,0.3,0,0,4,0.1,0,0,4,0.1,17,0.6,92457,3437.1,96521,3588.1
54,City,Kochi,26,1.9,69,5.1,29,2.1,0,0,681,50.3,2,0.1,20,1.5,0,0,3,0.2,0,0,0,0,0,0,2,0.1,3,0.2,0,0,0,0,0,0,0,0,1,0.1,59,4.4,0,0,4,0.3,0,0,4,0.3,0,0,9658,712.8,10557,779.1
55,City,Kolkata,170,1.3,49,0.4,2,0,179,1.4,0,0,4,0,31,0.2,1,0,0,0,0,0,0,0,0,0,0,0,15,0.1,0,0,1,0,0,0,0,0,0,0,115,0.9,0,0,0,0,0,0,0,0,0,0,335,2.5,902,6.8
56,City,Lucknow,836,36.9,316,13.9,95,4.2,178,7.9,0,0,19,0.8,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,50,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.1,0,0,25,1.1,5,0.2,37397,1649.6,38924,1717
57,City,Ludhiana,111,8,105,7.5,240,17.2,101,7.2,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,12,0.9,0,0,0,0,0,0,0,0,1,0.1,38,2.7,0,0,7,0.5,0,0,7,0.5,0,0,73,5.2,692,49.6
58,City,Madurai,2,0.2,163,13.6,283,23.7,0,0,146,12.2,3,0.3,110,9.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,16,1.3,0,0,6,0.5,0,0,6,0.5,0,0,26236,2195.5,26968,2256.7
59,City,Meerut,808,69.2,87,7.5,191,16.4,77,6.6,0,0,1,0.1,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,19,1.6,0,0,19,1.6,5,0.4,40872,3502.3,42069,3604.9
60,City,Mumbai,229,1.4,1564,9.6,96,0.6,0,0,131,0.8,0,0,236,1.4,0,0,2,0,1,0,0,0,1,0,3,0,69,0.4,0,0,0,0,0,0,0,0,0,0,186,1.1,0,0,22,0.1,0,0,22,0.1,0,0,2370,14.5,4909,30
61,City,Nagpur,294,13.8,74,3.5,922,43.4,0,0,1993,93.9,2,0.1,32,1.5,0,0,0,0,1,0,0,0,1,0,0,0,262,12.3,0,0,0,0,5,0.2,0,0,1,0,46,2.2,0,0,8,0.4,0,0,8,0.4,0,0,1208,56.9,4848,228.4
62,City,Nasik,10,0.9,5,0.4,36,3.1,0,0,116,10.1,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0.1,1,0.1,0,0,7,0.6,0,0,7,0.6,0,0,7,0.6,0,0,521,45.2,717,62.2
63,City,Patna,228,13.4,22,1.3,28,1.6,93,5.4,0,0,42,2.5,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6,0,0,0,0,28,1.6,0,0,0,0,2,0.1,0,0,20,1.2,0,0,20,1.2,0,0,324,19,800,46.9
64,City,Pune,53,1.4,55,1.5,325,8.7,0,0,1073,28.6,1,0,32,0.9,0,0,28,0.7,1,0,0,0,1,0,3,0.1,60,1.6,0,0,0,0,0,0,0,0,0,0,92,2.4,0,0,16,0.4,0,0,16,0.4,1,0,1866,49.7,3606,96
65,City,Rajkot,8,0.8,4,0.4,292,29.1,0,0,2545,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,10,1,2,0.2,12,1.2,0,0,372,37.1,3244,323.8
66,City,Surat,23,0.8,5,0.2,445,15.8,0,0,12641,449.7,0,0,60,2.1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.2,0,0,0,0,1,0,0,0,0,0,28,1,0,0,8,0.3,7,0.2,15,0.5,2,0.1,865,30.8,14092,501.3
67,City,Vadodara,11,0.7,4,0.3,680,45.6,0,0,8181,548.3,1,0.1,6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,16,1.1,0,0,0,0,0,0,1,0.1,0,0,70,4.7,0,0,7,0.5,2,0.1,9,0.6,0,0,657,44,9636,645.8
68,City,Varanasi,407,33.6,264,21.8,66,5.4,61,5,0,0,6,0.5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,33,2.7,0,0,33,2.7,5,0.4,11842,977.1,12695,1047.4
69,City,Vijayawada,4,0.4,4,0.4,1792,177.3,155,15.3,8,0.8,3,0.3,33,3.3,0,0,0,0,1,0.1,0,0,1,0.1,0,0,9,0.9,0,0,0,0,0,0,0,0,0,0,64,6.3,0,0,27,2.7,1,0.1,28,2.8,0,0,153888,15221.4,155989,15429.2
70,City,Vishakhapatnam,1,0.1,9,0.7,1307,98.3,22,1.7,0,0,3,0.2,162,12.2,0,0,0,0,0,0,0,0,0,0,0,0,168,12.6,0,0,0,0,0,0,0,0,0,0,99,7.4,0,0,25,1.9,0,0,25,1.9,1,0.1,1790,134.7,3587,269.9
City,City,Total (Cities),16843,15.6,6431,6,18593,17.2,20866,19.3,36009,33.4,585,0.5,1759,1.6,2,0,83,0.1,14,0,1,0,15,0,367,0.3,969,0.9,0,0,4,0,447,0.4,6,0,38,0,2168,2,0,0,668,0.6,28,0,696,0.6,96,0.1,555623,515,661600,613.3
