Sr. No.,Category,States/UTs/Cities,"Murder (Sec.302,303 IPC) - 2005","Murder (Sec.302,303 IPC) - 2006","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2005,Attempt to Commit Murder (Sec.307 IPC) - 2006,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2005","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2006","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) Total - 2005,Rape (Sec. 376 IPC) Total - 2006,Rape (Sec. 376 IPC) Total - % Variation,Rape (Sec. 376 IPC) Custodial - 2005,Rape (Sec. 376 IPC) Custodial - 2006,Rape (Sec. 376 IPC) Custodial - % Variation,Rape (Sec. 376 IPC) Other - 2005,Rape (Sec. 376 IPC) Other - 2006,Rape (Sec. 376 IPC) Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2005,Dacoity (Sec. 395-398 IPC) - 2006,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2005,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2006,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2005","Robbery (Sec.392-394, 397, 398 IPC) - 2006","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2005","Burglary (Sec.449-452,454,455,457-460 IPC) - 2006","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) Total - 2005,Theft (Sec. 379 - 382 IPC) Total - 2006,Theft (Sec. 379 - 382 IPC) Total - % Variation,Theft (Sec. 379 - 382 IPC) Auto Theft - 2005,Theft (Sec. 379 - 382 IPC) Auto Theft - 2006,Theft (Sec. 379 - 382 IPC) Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) Other Theft - 2005,Theft (Sec. 379 - 382 IPC) Other Theft - 2006,Theft (Sec. 379 - 382 IPC) Other Theft - % Variation,"Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - 2005","Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - 2006","Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust ( Sec. 406-409 IPC) - 2005,Criminal Breach of Trust ( Sec. 406-409 IPC) - 2006,Criminal Breach of Trust ( Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419, 420 IPC) - 2005","Cheating (Sec. 419, 420 IPC) - 2006","Cheating (Sec. 419, 420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2005","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2006","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2005","Arson (Sec.435,436,438 IPC) - 2006","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2005","Hurt (Sec.323-333, 335-338 IPC) - 2006","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2005,Dowry Deaths (Sec.304B IPC) - 2006,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2005,Molestation (Sec.354 IPC) - 2006,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2005,Sexual Harassment (Sec.509 IPC) - 2006,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2005,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2006,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2005,Importation of Girls (Sec. 366B IPC) - 2006,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2005,Causing Death by Negligence (Sec. 304A IPC) - 2006,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes - 2005,Other IPC Crimes - 2006,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2005,Total Cognizable Crimes Under IPC - 2006,Total Cognizable Crimes Under IPC - % Variation
11,State,Jharkhand,1523,1492,-2,1084,1078,-0.6,87,97,11.5,753,799,6.1,5,0,-100,748,799,6.8,621,635,2.3,283,410,44.9,338,225,-33.4,592,536,-9.5,49,45,-8.2,732,779,6.4,1610,1428,-11.3,6195,6173,-0.4,1181,1146,-3,5014,5027,0.3,2524,2650,5,243,319,31.3,643,833,29.5,19,34,78.9,202,178,-11.9,3078,3055,-0.7,257,281,9.3,293,414,41.3,36,44,22.2,590,668,13.2,4,5,25,1490,1154,-22.6,12550,13667,8.9,35175,36364,3.4
12,State,Karnataka,1609,1627,1.1,1406,1484,5.5,80,68,-15,343,400,16.6,0,0,0,343,400,16.6,589,563,-4.4,312,328,5.1,277,235,-15.2,208,202,-2.9,119,247,107.6,1202,1349,12.2,5986,5967,-0.3,17008,14901,-12.4,5920,5759,-2.7,11088,9142,-17.6,6151,6183,0.5,434,471,8.5,2909,2910,0,133,139,4.5,238,268,12.6,20883,19488,-6.7,261,244,-6.5,1585,1683,6.2,71,38,-46.5,1883,2129,13.1,0,0,0,243,534,119.8,54239,56815,4.7,117580,117710,0.1
13,State,Kerala,388,393,1.3,341,347,1.8,88,87,-1.1,478,601,25.7,0,0,0,478,601,25.7,226,294,30.1,129,202,56.6,97,92,-5.2,110,129,17.3,158,125,-20.9,621,691,11.3,4110,4245,3.3,5454,5431,-0.4,1969,2014,2.3,3485,3417,-2,6535,6365,-2.6,361,299,-17.2,3261,3316,1.7,79,68,-13.9,456,435,-4.6,18302,19105,4.4,21,25,19,2339,2543,8.7,175,222,26.9,3283,3708,12.9,0,0,0,34,49,44.1,57530,56777,-1.3,104350,105255,0.9
14,State,Madhya Pradesh,2405,2309,-4,2512,2370,-5.7,134,138,3,2921,2900,-0.7,0,0,0,2921,2900,-0.7,847,808,-4.6,604,617,2.2,243,191,-21.4,147,151,2.7,130,121,-6.9,1557,1770,13.7,11192,10960,-2.1,20685,21733,5.1,6390,7552,18.2,14295,14181,-0.8,2573,2308,-10.3,613,519,-15.3,1292,1522,17.8,51,38,-25.5,817,815,-0.2,33803,34709,2.7,739,764,3.4,6426,6243,-2.8,792,762,-3.8,2989,2989,0,3,0,-100,4593,4823,5,91951,95959,4.4,189172,194711,2.9
15,State,Maharashtra,2621,2656,1.3,1614,1680,4.1,98,100,2,1545,1500,-2.9,0,1,NA,1545,1499,-3,1194,1261,5.6,851,921,8.2,343,340,-0.9,641,663,3.4,307,323,5.2,2411,2574,6.8,15615,15877,1.7,46851,46473,-0.8,12189,12741,4.5,34662,33732,-2.7,6779,7453,9.9,1720,1726,0.3,6391,6234,-2.5,385,317,-17.7,1123,1188,5.8,30017,29407,-2,341,387,13.5,3228,3479,7.8,919,984,7.1,6233,6738,8.1,0,1,NA,9608,10933,13.8,47386,49834,5.2,187027,191788,2.5
16,State,Manipur,256,205,-19.9,252,265,5.2,4,4,0,25,40,60,0,0,0,25,40,60,106,130,22.6,69,79,14.5,37,51,37.8,4,2,-50,0,27,NA,8,8,0,62,55,-11.3,243,290,19.3,92,105,14.1,151,185,22.5,35,60,71.4,52,40,-23.1,122,82,-32.8,10,9,-10,155,109,-29.7,295,296,0.3,0,0,0,25,42,68,0,0,0,20,10,-50,0,0,0,5,3,-40,1234,1207,-2.2,2913,2884,-1
17,State,Meghalaya,134,157,17.2,35,42,20,2,8,300,63,74,17.5,0,0,0,63,74,17.5,48,57,18.8,19,25,31.6,29,32,10.3,81,57,-29.6,1,4,300,95,65,-31.6,148,140,-5.4,476,470,-1.3,116,135,16.4,360,335,-6.9,42,7,-83.3,18,16,-11.1,39,83,112.8,3,7,133.3,70,28,-60,135,138,2.2,1,6,500,44,57,29.5,0,0,0,3,13,333.3,0,0,0,61,68,11.5,381,438,15,1880,1935,2.9
18,State,Mizoram,24,25,4.2,24,19,-20.8,5,7,40,37,72,94.6,0,0,0,37,72,94.6,13,6,-53.8,0,1,NA,13,5,-61.5,3,7,133.3,0,0,0,6,10,66.7,442,422,-4.5,777,758,-2.4,0,60,NA,777,698,-10.2,35,0,-100,11,30,172.7,58,78,34.5,5,10,100,20,25,25,77,72,-6.5,4,0,-100,49,51,4.1,4,0,-100,0,1,NA,0,0,0,4,26,550,558,454,-18.6,2156,2073,-3.8
19,State,Nagaland,87,123,41.4,26,46,76.9,8,8,0,17,23,35.3,0,0,0,17,23,35.3,26,31,19.2,9,3,-66.7,17,28,64.7,12,16,33.3,0,0,0,80,84,5,93,70,-24.7,294,327,11.2,97,113,16.5,197,214,8.6,8,7,-12.5,17,18,5.9,41,37,-9.8,5,10,100,4,16,300,35,50,42.9,0,0,0,7,3,-57.1,0,2,NA,0,3,NA,0,0,0,37,28,-24.3,252,201,-20.2,1049,1103,5.1
20,State,Orissa,1079,1159,7.4,1279,752,-41.2,48,36,-25,799,985,23.3,0,0,0,799,985,23.3,641,704,9.8,547,577,5.5,94,127,35.1,184,239,29.9,50,76,52,998,1184,18.6,3029,3120,3,6743,6567,-2.6,1626,1571,-3.4,5117,4996,-2.4,1515,1535,1.3,301,313,4,1040,1364,31.2,31,16,-48.4,386,371,-3.9,5919,6226,5.2,334,457,36.8,2238,2415,7.9,184,247,34.2,1671,694,-58.5,0,12,NA,3034,2945,-2.9,20182,21375,5.9,51685,52792,2.1
21,State,Punjab,713,817,14.6,723,898,24.2,216,165,-23.6,398,442,11.1,0,0,0,398,442,11.1,478,591,23.6,329,418,27.1,149,173,16.1,27,35,29.6,103,90,-12.6,85,142,67.1,1933,2277,17.8,2924,3946,35,1151,1561,35.6,1773,2385,34.5,1,3,200,306,281,-8.2,2934,3393,15.6,73,66,-9.6,55,68,23.6,4267,5104,19.6,99,130,31.3,308,314,1.9,43,60,39.5,729,801,9.9,0,2,NA,2283,2919,27.9,8438,9524,12.9,27136,32068,18.2
22,State,Rajasthan,1221,1209,-1,1920,1694,-11.8,59,79,33.9,993,1085,9.3,0,0,0,993,1085,9.3,1993,1970,-1.2,1549,1553,0.3,444,417,-6.1,41,37,-9.8,79,97,22.8,590,631,6.9,5227,5085,-2.7,17898,17889,-0.1,6723,7276,8.2,11175,10613,-5,2290,1767,-22.8,613,694,13.2,8341,10191,22.2,88,56,-36.4,648,551,-15,22606,21296,-5.8,361,394,9.1,2503,2582,3.2,28,31,10.7,5997,7038,17.4,0,3,NA,5872,6234,6.2,61549,61379,-0.3,140917,141992,0.8
23,State,Sikkim,8,21,162.5,16,16,0,2,2,0,18,20,11.1,0,0,0,18,20,11.1,3,8,166.7,2,7,250,1,1,0,2,0,-100,0,0,0,4,9,125,85,84,-1.2,81,113,39.5,5,8,60,76,105,38.2,19,12,-36.8,4,10,150,44,37,-15.9,2,1,-50,3,1,-66.7,99,96,-3,0,0,0,38,14,-63.2,0,0,0,4,6,50,0,0,0,53,39,-26.4,67,214,219.4,552,703,27.4
24,State,Tamil Nadu,1440,1363,-5.3,1759,1599,-9.1,28,20,-28.6,571,457,-20,1,0,-100,570,457,-19.8,1029,906,-12,783,718,-8.3,246,188,-23.6,73,95,30.1,0,4,NA,437,450,3,3738,3300,-11.7,15851,13651,-13.9,3583,2877,-19.7,12268,10774,-12.2,2551,1838,-27.9,239,194,-18.8,2694,2116,-21.5,40,63,57.5,495,460,-7.1,31725,14067,-55.7,215,187,-13,1764,1179,-33.2,665,852,28.1,1650,1248,-24.4,0,0,0,8902,10792,21.2,86494,94131,8.8,162360,148972,-8.2
25,State,Tripura,121,154,27.3,56,52,-7.1,1,1,0,162,189,16.7,0,0,0,162,189,16.7,85,105,23.5,43,62,44.2,42,43,2.4,22,18,-18.2,0,1,NA,61,71,16.4,170,182,7.1,325,392,20.6,62,31,-50,263,361,37.3,148,154,4.1,32,23,-28.1,59,84,42.4,16,12,-25,35,35,0,429,464,8.2,34,35,2.9,161,207,28.6,1,0,-100,439,471,7.3,0,0,0,188,199,5.9,811,1091,34.5,3356,3940,17.4
26,State,Uttar Pradesh,5711,5480,-4,5637,4997,-11.4,1520,1543,1.5,1217,1314,8,0,0,0,1217,1314,8,2955,3318,12.3,2256,2551,13.1,699,767,9.7,286,218,-23.8,89,86,-3.4,2049,2024,-1.2,4556,4577,0.5,20695,20447,-1.2,8647,9621,11.3,12048,10826,-10.1,3926,3774,-3.9,2524,2509,-0.6,4556,5142,12.9,261,278,6.5,398,299,-24.9,10379,10412,0.3,1564,1798,15,1835,2096,14.2,2881,2714,-5.8,4505,5204,15.5,0,0,0,7406,7235,-2.3,37158,41536,11.8,122108,127001,4
27,State,Uttaranchal,279,274,-1.8,202,215,6.4,30,40,33.3,133,147,10.5,0,0,0,133,147,10.5,203,212,4.4,125,183,46.4,78,29,-62.8,48,31,-35.4,0,2,NA,159,157,-1.3,521,470,-9.8,1630,1696,4,533,525,-1.5,1097,1171,6.7,433,489,12.9,144,95,-34,396,514,29.8,22,14,-36.4,24,39,62.5,745,854,14.6,63,80,27,100,153,53,89,113,27,272,358,31.6,0,0,0,462,524,13.4,2078,1935,-6.9,8033,8412,4.7
28,State,West Bengal,1453,1425,-1.9,434,672,54.8,408,401,-1.7,1686,1731,2.7,0,0,0,1686,1731,2.7,1207,1355,12.3,1039,1199,15.4,168,156,-7.1,211,177,-16.1,1221,1263,3.4,426,426,0,739,601,-18.7,12124,12532,3.4,2435,2714,11.5,9689,9818,1.3,2635,2385,-9.5,528,519,-1.7,1760,1947,10.6,107,135,26.2,92,111,20.7,4125,6299,52.7,446,445,-0.2,1572,1837,16.9,54,63,16.7,6936,7414,6.9,61,1,-98.4,2737,3039,11,25444,23274,-8.5,66406,68052,2.5
State,State,Total (States),32200,31944,-0.8,27515,26666,-3.1,3499,3447,-1.5,17651,18682,5.8,7,2,-71.4,17644,18680,5.9,21163,22440,6,14584,16258,11.5,6579,6182,-6,5106,4717,-7.6,2675,2926,9.4,17140,17867,4.2,87593,89258,1.9,253094,254820,0.7,75983,80683,6.2,177111,174137,-1.7,55925,56262,0.6,13103,13087,-0.1,51019,55467,8.7,2336,2113,-9.5,8386,8397,0.1,268001,261812,-2.3,6665,7467,12,33305,35802,7.5,9723,9765,0.4,56901,61264,7.7,148,67,-54.7,70787,77879,10,713493,748889,5,1757428,1811038,3.1
29,Union Territory,A & N Islands,14,4,-71.4,3,4,33.3,3,1,-66.7,4,6,50,0,0,0,4,6,50,2,5,150,1,5,400,1,0,-100,0,0,0,0,0,0,4,5,25,68,82,20.6,92,101,9.8,6,6,0,86,95,10.5,4,10,150,8,3,-62.5,13,15,15.4,0,4,NA,6,9,50,79,78,-1.3,0,0,0,11,14,27.3,1,4,300,5,7,40,0,0,0,3,2,-33.3,362,322,-11,682,676,-0.9
30,Union Territory,Chandigarh,18,12,-33.3,15,21,40,4,8,100,33,19,-42.4,0,0,0,33,19,-42.4,54,65,20.4,45,57,26.7,9,8,-11.1,0,1,NA,2,3,50,12,34,183.3,223,189,-15.2,1373,1234,-10.1,579,529,-8.6,794,705,-11.2,43,44,2.3,41,59,43.9,161,232,44.1,0,3,NA,1,5,400,57,55,-3.5,3,10,233.3,31,20,-35.5,9,13,44.4,75,102,36,0,0,0,9,14,55.6,969,983,1.4,3133,3126,-0.2
31,Union Territory,D & N Haveli,7,9,28.6,5,0,-100,0,1,NA,5,6,20,0,0,0,5,6,20,13,18,38.5,9,14,55.6,4,4,0,3,5,66.7,0,0,0,2,5,150,25,41,64,74,61,-17.6,17,13,-23.5,57,48,-15.8,18,8,-55.6,12,30,150,10,10,0,4,1,-75,1,5,400,33,35,6.1,0,1,NA,5,5,0,0,1,NA,5,5,0,0,0,0,17,16,-5.9,195,172,-11.8,434,435,0.2
32,Union Territory,Daman & Diu,5,6,20,2,3,50,0,0,0,2,3,50,0,0,0,2,3,50,4,3,-25,2,1,-50,2,2,0,4,8,100,0,0,0,0,1,NA,37,60,62.2,50,63,26,27,33,22.2,23,30,30.4,19,24,26.3,6,9,50,3,3,0,7,4,-42.9,1,5,400,16,18,12.5,1,0,-100,1,2,100,0,0,0,3,2,-33.3,0,0,0,24,26,8.3,58,48,-17.2,243,288,18.5
