Sr. No.,Category,States/UTs/Cities,Estimated Mid-Year Population (In Lakhs) #,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) - P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives (Sec.498A IPC) - R,Cruelty by Husband and Relatives (Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,"Sati Prevention Act, 1987 - I","Sati Prevention Act, 1987 - R","Sati Prevention Act, 1987 - P","Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
11,State,Jharkhand,293.14,799,2.7,4.1,410,1.4,2.4,281,1,3.7,668,2.3,1.1,414,1.4,1.1,44,0.2,0.4,5,0,7.5,0,0,0,11,0,0.2,2,0,0.1,345,1.2,7.7,2979,10.2,1.8
12,State,Karnataka,563.49,400,0.7,2.1,328,0.6,1.9,244,0.4,3.2,2129,3.8,3.4,1683,3,4.6,38,0.1,0.4,0,0,0,0,0,0,786,1.4,17.3,0,0,0,476,0.8,10.6,6084,10.8,3.7
13,State,Kerala,336.79,601,1.8,3.1,202,0.6,1.2,25,0.1,0.3,3708,11,5.9,2543,7.6,6.9,222,0.7,2.2,0,0,0,0,0,0,189,0.6,4.2,59,0.2,3.8,5,0,0.1,7554,22.4,4.6
14,State,Madhya Pradesh,672.13,2900,4.3,15,617,0.9,3.5,764,1.1,10,2989,4.4,4.7,6243,9.3,17,762,1.1,7.6,0,0,0,0,0,0,12,0,0.3,2,0,0.1,32,0,0.7,14321,21.3,8.7
15,State,Maharashtra,1045.7,1500,1.4,7.8,921,0.9,5.3,387,0.4,5.1,6738,6.4,10.7,3479,3.3,9.5,984,0.9,9.9,1,0,1.5,0,0,0,378,0.4,8.3,9,0,0.6,55,0.1,1.2,14452,13.8,8.8
16,State,Manipur,25.72,40,1.6,0.2,79,3.1,0.5,0,0,0,10,0.4,0,42,1.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,6.6,0.1
17,State,Meghalaya,24.83,74,3,0.4,25,1,0.1,6,0.2,0.1,13,0.5,0,57,2.3,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,176,7.1,0.1
18,State,Mizoram,9.59,72,7.5,0.4,1,0.1,0,0,0,0,1,0.1,0,51,5.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,13,0.1
19,State,Nagaland,21.41,23,1.1,0.1,3,0.1,0,0,0,0,3,0.1,0,3,0.1,0,2,0.1,0,0,0,0,0,0,0,9,0.4,0.2,0,0,0,0,0,0,43,2,0
20,State,Orissa,391.96,985,2.5,5.1,577,1.5,3.3,457,1.2,6,694,1.8,1.1,2415,6.2,6.6,247,0.6,2.5,12,0,17.9,0,0,0,44,0.1,1,0,0,0,1394,3.6,31,6825,17.4,4.1
21,State,Punjab,260.8,442,1.7,2.3,418,1.6,2.4,130,0.5,1.7,801,3.1,1.3,314,1.2,0.9,60,0.2,0.6,2,0,3,0,0,0,67,0.3,1.5,1,0,0.1,7,0,0.2,2242,8.6,1.4
22,State,Rajasthan,628.02,1085,1.7,5.6,1553,2.5,8.9,394,0.6,5.2,7038,11.2,11.1,2582,4.1,7.1,31,0,0.3,3,0,4.5,0,0,0,143,0.2,3.1,102,0.2,6.5,3,0,0.1,12934,20.6,7.8
23,State,Sikkim,5.81,20,3.4,0.1,7,1.2,0,0,0,0,6,1,0,14,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8.1,0
24,State,Tamil Nadu,654.52,457,0.7,2.4,718,1.1,4.1,187,0.3,2.5,1248,1.9,2,1179,1.8,3.2,852,1.3,8.5,0,0,0,0,0,0,1732,2.6,38.1,35,0.1,2.2,81,0.1,1.8,6489,9.9,3.9
25,State,Tripura,34.36,189,5.5,1,62,1.8,0.4,35,1,0.5,471,13.7,0.7,207,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,28.1,0.6
26,State,Uttar Pradesh,1850.21,1314,0.7,6.8,2551,1.4,14.6,1798,1,23.6,5204,2.8,8.2,2096,1.1,5.7,2714,1.5,27.2,0,0,0,0,0,0,70,0,1.5,0,0,0,628,0.3,13.9,16375,8.9,9.9
27,State,Uttaranchal,92.62,147,1.6,0.8,183,2,1.1,80,0.9,1.1,358,3.9,0.6,153,1.7,0.4,113,1.2,1.1,0,0,0,0,0,0,3,0,0.1,0,0,0,1,0,0,1038,11.2,0.6
28,State,West Bengal,861.3,1731,2,8.9,1199,1.4,6.9,445,0.5,5.8,7414,8.6,11.7,1837,2.1,5,63,0.1,0.6,1,0,1.5,0,0,0,66,0.1,1.5,4,0,0.3,25,0,0.6,12785,14.8,7.8
State,State,Total (States),11005.85,18682,1.7,96.6,16258,1.5,93.4,7467,0.7,98,61264,5.6,97,35802,3.3,97.8,9765,0.9,98,67,0,100,0,0,0,4417,0.4,97.3,1561,0.1,99.9,4487,0.4,99.6,159770,14.5,97
29,Union Territory,A & N Islands,3.96,6,1.5,0,5,1.3,0,0,0,0,7,1.8,0,14,3.5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9.1,0
30,Union Territory,Chandigarh,10.21,19,1.9,0.1,57,5.6,0.3,10,1,0.1,102,10,0.2,20,2,0.1,13,1.3,0.1,0,0,0,0,0,0,3,0.3,0.1,0,0,0,0,0,0,224,21.9,0.1
31,Union Territory,D & N Haveli,2.5,6,2.4,0,14,5.6,0.1,1,0.4,0,5,2,0,5,2,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12.8,0
32,Union Territory,Daman & Diu,1.8,3,1.7,0,1,0.6,0,0,0,0,2,1.1,0,2,1.1,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,9,5,0
33,Union Territory,Delhi,162.29,623,3.8,3.2,1066,6.6,6.1,137,0.8,1.8,1728,10.6,2.7,718,4.4,2,144,0.9,1.4,0,0,0,0,0,0,112,0.7,2.5,1,0,0.1,15,0.1,0.3,4544,28,2.8
34,Union Territory,Lakshadweep,0.67,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0
35,Union Territory,Pondicherry,10.47,9,0.9,0,13,1.2,0.1,3,0.3,0,19,1.8,0,56,5.3,0.2,39,3.7,0.4,0,0,0,0,0,0,8,0.8,0.2,0,0,0,2,0.2,0,149,14.2,0.1
Union Territory,Union Territory,Total (UTs),191.9,666,3.5,3.4,1156,6,6.6,151,0.8,2,1864,9.7,3,815,4.2,2.2,201,1,2,0,0,0,0,0,0,124,0.6,2.7,1,0.6,0.1,17,0.1,0.4,4995,26,3
Total (All-India),Total (All-India),Total (All-India),11197.75,19348,1.7,100,17414,1.6,100,7618,0.7,100,63128,5.6,100,36617,3.3,100,9966,0.9,100,67,0,100,0,0,0,4541,0.4,100,1562,0.1,100,4504,0.4,100,164765,14.7,100
36,City,Agra,13.21,15,1.1,0.9,110,8.3,4,34,2.6,5.3,286,21.7,3,59,4.5,1.9,128,9.7,7.2,0,0,0,0,0,0,12,0.9,0.7,0,0,0,0,0,0,644,48.8,2.9
37,City,Ahmedabad,45.19,46,1,2.7,146,3.2,5.3,4,0.1,0.6,956,21.2,9.9,72,1.6,2.3,22,0.5,1.2,0,0,0,0,0,0,3,0.1,0.2,0,0,0,0,0,0,1249,27.6,5.7
38,City,Allahabad,10.5,5,0.5,0.3,27,2.6,1,10,1,1.6,72,6.9,0.7,9,0.9,0.3,23,2.2,1.3,0,0,0,0,0,0,8,0.8,0.5,0,0,0,72,6.9,16.1,226,21.5,1
39,City,Amritsar,10.11,12,1.2,0.7,19,1.9,0.7,4,0.4,0.6,47,4.6,0.5,5,0.5,0.2,0,0,0,0,0,0,0,0,0,9,0.9,0.5,0,0,0,0,0,0,96,9.5,0.4
40,City,Asansol,10.91,19,1.7,1.1,12,1.1,0.4,13,1.2,2,158,14.5,1.6,11,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,19.5,1
41,City,Bangalore,56.87,33,0.6,1.9,29,0.5,1.1,50,0.9,7.8,290,5.1,3,143,2.5,4.6,2,0,0.1,0,0,0,0,0,0,480,8.4,27.3,0,0,0,265,4.7,59.3,1292,22.7,5.9
42,City,Bhopal,14.55,52,3.6,3,38,2.6,1.4,15,1,2.3,97,6.7,1,121,8.3,3.9,33,2.3,1.9,0,0,0,0,0,0,1,0.1,0.1,0,0,0,1,0.1,0.2,358,24.6,1.6
43,City,Chennai,64.25,29,0.5,1.7,41,0.6,1.5,32,0.5,5,213,3.3,2.2,87,1.4,2.8,88,1.4,5,0,0,0,0,0,0,135,2.1,7.7,0,0,0,2,0,0.4,627,9.8,2.9
44,City,Coimbatore,14.46,8,0.6,0.5,3,0.2,0.1,5,0.3,0.8,30,2.1,0.3,11,0.8,0.4,11,0.8,0.6,0,0,0,0,0,0,127,8.8,7.2,3,0.2,7.9,0,0,0,198,13.7,0.9
45,City,Delhi (city),127.91,533,4.2,31.2,953,7.5,34.7,120,0.9,18.7,1646,12.9,17.1,629,4.9,20.1,129,1,7.3,0,0,0,0,0,0,109,0.9,6.2,1,0,2.6,14,0.1,3.1,4134,32.3,18.9
46,City,Dhanbad,10.64,21,2,1.2,11,1,0.4,15,1.4,2.3,10,0.9,0.1,3,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.2,2.9,73,6.9,0.3
47,City,Faridabad,10.55,40,3.8,2.3,66,6.3,2.4,14,1.3,2.2,146,13.8,1.5,35,3.3,1.1,144,13.6,8.1,0,0,0,0,0,0,6,0.6,0.3,0,0,0,3,0.3,0.7,454,43,2.1
48,City,Hyderabad,55.34,93,1.7,5.5,77,1.4,2.8,29,0.5,4.5,1160,21,12.1,189,3.4,6,108,2,6.1,0,0,0,0,0,0,88,1.6,5,0,0,0,11,0.2,2.5,1755,31.7,8
49,City,Indore,16.39,73,4.5,4.3,27,1.6,1,12,0.7,1.9,218,13.3,2.3,162,9.9,5.2,43,2.6,2.4,0,0,0,0,0,0,4,0.2,0.2,0,0,0,2,0.1,0.4,541,33,2.5
50,City,Jabalpur,11.17,54,4.8,3.2,20,1.8,0.7,13,1.2,2,118,10.6,1.2,161,14.4,5.1,68,6.1,3.8,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,435,38.9,2
51,City,Jaipur,23.24,58,2.5,3.4,137,5.9,5,23,1,3.6,451,19.4,4.7,110,4.7,3.5,2,0.1,0.1,0,0,0,0,0,0,40,1.7,2.3,31,1.3,81.6,0,0,0,852,36.7,3.9
52,City,Jamshedpur,11.02,29,2.6,1.7,24,2.2,0.9,16,1.5,2.5,73,6.6,0.8,33,3,1.1,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,21,1.9,4.7,197,17.9,0.9
53,City,Kanpur,26.9,27,1,1.6,87,3.2,3.2,67,2.5,10.4,273,10.1,2.8,64,2.4,2,179,6.7,10.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.9,701,26.1,3.2
54,City,Kochi,13.55,14,1,0.8,8,0.6,0.3,0,0,0,87,6.4,0.9,65,4.8,2.1,20,1.5,1.1,0,0,0,0,0,0,20,1.5,1.1,1,0.1,2.6,0,0,0,215,15.9,1
55,City,Kolkata,132.17,38,0.3,2.2,76,0.6,2.8,4,0,0.6,276,2.1,2.9,173,1.3,5.5,37,0.3,2.1,1,0,50,0,0,0,31,0.2,1.8,0,0,0,0,0,0,636,4.8,2.9
56,City,Lucknow,22.67,29,1.3,1.7,131,5.8,4.8,21,0.9,3.3,315,13.9,3.3,56,2.5,1.8,154,6.8,8.7,0,0,0,0,0,0,3,0.1,0.2,0,0,0,0,0,0,709,31.3,3.2
57,City,Ludhiana,13.95,36,2.6,2.1,57,4.1,2.1,10,0.7,1.6,86,6.2,0.9,24,1.7,0.8,16,1.1,0.9,0,0,0,0,0,0,4,0.3,0.2,1,0.1,2.6,0,0,0,234,16.8,1.1
58,City,Madurai,11.95,9,0.8,0.5,7,0.6,0.3,4,0.3,0.6,35,2.9,0.4,12,1,0.4,15,1.3,0.8,0,0,0,0,0,0,110,9.2,6.3,0,0,0,0,0,0,192,16.1,0.9
59,City,Meerut,11.67,13,1.1,0.8,44,3.8,1.6,5,0.4,0.8,162,13.9,1.7,29,2.5,0.9,72,6.2,4.1,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,327,28,1.5
60,City,Mumbai,163.68,165,1,9.7,129,0.8,4.7,17,0.1,2.6,327,2,3.4,357,2.2,11.4,102,0.6,5.7,1,0,50,0,0,0,236,1.4,13.4,0,0,0,0,0,0,1334,8.2,6.1
61,City,Nagpur,21.23,51,2.4,3,42,2,1.5,7,0.3,1.1,180,8.5,1.9,72,3.4,2.3,42,2,2.4,0,0,0,0,0,0,32,1.5,1.8,1,0,2.6,5,0.2,1.1,432,20.3,2
62,City,Nasik,11.52,14,1.2,0.8,22,1.9,0.8,2,0.2,0.3,119,10.3,1.2,36,3.1,1.1,15,1.3,0.8,0,0,0,0,0,0,1,0.1,0.1,0,0,0,1,0.1,0.2,210,18.2,1
63,City,Patna,17.07,25,1.5,1.5,54,3.2,2,34,2,5.3,165,9.7,1.7,9,0.5,0.3,2,0.1,0.1,0,0,0,0,0,0,3,0.2,0.2,0,0,0,28,1.6,6.3,320,18.7,1.5
64,City,Pune,37.56,77,2.1,4.5,74,2,2.7,6,0.2,0.9,236,6.3,2.5,104,2.8,3.3,87,2.3,4.9,0,0,0,0,0,0,32,0.9,1.8,0,0,0,0,0,0,616,16.4,2.8
65,City,Rajkot,10.02,4,0.4,0.2,18,1.8,0.7,1,0.1,0.2,165,16.5,1.7,5,0.5,0.2,12,1.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,20.5,0.9
66,City,Surat,28.11,31,1.1,1.8,86,3.1,3.1,22,0.8,3.4,249,8.9,2.6,46,1.6,1.5,6,0.2,0.3,0,0,0,0,0,0,60,2.1,3.4,0,0,0,1,0,0.2,501,17.8,2.3
67,City,Vadodara,14.92,6,0.4,0.4,42,2.8,1.5,0,0,0,181,12.1,1.9,17,1.1,0.5,2,0.1,0.1,0,0,0,0,0,0,6,0.4,0.3,0,0,0,0,0,0,254,17,1.2
68,City,Varanasi,12.12,5,0.4,0.3,29,2.4,1.1,15,1.2,2.3,50,4.1,0.5,29,2.4,0.9,25,2.1,1.4,0,0,0,0,0,0,1,0.1,0.1,0,0,0,4,0.3,0.9,158,13,0.7
69,City,Vijayawada,10.11,21,2.1,1.2,60,5.9,2.2,8,0.8,1.2,336,33.2,3.5,135,13.4,4.3,158,15.6,8.9,0,0,0,0,0,0,33,3.3,1.9,0,0,0,0,0,0,751,74.3,3.4
70,City,Vishakhapatnam,13.29,21,1.6,1.2,40,3,1.5,10,0.8,1.6,397,29.9,4.1,62,4.7,2,30,2.3,1.7,0,0,0,0,0,0,162,12.2,9.2,0,0,0,0,0,0,722,54.3,3.3
City,City,Total (Cities),1078.8,1706,1.6,100,2746,2.5,100,642,0.6,100,9610,8.9,100,3135,2.9,100,1776,1.6,100,2,0,100,0,0,0,1759,1.6,100,38,0,100,447,0.4,100,21861,20.3,100
