Sr. No.,Category,States/ UTs,Area (in Sqr. Kms.),Estimated Mid-Year Population (In Thousands),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of Civ. Pol.),No. of Policemen Per 100 Sqr. Kms. of Area,"No. of Policemen Per 1,00,000 of Population",No. of IPC Cases Per Civil Police Man,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
17,State,Meghalaya,22429,2483,5956,680,6636,5635,3295,8930,63.1,1125,7805,1:7,887,39.8,360,1.1,124.21,139093
18,State,Mizoram,21081,959,2572,1533,4105,2953,4416,7369,40.1,1199,6170,1:5,912,35,768,0.9,103.36,140263
19,State,Nagaland,16579,2141,1745,411,2156,5497,6450,11947,46,744,11203,1:15,457,72.1,558,0.3,284.59,238210
20,State,Orissa,155707,39196,66355,14825,81180,27913,10839,38752,72,5373,33379,1:6,4542,24.9,99,2.4,429.58,110854
21,State,Punjab,50362,26080,45445,28848,74293,52196,19731,71927,72.6,7849,64078,1:8,6130,142.8,276,0.9,1195.49,166209
22,State,Rajasthan,342239,62802,146486,36465,182951,54766,10622,65388,83.8,8617,56771,1:7,7598,19.1,104,2.7,875.52,133896
23,State,Sikkim,7096,581,1226,310,1536,1984,1682,3666,54.1,586,3080,1:5,387,51.7,631,0.6,70.75,192990
24,State,Tamil Nadu,130058,65452,180631,509363,689994,69913,14327,84240,83,9989,74251,1:7,8569,64.8,129,2.6,1323.27,157083
25,State,Tripura,10486,3436,4994,273,5267,8166,12136,20302,40.2,1615,18687,1:12,1062,193.6,591,0.6,282.63,139213
26,State,Uttar Pradesh,240928,185021,141750,1196282,1338032,119893,33040,152933,78.4,14920,138013,1:9,12667,63.5,83,1.2,2761.25,180553
27,State,Uttarakhand,53483,9262,10178,120855,131033,9518,4009,13527,70.4,899,12628,1:14,669,25.3,146,1.1,269.7,199379
28,State,West Bengal,88752,86130,97792,15542,113334,61393,19178,80571,76.2,19904,60667,1:3,17469,90.8,94,1.6,794.28,98581
State,State,Total (States),3155431,1100585,2330201,3383818,5714019,1037171,302754,1339925,77.4,174772,1165153,1:7,144847,42.5,122,2.2,19498.32,145518
29,Union Territory,A & N Islands,8249,396,1144,8141,9285,2204,541,2745,80.3,408,2337,1:6,334,33.3,693,0.5,49.44,180109
30,Union Territory,Chandigarh,114,1021,4090,1138,5228,3644,419,4063,89.7,477,3586,1:8,445,3564,398,1.1,77.51,190770
31,Union Territory,D & N Haveli,491,250,600,24,624,217,0,217,100,17,200,1:12,15,44.2,87,2.8,4.8,221198
32,Union Territory,Daman & Diu,112,180,370,3,373,222,0,222,100,22,200,1:9,19,198.2,123,1.7,3.95,177928
33,Union Territory,Delhi,1483,16229,105289,44857,150146,46694,9739,56433,82.7,10152,46281,1:5,9271,3805.3,348,2.3,1389,246133
34,Union Territory,Lakshadweep,32,67,167,19,186,310,0,310,100,37,273,1:7,35,968.8,463,0.5,4.44,143226
35,Union Territory,Puducherry,492,1047,5202,1063,6265,1437,669,2106,68.2,241,1865,1:8,204,428,201,3.6,43.14,204843
Union Territory,Union Territory,Total (UTs),10973,19190,116862,55245,172107,54728,11368,66096,82.8,11354,54742,1:5,10323,602.4,344,2.1,1572.28,237878
Total (All-India),Total (All-India),Total (All-India),3166404,1119775,2447063,3439063,5886126,1091899,314122,1406021,77.7,186126,1219895,1:7,155170,44.4,126,2.2,21070.6,149860
