Sr. No.,Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Protection of Civil Rights Act - Total,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,SC/ST (Prev.) of Atrocities Act - Total,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
13,State,Kerala,94.8,96.5,100,NA,96.7,81.3,98.9,83.3,88.9,NA,NA,NA,72.2,96.4,NA,NA,83.3,50,100,99.3,NA,52.5,18.2,47.2,16.7,88.8,90.1
14,State,Madhya Pradesh,100,99.3,100,100,100,96.1,100,33.3,NA,100,NA,100,100,98.7,NA,NA,100,80,100,98.8,NA,99.4,99.5,99.4,93,99.8,99.9
15,State,Maharashtra,98.9,98.5,100,NA,99.8,85.5,100,34.8,100,94.4,NA,94.4,98.3,98.7,NA,NA,100,100,100,99.1,NA,95.8,97.6,96.1,96.1,94.4,98.8
16,State,Manipur,33.3,77.8,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,14.9
17,State,Meghalaya,80.3,76.2,100,NA,100,25,NA,NA,93.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,47.7
18,State,Mizoram,90.9,100,NA,NA,100,81.8,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.7
19,State,Nagaland,100,98,100,100,100,66.7,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4,98.7
20,State,Orissa,97.6,99.2,99.9,100,100,94.9,100,100,100,NA,NA,NA,NA,96.8,NA,NA,95.2,100,NA,100,NA,95.3,97.9,95.8,100,98.7,99.3
21,State,Punjab,96.5,98.8,99.8,99.5,80,75,93.8,100,100,NA,NA,NA,90.5,89.5,NA,NA,60,100,0,98.4,NA,86.4,NA,86.4,100,86.2,98.8
22,State,Rajasthan,99.7,98.6,100,99.7,NA,97.4,100,42.9,100,NA,NA,NA,100,97.6,NA,0,100,100,100,100,NA,97.9,100,98.1,99.7,97.3,99.4
23,State,Sikkim,100,100,NA,100,NA,100,100,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,92.3,99.3
24,State,Tamil Nadu,81.8,97.9,100,NA,85.6,96.1,100,50,90.9,100,NA,100,97.9,78.3,NA,0,78.6,NA,100,100,NA,93.3,100,93.3,NA,54.1,63.8
25,State,Tripura,92.3,89.3,100,NA,NA,66.7,NA,NA,NA,NA,NA,NA,NA,82.3,NA,NA,NA,100,NA,NA,NA,0,NA,0,NA,50,86.3
26,State,Uttar Pradesh,99.1,99.4,99.9,99.8,NA,94.9,100,48.6,100,93.8,NA,93.8,100,81.1,NA,50,77.4,NA,NA,96.3,NA,89.6,100,89.7,96.8,99.6,99.5
27,State,Uttaranchal,96.3,97.2,100,99.9,NA,75,100,94.1,NA,NA,NA,NA,NA,76,NA,NA,0,NA,NA,100,NA,82.4,NA,82.4,90.3,100,99.9
28,State,West Bengal,97.1,88.6,69.4,91.6,57.1,74,70.2,50,95,NA,NA,NA,89.4,74.7,NA,66.7,66.7,62.5,0,92.6,NA,50,100,75,NA,80.4,87.3
State,State,Total (States),98.4,98.2,99.9,99.6,96.3,87.2,98.7,49.5,95.6,94.9,100,95.3,91.6,94.1,81.9,71.1,87.1,88.5,99.7,98.6,0,90.5,96.4,91.2,95.6,94.4,95.2
29,Union Territory,A & N Islands,NA,NA,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4,99.8
30,Union Territory,Chandigarh,90,99.2,100,100,NA,100,100,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,94.6,99
31,Union Territory,D & N Haveli,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100
32,Union Territory,Daman & Diu,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
33,Union Territory,Delhi,99.9,99.8,100,100,NA,97.3,100,NA,100,NA,NA,NA,100,100,NA,100,87.5,NA,100,96,NA,100,NA,100,NA,93.6,99.7
34,Union Territory,Lakshadweep,NA,100,NA,NA,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,76.9
35,Union Territory,Pondicherry,100,100,100,NA,NA,NA,100,NA,NA,100,NA,100,NA,100,NA,NA,100,NA,NA,100,NA,100,NA,100,NA,99.1,99.3
Union Territory,Union Territory,Total (UTs),99.9,99.8,100,100,98.2,97.5,100,0,100,100,0,100,100,98.2,0,100,91.7,0,100,96.6,0,100,0,100,0,96.9,99.7
Total (All-India),Total (All-India),Total (All-India),98.5,98.3,99.9,99.6,96.3,87.4,98.8,49.5,95.6,95,100,95.3,92.2,94.2,81.9,72.5,87.1,88.5,99.7,98.5,0,90.5,96.4,91.2,95.6,94.4,95.3
